ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60
42,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,633,633,633,633,633,633,633,633,633,633,633,633
43,362,362,362,362,362,362,362,362,362,362,658,658,658,658,658,658,658,658,658,658,658,464,411,411,411,411,411,411,411,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,337
44,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,161,161,161,161,161,161,161,161,161,161,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,760,760,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,157,157,157,157,157,157
47,80,80,379,379,379,379,379,379,379,379,186,186,186,186,186,186,186,186,186,186,186,186,186,186,80,186,186,80,80,80,80,80,80,80,80,80,80,80,186,186,186,186,186,186,186,186,186,186,186,293,293,387,387,387,387,387,387,387,387,387,387
48,144,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,354,354,354,354,354,354,354,354,354,354,354,354,354,736,736,736,736,736,736,736,736,480,480,292,292,292,292,292,292,292,292,292,292
49,752,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,306,306,306,306,306,306,306,306,306,306,306,504,504,504,504,180,180,180,180,180,180,180
50,769,769,769,769,769,769,769,769,769,769,769,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,34,34,34,34,34,34,34,34,34,34,145,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,294,294,294
51,281,281,281,281,281,281,281,281,281,281,281,281,281,569,569,569,569,569,569,569,569,569,569,569,569,213,213,213,213,213,213,213,213,213,213,213,213,213,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281
52,466,466,314,314,369,369,369,369,369,369,369,369,369,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
53,509,509,280,280,280,280,280,280,280,132,132,132,132,132,132,132,792,792,792,792,792,792,792,657,657,657,657,66,66,66,66,66,66,66,66,72,72,72,72,72,581,581,581,581,581,66,66,66,66,66,66,66,66,428,428,428,428,428,428,428,428
54,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,799,799,799,799,799,799,799,799,610,578,578,98,98,98
55,53,622,622,494,622,53,53,53,53,53,53,53,53,53,622,622,622,622,622,622,622,53,53,53,53,53,53,53,104,104,104,104,104,653,653,653,313,313,313,313,313,313,313,773,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
56,589,513,513,513,513,624,34,624,624,624,624,624,624,624,624,241,241,241,241,34,34,34,34,34,34,34,34,34,34,34,34,34,380,380,380,380,380,380,380,380,589,589,589,589,589,589,589,589,513,596,596,596,596,596,596,596,596,596,596,596,596
57,394,394,394,394,394,394,394,394,394,394,394,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,490,490,490,490,490,490,490,490,187,187,187,187,187,187,187,187,187,187,187,187,189,189,189,189,189
58,247,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353
59,380,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,190,190,190,190,190,190,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749
60,132,281,281,281,281,281,281,281,281,281,281,281,281,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,709,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,677,677,677,677,677,677
61,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725,725
62,700,700,577,577,577,577,577,577,577,577,577,577,577,577,577,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,203,203,203,203,203,203,203
63,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,105,105,105,105,105,105,105,105,105,105,105,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
64,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,338,338,338,338,338,338,338,338,338,338,338,338,613,613,613,613,613,613,511,511
65,179,19,19,19,19,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,185,440,185,185,185,185,185,185,185,185,185,185,185,440,440,440,580
66,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,533,533,533,533,533,533,533,533,533,533,533,533,533,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,131
67,35,505,471,471,471,471,471,471,471,471,471,471,471,745,745,745,745,745,745,745,745,745,745,745,745,745,745,328,328,328,328,328,328,328,328,328,328,328,328,274,274,274,274,274,274,274,274,274,274,274,451,451,451,451,451,451,451,35,35,35,35
68,345,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,345,345,345,345,345,345,345,345,325,740,740,740,740,740,355,355,355,355,280,137,137,137,137,137,137,137,138,138,138,138,138,138,138,138,382,382,382,382,382,382,382,382,382,382
69,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,775,775,274,274,274,274,274,274,274,368,368,368,177,177,177,177,604,604,604,604,776,776,776,776,776,776,604,604,604,604,604,604,604,604,604,604,604,604,604
70,148,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,609,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736
71,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,486,486,486,496,496,496,496,496,496,496,496,496,496
72,234,234,234,234,234,142,142,142,142,362,362,362,362,362,362,362,362,362,362,362,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,342,342,342,342,342,342,342,342
73,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
74,303,252,252,252,616,616,616,616,616,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,25,486,486,486,486,486
75,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,73,73,73,73,73,73,73,73,73,73,73,190,190,190,190,190,190,190,190,190,190
76,1,1,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,399,399,399,399,399,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
77,77,215,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,349,349,349,349,349,349,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
78,30,30,30,30,149,30,149,30,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,342
79,630,630,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,436,436,436,436,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
80,472,472,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,454,454,454,454,454,454,156,156,156,156,91,91,91,570,332,332
81,312,312,312,312,312,525,525,525,525,525,525,525,525,525,525,281,281,281,281,281,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,26,26,26,26
82,60,78,78,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,800,800,800,800,800,800,800,800,800,105,105,105,105,105,747,747,747,747,747,747,747,747,747,747,747,747,747,747,747,747,747
83,357,132,132,132,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,387,387,193,193,193,193,193,193,193,193,193,193,193,193,193,193,234,234,404,404,404,404,404,404,404,404,404,404,404,404
84,203,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,333,333,333,333,333,333,333,333,333,181,181,181,181,181,139,139,139,139,139,139,139,139,139,139,139,427,427,427,333,333,333,333,333,333,427,427
85,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,310,310,310
86,447,393,393,393,447,393,393,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,87,87,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
87,159,349,349,349,349,349,349,349,349,349,349,159,159,159,159,159,159,159,159,159,159,159,159,159,8,8,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,689,689,689,689,689,689,689,689,689,689,159,159
88,0,0,0,0,0,0,0,256,256,256,256,256,256,256,256,256,256,256,256,256,256,181,323,323,323,323,323,323,323,323,323,323,181,181,181,181,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,5,5,5,5,5,5,5
89,760,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
90,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,72,72,72,348,348,348,348,348,348,348,348,348,378,378,378,378,72,72,72
91,729,379,379,379,379,379,379,379,379,379,379,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,74,74,131,131,70,70,70,70,70,70,70,70,70,70,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
92,374,253,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,379,360,360,360,360,605,605,605,605,605,605,605,374,374,76,76,76,76,76,76,76,76,374,374,664,664,664,664,664,664,664,664,78,78,78,78,78,78,78,56,56,56,56
93,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
94,386,491,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,566,566,566,566,566,566,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312
95,805,805,121,121,121,121,121,121,249,249,121,121,385,385,385,385,385,385,385,385,385,687,687,687,687,687,687,687,687,687,687,687,687,687,687,687,211,211,211,211,211,211,211,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,249
96,572,572,572,572,572,572,572,572,572,572,572,572,572,518,518,518,518,518,518,91,91,91,91,91,91,91,91,91,91,91,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,624,572,572,572,572,572,572
97,519,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,0,0,50,50,371,371,371,77,369,369,369,369,805,805,805,805,805,805,805,805,805,805,805,805,805,805,135,718,718,718,718,718,718,718,435,435,435,435,435,435,435,435
98,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,32,32,32,273,273,273,273,273,273
99,763,496,496,496,496,496,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,776,776,776,776,776,776,776,776,776,776,776,427,427,427,427,427,427,427,170,170,170,170,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658,658
100,323,771,771,771,771,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
101,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794
102,356,356,356,356,391,391,391,391,391,391,391,391,188,188,188,188,188,188,188,188,188,188,188,188,188,188,805,805,805,805,805,805,805,805,805,805,805,805,316,316,316,316,316,316,316,316,316,316,316,767,767,767,767,767,767,767,767,767,767,391,391
103,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636
104,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523
105,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,332,332,332,332,332,332,332,332
