ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56
10,261,261,64,282,282,282,282,151,151,151,21,21,66,229,229,21,21,347,347,347,347,347,137,137,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,261,261,261,261,261,244,244,244,244,244,244,244,244,244,244,244,244
11,261,103,291,432,347,418,418,406,406,108,145,145,333,333,49,49,49,244,244,244,244,244,244,329,223,223,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,261,261,261
12,15,412,196,259,735,285,259,259,259,259,259,259,159,319,319,367,23,23,23,318,139,139,139,139,139,143,143,143,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,87
13,15,68,68,123,394,290,196,327,308,308,308,285,285,285,333,333,333,51,51,189,189,189,87,87,87,87,87,87,87,87,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,87,87,87,87,87,87,87,87,87,87,87,87
14,347,347,15,162,191,273,378,378,378,264,115,115,115,337,139,139,264,264,251,251,251,251,251,251,251,251,251,115,115,115,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,273,203,277,311,311,311,677,691,703,677,677,19,385,385,225,53,53,53,329,329,329,329,273,203,203,203,203,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,53,207,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,140,245,245,734,760,760,613,733,733,390,390,273,273,335,335,80,80,80,80,80,80,80,80,80,80,80,78,78,78,78,78,78,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,86,86,86,86,86
18,28,231,626,517,517,517,517,517,178,178,569,583,91,91,91,91,91,91,91,91,91,91,257,257,257,257,257,257,257,148,148,148,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
19,368,231,231,533,322,322,721,721,43,43,250,250,95,174,174,40,40,40,40,40,95,95,95,6,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,261,231,231,149,149,149,149,149,149,737,737,737,60,60,309,309,309,367,367,367,367,79,6,6,6,6,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,368,273,368,455,433,433,433,433,172,465,465,465,465,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,261,368,195,195,195,346,346,382,760,65,560,365,365,365,787,618,618,315,315,315,315,266,266,266,266,236,236,506,506,506,506,506,506,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
23,261,368,774,507,507,507,507,309,435,435,435,437,437,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,80,80,108,644,205,205,656,353,353,353,591,591,591,591,658,658,78,78,78,78,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,80,80,303,303,303,303,303,303,303,303,303,303,303,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,245,80,794,794,794,794,794,318,23,23,23,23,23,101,101,147,147,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,347,213,387,354,354,354,301,641,12,12,102,378,256,641,641,641,339,339,339,339,339,339,339,339,339,79,79,79,79,79,339,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
28,368,323,741,490,490,490,417,600,600,600,785,132,60,562,390,632,632,364,364,364,364,364,396,361,361,361,361,22,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
29,231,28,197,736,736,736,597,597,216,216,429,429,409,409,190,190,195,195,312,182,182,182,323,364,364,364,364,35,35,364,364,364,364,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
30,245,111,245,639,639,719,556,556,556,526,526,526,672,672,245,245,245,245,274,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,53,245,319,747,297,297,297,297,297,338,26,404,220,220,88,24,334,334,334,334,334,208,208,208,208,0,231,231,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
32,53,245,388,509,574,499,245,106,106,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,245,321,321,402,286,356,356,356,794,593,593,715,715,673,194,194,194,194,248,248,248,248,248,248,248,248,194,194,48,211,211,211,211,211,211,211,211,211,211,48,48,128,128,48,48,48,48,48,48,48,48,48,794,794,794,794,794
34,261,285,321,575,321,321,321,321,321,321,321,647,647,508,362,177,177,177,177,177,177,177,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
35,53,321,321,168,760,760,760,660,660,518,518,518,518,508,508,508,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
36,347,270,586,47,47,641,206,205,205,0,0,224,224,224,224,224,237,237,237,379,379,379,379,379,379,379,379,379,379,379,379,379,379,184,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
37,368,107,275,289,379,652,652,790,232,232,232,119,119,119,119,119,119,119,119,119,119,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
38,245,288,763,13,150,150,96,96,96,186,367,367,367,367,367,313,313,313,313,313,313,734,734,734,734,734,734,734,313,114,114,114,114,114,114,114,114,114,114,114,114,114,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394
39,347,166,330,219,219,619,405,405,405,405,405,405,405,405,405,387,387,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,347,33,166,193,193,193,193,193,325,245,245,432,432,711,245,245,245,245,245,245,6,6,6,208,208,208,339,339,339,224,224,6,6,6,6,6,6,6,6,6,6,6,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
41,15,346,140,714,714,293,600,600,574,306,306,306,132,132,132,370,370,7,7,7,7,7,7,7,7,166,132,132,132,132,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
42,261,323,28,482,715,715,689,689,658,447,447,720,190,190,220,220,220,220,274,274,274,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
43,53,28,49,6,6,206,206,65,111,111,269,269,269,220,220,220,220,360,360,340,340,340,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
44,15,28,28,28,28,28,28,266,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,347,134,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,12,382,547,724,724,65,131,131,108,108,65,65,65,165,165,165,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
47,15,207,336,34,34,168,168,168,34,34,34,34,303,137,137,137,256,256,225,102,102,102,131,179,179,148,148,148,148,148,148,131,131,131,131,131,131,339,339,339,339,339,339,339,339,339,339,339,339,295,295,295,295,295,295,295,295
48,231,22,725,416,416,22,282,282,362,362,257,162,162,283,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,161,125,130,542,20,328,323,385,404,404,196,307,307,225,225,225,82,94,161,161,103,399,399,103,103,103,103,103,103,103,103,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
50,347,237,366,5,185,306,306,101,101,101,312,312,312,41,281,281,281,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,347,130,88,225,225,366,366,281,281,281,281,281,281,303,303,260,207,225,225,225,251,251,251,280,280,280,280,280,280,280,280,280,207,207,207,280,280,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
52,53,381,157,157,656,656,656,139,139,139,403,319,319,263,263,263,263,156,156,156,208,208,208,68,68,68,68,49,49,366,366,366,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
53,12,36,289,745,377,377,764,764,764,78,78,257,257,263,263,281,281,281,281,281,179,179,179,179,179,179,179,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,385,385,385,161,161,161,161,161,161,161,161,207
54,53,25,523,104,771,1,329,107,107,107,114,114,114,114,114,114,114,114,234,338,338,338,338,338,338,338,338,338,338,338,338,313,313,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
55,16,656,53,632,632,123,123,323,595,595,595,114,114,394,394,16,16,16,16,16,16,16,16,16,16,16,734,734,734,734,734,734,734,678,678,678,678,678,678,678,734,734,734,734,734,734,734,734,734,734,734,734,114,114,114,114,734
56,80,16,231,283,283,283,133,133,421,421,421,421,652,14,14,14,14,14,14,632,632,632,632,632,632,632,632,632,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,365,365,365,365,365,365,365,365,365,365,365,365,365,365
57,367,253,653,106,106,106,332,332,332,551,110,110,373,84,140,367,367,367,367,367,367,367,88,88,88,88,88,88,88,88,88,88,88,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
58,53,367,366,50,50,50,227,227,227,227,227,227,175,175,337,337,115,145,145,145,145,145,145,145,145,145,145,145,145,145,145,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,367,367,367,367,224,224,224,224,224,224,224
59,245,367,317,317,317,317,317,317,175,553,175,570,570,570,692,692,692,184,184,166,121,121,121,121,121,367,367,88,88,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
60,53,98,95,485,538,643,773,499,499,177,177,177,177,177,362,213,213,213,213,213,127,127,127,127,127,127,127,127,127,127,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,261,95,174,6,306,700,700,700,700,700,700,189,189,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,207,95,763,634,316,250,250,250,431,213,475,36,770,770,203,203,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,80,174,174,630,635,175,175,175,333,333,333,159,179,269,49,49,49,191,191,191,191,191,240,224,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,179,179,179,202,202,202,202,202
64,16,174,174,88,88,570,570,7,281,281,281,149,260,260,260,366,366,105,105,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,12,174,174,580,580,580,580,580,580,149,256,303,303,174,174,65,65,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,66,119,119,119,647,356,356,287,493,493,370,370,459,459,763,396,21,21,21,75,75,196,196,196,196,196,196,196,335,335,117,117,117,117,117,117,117,117,117,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
67,261,357,487,421,487,25,421,421,421,192,192,192,192,192,192,192,207,222,222,107,107,107,107,107,107,107,107,107,107,107,107,107,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
68,66,13,434,181,99,50,50,379,379,317,168,168,159,159,159,66,66,168,168,168,168,222,222,393,393,393,393,393,393,393,393,393,393,393,393,393,393,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
69,261,313,581,20,182,489,420,420,420,420,420,107,107,259,259,259,175,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,13,13,13,13,13,13,13,181,181,181,181,181,181,181,222,222,181,181,181,181
70,261,125,115,448,177,177,508,380,181,87,87,87,107,107,181,181,259,259,259,222,222,222,222,222,222,222,222,222,222,222,181,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,376,376,376,376
71,12,222,222,283,695,283,133,133,336,293,293,293,293,293,293,293,66,293,293,293,293,293,293,293,293,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
72,53,190,457,478,303,381,206,206,10,247,334,34,34,34,158,158,158,158,158,158,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,106,106,106,106,106,106
73,27,27,21,21,77,77,77,77,211,211,211,211,348,348,348,413,413,144,144,644,25,25,25,25,25,25,25,25,25,106,106,106,106,106,106,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
74,222,27,27,187,187,392,392,186,186,186,186,54,234,234,234,234,234,252,252,252,252,252,252,252,252,252,252,252,252,252,252,217,217,217,217,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
75,12,143,8,264,339,231,685,75,75,379,200,252,252,252,171,237,220,220,111,111,111,111,111,34,34,34,34,34,34,34,34,34,284,284,284,284,357,357,357,357,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
76,53,8,373,455,279,279,279,279,758,758,758,11,11,11,11,11,247,247,247,247,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
77,130,8,267,287,162,96,622,748,748,123,373,373,118,118,118,118,118,118,118,118,118,118,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
78,53,321,390,149,675,675,675,577,577,577,577,577,577,577,162,162,3,3,3,276,276,326,326,326,326,1,1,1,1,352,17,17,17,352,352,352,352,352,352,352,46,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
79,231,342,648,702,708,401,401,401,255,193,136,136,38,38,343,343,138,138,74,38,38,38,38,38,38,153,153,153,38,38,38,38,38,343,343,343,343,343,343,343,343,343,343,38,38,38,38,38,38,38,38,38,38,38,38,38,38
80,38,38,340,91,506,506,506,506,630,630,630,649,649,649,204,173,173,2,2,2,2,2,359,359,359,359,359,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,38,38,38,38,38,38,38,38,38,38,38
81,347,98,601,185,346,346,23,383,383,383,78,362,362,362,362,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
82,347,104,98,334,234,168,98,98,98,383,383,111,111,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
83,323,95,193,171,623,431,431,623,623,193,193,193,193,193,193,193,193,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
84,80,393,167,107,75,75,75,234,49,243,243,613,329,329,329,329,476,476,393,393,393,393,393,99,222,222,222,222,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,99,99,99,99,99,99,99,99,99,99,99,99,99
85,16,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,99,99,99,99,99
86,80,393,317,248,476,476,476,317,356,356,317,317,99,168,168,393,393,393,376,376,376,376,376,376,376,376,376,376,393,393,393,393,393,393,393,393,393,222,222,222,259,259,259,259,259,222,222,222,222,222,222,222,222,222,222,222,222
87,347,376,550,550,550,717,717,717,259,259,159,159,159,159,159,159,393,393,259,259,317,690,376,376,376,376,376,259,259,259,259,259,259,259,259,259,259,259,259,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
88,161,376,476,222,222,222,222,745,745,745,745,745,377,377,377,377,476,403,403,403,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,183,183,183,183,183,376,376,376,126,376,376,376,376,376,376,376,376,376,355,355,355
89,376,376,440,390,732,732,732,681,385,385,669,669,57,56,124,124,124,124,72,72,72,72,72,126,126,126,126,126,126,126,126,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
90,53,379,805,72,170,317,158,158,158,259,259,259,259,259,393,393,393,393,393,259,168,168,168,168,168,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
91,270,99,114,114,709,70,403,403,403,335,335,338,338,338,403,403,403,296,393,393,393,393,393,393,393,393,393,421,421,421,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,393,393,393,393,393
92,323,224,394,317,317,259,394,394,259,259,259,259,297,297,219,219,219,219,393,393,183,183,183,222,222,222,66,66,66,66,66,66,66,66,66,66,66,66,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,183,183,183,99
93,261,86,34,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
94,53,381,334,334,334,157,691,691,677,699,548,548,548,548,548,548,548,548,634,634,517,517,203,203,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,717,86,86,86,86,86,86,86
95,53,86,287,679,679,60,380,380,380,380,380,149,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
96,12,273,416,624,187,123,257,264,139,139,139,19,19,19,19,19,19,273,273,19,19,19,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
97,259,368,439,718,79,295,295,683,683,66,66,190,768,768,273,273,273,273,273,273,273,273,273,273,273,273,525,86,86,86,86,86,134,273,273,273,273,273,273,273,273,273,273,139,139,139,139,139,139,139,139,273,273,273,139,139,139
98,203,273,469,469,794,613,273,273,273,273,203,203,203,203,203,203,203,273,273,273,651,651,651,651,651,651,651,620,620,620,620,620,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,134,134,134,134
99,130,95,398,648,36,36,132,132,648,648,648,793,793,793,177,248,248,248,224,224,194,182,258,109,109,109,264,264,264,264,264,264,264,264,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
100,343,398,274,713,360,358,358,358,358,358,358,358,358,17,17,17,17,320,32,162,162,162,162,162,214,214,214,214,214,338,338,338,338,377,377,377,377,377,377,377,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
101,356,353,353,353,794,230,230,230,230,629,629,629,629,629,629,74,285,285,230,230,230,12,12,48,48,48,48,48,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,378,378,378,378,378,378,128,128,128,128,128,128
102,203,321,573,493,649,353,232,293,293,338,338,338,338,45,45,45,353,353,353,353,353,353,353,353,353,353,316,316,316,84,248,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
103,222,140,140,693,693,399,399,399,127,49,49,49,49,382,382,382,382,388,388,388,387,387,387,388,388,388,388,388,365,365,365,365,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
104,86,140,686,494,494,294,294,624,217,217,217,217,217,217,217,217,567,567,0,0,0,0,112,224,224,224,224,224,224,224,224,14,14,14,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,95,95,95,95,95,95,95
105,176,630,466,466,84,630,630,659,659,180,166,166,166,204,77,77,77,401,401,401,401,215,215,215,77,77,77,77,77,77,77,77,77,77,77,77,77,77,284,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
106,261,118,634,176,634,634,383,383,383,697,373,387,387,387,387,112,313,282,392,282,401,401,401,299,299,299,299,282,282,215,215,215,215,215,215,215,215,215,215,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
107,80,176,515,401,357,357,357,357,357,29,187,287,348,111,111,252,252,252,252,252,282,282,282,282,282,282,240,240,240,240,240,240,240,240,326,326,326,326,326,326,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
108,80,86,157,380,690,690,804,804,804,635,635,635,190,80,317,317,317,175,259,183,183,183,183,183,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,222,222,222,222,222,222,259,259,67,67
109,393,67,67,361,361,361,407,369,369,752,632,632,632,632,632,632,160,94,94,94,194,194,194,194,194,142,293,67,67,67,67,67,676,676,345,676,676,676,676,676,676,676,676,222,222,222,222,222,222,222,222,222,222,222,222,222,222
110,53,154,67,644,411,601,700,601,522,692,22,22,345,345,345,345,345,345,345,345,345,67,67,67,67,67,67,67,67,67,293,293,293,293,293,293,293,293,293,293,376,376,376,355,355,355,355,355,355,355,355,355,355,355,355,355,355
111,286,632,632,112,112,188,188,265,265,265,265,265,274,274,274,274,384,469,469,469,469,759,759,274,274,351,351,351,286,286,286,286,351,351,351,351,351,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,20,20,20,20
112,231,389,251,236,549,549,752,752,594,533,794,533,533,474,306,306,306,306,351,351,351,351,351,351,351,351,351,351,351,351,351,195,195,195,195,351,351,286,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
113,261,338,354,89,189,10,522,522,699,699,32,32,32,32,111,111,111,358,358,358,358,358,111,111,111,111,111,316,316,316,316,316,316,316,316,316,316,316,286,286,286,286,286,20,20,20,20,20,20,20,20,286,286,286,286,286,286
