ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62
11,256,447,85,163,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
12,751,45,483,2,777,777,2,2,2,617,174,174,54,2,2,54,54,2,258,54,357,258,2,258,357,59,54,71,71,22,71,54,71,54,54,22,71,54,71,258,71,71,137,137,54,71,54,137,54,54,137,71,54,54,54,54,54,54,71,137,71,137,137
13,324,55,746,137,296,137,137,228,407,14,407,407,407,54,407,407,137,407,54,800,54,54,14,137,137,212,296,275,296,143,296,54,296,275,137,14,158,54,143,137,443,101,253,730,195,54,54,54,137,54,152,435,152,435,358,358,619,158,435,14,435,578,152
14,410,838,289,107,231,202,202,202,281,48,421,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,467,781,382,54,54,402,54,54,258,54,274,54,54,54,54,54,54,54,54,54,54
15,124,90,360,332,234,300,300,300,300,300,300,235,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,365,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
16,99,161,35,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,846,300,300,300,300,300,300,300,300,300,300
17,220,35,425,333,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
18,710,779,388,388,351,253,126,5,126,126,126,382,126,382,382,382,382,382,126,338,126,337,338,382,303,337,338,338,382,338,337,382,382,382,382,337,338,338,303,382,382,337,337,337,337,425,337,337,337,303,337,337,303,303,338,337,337,337,338,338,337,337,337
19,639,190,40,333,333,333,333,333,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,322,272,272,272,272,272,272,272,272,272,272,272,272,272,272,109,272,272,272,272,272,272,272,272,272,272,272,272,272
20,864,608,425,85,95,272,272,272,272,272,272,272,683,272,272,272,272,272,272,272,272,272,272,82,82,272,272,272,272,382,67,407,105,272,272,272,272,272,407,382,670,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,130
21,208,867,63,428,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,50,324,324,324,324,324,339,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
22,119,341,169,696,210,5,324,435,752,180,435,435,324,435,324,405,353,405,752,58,240,375,752,648,175,326,435,324,14,437,375,221,220,240,552,414,405,21,677,840,814,137,324,324,214,271,165,282,240,443,324,710,435,710,286,442,588,21,542,58,85,575,70
23,75,303,804,430,430,430,430,390,121,782,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,595,324,324,324,324,324,324,324,324,324,324,324,324,324,39,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
24,210,668,216,430,63,61,430,430,430,67,61,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,57,430,430,430,430,430,430,430,137,430,296,430,125,137,125,430,57,125,57,72,72,137,430,748,430,358,125,72
25,526,369,419,114,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
26,181,668,318,354,291,215,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,186,430,430,430,430,430,430,430,430,430,430,654,430
27,405,760,306,306,306,306,306,306,306,306,306,306,306,306,306,774,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
28,74,365,23,244,74,306,306,306,306,620,306,306,306,306,306,306,244,306,306,306,306,306,188,306,306,306,71,306,311,306,306,386,306,306,306,306,306,306,124,306,306,306,86,397,70,306,306,306,306,306,415,306,386,306,306,306,306,377,306,386,306,306,306
29,427,784,349,48,405,751,185,37,77,77,852,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,422,185,185,185,185,185,185,185,185,185,185,185,185,235,185,185,235,185,431,185,431,235,185,185,185,234,234,185,234,234
30,430,256,671,385,98,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,709,166,166,166,166,166,166,166,166,166,396,418,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
31,84,835,372,45,98,45,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,415,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
32,234,704,861,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
33,393,810,286,150,286,359,335,335,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,841,72,72,72,72,72,72,72,72,72,72,72,72,72,72
34,305,838,352,73,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
35,124,463,804,152,117,127,117,117,117,72,796,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,275,72,72,72,72,72,72,72,72,72,72,72,72,840,72,72,72,72,72,72,72,72,72,72,72,72,72
36,356,277,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238
37,98,70,3,238,70,70,237,237,237,237,4,436,436,436,436,436,238,238,238,238,436,238,238,238,238,238,238,238,238,238,238,238,238,237,238,238,2,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238
38,846,743,277,238,238,237,238,238,150,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,670,303,238,238,238,415,238,238,238,238,626,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238
39,179,379,87,264,212,381,265,381,278,381,297,265,265,265,265,265,297,265,78,265,78,78,78,265,78,381,78,78,78,78,78,78,78,78,78,78,78,78,197,17,381,253,197,78,78,46,137,137,46,78,78,78,78,389,46,78,529,46,46,46,46,46,46
40,383,540,423,124,292,156,78,78,78,78,78,78,78,78,78,78,78,78,78,78,660,78,78,78,78,78,78,78,78,78,78,78,78,78,864,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
41,83,68,761,407,156,156,156,78,78,78,78,78,78,78,78,78,78,78,758,78,758,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,176,78,78,78,78,78,78,78,78,78,78,801,78,16,78,78,78,78,78,78,78,78,78,78
42,233,800,430,173,128,325,325,325,325,325,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,287,49,49,49,49,49
43,49,4,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
44,331,490,145,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
45,59,531,48,31,395,376,531,7,231,231,231,231,7,231,157,157,157,231,157,7,7,7,7,7,157,645,7,7,7,7,157,231,7,309,7,7,7,7,7,7,7,7,7,7,7,7,7,7,157,157,157,157,309,309,7,231,7,7,7,157,157,7,7
46,636,209,306,24,303,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
47,640,296,402,231,7,214,7,7,7,123,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,329,467,135,7,7,7,256,757,85,122,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
48,348,291,112,166,204,84,99,147,147,147,147,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,626,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,255,313,313
49,129,624,188,203,42,42,47,47,47,2,406,406,180,244,487,378,378,378,378,313,313,313,47,68,378,542,313,313,68,378,378,378,378,65,313,68,68,313,47,313,313,65,313,313,313,313,65,378,65,313,378,65,313,497,313,313,65,65,313,65,551,313,396
50,223,860,666,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,753,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,812,51
51,737,732,339,167,172,172,243,37,793,793,308,793,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308
52,335,28,219,300,310,377,298,377,65,65,65,308,308,308,65,308,308,192,308,308,308,308,308,308,308,239,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,814,308,308,308,308,308,308,308,308,308,308,308,308,308
53,508,764,215,698,344,156,110,42,172,172,172,414,427,414,414,414,308,422,308,804,308,308,414,39,308,308,150,308,308,39,308,308,308,308,150,308,308,308,308,555,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,525,769,539,308,308,308,308,308
54,540,847,36,21,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
55,462,393,578,332,21,21,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
56,637,448,681,414,679,679,679,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,482,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
57,71,746,73,125,237,237,392,435,111,57,392,117,117,117,117,392,117,234,377,774,117,392,111,219,392,410,392,377,219,253,392,219,219,111,194,125,413,405,55,392,111,323,125,384,125,392,125,125,125,98,125,377,377,392,125,253,253,253,377,392,377,413,125
58,94,369,390,382,348,348,348,402,258,258,258,405,258,258,258,258,258,258,258,258,405,258,258,258,258,402,258,402,402,258,402,258,258,258,402,281,258,281,281,281,336,141,281,258,258,71,258,258,258,281,258,281,281,71,281,258,258,258,258,281,435,141,141
59,556,671,380,240,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
60,792,854,197,310,76,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,254,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
61,666,373,185,344,749,241,415,82,283,283,446,116,391,266,116,698,116,116,415,406,391,202,814,814,698,406,415,415,415,415,415,415,415,489,293,415,138,184,415,415,293,415,576,415,293,415,415,415,415,406,415,415,415,415,415,415,415,415,415,415,415,415,415
62,743,405,344,698,209,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
63,717,308,402,431,165,354,381,356,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
64,383,523,33,287,158,141,363,358,148,428,34,358,34,148,148,148,148,148,148,34,34,148,68,34,2,148,374,148,148,148,148,148,287,148,148,78,148,78,148,148,91,148,78,148,148,148,148,148,148,148,148,148,148,148,148,148,374,148,374,148,374,148,148
65,745,331,280,190,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
66,673,455,351,269,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
67,309,16,275,79,79,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,86,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
68,172,840,856,97,179,179,179,179,179,179,179,179,179,179,179,179,179,306,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
69,326,57,392,297,377,377,297,137,265,377,297,377,377,297,377,208,377,26,297,377,297,377,326,297,297,350,377,125,377,377,297,297,377,377,377,377,377,297,297,377,297,203,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
70,350,571,406,127,134,377,377,377,377,377,377,377,377,377,377,377,377,70,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,26,377,377,377,377,377,377,377,377,275,377,377,377,377,377,377,377,377,377,377,377,377
71,445,845,377,55,297,377,377,127,696,377,377,377,377,377,377,377,265,581,377,377,377,377,326,377,377,90,377,208,210,377,377,377,377,377,377,377,377,377,377,377,548,377,841,317,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
72,579,493,331,415,415,5,5,5,47,15,5,277,415,277,277,277,277,277,277,415,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,15,277,348,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,209,277,171,277,277,209,277
73,212,581,238,429,47,47,429,429,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,844,277,277,277,277,319,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,310,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277
74,119,472,195,100,277,195,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,81,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,94,689,76,277,112,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277
75,281,488,358,216,137,309,137,137,137,41,137,41,137,137,41,41,41,41,41,41,41,41,41,87,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
76,354,824,252,344,178,217,359,359,359,359,217,359,359,217,359,359,359,217,359,217,217,359,217,359,217,359,359,359,359,359,359,359,359,359,359,359,359,359,249,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,287,280,359,359,359,359,359,359,359
77,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,596,359,503,797,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,369,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
78,398,401,228,338,122,252,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,673,31
79,299,128,143,106,231,199,199,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,119,31,31,31,31,31,31,31,31,31,421,31,31,31,31,31,31,31,31,31,119,31,119,31
80,7,302,498,232,578,37,578,175,175,677,175,82,31,31,31,15,31,210,19,210,31,58,725,365,757,31,31,31,31,175,21,31,599,241,273,732,244,365,98,378,795,146,35,282,146,282,282,713,282,752,282,282,793,282,31,793,282,282,282,282,282,282,578
81,460,42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
82,288,102,120,344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,378,4,4,4,4,4,4,4,4
83,92,523,4,167,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
84,594,82,130,361,170,358,285,170,285,131,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,190,285,63,622,285,285,285,285,285,285,285,285,285
85,102,421,202,202,202,83,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,383,383,383,285,285,285,285,285,285,285,285,285,285
86,26,113,135,77,202,77,77,77,222,77,222,222,222,39,273,322,240,285,273,39,285,285,285,285,285,285,285,285,285,285,285,285,87,285,309,285,285,285,285,285,285,285,285,41,285,285,41,273,273,285,41,273,41,374,273,374,273,374,374,223,273,273,357
87,83,278,197,197,210,278,387,214,210,261,261,261,261,261,261,261,261,423,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,87,261,261,261,261,261,261,261,646,261,261,654,659,261,261,261,261,261,261,261,261,261
88,261,478,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,260,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
89,182,316,74,369,378,261,261,261,261,261,261,261,261,261,261,261,261,282,261,261,261,261,261,767,261,261,261,261,261,261,601,45,418,261,261,261,110,261,128,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
90,774,299,217,256,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,412,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,76,370,370,370,370,370,370,370,370,370,370,370,370
91,748,296,394,394,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
92,669,112,237,237,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,830,370,370,370,370,370,370,370,370,370,370
93,282,529,359,175,237,237,226,226,226,37,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,367,367,217,86,217,217,217,217,217
94,401,137,240,420,11,359,11,221,359,42,359,359,359,359,217,217,217,359,217,8,217,217,359,217,217,311,217,217,217,359,359,217,217,217,359,217,217,217,337,391,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
95,167,245,232,32,436,217,217,217,217,217,217,217,45,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,387,217,217,217,217,217,217,217,217,217,217,217
96,584,721,212,345,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,475,709,212,212,212,212,212,212,96,854,813,212,212,820,212,212
97,304,871,87,212,212,212,212,212,280,297,212,297,212,297,297,212,297,297,297,297,297,297,297,137,212,297,297,212,297,137,297,297,137,137,297,297,137,137,297,297,297,297,87,297,127,137,297,137,137,576,814,137,297,137,297,137,297,137,137,297,297,488,297
98,321,697,196,746,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,126,212,212,212,212,212,212,212,212,212,212,212,212,212,323,212,212,212,548,135,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
99,22,533,116,139,169,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
100,165,356,356,199,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,508,139,139,139,139,139,139,139,139,139,139
101,408,668,114,359,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,404,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,713,713,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
102,466,58,148,351,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,373,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
