ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33
55,59,20,849,379,169,218,246,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
56,59,19,442,59,229,217,176,191,218,218,430,229,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,314,218,218,314,218
57,433,229,297,435,302,302,219,302,117,117,230,117,111,230,111,117,392,302,111,111,117,297,152,137,274,374,302,328,328,297,152,152,328,328
58,59,402,185,231,348,141,141,141,141,402,121,141,258,410,199,410,68,410,258,410,410,402,410,410,410,257,410,410,406,410,410,152,406,837
59,59,345,748,288,64,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
60,59,415,721,51,101,411,411,411,411,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
61,59,8,526,55,196,415,323,323,196,391,344,344,391,349,344,221,698,391,277,188,698,415,181,344,64,283,415,209,698,391,698,391,698,221
62,59,290,246,11,250,415,698,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,112,415,415,415,415,415,415,415,196
63,59,219,5,290,361,361,68,252,68,383,130,58,351,381,381,148,148,148,148,148,148,148,381,148,148,381,148,148,148,148,148,148,148,148
64,86,10,823,59,122,355,26,71,26,122,148,71,355,351,58,223,58,148,130,71,71,351,148,71,356,148,71,148,223,148,71,148,148,148
65,59,165,425,383,402,351,148,235,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
66,162,58,253,523,650,25,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
67,103,555,447,78,79,79,79,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
68,59,187,197,93,110,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
69,377,87,55,75,297,377,297,297,297,297,297,297,297,297,297,297,297,297,297,377,377,377,297,377,377,377,377,377,377,377,377,377,377,377
70,144,305,280,65,77,323,400,400,400,400,406,400,323,377,377,323,99,99,377,377,377,377,99,99,377,377,377,323,377,377,323,377,377,377
71,435,125,125,377,297,377,26,26,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,101,377,377,377,377,377,377,377
72,59,277,118,42,203,15,378,15,415,15,15,15,250,277,250,195,277,344,277,277,277,277,277,415,681,698,15,5,15,277,15,277,277,277
73,99,321,679,9,329,47,47,277,76,88,277,184,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277
74,105,664,465,133,268,65,418,378,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277
75,59,97,116,19,423,79,79,17,19,273,287,17,407,137,137,137,156,423,17,156,294,156,156,294,156,156,156,41,240,156,156,41,41,41
76,59,519,850,55,123,319,359,156,14,127,145,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,160,359,359,359,296
77,59,368,554,402,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
78,59,358,667,55,240,422,422,19,422,303,303,422,264,31,150,31,31,31,31,31,264,31,31,264,264,31,31,264,31,264,31,31,264,31
79,588,690,34,244,401,401,173,82,82,94,82,31,74,31,31,431,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
80,59,377,217,82,326,48,82,82,578,305,94,578,752,31,31,31,752,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
81,59,4,240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
82,59,567,102,406,406,4,267,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
83,59,494,98,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
84,59,514,356,358,187,190,190,107,135,252,202,252,50,358,50,202,285,263,202,285,285,174,285,228,285,285,285,66,285,285,135,228,67,424
85,59,515,86,398,247,263,253,253,390,361,336,174,202,285,285,263,285,32,285,285,285,285,285,239,285,285,285,157,285,285,285,32,87,87
86,59,356,250,281,63,262,31,41,304,335,280,349,309,349,309,309,309,263,349,309,285,285,285,263,263,87,263,222,285,285,87,285,285,87
87,292,576,278,127,134,229,134,76,210,229,77,229,433,531,433,433,261,261,261,261,261,261,246,293,261,433,433,433,261,261,261,261,39,261
88,121,261,714,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
89,162,436,385,290,155,261,289,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
90,867,27,296,325,370,144,370,370,370,370,370,370,370,370,370,370,370,370,369,370,413,370,370,370,370,370,370,370,370,370,370,370,370,370
91,650,801,309,204,370,145,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
92,59,237,413,237,237,237,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
93,59,337,9,106,237,260,237,237,237,150,237,217,155,217,12,62,205,217,217,217,217,217,62,37,217,217,217,217,217,217,217,217,217,217
94,597,501,31,504,8,123,662,395,175,82,637,637,93,87,31,296,296,296,296,296,256,256,256,156,256,217,217,741,217,217,217,217,217,217
95,59,405,399,77,211,185,246,175,175,246,246,178,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,226,217,217,217,217,217
96,59,234,327,212,212,212,88,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
97,59,179,400,384,426,202,203,496,294,751,156,297,294,297,294,294,297,297,212,297,297,297,297,149,297,212,212,212,297,379,137,297,212,538
98,193,614,318,101,664,101,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
99,59,430,8,169,139,178,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
100,59,316,375,139,197,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
101,139,369,517,139,139,300,169,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
102,59,642,7,35,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
103,358,653,292,25,319,58,25,25,58,324,400,295,324,156,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
104,59,118,119,258,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
105,99,22,204,338,253,338,338,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
106,59,5,209,5,260,275,338,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
107,59,277,497,310,212,212,212,5,5,212,5,5,344,12,5,5,5,5,429,344,5,5,429,5,5,212,5,5,5,429,5,5,68,5
108,207,216,455,207,294,50,50,228,50,50,50,50,50,50,50,50,228,156,50,50,50,50,50,87,50,87,87,50,50,87,50,87,349,54
109,50,777,636,687,809,203,50,80,50,50,50,50,50,50,50,50,50,294,50,156,50,50,50,50,50,50,50,50,50,50,50,50,50,50
110,59,201,216,239,272,83,187,17,263,361,252,216,285,50,285,50,309,138,138,50,138,138,50,87,309,319,426,50,50,138,50,138,50,240
111,59,404,550,102,102,108,334,102,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
112,59,721,111,296,298,342,342,117,117,298,417,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
113,162,842,722,318,73,298,334,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
114,59,12,32,405,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
115,59,279,681,237,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
116,59,284,780,664,502,344,317,284,407,284,412,220,634,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
117,162,49,250,334,57,402,306,350,70,326,326,296,113,804,62,548,548,548,751,548,2,43,43,38,292,250,62,326,378,391,448,74,448,297
118,59,318,677,119,64,42,309,295,102,437,437,437,437,739,251,437,13,13,437,13,13,13,13,13,13,13,13,13,437,13,13,13,13,13
119,59,345,279,268,188,609,309,102,309,102,273,13,132,358,7,132,13,13,13,13,13,13,13,13,13,13,13,13,153,13,13,13,13,13
120,59,812,101,32,260,369,394,369,369,369,369,369,369,369,369,369,144,11,86,86,86,261,39,202,37,243,243,249,86,369,369,251,251,394
121,59,251,372,347,43,290,286,251,242,251,335,251,251,161,251,251,255,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251
122,59,315,818,869,43,370,144,242,242,242,286,251,40,40,40,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251
123,59,44,35,329,365,2,390,64,64,338,7,135,165,303,303,423,157,309,258,68,390,157,174,175,309,157,157,157,157,157,157,157,157,157
124,597,179,525,26,202,202,156,156,156,309,188,309,309,309,309,309,309,157,157,309,157,309,309,157,157,157,157,157,202,157,157,157,157,157
125,59,127,348,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157
126,59,817,401,350,296,54,282,48,282,402,402,402,402,402,71,148,58,71,71,71,371,223,223,223,223,223,223,223,223,223,223,223,223,223
127,59,275,299,296,421,143,223,309,223,165,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
128,36,760,640,624,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
129,59,240,427,375,286,375,235,160,134,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
130,59,163,701,350,156,85,85,234,150,150,234,422,150,150,150,359,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
131,59,847,828,425,190,359,383,383,150,150,150,150,150,214,150,150,150,150,150,150,286,286,150,150,150,150,150,150,150,150,150,150,150,150
132,59,363,275,231,231,423,231,231,422,231,24,169,169,26,169,169,275,3,275,275,275,7,169,275,435,198,275,169,235,169,143,143,282,290
133,383,384,250,378,200,90,98,98,21,98,140,256,98,335,227,98,433,84,119,433,119,42,119,178,119,98,119,289,84,98,289,206,40,42
134,175,863,433,339,339,166,347,92,546,546,214,720,230,166,166,39,39,166,39,166,166,119,39,166,166,166,289,289,166,289,166,166,166,289
135,59,699,416,416,717,427,427,427,21,427,427,427,427,427,427,423,427,427,427,113,427,427,427,307,256,427,427,256,353,353,807,427,353,427
136,162,601,377,57,243,526,416,796,344,796,43,796,796,845,796,796,822,628,628,321,628,294,113,294,294,392,651,294,243,570,651,664,437,134
137,59,443,687,152,21,221,21,2,21,375,21,375,21,221,21,21,752,219,752,752,752,752,208,12,752,21,353,208,21,353,411,427,21,21
138,59,739,110,397,332,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
139,59,306,267,45,325,325,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
140,59,223,543,182,182,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
141,59,18,727,344,262,345,53,53,328,53,88,88,88,53,313,53,53,53,313,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
142,59,70,316,135,323,109,53,379,109,53,300,197,383,140,140,53,140,53,53,53,53,53,140,53,53,748,140,53,53,53,180,53,197,50
143,99,210,172,32,429,243,376,300,109,95,109,313,313,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
144,647,645,173,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
145,59,278,659,814,269,423,93,371,371,435,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
146,59,31,211,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
147,59,71,27,278,505,338,422,179,179,338,179,79,78,25,203,203,25,25,264,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
148,59,374,48,336,137,265,407,134,134,261,261,261,261,261,782,25,261,25,436,25,261,25,25,25,25,436,237,436,25,25,25,25,25,436
149,59,812,590,764,540,611,666,744,798,798,536,696,798,555,869,685,869,192,555,628,439,874,471,628,308,874,802,804,463,439,543,308,874,874
150,59,227,6,437,204,6,204,400,204,418,206,250,250,250,250,250,250,250,349,415,250,195,415,415,415,250,5,415,415,5,212,1,328,5
151,59,7,577,268,268,411,268,268,268,268,268,254,112,112,112,411,254,254,254,254,112,254,227,254,254,227,227,353,227,227,197,9,353,353
152,162,227,787,411,206,140,438,96,396,329,47,47,195,195,195,195,195,195,195,195,277,277,195,277,140,277,195,140,140,317,227,140,277,277
153,59,279,411,53,399,381,279,375,262,865,290,279,279,279,279,279,279,290,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,38
154,515,641,693,181,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
155,59,699,39,40,279,378,279,378,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
156,59,435,514,271,64,91,91,262,235,382,68,64,51,51,37,253,37,381,37,381,147,381,381,381,381,381,381,381,381,381,381,381,381,381
157,59,604,684,165,190,383,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
158,59,754,557,61,375,381,381,139,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,353,381,381,381,381
159,99,531,322,279,393,332,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
160,59,372,385,4,213,279,279,279,279,378,279,378,378,378,279,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
161,59,812,233,184,184,378,279,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
162,59,563,572,176,39,46,57,429,386,120,386,386,386,429,386,386,386,344,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386
163,59,519,319,57,109,268,127,74,74,306,137,306,306,302,306,306,306,306,306,306,306,254,696,306,696,416,696,328,416,416,87,111,306,101
164,59,411,327,792,196,386,196,120,386,120,120,386,120,120,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386
165,59,54,418,15,344,224,380,172,647,231,172,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
166,59,16,106,3,305,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
167,59,253,613,384,199,199,113,127,113,67,229,275,275,229,229,143,271,27,27,27,27,27,421,27,27,83,143,83,27,421,66,83,83,83
168,374,237,594,77,67,256,256,256,434,256,281,400,282,374,351,374,405,374,374,374,374,169,434,374,374,374,374,374,374,405,374,374,374,374
169,59,87,318,401,395,374,127,311,129,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374
170,59,231,484,194,373,374,374,374,374,279,374,374,374,374,377,377,90,377,374,374,221,377,377,323,374,374,374,374,374,374,374,374,374,374
171,350,272,470,107,399,273,299,436,305,436,436,436,7,7,7,7,7,286,734,7,7,7,403,403,734,403,606,734,126,126,403,126,126,203
172,59,33,474,143,143,198,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
173,143,203,154,428,137,143,137,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
174,162,444,331,247,402,229,229,229,199,292,229,229,199,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,553,229
175,229,94,428,258,103,31,229,219,31,94,804,74,804,274,274,374,448,297,74,74,379,379,448,349,379,26,156,379,793,52,208,286,257,244
176,59,838,620,86,64,24,135,423,423,252,135,423,423,135,135,135,135,363,231,231,423,311,32,275,339,294,239,401,294,31,31,231,272,32
177,59,101,573,78,727,493,605,101,666,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
178,59,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
179,59,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
180,59,611,316,393,215,200,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
181,59,223,240,40,43,8,8,40,315,315,315,372,89,40,372,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
182,59,236,855,267,168,106,106,106,106,106,106,163,106,401,812,315,315,106,315,315,315,315,315,315,325,315,812,315,315,315,315,373,315,315
183,59,317,18,754,731,411,411,317,787,584,787,30,787,310,688,411,329,329,310,310,310,195,310,420,584,345,310,195,411,195,310,345,411,345
184,59,51,42,11,406,344,406,344,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
185,338,702,0,418,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
186,59,379,37,90,360,255,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
187,637,421,137,82,415,212,383,210,234,65,214,169,99,179,179,169,434,179,198,385,198,179,234,179,234,169,179,198,198,198,65,198,179,402
188,59,212,461,250,139,181,250,250,353,330,330,139,330,250,61,250,61,250,61,234,200,234,234,234,306,234,234,234,234,234,234,234,234,234
189,59,858,287,22,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
190,59,759,72,22,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
191,59,863,243,144,368,368,368,368,368,368,368,368,368,368,216,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
192,455,103,34,79,17,66,174,174,336,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,390,174,542,174,823
193,59,619,198,303,357,309,309,357,357,309,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,423,174,174,174,174
