ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6
53,4199,4760,3759,1238,2531,447,2629
54,1849,1882,23,355,401,295,2166
55,1849,2848,23,500,401,295,2600
56,1849,6548,23,500,2733,3368,1400
57,3073,4272,1250,1529,1420,2054,557
58,1849,6186,23,2675,2836,956,3493
59,1849,1882,1399,2319,997,1571,1925
60,6602,6049,597,3372,1881,3069,5732
61,5391,6548,1629,2981,1816,1571,557
62,3556,4931,4910,2895,935,690,1176
63,1849,1882,1399,1317,2928,692,3493
64,6172,6186,1734,2675,2836,2732,367
65,3971,4931,2118,1094,2578,2464,3298
66,6172,2468,103,437,139,3353,3006
67,6172,6186,2831,437,2859,238,2325
68,6172,2468,94,437,139,1809,324
69,1849,1949,1351,172,5005,2322,155
70,6852,3354,4687,1984,2175,257,155
71,3727,4272,1351,172,2747,2322,2927
72,6602,4864,3476,509,178,2101,2784
73,4843,6408,2290,35,1992,1912,3191
74,1849,2708,5434,3372,20,1912,2784
75,6172,6186,2186,227,2189,1901,2378
76,1849,422,5659,1529,178,1478,339
77,3971,2894,532,1498,2740,2946,90
78,1849,6186,486,661,132,360,2779
79,1849,2468,23,1174,2525,5440,982
80,1173,4681,6103,172,178,2119,2702
81,1771,3783,3516,698,2900,3215,574
82,1849,2708,3131,1033,480,1015,574
83,1849,1882,23,355,3465,2054,3122
84,1849,2468,2237,148,2734,1146,1681
85,1849,2468,23,227,3121,74,74
86,1849,2468,3112,1529,312,1729,2087
87,6172,6186,3791,774,3509,3509,790
88,6602,6681,597,1011,1594,2103,778
89,1849,2848,371,2362,20,2103,1030
90,1849,2468,23,3300,2735,5320,3510
91,6172,2468,6060,1011,2234,238,1161
92,3556,6011,2118,1011,2234,2671,3216
93,1849,2468,23,2709,2214,2214,2302
94,6172,2468,5875,6730,178,2185,3300
95,6602,1882,597,1047,2579,2568,1409
96,170,609,5434,2682,1626,2883,6300
97,1849,6186,6743,2944,835,1809,1563
98,6373,4118,5434,2747,1626,5818,1815
99,6172,4931,2646,3526,3233,1052,1052
100,6602,1882,597,148,1613,295,1613
101,1629,2708,2646,24,1613,1052,2302
102,1849,1882,23,698,1382,1309,1681
103,3073,2742,3791,2656,2777,257,2217
104,1849,6951,3516,698,2257,932,478
105,1849,1882,2237,2910,2859,736,2196
106,4331,5214,1586,626,2859,2260,215
107,6602,5695,5538,35,1626,2019,3094
108,1849,2468,6950,1190,923,1386,3057
109,1849,2468,6830,1190,835,1386,1452
110,5391,6548,723,148,1400,3429,2227
111,6602,6288,1296,1174,2735,2685,1084
112,1849,1596,597,148,2284,2708,2949
113,6602,422,918,1529,1529,1763,37
114,3971,4343,5290,5220,2175,1320,2725
115,3556,4931,1111,1213,632,366,2725
116,3274,4343,5862,98,3025,5138,2927
117,6905,4118,6103,172,7019,2831,2058
118,5391,6548,5121,698,2049,360,2627
119,3971,2894,2210,660,1888,1969,2201
120,3971,4343,5290,3259,2338,2395,2629
121,1849,1882,838,2856,1354,2782,2782
122,5391,4118,2118,1011,2234,2470,2234
123,3556,4760,3967,227,2836,1610,241
124,6172,6186,2646,148,437,1610,1933
125,6172,1882,3545,227,2338,333,90
126,1849,2468,23,1147,2900,2621,2136
127,6172,6548,23,227,2836,894,3493
128,1849,6886,23,2341,1147,681,59
129,3556,2430,371,1317,2391,33,1674
130,1849,1882,1410,1094,3017,894,1016
131,337,4118,532,1174,2740,1605,1489
132,6172,6186,2831,1966,389,389,518
133,1849,267,4824,1011,1370,3995,790
134,1849,609,3741,1011,3177,4563,1579
135,4199,2894,4063,172,5507,1655,2705
136,1849,6548,3818,1939,480,2402,557
137,1173,6165,2831,4081,480,4024,1939
138,337,4760,3511,337,1245,2999,1510
139,337,4778,2831,1174,1370,2242,3507
140,1849,6548,23,2362,1992,1595,339
141,6602,5214,597,3167,3426,1185,5408
142,3971,6548,5269,2361,132,894,1489
143,4199,4760,1675,433,312,1303,986
144,6172,6186,23,661,1966,2299,372
145,3073,2742,2831,1966,99,2074,350
146,6172,6186,23,2198,1966,644,1633
147,1849,6186,4687,5344,437,2176,3359
148,1849,3391,3791,173,1816,257,1922
149,1849,609,3545,3272,5265,3573,2827
150,3556,4931,1487,3259,1594,653,2337
151,3556,1455,1869,715,511,3368,557
152,1771,782,4680,2682,1992,1718,184
153,1771,782,629,715,2259,2544,2551
154,6172,4931,23,2655,2214,996,996
155,6602,3242,597,355,540,1863,2626
156,3556,4931,2865,1966,1816,1142,2827
157,3556,1882,6413,1317,2377,30,2827
158,1849,1882,1422,1321,1613,1052,1052
159,1849,1882,2362,1011,2198,2198,3384
160,1849,1882,715,2362,2259,820,820
161,3556,1882,838,3216,540,1950,3384
162,3556,1455,3131,279,1555,6527,3374
163,1849,4931,5434,1529,1529,2872,557
164,6602,4881,36,279,2045,2818,25
165,1849,3288,597,3402,1594,142,1831
166,3201,1438,2730,2804,6707,4082,2105
167,6905,6186,23,172,1364,2831,2648
168,3073,4272,6103,4081,2928,3130,2827
169,3073,362,6103,5992,965,1507,3346
170,1771,782,2865,172,1484,2054,837
171,6172,6548,5659,646,132,1298,2095
172,1849,3354,371,2675,2859,2093,3398
173,6172,2742,3297,1658,124,2843,1146
174,1849,1882,3545,170,2092,3891,2515
175,3073,2742,636,1226,3231,2181,777
176,1849,2468,4330,1845,5440,3263,2700
177,1771,782,4169,1314,5233,4024,4192
178,1849,1882,2290,1011,1816,2681,2059
179,1849,1882,2290,1011,1816,2681,2059
180,1849,4931,2362,24,1944,2880,1795
181,5391,4931,3545,24,2275,6163,3516
182,1849,3288,5659,3300,99,2126,2989
183,170,3783,4169,2720,1594,142,1530
184,3556,4931,3723,1321,355,1303,3390
185,1849,609,1422,2720,1884,820,1489
186,1849,6548,2660,1529,751,2856,2054
187,1849,4272,2844,172,20,2054,1489
188,6602,4760,3516,1058,2485,1198,1371
189,1849,1438,23,3300,3280,1505,1505
190,1849,1438,576,355,3280,1505,2725
191,1849,2430,597,1047,198,3098,4922
192,1849,4626,2882,5569,310,3124,2409
193,1849,2468,2450,3413,2257,932,1400
194,1849,6186,1734,148,3121,1146,1146
195,1849,1882,597,33,3017,1112,1400
196,3971,4118,2118,698,1752,692,1829
197,1849,1882,4330,2677,2928,692,2060
198,3073,2742,2831,642,20,2208,1489
199,1849,6548,1734,148,2836,2208,606
200,1173,2096,2844,172,3489,2747,6661
201,1849,1882,5434,796,1816,1371,1371
202,1849,782,1528,1174,2270,3521,1425
203,6602,5214,597,1529,1969,5423,2984
204,1771,782,5434,1821,1510,1368,3289
205,170,4931,3511,1821,1510,575,1818
206,3556,609,3483,2682,355,1451,2166
207,1849,5758,4570,1006,5254,360,3434
208,6602,4864,6757,2328,1501,2631,1633
209,1849,4931,3545,631,413,2101,520
210,3971,6548,703,437,2338,2318,2369
211,3556,4931,533,170,2338,1715,3152
212,1849,2468,518,1433,2338,238,2374
213,3556,1438,1586,5857,1076,1103,1103
214,3971,4118,2831,6156,413,1837,2068
215,1849,1882,2807,2856,1270,238,1633
216,1849,6548,5659,718,547,1610,2933
217,1771,2894,2865,698,1896,1571,767
218,6172,4778,23,1850,2974,2974,1750
219,6172,6186,2852,141,1403,1031,2969
220,6172,2468,1201,4801,2859,238,673
221,6172,6186,3484,2344,2853,4057,673
222,3073,2742,3791,2372,151,1789,1460
223,1173,5291,6103,301,7019,628,1563
224,3073,2742,4687,301,2974,2974,3009
225,1849,4403,5434,2002,178,2063,2663
226,6602,4864,3374,35,885,5413,5413
227,1849,2468,6743,2131,480,1343,3528
228,6172,6186,3297,1658,3518,2025,2025
229,1849,6951,4046,2804,3025,92,1239
230,5391,4118,3297,1732,3518,1320,1239
231,3971,782,2129,3526,2696,339,2600
232,5391,4931,524,148,1881,1918,1176
233,6172,6548,23,3526,750,2242,550
234,3556,4931,3483,1821,5126,1832,1832
235,1849,609,5457,2944,3343,1564,4434
236,1849,2468,5862,3372,355,331,5434
237,3556,4931,597,1047,1521,1303,1988
238,6602,727,2660,1047,2188,1345,2166
239,5391,4546,576,2603,750,2188,2170
240,1849,740,1422,24,1728,6312,1727
241,6602,609,873,24,1728,360,1255
242,3556,1882,597,24,1728,2134,5660
243,4758,4118,6336,1939,480,208,2136
244,4199,5580,23,172,3300,543,392
245,1849,2742,3791,87,437,1389,2581
246,6172,2468,6830,4742,1944,6770,4194
247,3971,4699,2118,5220,2036,6515,1579
248,1629,1970,2118,5569,3233,4448,1579
249,3556,1882,2362,337,1245,1595,184
250,5068,4118,6103,172,2747,2828,1057
251,3556,1438,371,5220,355,1595,152
252,3556,4931,1054,3077,835,2577,2388
253,3971,3783,4680,3259,3177,1595,678
254,6602,5214,597,4293,2284,4909,1409
255,1849,4118,6103,613,1816,681,455
256,1771,2981,3516,698,1896,2836,3122
257,1849,6951,4046,5220,1128,4338,1171
258,3556,4931,3511,1821,413,2019,3473
259,1173,4903,2290,3330,20,820,820
260,1771,3783,4298,6309,1227,736,2676
261,1849,1882,3545,2907,222,820,2626
262,1849,1438,3292,5220,355,3438,1489
263,1849,2848,23,1011,480,894,420
264,1849,2848,567,2846,1529,1753,1813
265,6172,2468,645,2131,2257,1763,884
266,1849,1455,379,1529,1420,1969,1520
267,6172,2468,23,4078,2859,2101,1489
268,3556,3809,23,1433,2859,1433,1629
269,6172,6186,3484,5220,4130,6622,2620
270,3971,4118,2118,3218,2120,1837,1211
271,6602,4760,715,1972,3959,4563,1016
272,6602,4864,6096,6337,20,721,5256
273,3971,4343,2737,718,2134,2134,3106
274,1849,1882,4559,355,2134,997,150
275,1849,782,3188,163,2058,855,855
276,3556,4931,23,2675,1400,1908,285
277,3556,4931,2118,2560,3054,74,285
278,1849,745,2641,2675,3207,681,1431
279,3971,782,5434,4218,586,3807,516
280,3971,2894,5434,4218,1687,3807,516
281,3971,2894,6336,1966,1451,4024,6039
282,1849,6093,597,2723,540,1478,355
283,1315,3168,2831,1011,1172,2464,1489
284,4866,4778,5121,937,937,2216,283
285,1849,2468,103,250,139,692,1228
286,1849,2468,771,250,2338,2930,2223
287,6172,6186,4687,5066,4752,257,2223
288,4843,6256,1296,172,31,3430,652
289,1849,2981,1111,172,480,3186,1090
290,6852,5214,1586,543,2575,5423,1645
291,6172,6186,5539,6447,494,3429,1439
292,4758,4229,6103,1686,6844,257,1439
293,1849,1882,6830,1252,1252,1091,1212
294,6602,1596,597,1015,1076,6635,1276
295,3971,4760,5290,1011,3167,2093,1835
296,3556,3288,5206,2760,1594,2101,3187
297,6602,3288,5659,2542,225,1267,2223
298,1849,1882,3545,3218,6394,4082,3024
299,6172,6548,6336,2944,132,2101,5908
300,3556,6548,703,48,1223,1000,3024
301,1849,1882,680,1433,2859,238,1629
302,3556,1438,2237,2675,1354,894,2068
303,1849,1438,3484,720,1022,2463,1803
304,1849,6951,23,2319,795,238,797
305,1849,4931,518,227,2740,2412,2412
306,3556,4931,6724,2907,109,3264,218
307,5391,4931,2237,2542,2433,442,3001
308,6602,4931,4120,1068,99,1068,1579
309,6172,2468,3097,2422,2859,1211,1211
310,6172,2468,6830,3073,833,2828,2281
311,1849,2468,23,2264,2859,94,1999
312,3556,4760,3511,2682,1728,1368,3228
313,1771,782,3511,229,1245,1595,95
314,6602,1882,3483,2720,355,339,339
315,3971,2981,6383,175,5265,1267,2241
316,3971,2708,4146,1994,2531,1267,2048
317,1849,1438,2190,7004,437,1267,585
318,3556,2848,5434,148,2284,37,2547
319,3556,1455,3131,148,2284,2524,3345
320,1849,4778,3131,172,2262,543,392
321,1849,4403,5923,3272,835,3077,552
322,1315,2468,2577,2944,835,3077,1563
323,6172,6186,4687,3073,835,681,2194
324,3971,4343,4680,3259,1451,3069,355
325,1849,4931,5659,1011,20,2126,3179
326,4199,5214,3759,3069,355,431,184
327,1849,2848,1422,355,2259,6923,4192
328,1849,4272,2844,173,1101,6437,2702
329,1849,6548,5518,172,2733,2960,1820
330,4199,1330,3188,715,540,996,1052
331,3556,4931,3488,1011,2259,2572,355
332,5391,4290,1675,2362,540,820,355
333,1849,2468,904,3300,542,457,3300
334,3556,1438,5434,2774,1804,1804,1813
335,6172,6548,5434,557,1691,2050,311
336,1849,1455,23,2131,122,1455,982
337,1849,4272,904,5992,2733,1547,1547
338,1565,4272,2831,1814,178,1547,3302
339,337,4325,3759,3259,1992,448,448
340,6602,474,597,1139,371,2737,820
341,1849,1882,6413,1011,1270,238,1633
342,6172,2742,2831,6080,868,5694,1592
343,1849,1882,5001,1433,1270,894,1526
344,6172,4931,2646,170,2338,1595,631
345,6602,4864,1296,500,132,850,1168
346,1849,4864,5434,1009,132,315,964
347,1849,6548,645,5992,480,6384,6384
348,5391,782,338,172,3300,3521,777
349,1849,2480,3791,173,1067,1265,2625
350,6172,6186,4687,172,151,2368,1057
351,1849,1645,3131,3326,2500,1969,2665
352,1849,609,1296,3039,510,1571,767
353,6852,5214,1586,698,1375,5423,393
354,6602,1455,645,1529,2649,2772,967
355,1849,1645,1586,148,1375,686,1520
356,1684,2742,1351,173,480,480,2192
357,3556,6548,907,2709,213,447,447
358,1849,782,5434,1009,178,2873,1982
359,4843,2096,3147,1684,20,2873,6661
360,6602,1882,2237,170,2433,2544,2110
361,1849,1882,715,1217,1594,1217,1217
362,1849,3366,2646,2907,1594,1217,1217
363,6172,6186,23,2281,2859,1267,2786
364,3274,4343,597,891,2578,2230,3017
365,1849,6186,1236,529,2859,1519,2786
366,1771,6260,3511,1821,1687,3491,1172
367,1849,1882,715,1011,1992,1863,820
368,170,4931,838,91,413,3043,3043
369,1849,782,2106,3372,1191,5818,3289
370,6172,2468,645,1529,1420,557,557
371,3073,4272,2844,1529,3441,1391,1987
372,170,782,518,1345,3518,346,1239
373,1849,3354,597,3300,3518,424,123
374,1849,6548,23,2560,2733,3231,1400
375,6602,422,3645,6196,6787,4217,1857
376,1849,422,5659,6730,6787,1412,4217
377,6172,4931,2237,3073,3054,681,1201
378,4788,4931,5907,1174,2234,2671,2671
379,1849,2468,3545,7044,4151,2101,1881
380,3556,6548,974,2989,2671,2101,652
381,6172,2468,3545,2362,1884,3375,1489
382,1771,3783,4680,715,1357,1976,557
383,6602,609,2290,1058,1357,1571,1571
384,3556,6548,94,3077,437,1871,2622
385,1849,6186,23,2692,1364,894,2700
386,1849,1882,6830,1809,2338,399,1211
387,6796,5214,1586,3167,1594,152,3289
388,734,4592,3759,5220,2175,3132,355
389,1771,3783,4169,2944,1594,6744,6744
390,1849,1882,5953,3218,312,1595,1177
391,1849,4931,2641,3218,2433,1837,1201
392,5391,4931,2118,2798,2740,2946,2177
393,1315,609,6103,4081,1816,2615,3097
394,1849,6951,23,148,2618,1833,1024
395,4199,1438,23,2560,1752,1146,708
396,6172,6186,23,1011,2184,644,1489
397,1849,2742,4687,337,1816,2909,2964
398,1849,1438,4687,355,355,2957,2964
399,6172,6186,5269,5220,2740,5299,2202
400,3971,4343,703,5220,1758,375,2687
401,3971,6548,3723,170,2338,2390,3488
402,1849,4118,408,1984,437,3435,478
403,6602,1882,597,1217,510,1217,2229
404,3971,4343,2118,1498,132,1615,2696
405,1771,2981,4169,2944,2188,2557,1988
406,4331,5214,1506,5220,1881,2521,1552
407,5391,2981,3131,698,20,2557,2557
408,1849,2480,3791,3272,2297,269,954
409,6172,2468,6430,1100,2924,2924,2924
410,6172,2742,4687,2747,2339,2924,2924
411,1849,1438,3484,2675,2534,1486,424
412,1849,1882,2641,227,2534,2695,2695
413,6172,6186,3484,3484,2736,1146,2736
414,1849,4272,3791,1190,1067,1265,2192
415,1849,1949,4687,172,480,1797,130
416,6602,6049,3188,2584,480,510,2060
417,1849,2468,6430,1433,2120,1000,3172
418,1849,4931,86,2969,2740,3442,673
419,5391,6548,2865,1174,3233,1079,1647
420,1849,1882,2290,1321,2270,2163,25
421,6602,6275,715,1571,2799,2818,3039
422,1849,609,3952,1321,750,1571,25
423,6602,609,3516,2129,2234,1595,1448
424,1849,1882,5001,1433,225,2101,3024
425,3556,4931,533,48,119,6,2700
426,1849,2468,23,33,1382,894,33
427,6172,6186,5953,537,2928,692,322
428,5391,2708,2865,698,1357,1309,2932
429,1315,6186,23,1994,2859,2374,2374
430,1849,2468,23,2551,494,3452,1016
431,4046,6654,626,98,2433,1061,1379
432,3971,4118,532,1396,2234,664,664
433,5391,4118,532,950,779,2946,3307
434,6172,4931,735,337,2579,678,3421
435,3556,4931,1399,1791,2928,2946,1117
436,1771,782,94,43,1974,2241,2241
437,4369,6639,4456,5702,2928,6230,916
438,6172,2468,103,2875,835,2217,1875
439,3971,2708,6940,2944,2242,2242,1460
440,1849,2468,4313,1190,2189,346,210
441,1849,6186,1734,2804,2534,1710,1710
442,6172,6186,3484,3484,3233,1710,1710
443,1849,4931,3484,3484,1710,1710,1710
444,1849,740,3775,3218,868,3385,3963
445,1849,1882,3374,170,1220,3385,3963
446,1849,609,3368,2655,1816,1198,855
447,6172,4931,3484,2180,852,2593,478
448,3556,1882,3484,48,2928,3470,2441
449,6172,3563,4330,227,2737,1610,737
450,3971,782,629,2429,2129,609,1079
451,1849,740,597,3372,1816,1912,798
452,1849,2468,904,2981,2427,2093,820
453,1849,6186,1734,2804,3552,6770,1585
454,4199,2468,94,1190,2739,528,2147
455,6172,6186,6830,437,2338,528,180
456,1849,740,2660,1498,3518,2101,322
457,3971,2894,2210,1174,1594,238,652
458,1849,4931,6430,2907,1594,5453,3390
459,3073,2742,636,6986,1691,2577,1691
460,1849,4272,2844,172,1067,2054,488
461,1173,1949,6103,172,3489,2054,311
462,1849,609,2290,698,516,281,855
463,6602,5758,1869,698,3082,1976,557
464,3971,2894,2865,2176,839,1198,1489
465,3556,4931,1399,718,1364,2414,377
466,1849,1882,1202,718,773,3353,1264
467,4046,6681,5071,172,3331,4061,3293
468,6602,6681,597,698,1645,1357,1357
469,6602,1882,1399,3248,2928,692,377
470,6602,6049,597,3248,2575,692,692
471,170,4931,703,978,2737,2241,1803
472,1849,4272,2844,301,1691,2577,5653
473,6172,6186,23,415,2859,238,1211
474,1849,3391,2852,1732,366,290,1239
475,1849,1882,3545,227,2905,1303,2905
476,6852,6937,2730,2804,3017,2603,424
477,1849,1882,1399,2341,2928,2615,455
478,3971,4118,23,5129,1400,3086,455
479,4199,1438,576,720,2836,3356,74
480,1849,422,5659,5992,1120,2101,2147
481,1771,782,1528,608,1816,2713,89
482,1849,1882,974,2709,977,1571,1571
483,1849,1330,597,355,798,820,3390
484,6602,1882,597,2362,798,2818,3390
485,1173,4512,597,2362,1992,229,1510
486,6602,6049,597,5857,6191,2120,2375
487,3556,4760,3511,1068,1594,2120,2630
488,6602,1882,3483,684,3959,6772,2630
489,6602,1455,23,5333,122,1061,3171
490,6172,6186,723,3345,3518,1061,51
491,1849,2468,23,1445,1382,5569,6691
492,1771,4931,838,3183,779,2671,814
493,1771,418,597,148,355,2101,2937
494,3556,609,3483,2682,3216,238,448
495,1849,1438,4687,148,2734,4914,322
496,6602,6681,597,33,3017,2208,2060
497,1849,2468,3297,48,3054,894,90
498,3556,4760,4910,2907,1820,2544,1633
499,6852,2430,6382,1220,1076,2544,1479
500,3556,6548,703,2542,547,588,1667
501,5391,2608,2852,148,2618,1840,1239
502,1849,1438,2730,2560,3518,6611,3313
503,6172,2468,23,148,2534,3338,1239
504,1849,2468,2237,1433,1433,238,327
505,3556,1882,2237,2198,1076,3132,2633
506,6172,2468,6830,437,2338,257,373
507,6172,6186,23,2804,2734,1460,2734
508,337,532,23,2560,3017,424,84
509,3971,4118,3297,2372,2733,5440,1146
510,1315,4272,2844,173,1968,1571,2752
511,1173,3363,1296,2673,20,1055,2752
512,1849,4778,5434,7004,1816,2101,3463
513,3073,2742,2831,2616,2974,1419,1146
514,1849,1438,518,718,312,3470,2700
515,3073,2742,2831,644,151,2054,1236
516,1849,1882,6236,355,355,2131,820
517,1849,6186,3097,1089,99,2093,145
518,1849,2848,1111,2131,1804,129,1813
519,1849,1882,723,98,2952,2952,2952
520,3727,2742,2844,1590,1067,2054,884
521,6602,609,3967,1541,3522,1571,1832
522,1849,1438,5907,1033,1816,2471,2952
523,6602,740,1528,1821,289,643,798
524,4199,4760,3759,3491,798,643,1531
525,3556,1455,5659,4900,480,3645,3645
526,1374,5214,1586,98,3025,5423,1057
527,1849,3168,2844,1011,132,644,2870
528,6172,4931,3484,1732,312,2924,3018
529,6172,6186,723,98,2433,1755,2764
530,6172,6186,3484,1247,2433,1095,2620
531,1849,3288,567,1529,2054,1616,1087
532,6172,2468,23,4081,2734,2390,6062
533,1849,6548,23,2176,1364,4353,801
534,1849,4778,2577,5409,923,1484,557
535,6172,3391,6103,1857,661,4996,4528
536,337,2981,6336,1902,3710,3706,1633
537,6172,2468,3791,3073,1067,2939,1236
538,1849,6951,518,227,1400,74,2060
539,6172,6186,23,1147,2836,2208,3493
540,1849,1645,597,148,289,3368,1079
541,1849,609,1350,1174,289,3368,305
542,6602,1882,2745,91,132,1142,1568
543,5391,6548,23,48,2740,894,1566
544,1849,1882,2641,718,2740,894,518
545,3556,6548,23,718,2189,3470,2707
546,6602,1882,4559,355,2402,2818,2621
547,1173,4118,2831,1966,1179,681,367
548,3556,782,5434,227,132,581,252
549,4843,4903,1296,1966,20,1368,2068
550,6602,1882,377,1011,2314,4039,2059
551,6602,474,597,1761,2314,6386,3243
552,6905,4118,6103,3053,3441,628,2388
553,6172,2468,4687,2742,3886,6140,330
554,6905,4118,1351,172,151,628,1563
555,1849,4931,6430,2720,540,653,212
556,3556,4931,3511,2362,413,678,2694
557,3556,1882,2428,3272,2338,2338,1815
558,5391,4118,3004,24,1191,142,1489
559,1849,1438,597,337,2259,2572,355
560,6852,6937,4046,1011,2259,1316,3032
561,1849,1529,904,2131,178,1368,155
562,1849,4403,645,1009,300,3368,150
563,1771,782,3511,2682,540,142,216
564,1849,1438,576,2560,2231,819,2730
565,6852,5214,1586,5220,2433,5423,84
566,1849,1438,6236,3300,2733,84,1016
567,6602,6275,1422,1217,1270,238,3434
568,1849,1438,2882,173,2338,1564,3432
569,1849,6886,4687,1011,2740,1546,2727
570,6172,2468,23,2779,1403,1298,2732
571,6172,4118,1350,172,3026,2054,3122
572,337,4681,2831,1684,178,5366,3645
573,1849,1882,3188,163,2033,996,2674
574,3274,4592,3759,5220,2485,1976,2058
575,4199,4760,3188,1058,2058,996,996
576,1849,1438,371,1011,2234,3438,2234
577,6602,1882,597,24,355,3438,3410
578,1849,1882,3545,1177,1728,1595,1301
579,1849,1438,680,227,74,74,3356
580,3971,4343,3759,1498,2531,2134,367
581,6602,4881,3476,3077,835,2675,973
582,1849,3809,7033,148,3025,5423,982
583,3971,2894,2852,256,965,1615,1841
584,734,3354,2730,2804,3017,1068,3421
585,6602,3288,1974,170,2531,2368,4859
586,6172,2468,2118,48,530,395,1854
587,3556,4931,2237,720,2740,894,59
588,1173,6186,3112,344,3207,2874,2424
589,1849,1438,1833,2551,3233,2488,1428
590,1849,6186,23,2264,1364,2923,1016
591,6602,4722,567,3326,543,919,2731
592,6602,609,3545,3345,2928,3368,420
593,1849,1438,23,3310,543,490,1681
594,3556,418,5434,2131,480,129,2949
595,1849,6681,5434,5220,1529,1753,1813
596,3556,782,5434,5220,2735,1753,1128
597,1849,3288,703,1529,132,360,2779
598,1849,2468,23,720,3017,2946,1803
599,301,1949,636,301,178,2322,3302
600,6602,740,2660,1384,1687,1950,1950
601,6602,740,2660,2682,1687,1950,3268
602,6602,1882,3967,2895,198,3247,1346
603,1849,4778,2290,172,2705,2557,2705
604,734,6049,597,3491,540,355,331
605,6602,6275,3483,2682,540,1912,1489
606,5391,4931,2646,337,2234,2671,2671
607,1849,1882,597,3216,547,3132,355
608,3971,6548,2118,4595,99,2812,99
609,3556,4931,974,2895,1309,334,334
610,1173,6256,3269,5774,20,1368,2731
611,3556,4931,1399,1791,1268,2163,1888
612,6172,6186,23,921,2966,2974,2077
613,1849,6186,3484,1676,2597,3353,3052
614,6172,4118,2852,3143,852,3353,1752
615,1849,1882,518,2675,1329,138,1024
616,3556,4931,2641,148,1364,3368,982
617,1849,4931,3484,787,550,832,1239
618,1849,2468,5659,2944,2859,692,367
619,1849,6886,2237,737,350,692,455
620,6172,2858,3484,3484,1022,2463,2186
621,1849,4272,23,1641,2026,1610,2958
622,6172,6186,3484,720,852,681,469
623,2087,2468,1250,1529,1420,2930,1236
624,6172,6186,4687,6373,2740,125,3322
625,1849,6937,626,2526,902,2427,362
626,1771,1455,4313,4742,22,1212,1212
627,6172,6186,3097,1942,1955,2952,2952
628,1849,1438,518,2675,1752,2952,2448
629,1849,6186,2852,2675,1218,2952,2952
630,1849,4931,23,355,20,1142,1489
631,1849,1455,645,1529,178,5818,3289
632,1849,2708,3188,1011,540,295,3289
633,1849,2480,3791,6730,7019,3231,2388
634,3971,4118,532,1272,3017,2150,1239
635,4991,6186,3004,2804,2114,2603,2734
636,3971,6548,2118,1147,2836,2597,138
637,6852,3354,2730,1799,2836,4264,606
638,1849,2468,23,1701,2836,1616,159
639,6602,4864,7030,355,2485,516,3179
640,1849,4272,23,3372,20,3368,777
641,6602,4765,3134,2895,2485,334,334
642,6373,4118,2831,2747,5073,3077,6842
643,3073,4272,1839,345,2734,2322,155
644,6905,4118,5269,2002,3706,3645,777
645,1849,782,2106,35,1992,2856,2867
646,1849,1882,4687,1217,2578,2856,1087
647,1849,6886,4687,2856,2740,125,2628
648,6172,2468,23,48,307,1610,2700
649,1849,6548,1111,148,282,1738,3461
