ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28
19,213,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,362,23,102,102,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
21,332,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,332,54,77,368,368,77,77,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,29,29,368
23,173,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,395,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,119,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,170,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,260,23,223,223,297,220,223,121,223,182,223,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
28,184,175,14,297,323,96,96,14,96,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
29,276,378,318,97,97,182,182,182,323,329,323,75,323,97,75,323,323,323,323,323,297,323,295,323,75,75,75,323,323
30,371,245,245,187,187,245,347,245,245,245,245,347,245,347,347,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,220,24,24,245,334,245,334,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
32,334,334,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,0,333,280,280,410,747,555,36,110,710,295,295,295,410,503,479,321,110,295,321,321,321,321,802,321,321,321,321,79
34,143,362,177,321,321,321,36,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
35,78,194,741,776,671,321,51,321,321,321,321,321,321,321,321,321,321,350,321,321,321,321,321,321,321,321,321,321,321
36,42,95,178,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
37,22,14,119,14,14,184,14,184,184,184,14,184,184,184,184,224,31,31,184,270,270,31,224,31,14,224,270,270,270
38,133,118,107,107,107,107,107,288,277,85,288,246,246,104,155,155,155,155,155,104,155,71,338,155,394,155,155,155,45
39,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,148,213,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
41,310,10,166,166,166,166,166,166,166,166,166,166,166,166,659,166,166,166,659,388,166,659,166,166,659,659,166,166,166
42,46,68,28,28,268,268,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
43,234,28,370,370,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
44,43,135,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,133,206,118,118,130,130,93,130,130,146,147,130,130,130,130,146,130,195,130,130,130,130,130,130,130,130,339,130,130
47,184,206,20,91,20,91,91,148,121,166,121,121,121,121,121,121,121,121,130,121,121,121,148,121,148,121,148,231,231
48,22,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,103,161,301,207,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
50,366,361,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,182,400,103,3,103,207,103,207,207,103,207,103,103,207,207,103,103,103,207,207,207,207,207,207,207,207,207,207,103
52,329,207,400,400,319,400,319,207,207,207,207,207,207,207,207,103,207,207,207,207,207,207,207,207,207,207,207,207,207
53,322,402,207,225,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,103,207,207
54,142,605,197,197,234,197,197,16,31,16,16,31,328,16,145,16,16,16,16,16,16,16,145,16,16,16,16,16,16
55,773,735,678,735,605,587,734,622,16,622,114,16,734,735,16,734,16,114,16,622,16,232,82,622,734,16,622,114,16
56,624,16,16,159,126,16,16,16,16,16,16,328,328,16,16,16,328,16,16,16,16,322,145,322,16,328,16,145,328
57,555,194,362,366,347,28,28,347,28,327,347,327,28,347,327,327,347,367,367,327,347,327,327,367,367,327,367,327,367
58,108,89,79,145,145,145,145,140,140,145,382,145,140,145,382,382,382,79,145,382,245,145,353,353,145,353,353,145,145
59,255,270,150,307,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,184,367
60,258,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,381,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,227,341,140,95,95,79,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,106,170,58,385,58,385,385,58,58,58,58,58,58,174,174,174,295,295,208,208,334,274,174,295,179,295,400,274,295
64,400,131,162,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,237,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,381,66,335,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,335,66,335,66,66,335,335,66,66,66
67,71,222,3,66,323,66,66,117,66,117,117,117,117,66,117,66,66,66,66,288,66,66,66,66,66,37,66,117,37
68,183,168,221,66,66,66,66,66,66,66,66,66,66,66,66,66,66,690,66,66,66,66,66,66,160,66,66,66,66
69,192,690,317,317,317,222,222,222,222,159,676,222,222,196,222,222,159,196,222,222,222,222,222,222,222,222,222,222,222
70,87,159,259,123,181,181,181,181,181,181,181,181,183,181,181,181,181,181,181,66,259,66,66,259,259,259,13,259,376
71,259,222,222,222,259,222,259,222,222,222,259,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
72,29,152,106,377,377,240,392,49,371,392,392,392,392,392,392,392,27,392,392,392,392,392,392,392,392,392,27,392,392
73,274,25,268,119,25,268,25,363,252,278,252,278,252,278,278,252,252,27,252,252,252,278,252,278,392,278,278,392,278
74,238,156,93,171,354,124,124,300,124,354,124,300,124,124,300,124,124,124,124,124,124,124,300,209,124,300,124,209,300
75,333,285,285,363,81,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
76,185,404,156,93,93,93,8,8,8,8,8,8,8,81,8,8,8,312,8,8,312,8,8,8,8,8,8,8,8
77,217,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
78,176,163,156,352,354,352,352,352,46,38,352,352,38,38,38,352,38,38,38,38,38,38,38,38,38,38,38,38,38
79,215,369,1,38,298,46,38,38,1,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
80,108,394,2,55,217,62,62,38,217,217,38,217,38,217,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
81,41,213,200,213,91,100,362,362,100,100,91,200,200,200,147,200,200,200,200,200,200,200,200,213,213,100,100,100,100
82,295,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
83,98,132,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
84,380,393,296,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
85,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
86,170,393,355,393,355,37,393,393,259,393,259,259,259,393,393,259,259,259,393,259,259,259,393,393,393,259,259,393,259
87,345,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
88,189,66,66,376,376,376,376,376,376,376,376,376,690,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
89,2,201,266,259,259,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
90,126,168,66,99,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,133,99,99,99,99,99,99,99
91,310,66,393,393,159,99,99,393,393,393,99,99,99,99,99,99,296,99,259,296,99,99,99,99,99,99,99,99,99
92,107,13,690,690,18,159,159,159,690,159,355,355,355,355,355,355,355,355,99,99,355,159,355,355,355,99,355,133,355
93,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
94,572,615,539,524,629,524,86,572,86,572,524,86,86,86,86,524,86,86,86,86,86,86,86,86,86,86,86,86,86
95,263,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
96,100,342,273,203,203,203,273,273,273,273,134,273,273,273,273,342,273,273,273,273,273,273,273,273,273,273,273,273,273
97,115,177,342,342,273,273,273,273,273,273,273,273,273,273,273,273,86,134,86,139,273,273,273,273,548,273,134,273,86
98,607,273,273,273,273,273,203,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
99,364,216,398,398,264,398,264,264,264,398,398,264,264,384,194,26,398,398,398,210,210,398,398,398,398,398,398,398,210
100,537,205,148,488,89,371,162,353,370,370,174,370,387,370,398,174,174,180,74,649,129,174,398,365,74,320,383,320,74
101,763,794,160,794,48,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,794,194,194,194,794,794,194,194
102,285,3,145,145,145,145,145,367,322,145,145,145,367,367,367,274,145,145,145,140,140,140,145,140,145,340,145,145,145
103,323,49,255,255,255,255,255,140,255,255,140,255,255,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
104,373,14,379,14,14,184,84,14,14,291,14,14,379,291,290,224,224,291,224,291,387,291,274,274,291,187,140,14,274
105,315,240,311,154,311,85,85,311,17,359,85,311,137,246,311,311,246,311,311,311,311,311,311,311,311,311,311,311,311
106,402,332,176,9,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,324,176
107,141,299,176,176,176,176,176,383,176,176,311,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
108,421,259,355,355,345,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,183,67,67,67,67,183,67
109,421,126,160,160,403,160,160,196,67,196,393,393,67,67,196,67,67,67,196,99,67,67,196,67,393,421,67,67,67
110,476,293,380,380,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
111,323,147,86,244,244,244,351,351,283,70,244,130,286,53,70,286,20,20,286,20,20,20,130,20,351,20,286,156,351
112,5,3,323,136,323,22,22,20,323,20,20,22,20,32,20,20,20,20,20,286,286,20,286,286,286,286,286,20,286
113,351,286,286,286,32,136,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
114,35,23,347,347,347,347,347,245,174,131,131,347,347,131,131,347,131,131,149,131,131,131,131,131,131,131,131,131,131
115,286,91,200,339,178,405,178,231,231,212,7,231,231,231,231,35,212,121,351,231,35,245,35,178,131,231,121,212,178
116,111,131,174,131,131,131,131,79,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
117,0,272,280,280,280,292,220,71,71,220,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
118,332,274,322,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
119,388,25,31,14,152,197,197,31,71,365,365,71,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
120,317,370,649,649,404,2,135,2,210,22,387,129,262,387,387,96,387,167,167,129,96,96,96,96,96,7,187,404,197
121,206,43,384,384,10,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
122,287,265,265,119,265,265,119,119,265,119,119,119,119,119,119,119,119,119,187,290,119,265,187,274,541,541,187,379,274
123,385,14,341,341,341,341,341,341,341,341,341,341,341,341,341,341,235,341,341,341,341,341,341,341,100,341,341,341,341
124,75,361,102,47,20,47,47,47,20,323,20,314,20,20,20,20,314,20,20,20,338,314,20,47,47,314,314,314,314
125,247,95,16,341,341,341,341,341,341,341,341,341,100,100,341,341,100,100,341,100,341,341,341,341,341,341,341,341,341
126,202,251,115,251,241,241,241,241,251,241,381,241,218,19,115,143,318,115,115,241,314,23,241,241,318,314,314,314,241
127,354,400,310,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
128,3,179,237,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
129,279,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
130,155,92,92,92,92,92,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
131,313,65,171,28,171,279,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
132,138,305,305,72,72,72,72,259,72,72,72,72,72,72,126,72,305,305,305,305,72,259,72,317,259,305,259,72,126
133,459,259,259,259,259,259,159,259,393,293,393,259,259,259,222,259,259,259,259,259,259,259,123,259,259,259,259,259,259
134,399,293,99,259,159,159,123,259,259,222,222,336,336,222,259,123,183,196,196,393,222,222,196,222,421,222,222,222,222
135,561,794,314,74,314,314,338,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,84,314,314,314,232,314,314
136,66,322,388,267,195,367,237,338,338,237,97,144,97,121,121,144,121,297,144,121,121,121,144,121,121,97,297,297,121
137,323,314,232,74,314,314,82,314,314,314,82,82,82,82,314,314,82,314,314,82,232,314,314,314,82,314,232,232,232
138,198,337,197,272,90,252,252,252,252,252,90,252,90,90,90,90,252,90,90,90,90,217,90,90,90,90,90,90,90
139,111,71,108,313,285,377,285,62,62,217,25,252,90,90,90,253,252,25,90,252,217,217,90,90,90,90,90,25,253
140,10,370,197,129,71,197,106,269,197,326,197,197,197,383,269,220,326,269,90,383,383,193,25,383,383,197,383,383,383
141,146,149,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
142,159,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
143,202,334,241,306,102,102,102,102,53,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
144,115,115,342,342,342,342,203,342,342,342,342,342,342,342,342,273,342,342,342,342,342,342,342,342,342,342,342,342,342
145,115,263,263,273,273,78,203,147,283,283,342,342,342,342,147,342,342,342,342,342,342,342,342,342,342,342,342,342,342
146,15,273,139,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
147,88,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
148,206,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
149,174,237,0,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
150,224,238,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
151,106,245,7,7,187,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,347,7,7
152,373,166,370,132,185,7,7,340,7,7,166,7,7,7,7,166,7,7,7,7,7,7,7,166,7,7,166,7,7
153,759,206,135,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
154,135,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
155,174,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
156,196,118,233,352,352,156,244,352,352,352,352,352,352,352,244,352,352,352,352,352,352,352,352,352,352,352,352,352,352
157,28,153,64,352,352,352,352,352,352,352,352,124,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
158,164,52,244,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
159,275,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,284,357,357,357,357,357,357,357,357,357
160,734,403,123,286,70,61,118,81,118,312,357,357,70,357,87,61,357,357,61,357,61,357,357,357,312,357,61,61,61
161,185,362,306,312,312,52,357,357,357,351,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
162,215,169,64,352,244,211,214,46,46,46,46,46,46,46,46,46,46,46,46,46,331,46,46,46,46,331,46,46,46
163,62,84,252,253,87,34,1,1,1,252,46,1,1,343,46,1,38,343,343,277,343,343,38,285,343,209,27,141,277
164,172,300,331,352,124,46,352,240,46,240,240,240,240,240,240,240,240,240,240,240,46,240,240,46,240,240,46,46,46
165,305,156,336,72,345,72,72,72,72,72,345,72,72,72,72,72,345,72,345,72,345,345,72,72,123,123,345,196,345
166,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
167,682,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
168,183,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
169,358,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
170,377,285,285,307,307,307,208,208,208,194,208,377,338,208,367,367,367,367,394,367,367,367,338,295,338,367,385,367,367
171,558,558,180,180,343,180,180,180,180,3,9,180,180,9,343,9,343,9,343,343,9,9,3,9,343,9,9,343,9
172,343,25,332,343,359,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343
173,278,62,62,62,62,343,343,343,343,343,343,343,343,343,343,85,343,343,343,343,343,343,343,343,343,343,343,343,343
174,108,173,299,1,359,359,359,359,359,359,359,359,359,359,359,359,138,359,359,359,359,359,138,298,359,359,359,359,359
175,180,1,173,173,173,173,299,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
176,198,234,234,359,74,369,62,359,359,74,173,74,38,359,173,359,359,359,359,359,359,359,359,359,173,173,359,359,359
177,715,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
178,283,35,309,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
179,303,100,148,295,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,168,260,260,283,260,283,283,283,283,159,283,283,283,283,283,283,283,283,283,283,283,283,399,283,283,283,283,283,283
181,74,353,191,82,5,89,115,115,115,342,283,78,53,53,203,53,342,53,203,342,342,86,225,53,86,225,203,86,86
182,70,44,283,260,283,283,283,283,283,283,283,283,283,283,399,283,399,399,283,283,283,283,283,283,283,283,283,283,283
183,175,211,356,321,356,356,356,356,356,356,356,356,356,356,356,356,128,356,356,230,356,356,213,356,109,356,36,356,356
184,356,356,356,356,181,115,115,356,356,356,356,356,356,230,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
185,318,346,109,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
186,168,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,242,113,113,113,113,113,113,113,113,113
187,545,254,254,254,254,113,113,21,254,113,125,113,21,113,113,254,125,113,254,113,242,254,80,113,113,113,113,225,113
188,159,393,254,21,137,113,21,21,21,113,21,50,113,21,21,21,21,113,21,21,113,113,21,113,113,113,113,113,113
189,217,355,14,14,60,274,14,274,14,274,353,60,274,274,274,274,60,60,353,60,274,274,274,274,274,340,274,274,274
190,740,89,335,365,388,179,274,179,388,388,388,206,388,388,388,14,388,388,388,388,274,388,274,388,89,89,274,388,274
191,30,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
192,620,114,567,652,484,193,45,45,338,501,338,338,652,469,73,236,285,501,110,501,236,501,177,501,640,501,142,108,74
193,166,312,52,52,52,3,158,3,3,3,284,52,3,52,3,52,52,52,3,52,52,52,52,3,52,52,52,52,52
194,225,3,3,52,52,52,52,158,158,158,3,52,52,3,158,158,52,52,3,52,52,3,158,153,158,52,52,153,158
195,394,20,20,338,313,114,114,114,114,114,114,114,114,114,114,114,338,114,114,338,338,16,16,338,16,16,338,114,232
196,308,74,74,338,338,338,338,338,84,313,74,338,338,338,338,338,338,338,96,338,338,84,285,338,338,338,338,84,114
197,3,133,126,99,280,399,66,356,12,377,377,12,338,12,211,211,236,236,12,338,211,248,248,211,211,230,211,211,211
198,190,369,29,29,186,462,462,189,189,189,462,189,462,189,189,189,189,189,189,189,40,189,189,189,189,189,189,40,189
199,88,192,264,210,236,255,234,189,255,194,189,779,255,372,372,372,189,194,189,234,189,234,189,189,253,372,372,372,194
200,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
201,111,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
202,325,224,34,25,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
203,259,285,260,188,152,34,34,239,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
204,389,340,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
205,74,167,374,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,193,69,69,69,69,69,69,69,69,69,69
206,331,69,69,397,28,69,138,69,69,46,209,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
207,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
208,54,331,137,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
209,244,369,369,369,137,137,137,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
210,250,95,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
211,71,98,83,83,387,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
212,595,20,325,235,235,373,235,83,166,166,166,166,166,166,166,185,185,166,166,185,166,166,185,185,166,185,166,185,166
213,347,144,144,144,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
214,148,385,148,314,148,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
215,179,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
216,159,88,156,156,156,156,156,156,157,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
217,208,361,136,206,286,136,70,349,156,156,156,283,200,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
218,233,345,109,397,175,59,156,59,156,354,354,156,156,354,214,156,214,214,156,303,156,156,156,156,354,156,160,156,156
219,376,126,288,259,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,293,160,160,66,160,160,37
220,356,690,66,377,377,377,160,377,377,377,160,160,377,160,207,160,399,160,385,399,160,160,161,207,356,160,385,313,37
221,137,126,221,126,160,355,126,37,126,66,126,66,66,66,126,66,66,126,66,66,66,160,160,66,160,66,66,66,66
222,129,83,269,83,129,121,396,129,337,129,167,129,96,396,129,129,138,129,129,129,129,129,2,180,180,129,129,129,129
223,247,96,96,33,33,129,33,129,129,129,129,129,129,129,265,96,265,129,265,265,129,129,129,129,265,129,129,96,96
224,240,217,1,262,129,129,129,337,129,262,337,129,374,129,129,374,129,129,129,129,129,129,129,129,129,129,46,129,129
225,330,241,53,53,53,53,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241
226,362,241,241,318,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241
