ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31
38,3472,6510,3347,821,2652,2652,2274,2274,2356,3462,2652,4209,4209,875,875,274,2652,6222,2652,2652,2652,1638,120,2652,2773,6222,2652,2652,1638,2652,2652,1608
39,3472,472,967,3487,1301,3282,447,2229,2995,2995,1301,585,580,2011,414,121,2011,1902,414,3272,2011,2011,414,3272,1902,121,3272,121,121,1902,3272,487
40,3472,3228,455,487,3199,1801,271,978,2737,3199,487,3199,3199,3282,3282,3199,2306,1374,487,487,487,11,487,487,487,1301,1301,978,2306,102,487,487
41,4424,472,967,3487,2511,2995,1575,6754,1575,612,1575,3199,917,2100,1501,1575,585,2306,1501,1575,144,978,925,144,393,1575,144,925,925,144,2100,925
42,4424,472,2346,1888,778,2918,1079,1079,1079,535,535,2291,2501,1097,1199,2979,2501,2501,2979,2745,2979,2979,2979,2979,1602,2979,2018,2283,2745,1345,2745,1265
43,1371,2018,2310,3487,1199,1199,1199,2807,665,593,190,2782,2798,190,1717,536,190,1717,536,536,6240,1717,536,1164,6201,1164,1760,6240,1164,515,2055,1164
44,3472,6246,967,3487,819,3442,2156,665,2462,1760,1127,1906,1760,1791,1760,2933,814,2501,1760,1760,4173,1760,1760,1760,1760,2501,1760,378,1760,1760,1268,2933
45,7031,3529,967,698,3145,3145,3145,3145,336,336,3145,932,2627,2627,2627,2627,2627,2627,2627,1629,2293,2627,754,2627,3028,2627,2627,2293,2627,2627,2627,3312
46,7031,3529,743,1888,2790,1134,3418,3133,1738,1738,1134,606,2821,11,1413,3080,3052,3133,1688,182,3133,182,3133,182,182,3133,182,3261,182,182,1688,1688
47,3472,4656,455,1304,2233,1584,490,490,490,1738,2437,490,490,2736,490,1466,3261,1710,3261,755,2821,755,755,3261,1602,3261,3304,755,11,3261,3261,512
48,173,1466,2525,3407,352,3407,1995,1995,1995,1995,1995,2536,63,352,352,1995,2855,63,63,2855,352,63,1995,63,604,583,63,352,1995,583,63,2536
49,3472,133,543,120,352,3407,2109,579,3407,3407,2536,2536,3407,3407,3407,954,2536,3407,3822,3407,3822,2536,3407,3407,2830,4483,2830,2536,2830,2536,2830,2536
50,173,1962,2469,1935,1935,101,2536,2536,2536,101,2536,2536,63,2383,174,2536,2536,101,63,2536,101,63,2536,2536,154,4940,2536,2536,2383,2536,2536,2536
51,173,1962,3354,604,2843,2924,2536,2536,2536,2536,2536,2536,2536,2536,3407,2536,2536,3407,3407,3407,2536,3407,2536,3407,3407,3407,2536,2536,3407,3407,3407,3407
52,173,1962,3354,252,2843,2843,1695,1087,1087,1087,2536,2536,2536,2964,1616,1616,2964,1087,2964,2924,2964,1616,3198,2514,638,638,159,352,159,638,1380,2772
53,173,4045,3345,1153,1935,3119,2536,2536,3407,2830,2830,2830,2830,1216,3407,2830,3368,3407,3407,2830,2830,2772,3407,3407,3407,3407,2830,1616,1153,3407,2830,3407
54,3472,2018,629,1421,1108,99,1387,3257,1302,1388,1387,2358,6775,1387,1387,1387,337,1387,1387,3272,1387,3129,2595,3272,3678,2894,3272,2014,790,1934,337,1129
55,173,5397,1250,3940,2040,2186,72,4146,4146,4688,2334,1812,4688,4704,4688,4688,4704,1686,1452,1579,1598,4688,4704,6402,1686,4688,4704,4688,4704,4704,4688,4688
56,173,2524,4268,5166,2708,6775,1387,5371,2708,3150,6775,3150,6679,37,1812,2519,2791,2519,1812,6679,6679,2097,1812,2014,2519,634,634,2014,132,634,634,1664
57,3472,1962,4862,1962,77,2138,3379,9,2914,533,190,9,9,9,19,9,9,1404,1404,1404,9,1404,2054,9,9,1404,1801,2054,2054,2054,160,9
58,173,3839,1883,1975,3966,1975,1975,1975,1975,3263,1975,1975,1504,1975,2936,206,1975,1975,1306,206,1975,2294,1975,1975,1975,1604,206,1697,1975,1975,1975,4727
59,3472,487,4862,840,2779,2546,978,955,978,955,2150,1994,245,3203,2669,2669,1615,1615,2669,2509,5333,2669,1615,1130,5333,2669,1615,3506,1130,1615,1130,3112
60,173,3839,160,1931,1931,1931,2216,4801,2592,3006,2917,43,2917,43,2917,1703,43,5480,43,2152,2152,1658,1703,43,43,1190,1302,6611,2152,1190,464,1190
61,3472,1962,160,1931,1931,1931,2216,2803,1389,3006,1389,934,2369,3006,3006,3142,3142,934,2711,3006,2542,3006,3142,2307,3006,2542,3142,3142,2542,2542,108,2542
62,173,6006,5624,1931,5401,3126,1214,1022,2061,3256,2592,3073,86,3073,2592,2592,2592,2592,2592,1377,2840,2592,2840,1527,2061,3376,2592,2592,2592,2592,1527,2592
63,173,1466,543,2853,2288,2288,1364,1364,1364,1364,1364,1364,1364,1404,1364,1364,674,1364,674,1364,1364,1898,3166,1364,1364,3038,930,1898,2523,3166,1898,3421
64,3472,1962,455,3515,976,680,2431,2431,2013,341,2928,2934,566,892,566,1816,4993,970,2934,2934,1661,4993,2434,2934,2934,2934,2934,2934,2934,4993,2934,2934
65,3472,1962,455,3515,898,2136,2963,2136,2136,2621,2136,2136,892,892,2013,2903,3044,2903,2934,3031,1309,3031,3044,2136,1147,2934,1147,1147,3044,343,1147,1147
66,173,1962,543,351,2288,1380,2793,1838,1861,1838,1861,1838,1861,1861,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,435,1838,1838,1838,1838
67,173,6912,2525,642,1432,2658,2871,2275,2275,161,1391,161,2612,2612,2612,2612,2612,161,161,2612,465,2612,161,161,2612,161,161,847,3300,1569,1569,1443
68,173,1466,5375,17,556,3148,176,556,176,556,176,176,176,3068,17,3489,3068,176,3489,3068,176,176,3068,556,3068,176,3068,3068,176,3068,176,176
69,173,133,2525,1242,1462,1462,1242,1547,1462,1547,480,2243,1242,480,1242,480,1774,480,1242,1242,480,2243,2243,2243,5003,223,4268,1242,480,5133,5759,5759
70,173,5201,3347,1025,2820,627,2981,561,480,311,480,2981,2981,311,2243,311,1679,1679,1679,2981,2981,2247,1520,2247,1520,2247,2975,1679,1520,2063,244,1520
71,3472,2739,2525,548,1525,1525,1804,548,1804,1525,1525,603,435,603,603,603,435,435,603,2024,435,435,2733,435,627,2280,2733,3112,1520,1520,3112,3270
72,703,1962,554,1862,312,1476,997,1476,997,1160,997,2447,997,997,1264,997,1761,5942,2163,1032,1622,3148,1032,997,1032,2983,1032,1622,997,1032,552,1622
73,1687,2812,1464,2910,3457,2907,2907,608,608,820,1107,1181,2815,2692,1229,3450,2784,3450,935,1227,130,914,3450,3450,3086,3450,1032,914,914,3450,3086,3450
74,3472,2018,938,1304,2581,220,1682,1682,1779,1682,1682,1682,1682,1682,1682,1682,3238,1324,2380,3238,2557,3238,997,1682,76,997,1682,76,997,997,997,3450
75,173,1962,554,1862,2744,2797,997,2431,3091,3091,952,3091,2431,997,2431,2431,2431,2431,2431,997,2431,1540,2163,2431,284,2868,2088,3722,3722,284,284,284
76,7031,2018,2310,2441,2441,2441,1891,2431,1891,1891,1891,1925,2431,997,2431,2431,2431,2955,2955,2955,609,2955,6251,6251,6251,609,2955,6251,609,6251,6251,6251
77,7031,3529,2602,82,82,2938,82,82,82,82,82,82,881,2431,881,881,881,82,82,881,82,82,82,2431,82,82,82,82,82,82,881,977
78,3472,1820,1052,1888,1669,1378,2290,3238,2587,2587,2290,2290,2587,300,3,300,1996,891,2587,2290,2587,1754,2290,2587,1754,2587,2290,2587,1754,2290,1743,2290
79,3472,2812,1786,950,778,2362,3512,2557,827,827,496,827,1948,1948,1948,643,715,3078,496,2427,643,1786,2997,643,643,2427,1998,1208,746,1208,1192,643
80,7031,3491,798,475,1634,1378,1716,3404,3404,2471,2997,715,1948,715,1378,3190,2997,2997,1948,3190,2997,804,2997,804,2997,3521,1998,3521,804,1208,3521,2997
81,3472,1962,497,3420,2289,5442,3175,2893,2893,455,3054,851,455,6892,3383,3383,2938,2938,2804,6095,1938,6892,851,6892,2069,851,6892,6892,956,851,2938,851
82,7031,6246,568,3581,218,4331,218,3108,2375,3108,2120,1157,3108,2120,1157,2120,1157,1157,2120,1157,2120,1157,2120,1157,2120,2120,6626,1157,1157,1157,6296,1157
83,7031,1820,2120,3581,218,585,585,3108,585,3108,2120,1157,3108,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1760,1157,1157,1157,1157,1157
84,3472,1962,2525,3363,787,2131,2131,1813,1813,1813,1813,3363,1813,1813,3363,3154,2635,2635,2224,2605,3290,1813,3290,2397,1813,4662,2397,1813,176,3118,6467,2605
85,173,4786,161,6743,6743,320,1740,865,865,1813,1963,176,176,1963,1963,1963,1963,1963,1963,1963,1963,1963,865,1963,2605,1963,1963,1963,1963,865,865,1194
86,173,6999,2525,1963,1445,2612,176,176,176,1445,176,176,176,176,176,176,2605,176,1194,176,2913,176,2605,176,2605,176,176,176,176,176,2605,176
87,173,2524,2525,1168,1813,1800,2981,2167,17,488,2063,67,2063,67,353,67,75,2063,1691,67,67,2981,1895,67,3154,67,67,67,67,75,67,172
88,173,2397,161,2215,301,2612,2981,1800,1601,2167,2178,1601,479,491,1895,1895,75,2167,1895,1343,1691,491,1895,1343,4208,4208,491,1343,3172,491,491,491
89,7031,784,1368,1293,3166,2981,2981,1969,2981,67,67,2981,67,67,67,2981,67,2981,67,67,67,67,67,67,67,67,67,67,67,67,67,67
90,173,1962,2525,2605,1406,320,1391,1817,1391,1391,3345,1391,320,1391,1391,1391,1391,1391,320,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391
91,173,133,2525,1963,2605,2612,3766,3766,2215,2215,2178,2178,2178,2178,2178,2215,2215,1363,2178,2666,1363,1363,2178,1363,2397,2397,1986,1986,2178,1986,1363,1363
92,173,2125,2525,3131,311,627,931,694,1098,2598,1363,1363,542,542,542,542,542,1928,1296,542,457,542,542,542,542,457,542,542,542,542,542,4718
93,173,3839,6909,696,4272,3153,3153,12,2742,2742,2742,6909,2742,2742,2908,2742,2908,6909,876,2742,12,2908,876,876,876,876,5201,876,876,3987,2908,876
94,3472,6043,4387,6656,6656,3595,851,3599,4233,3519,4758,2771,851,4387,2408,4387,4129,12,4233,4387,4387,4387,4233,2588,3985,4233,4387,3985,2771,3413,12,4758
95,173,1962,4862,396,2289,769,2021,769,769,1708,3102,6810,1272,3985,5907,1585,6684,1883,2330,2330,97,1883,2330,1239,5201,6388,5201,3413,5201,3413,1239,97
96,173,2990,1883,12,2588,1180,12,1180,2388,2095,1180,1460,1180,2771,1180,1180,1180,2792,97,988,1146,1978,345,97,1978,1978,128,3305,2253,1146,12,1376
97,3472,2990,1522,12,1039,1180,4262,1180,5386,5386,5386,4262,628,628,628,4262,628,628,128,628,628,128,628,628,1180,6534,628,628,628,6373,3552,6534
98,173,1089,325,345,12,2277,824,1231,3423,1214,2277,2277,3423,2277,1231,2277,5386,1460,2277,2468,1146,1272,2468,2277,1681,1978,1272,2277,2277,1231,988,6534
99,173,6006,1744,3291,1110,1100,1278,1809,2385,874,3471,566,923,985,985,2767,477,786,2856,385,3471,6122,1278,385,3636,2687,2261,786,786,6813,2138,213
100,4424,6429,4342,3894,4296,598,1072,2033,660,2940,1745,1101,1628,526,743,630,2940,2940,1745,1802,1595,1027,1628,1802,1802,1198,1560,2940,1101,1490,1027,1101
101,173,6912,161,2125,1795,1795,2974,656,1100,3125,1903,46,1949,1003,3753,3753,656,3753,2651,3455,3753,3753,3753,3753,3753,3753,3309,3753,1210,3753,441,3455
102,173,3839,79,1975,1504,1504,206,2370,206,1225,1664,206,1116,1664,1664,206,3306,2174,1664,206,1648,337,1195,389,1195,1195,242,1195,1195,337,1877,1195
103,3472,444,1032,1695,312,907,238,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363
104,7031,6246,798,1473,1333,841,1849,1533,1302,1302,615,1315,1333,3129,615,3101,1802,2230,3101,1389,507,3411,224,1066,1433,1533,2607,598,1433,1333,966,2403
105,5709,3491,1368,3082,1208,1545,1451,2728,2360,855,438,687,687,855,855,855,75,2682,1724,1724,3033,687,855,687,1064,687,687,687,687,687,2618,511
106,7031,3408,733,1881,89,284,1540,1500,2713,1500,2713,2713,2713,2713,2713,3399,3399,1714,3399,1714,2713,1714,2713,3013,2713,2713,3399,3399,2713,2713,2713,2713
107,7031,1951,1707,1881,380,1464,1464,1500,2880,1046,1500,2664,653,1328,1500,3399,2056,2056,2056,2056,2713,3166,2713,2129,2713,2129,2056,2558,2056,2713,2569,2056
108,3472,2524,4268,3131,2524,2157,2361,2167,1173,2167,709,1173,1637,1173,869,1173,869,1637,3766,3766,3118,869,3766,2002,5375,3766,1637,7053,709,3118,869,1847
109,173,2397,161,2002,1795,2974,2397,156,1813,1343,4813,1343,122,1876,122,122,1339,2397,3706,2397,1637,122,1637,3225,2397,2397,2280,1637,2397,1637,6959,893
110,4424,472,2346,3131,967,1392,1763,884,1763,1763,2224,869,739,869,869,2224,869,2224,869,5141,5375,2167,869,3154,6455,2167,3501,7053,2157,2167,1740,1637
111,173,1962,4862,3299,123,62,62,62,957,957,957,2854,1086,957,957,2854,2854,702,1181,1181,2854,1086,2854,702,2854,702,4494,3526,702,1086,2854,957
112,173,4045,603,3846,10,2373,1013,1817,2753,1466,841,853,1116,1116,810,3016,90,2219,2219,2246,2854,1431,1431,387,2060,1116,2677,387,3517,2677,1877,2779
113,3472,4896,4862,5719,1584,2906,3207,227,3175,3356,1920,81,3356,730,3356,2680,90,1495,2583,90,1495,2060,2854,3016,810,957,1610,2680,3016,957,90,486
114,173,1962,1782,3515,1602,2479,2732,2732,1179,1646,1646,532,1309,1646,680,532,3303,3303,3303,680,680,7022,1646,934,1646,1526,680,3303,3303,2473,2736,3303
115,3472,1962,455,3299,1148,50,840,3261,2034,1646,1999,583,569,1999,569,2854,2736,1710,697,569,1710,569,569,569,2854,569,569,1646,3442,569,1646,569
116,3472,1962,455,1428,1038,1279,635,3313,2075,2473,1887,1405,1751,3313,3313,1887,2636,1887,3313,1887,635,2283,1674,2695,2473,2172,1887,2283,1674,2172,737,3303
117,3472,487,2887,399,1656,1643,249,1643,1643,1643,1643,1643,1643,1643,1506,1643,1643,3457,1506,3457,1643,1506,1506,1643,1506,1506,64,64,1506,1506,64,1506
118,7031,1951,2346,2402,570,644,2770,2770,384,384,2770,978,2770,2410,1758,447,249,3183,456,360,249,142,2229,2410,2739,2395,360,249,3183,1594,7039,360
119,3472,472,2346,17,926,2918,752,1369,2655,2132,2132,2692,752,752,2692,752,233,1997,1609,1551,4218,752,2877,1997,752,1997,4218,2846,1143,4218,752,2846
120,4424,472,4293,5994,1941,3309,1941,483,483,3254,1941,313,1103,313,313,3129,2508,3394,313,1508,1888,3129,1508,1508,313,2219,2219,1508,3129,1508,3411,2219
121,3472,1962,3487,2212,5249,1148,2044,2596,2596,2596,2596,2596,2028,15,2596,3049,2596,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631
122,3472,2018,1433,700,1535,703,6,953,837,1535,1535,1535,1837,3350,2344,1477,1477,1477,1477,2989,1477,1477,1588,2701,3761,1766,2701,2918,837,2701,3350,3350
123,3472,1628,1386,3299,934,2944,1300,1533,1300,2048,2917,1300,945,1300,945,2457,945,945,945,945,945,945,1300,945,841,945,945,945,945,4701,4701,3425
124,173,1962,2372,3374,3451,1028,1888,2754,3404,2134,1908,2134,2516,2134,2134,2134,2134,2134,2134,2522,2134,3865,2134,2134,154,6446,2575,2575,2134,2516,2134,2522
125,173,5201,1883,5259,94,3299,1129,1649,1129,2412,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,2456,1649,1649,1649,1649,3589,1649,1649
126,173,133,1883,1661,2480,2480,2480,2480,2480,2480,2480,2786,2480,2480,2507,1496,2480,2480,2480,2480,2480,833,2480,2480,833,2480,2480,1661,2480,833,2480,2480
127,3472,1962,2372,1892,336,2022,2474,2474,2529,2414,1546,773,1156,718,1147,1694,1147,1147,1593,1593,3228,1593,2474,1826,2891,1826,1826,2474,1826,2891,2891,2891
128,3472,487,2372,1833,3080,2631,2431,1197,2928,30,1197,3312,220,30,2928,220,3418,1405,214,1405,1405,214,1405,1405,1405,1405,1405,2474,1405,1405,1405,1405
129,1371,2018,2310,1117,2473,433,877,253,1052,877,3228,1091,1052,1052,1091,1441,877,1091,1775,194,3228,3381,3381,3228,3228,3381,1091,1091,3136,1091,1326,3136
130,7031,472,1052,2628,1918,2286,516,1685,3091,1685,3091,2286,2058,996,996,996,996,30,2464,1882,2798,1882,996,1099,2798,4775,2798,334,2464,2798,334,2464
131,3472,487,16,2136,2811,11,1647,2621,121,2819,199,1317,805,121,974,275,2819,430,275,1837,275,1837,1837,1837,745,1837,1837,275,1837,805,3366,1837
132,4424,6610,2346,642,2262,2262,2500,3193,2665,2262,1910,2262,3193,1293,315,2500,3193,2063,3193,2665,2063,2981,3020,315,561,2262,2063,315,3193,2063,3020,1098
133,173,2524,2525,1963,3345,2919,548,548,548,1411,2035,2035,2035,145,145,2035,1008,2035,1048,45,67,361,145,315,67,67,145,361,145,2063,1443,273
134,173,1466,2708,1168,3345,3345,548,548,548,548,548,2178,2662,548,1008,2151,2778,603,1065,1008,2400,709,709,709,2400,2400,2400,2400,2400,178,1814,2778
135,3472,5257,591,6222,6623,2014,2014,841,2014,1940,1940,1940,1940,841,1940,841,1940,841,1756,13,841,2230,841,1940,1756,1756,2925,13,1940,1940,2230,1166
136,703,472,967,1959,1666,1124,1820,1605,2190,2072,2180,1049,2456,2456,828,2456,293,2516,2920,2516,2516,2920,394,2677,2456,1919,2677,2516,2677,1453,2516,2516
137,3472,1962,2755,3111,2057,2186,2186,2057,5166,1738,946,2014,2014,2014,3111,841,841,841,841,3031,841,3004,3004,841,1911,3111,43,2258,2258,1333,43,2736
138,7031,1996,1010,1496,2945,445,1029,1029,688,688,2568,1477,1354,540,2568,3293,874,3501,608,688,2794,3501,608,3460,2737,3289,907,3592,3233,1696,6587,2794
139,3472,472,281,2319,3099,1453,3293,753,1820,415,872,3404,2957,2093,2332,734,2332,1275,1696,1616,608,2437,608,685,608,1696,608,685,608,2332,685,685
140,7031,6429,474,599,593,599,3132,2629,2629,2629,2629,3218,1487,3274,1354,1385,1259,5184,2629,540,540,890,2206,540,1829,2572,907,2206,3030,879,3030,3308
141,3472,1962,1734,1710,455,1638,2060,1657,2753,578,1657,1395,1395,1657,2233,2673,1233,1233,1233,3028,578,1233,1233,2110,2110,2110,2110,445,445,1233,1233,3303
142,3472,4896,2372,3515,1898,1279,960,2479,1738,960,2736,2479,1759,2287,2287,2287,2736,445,2110,166,2042,445,2456,391,2456,2110,2110,2110,2110,2381,2456,2614
143,173,1962,2534,2399,2061,2399,2450,2614,705,2736,2736,2826,1329,2287,2287,578,578,1796,578,2287,578,445,2507,578,138,2110,2507,445,2507,2507,2507,2507
144,173,2990,1883,775,2289,2388,2852,1318,2388,2388,2588,2588,2388,2588,2388,2588,2388,2388,2388,3212,2588,346,2172,2588,41,2480,2588,41,2263,722,41,2423
145,173,77,497,1311,2289,769,77,77,77,77,77,77,77,62,2289,1840,62,1272,128,2289,62,1272,52,2734,3143,6329,2186,3143,451,77,3143,3143
146,173,133,325,775,2289,2168,2168,396,2388,2408,77,2388,2388,1452,2388,2388,2388,2388,2388,2388,1452,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388
147,3472,1962,2372,1833,698,354,3080,2474,1413,2072,932,2627,932,932,1147,1676,1413,1275,1413,1361,6030,1275,1275,4189,4189,4189,2441,1275,1275,1275,2441,1413
148,3472,487,455,1852,898,354,3080,3080,1058,3080,1361,3080,2529,202,1361,202,1361,1361,1361,1361,1361,1361,202,1361,202,1361,1361,202,202,1361,1361,1361
149,3472,1962,16,1416,898,166,2474,701,202,202,681,2072,2072,202,2072,2072,327,1275,681,1660,5124,1660,1275,1660,1660,1035,395,1035,1660,1275,1035,1413
150,1371,487,2995,3487,1526,2075,1820,1820,1820,1214,3261,3487,277,700,2819,2819,1729,3487,1729,3487,1729,1729,1729,277,1729,1729,5126,1729,1729,3689,277,1729
151,3472,487,2154,700,1526,2542,442,830,1820,170,2783,2885,2266,1595,1595,2819,1595,1595,1595,1595,2819,1595,1595,2819,2819,1595,1595,1595,1595,1595,1595,1595
