ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43
31,3195,2047,1395,756,3116,2476,1309,2288,3263,33,773,680,33,39,0,2042,2042,720,3263,2732,3130,680,680,680,680,680,720,680,680,680,2732,0,680,680,680,680,680,680,680,680,680,720,680,680
32,3195,908,2783,756,1264,2783,1878,2135,3263,33,359,1124,33,1124,720,398,1575,1427,398,398,2783,2585,2783,170,398,389,398,2783,1842,3099,2783,3099,2783,398,170,1760,2783,1264,170,170,2783,2783,398,2783
33,322,4353,1148,1634,2095,2413,4274,2100,6614,6892,97,6679,158,2095,22,3425,851,1069,2095,851,851,0,4298,851,1069,1069,1069,22,3537,5231,1069,3537,1069,851,851,3537,3537,1069,851,3939,4298,3425,4851,4298
34,1077,1135,3441,2388,2221,3478,3153,1458,1452,696,1135,1965,776,1749,97,2742,367,367,1749,817,367,367,3376,1135,2792,1923,0,3376,1875,1965,1923,1923,3376,367,2742,1923,2577,3376,2742,2742,2742,3376,2742,1965
35,5404,1135,6812,4368,2102,2747,2742,1749,1212,696,3077,1749,1965,0,3077,2499,2577,817,1749,817,2577,3208,636,2742,1965,2742,2577,70,1965,1965,1561,817,2577,1749,2742,1565,2719,1069,3208,817,2742,817,2577,2577
36,1077,1715,1148,2118,1285,2043,2509,2043,2135,2043,0,2043,2043,1987,2118,0,0,2043,340,0,3490,340,340,340,2043,340,340,340,340,340,2043,0,554,340,605,605,340,340,340,605,340,340,0,340
37,1077,2146,2064,3254,307,2043,2709,1063,72,2064,0,3490,0,1223,2321,0,2064,1802,1257,0,810,0,2441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0
38,1077,2222,2444,1169,0,0,941,2301,1952,2356,0,0,0,1372,1362,2881,501,501,2427,2119,1608,1894,1952,1934,470,2602,2881,1608,1608,501,896,941,1608,2427,152,941,1608,896,941,1608,1608,896,1497,0
39,3195,2146,1148,2816,249,917,2011,2100,2095,3423,1498,840,978,2095,3282,3178,1498,978,2095,2095,1498,2095,2944,1498,1498,1498,1498,1498,0,1498,1498,1498,1498,1498,1498,2995,978,2995,1498,2646,3178,1498,1498,1498
40,3195,908,1148,756,3116,2790,277,3195,1877,1498,1498,1584,1498,2095,3282,3178,1498,5554,1498,1498,0,2073,616,1498,3282,5554,1498,2073,1498,3282,5554,3199,102,5554,2499,5554,5554,5554,1498,5554,1807,5554,1498,1498
41,5404,2146,1404,1518,3116,1326,277,2100,3282,2988,3346,840,2375,3282,3282,1615,1501,3273,2095,1326,1326,3282,4293,3282,3797,3282,3282,429,3282,1326,4955,3492,4955,1602,925,925,6754,6754,6754,3282,6754,5039,3282,3282
42,322,2146,1395,782,2704,650,1906,3195,665,3371,3195,1906,1906,1882,2891,3072,2783,1427,1842,3243,2783,1717,1261,665,1717,1717,1038,170,2697,3263,0,3440,3440,791,3440,3440,3440,1842,3263,2783,2783,3440,1408,144
43,3195,33,2441,1270,2704,650,2303,2310,2320,1717,3379,1906,2169,1717,1717,1164,3044,1717,1842,1369,0,1369,1369,170,1717,1717,1408,791,2011,0,0,0,791,791,1369,1717,1408,1369,791,2745,791,3263,791,2745
44,3195,908,1395,756,3136,2223,814,16,665,1824,3195,1906,1906,2156,430,2933,2933,1914,2950,1906,2933,2078,2078,1038,1914,3114,1038,1914,1914,1906,2011,1906,1914,1214,3114,1760,1760,2933,791,1914,1914,0,1906,0
45,2864,2146,2575,0,3116,282,2443,1034,3400,336,625,2601,754,2821,558,2627,1116,1116,2601,693,606,59,2717,606,606,354,898,606,0,2042,606,606,3028,3028,0,3028,606,2717,566,606,606,2136,606,1629
46,1077,2146,1395,1199,0,1233,0,1681,3111,2246,3346,3346,1946,1738,2441,3328,1946,322,3332,898,3346,898,2246,1295,3052,898,1681,1946,2731,898,673,3328,898,3052,898,182,898,1681,606,3052,2441,3418,1295,182
47,322,2146,1395,756,3116,1776,3304,3304,665,2246,3346,2601,3312,673,406,0,1593,1593,2821,1501,1593,354,406,1279,1593,0,1501,1501,2821,1501,673,2821,102,2821,1593,1501,1593,2821,810,1593,1593,1593,1593,1593
48,1077,604,1651,865,2871,0,0,352,2536,2397,320,352,1995,3068,3148,2536,2536,2536,2536,2536,352,2536,1995,352,352,2536,352,2536,352,352,2536,2536,2536,2536,352,2536,2536,265,2536,2536,1995,2536,2536,2536
49,1077,552,1275,2507,2978,0,1644,352,2536,352,1137,3407,2005,2857,2536,3407,3407,638,124,3407,124,2536,1644,579,3407,579,3407,0,3407,579,124,3407,3407,638,3407,3407,3407,3407,3407,579,1995,3407,3407,0
50,1077,0,1275,3417,2871,3407,2536,352,0,352,1137,2536,2005,2536,2536,2536,2536,2536,2536,2536,1461,2536,63,2109,3407,2536,2536,0,2536,2536,2536,0,2536,2967,0,2536,0,2536,2536,2536,1995,2536,2536,2536
51,1077,2249,296,3417,2871,1435,1391,1478,3198,1995,3198,352,120,2514,352,3407,1478,638,352,71,3119,3198,71,352,352,71,352,3407,1478,352,352,352,3198,1478,352,1478,3407,3407,3407,1478,71,638,3407,3407
52,1077,2146,296,3417,921,1435,2832,2304,2832,2820,296,1841,2832,2514,2832,2514,2514,3518,2832,71,3119,3198,71,3518,2832,2559,352,3518,3518,2217,0,3518,2217,3518,2514,3518,3518,3119,3518,2217,3518,2514,2514,71
53,2613,1474,296,2236,3516,3403,1668,2304,3198,1847,3198,1822,120,2224,1153,0,3198,3403,1443,71,3119,3198,3403,0,2008,71,1307,1478,1478,1478,0,1478,3198,1478,638,1478,3407,3119,1478,1478,0,638,1478,71
54,1077,1608,2444,727,0,2242,1878,1130,72,3371,414,1906,471,1387,471,1737,2358,206,1737,1223,471,132,292,292,0,292,292,292,1737,0,1737,206,1223,0,292,0,292,1737,0,0,0,0,0,292
55,1077,2222,6039,6440,4559,5590,5039,1336,0,3948,0,2459,6440,6440,2321,173,4309,0,2925,4231,2988,0,3394,0,3108,0,3394,3024,72,3394,0,0,2759,0,5460,0,0,0,0,0,0,0,0,0
56,1077,2222,1767,2236,1132,2574,655,1831,3509,3371,471,1906,3046,471,779,2562,471,471,471,471,3340,132,471,741,471,132,471,3046,779,3046,3340,132,3046,471,3046,3046,3046,3046,3046,779,471,1983,3046,779
57,322,2249,296,915,3163,1233,1459,445,1747,2853,0,1248,3178,3178,2283,3178,3045,2879,3017,3045,2283,1502,2204,1502,2204,1502,2879,3045,2879,3045,2879,1502,2879,2879,3045,1502,1502,1502,2879,1502,2879,2879,2879,2879
58,1077,2381,2444,3056,0,774,1878,2301,1617,2246,3004,389,941,0,720,1490,2786,1747,499,1490,0,0,1490,499,531,2135,1747,0,779,0,0,2256,0,0,531,1617,1747,39,531,1877,1877,1877,3509,467
59,5404,2146,1148,292,2680,1233,1878,3195,665,1498,605,533,2011,2011,2518,3178,2985,2574,2011,2546,2574,2011,2546,2574,2546,2546,2574,2916,2574,0,978,2574,2574,3203,3440,3440,2546,0,2546,2546,1664,2546,2546,2546
60,330,2249,1148,2816,1285,529,2509,1458,94,373,3006,1022,399,2428,94,94,2840,1389,94,3192,399,2509,2428,94,1389,94,94,94,0,1389,2509,94,94,2840,3006,2428,94,94,94,94,94,1389,2840,94
61,1077,1715,1148,2816,0,529,2571,3142,2542,0,3006,1022,1730,0,2840,94,1377,1389,3006,2840,2542,2509,1044,2840,1389,3006,3211,2135,1044,2840,2509,2135,2542,2840,3006,2135,1044,3006,2428,2542,3006,2135,1044,1044
62,330,2249,1148,2816,1285,2509,2509,1377,2135,459,2592,1022,94,3006,94,2108,83,1527,2108,1527,2108,1519,2190,1937,2592,2108,2592,2190,3126,2840,2108,2108,2108,2108,2592,2108,1937,2108,2118,2190,2108,1877,2840,2108
63,1077,908,1395,756,662,2783,3304,3195,1610,2288,1502,1554,2783,1382,3106,1382,518,1382,1382,1364,2288,1364,1382,333,1364,518,407,1364,2783,1427,908,908,2211,908,3195,908,1364,1427,349,908,1554,908,1364,1427
64,3195,2047,296,756,1264,1646,1317,1646,327,2122,1080,1022,1264,1264,701,2013,2621,1264,2621,1338,2288,0,2934,1338,1914,2288,2903,1914,1914,1973,2732,1914,1914,1914,791,1914,2732,1264,1264,2934,2732,2732,2903,3031
65,3195,908,1148,756,3116,2903,1333,343,3263,531,1080,3442,3263,3442,0,3044,2042,3263,3263,2732,2476,680,2903,3263,2476,3263,2903,2136,3263,680,2732,0,3263,3044,680,2136,2732,2136,3263,0,2136,2136,2136,2136
66,1077,604,1838,1769,2871,0,1861,2733,1861,543,1792,1861,603,965,965,603,1861,965,965,1792,1800,1861,1838,2213,965,965,965,965,965,1792,965,1861,965,965,965,965,965,965,965,965,965,965,1861,965
67,1077,3347,659,865,2167,2397,3093,1831,0,2397,1792,1861,457,3068,2505,1641,3412,2505,3300,1641,3154,2050,161,1391,865,3154,3154,816,3154,2612,161,3154,3154,3068,3154,3154,353,3154,2215,161,161,2050,3068,2397
68,5404,796,3489,2292,2167,2361,1071,1831,3358,2215,3068,2131,1691,3068,2131,3412,3412,17,379,2292,2292,0,3068,2292,556,2292,2292,176,1895,3068,2292,2167,176,3068,2292,17,1232,3068,1232,1232,3068,1067,3068,2292
69,1077,1474,0,1850,2167,2361,2913,0,0,0,1792,1242,1242,1242,1048,1242,480,1242,0,1242,0,1242,1242,2192,2086,1242,0,0,0,603,1792,694,2810,603,603,709,603,0,1250,1250,1250,0,1250,0
70,1077,2598,561,1850,561,0,2192,0,1590,67,1792,1792,1242,1098,694,1242,1910,2192,1242,1794,0,0,0,2192,2192,1804,694,2192,0,694,1350,694,0,0,0,0,376,2192,694,694,694,694,1350,0
71,1077,796,0,2236,2708,0,0,2733,1861,3917,603,2525,603,2605,965,603,1861,3154,603,2178,0,603,2178,0,603,2605,603,2178,3290,603,603,0,0,0,603,603,603,603,603,2178,0,2810,2810,603
72,3195,2431,0,756,2352,2163,997,1636,327,1340,2352,772,1229,1682,1229,2352,1682,1229,1229,2163,2163,432,1229,1229,1268,2352,2352,1229,1268,1229,2352,1790,1229,0,637,1229,0,1229,1268,1229,0,1229,0,1229
73,1077,6,3163,1169,3188,2795,997,3029,742,2864,3512,772,1181,2979,2163,2352,575,3013,1779,2163,2163,2163,2163,402,2979,433,2163,2163,2055,2163,2163,2163,402,2163,2979,2055,3228,2163,2163,2979,608,1229,2055,2979
74,3195,2431,2444,2078,2977,2163,997,2557,291,977,991,1925,25,2818,0,25,3238,433,1779,1779,255,3238,1779,1779,997,2557,25,3450,1779,1378,2557,0,997,1779,997,997,997,1779,1779,997,997,0,997,997
75,1077,2146,1476,1476,2352,2163,997,1303,291,977,2953,997,1181,1540,0,25,275,0,40,0,0,2163,25,0,0,0,25,977,2431,2163,2583,2431,25,0,2163,25,0,0,0,25,0,0,0,0
76,3195,908,1961,756,2352,2795,997,2583,291,977,692,1925,25,609,977,25,25,692,25,25,25,25,25,2583,25,3124,25,25,25,25,2583,25,25,25,25,25,25,25,2583,25,25,25,25,25
77,2864,2431,188,1169,2352,798,1470,2652,767,977,112,2902,2652,82,2163,82,1531,977,1555,2163,977,82,798,2583,40,2583,25,977,2163,798,2583,25,2583,2583,0,25,798,1939,2583,1939,2583,25,25,2583
78,5127,33,716,2078,740,300,0,758,3311,3521,3311,0,827,2290,255,0,0,0,3248,2728,0,2290,3521,2587,3248,2290,3248,2587,1378,1378,1378,3248,0,1378,1208,3248,0,3248,2290,1571,2290,3248,0,3248
79,3195,2146,234,1894,3188,1948,1612,0,3311,1948,3311,3169,2432,2290,2997,1208,1208,3248,496,1976,1948,0,1984,3521,1948,1208,2881,496,1378,1378,1208,1948,1208,1948,1208,1948,1208,1948,3311,1208,1208,1208,1948,1208
80,2864,2544,234,3177,3188,1948,2674,734,3311,2348,3311,0,3251,2997,2997,3248,3311,3248,3248,1976,3248,3082,2997,496,3279,3279,3311,715,3279,1378,1378,3248,3311,3311,3311,3311,3311,496,582,1208,2290,1208,1948,496
81,451,2249,1148,2152,1285,421,2089,2089,1899,3209,3073,2893,2771,2152,97,1483,2221,3425,0,2893,3425,421,422,422,3425,0,0,2893,2893,3425,3425,3425,3478,3425,3425,0,3425,2893,3425,3425,3425,0,3425,2893
82,6404,588,1148,585,0,629,1878,2043,6946,2120,2375,2120,0,2120,0,0,2120,2120,1570,2375,2120,2315,0,2120,3108,1267,2120,2120,2120,1267,2120,0,2120,2315,1267,3108,2120,0,2120,2709,629,0,0,0
83,5127,588,1148,585,0,629,1878,2043,6946,2120,1108,1267,0,2120,1267,2561,1157,585,1570,2375,2375,2315,1570,1267,3108,1267,2375,975,1267,1267,2375,1570,1267,2375,1267,1570,1267,1267,1267,1570,1267,0,2375,1267
84,1077,796,659,172,2708,1989,0,0,0,2397,603,865,865,2178,1861,0,3412,1963,1963,1963,0,1804,2178,0,865,2605,2178,0,1797,1963,1963,0,0,0,0,2605,2178,1963,2178,2178,0,1963,659,2605
85,1077,2598,659,172,2708,1989,2913,1120,0,2397,1740,865,865,0,156,634,2525,3154,1963,2178,0,2525,2178,627,865,0,2178,0,659,0,3154,0,0,0,0,0,0,865,0,0,0,965,0,156
86,1077,2664,0,172,2167,2361,0,0,0,2397,3068,865,1194,1804,379,0,0,1963,0,0,0,0,2913,0,129,0,3154,0,0,379,1963,3154,1963,0,0,0,0,0,0,0,1963,1963,176,0
87,1077,3680,0,0,2167,0,0,0,3358,0,34,3020,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,2913,0,0,0,0,0,0,2590,3489,0
88,1077,3680,0,172,2708,3956,2913,416,67,1800,34,1800,1691,75,379,3489,2735,34,1173,1804,0,1800,2913,0,0,2913,2178,0,1895,0,3766,1895,2913,0,2913,0,0,0,0,0,0,1895,3489,0
89,2864,796,659,75,2167,2361,0,1293,3358,1015,1375,67,1691,75,2981,0,0,34,2981,2063,1800,0,2913,2590,2913,2913,3489,0,1173,0,3358,75,2590,3489,2913,2063,3489,2590,0,1691,3489,2590,3489,67
90,1077,1474,659,865,1391,2397,0,2035,1861,2397,1792,865,865,3068,1861,320,1861,3154,2397,320,3154,1861,865,3154,0,0,0,0,0,1120,0,3154,3154,0,3154,0,816,320,816,3154,3154,3154,320,0
91,1077,1474,0,172,2167,1989,2913,1831,1120,2397,1792,865,1740,3068,0,3412,3412,2215,884,1572,3265,1861,865,884,865,3154,3154,2215,1120,1120,3154,0,3154,3154,1120,3154,816,865,2215,3154,2215,884,3154,0
92,1077,3680,0,1850,0,2361,0,0,1590,0,0,1242,1242,1098,2598,1242,0,0,884,1242,0,0,0,0,884,0,542,0,1928,1168,2996,1590,1590,0,0,0,1168,1332,232,1590,1242,0,0,0
93,1077,1135,3441,2858,4359,3478,2742,3478,6909,2908,2908,2908,2102,2792,3519,2102,2908,2908,12,2908,2908,2771,2908,2588,0,590,12,2908,1039,12,2908,2771,345,2908,628,2908,1039,2908,2908,3527,2908,2908,628,2908
94,330,4422,6812,4129,6810,4233,6989,5227,0,5257,4387,4548,3552,4617,4617,4387,3571,610,1946,4114,330,5119,6812,3552,2277,590,330,3519,590,330,590,3552,5201,5119,1532,330,6534,330,1532,590,330,2771,2588,1532
95,322,1474,1148,2388,3484,1239,2265,2852,1231,1180,1483,0,41,1311,2021,1483,396,1311,128,988,128,0,1004,0,2168,2289,0,0,988,988,2168,2588,0,2588,2588,2588,1180,0,1460,988,1460,396,1311,2277
96,330,1135,3441,2388,2221,3527,2265,3527,3527,1180,1483,2908,2771,0,97,1483,1180,1231,0,2588,0,2771,1460,2588,0,590,2277,0,2588,128,2588,2588,2588,2588,2588,2588,1180,2588,2588,1180,2908,2588,2588,2277
97,330,1135,1148,2388,3519,3527,6989,628,3527,1180,0,6534,2588,1311,0,0,0,1231,0,5696,128,12,2289,0,0,0,0,0,1039,2289,0,2588,2289,0,2588,0,1039,0,2277,0,0,0,0,0
98,330,1135,0,2388,3519,1239,2265,0,1231,1180,628,3527,1474,0,97,2289,824,1231,128,2588,128,0,2289,0,2277,590,2277,2277,2588,3527,2588,2588,2588,2588,2588,2588,2277,2588,2277,3121,2908,2588,2588,0
99,1077,2249,296,2217,1872,1633,2798,2870,2339,2639,1949,1903,2639,2339,2339,2639,1903,3322,1903,3322,3503,3503,3503,1903,3322,2198,2639,3322,2639,1903,1903,2639,2639,3503,2639,1903,1903,3503,1903,385,385,3322,385,2639
100,6553,2146,1395,1518,864,2574,1195,3284,0,2777,0,3169,1504,507,697,2672,1956,2564,2672,1956,1735,923,923,1735,2339,910,1745,526,2482,3488,0,2672,526,279,3488,501,3488,2339,447,501,2148,447,0,1745
101,1077,2146,659,2217,968,968,2958,2767,968,2974,1949,2322,1358,923,1744,301,1358,1744,1949,2125,1744,2125,1358,2125,2125,968,1744,3125,2125,1744,1949,3309,2125,1949,2125,1949,2125,1744,1949,1949,656,1744,2125,2125
102,1077,2381,2444,3056,0,774,1878,2301,1747,363,966,389,941,206,779,3509,0,2403,0,1747,779,779,779,741,2803,779,779,779,0,2403,3306,2803,2542,0,0,0,1747,363,779,3438,779,779,779,779
103,1077,2431,1919,1270,238,779,2234,1766,3397,363,389,389,363,363,363,363,363,1717,363,363,363,1766,363,363,363,363,363,703,363,363,363,363,363,363,363,363,363,363,0,363,363,363,363,363
104,1077,2146,2597,2606,2369,1633,1878,359,3397,363,389,389,2403,3006,2796,2307,1433,2403,1433,1473,1535,837,1535,837,837,2135,2403,2135,2403,2403,2135,2135,1535,2403,2403,837,1433,363,2403,3306,2671,2135,2135,2135
105,3069,2426,234,2872,2977,3117,2396,684,1885,2003,1322,0,3236,1328,3117,3523,2490,3134,2829,2829,2829,3042,800,1398,1886,2829,597,2829,2829,597,3236,1251,1251,1251,3236,1251,1716,3234,1017,597,2829,1816,0,3234
106,3069,2823,2444,3360,0,3260,1479,3274,3274,1771,14,2713,2555,316,2214,3399,2214,2214,3188,2214,2214,2214,3188,3275,2214,2214,2214,2214,2214,2214,2214,3399,3188,2214,3399,2214,2092,2214,2214,3399,2214,2214,2214,3399
107,5404,796,234,2872,3188,0,2396,1831,516,3150,3150,2713,2092,3399,2214,3399,2490,3042,516,3150,3399,3275,2723,2490,3399,2490,3275,3275,2490,2490,2490,0,2490,687,3150,3473,2092,2490,3473,2490,800,2490,3275,2490
108,1077,3680,659,2236,2167,2361,32,2002,3358,2397,2207,2361,1691,1098,1173,1173,3412,2157,1173,1804,1637,1173,1637,1637,1637,1098,1173,2178,1637,1637,2157,739,1098,1173,2157,1637,1804,1637,739,1098,1098,1098,2157,739
109,5404,3680,659,865,2167,1989,2913,2598,2846,2397,2598,3000,603,3647,860,1774,1547,1774,5875,4268,2598,4813,2243,2598,1774,2598,2598,156,156,1455,3154,2598,709,156,4813,1250,156,2598,2598,2598,1250,2050,1250,156
110,5404,1474,1529,2236,2167,2361,0,2035,3358,2397,1462,1332,1173,1098,1173,1637,3412,2157,1637,1804,0,0,1637,1637,709,3154,2178,2178,1637,1637,709,1637,3154,0,0,1637,2178,709,1740,2167,1455,2178,1455,869
111,5404,1715,1148,62,218,1233,1395,1395,2233,455,1498,3203,1788,1788,2714,2038,3111,1865,414,1788,1788,1788,3111,1498,2038,1788,2038,2038,3203,3203,3111,957,2038,2038,2038,2038,2038,2038,2038,2038,1400,3111,2038,2038
112,322,2146,979,702,2068,670,0,1101,2258,2988,697,490,3460,1738,2068,1401,1738,2258,1401,0,2437,0,2437,2437,2437,2437,490,241,2437,2437,3111,490,241,2134,2134,2437,2134,2134,2134,490,3111,3111,0,2134
