ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50
18,2792,3588,4880,3406,558,1602,1018,2627,2399,888,1329,2469,1666,2753,2753,2753,1760,1760,1022,2476,1760,1760,1760,1760,1760,2476,1022,2476,769,2476,1760,2476,2476,2476,2476,2476,2476,2476,2476,354,2476,2476,2476,1022,2476,2476,2821,2476,2476,2476,2476
19,2792,3588,6013,3733,1944,3157,2283,1610,455,2355,2355,2641,1519,2934,354,2355,1214,1760,1022,1760,1022,1760,1022,1899,1760,2355,1022,1022,202,419,1022,1899,2355,1022,2934,1899,2933,1899,1899,1022,1022,1022,1022,1022,1022,419,1899,1022,2933,1899,3224
20,2792,3588,6013,4457,1944,3157,2198,539,455,2382,1661,3079,3133,2347,1734,354,3133,3133,354,354,354,3028,1519,3133,3133,3133,973,3133,56,419,1022,354,354,282,2347,56,5501,56,3133,2479,56,354,56,2479,56,419,56,56,56,56,56
21,2792,3588,6013,4457,1944,5457,382,570,1006,1634,1916,3167,3232,1835,314,3275,1711,2092,2092,1213,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,3232,1500,3232,2092,2489,4535,3998,1500,2092,3232,4535,1916,1500,1586,1916,1916,1916
22,2792,3588,6013,3733,1944,1496,1874,1293,891,6051,1398,1442,1613,1508,1991,3371,1991,1046,3570,1991,1991,3570,3570,5383,3570,3570,1185,5383,1325,1325,1325,1325,3570,3570,3570,1325,3570,1325,5788,3570,3570,5788,5788,1325,5788,5788,1325,5788,3570,1325,5788
23,2792,3588,6013,4457,1944,5126,1784,570,570,1634,1916,586,1613,1613,1613,1613,1613,1613,1613,1613,586,1613,1613,1613,1613,1613,1185,1500,1500,3069,1500,1185,1613,3998,3890,1500,1613,1500,2489,3570,3570,1500,1500,1451,3232,3232,1500,3046,1451,1500,1500
24,2792,3588,6013,4457,1944,1903,2366,2863,2730,3280,787,787,787,2098,787,787,787,787,787,787,787,1095,787,787,1095,787,1095,1095,3089,1095,787,1095,1095,1095,1095,1095,1095,3089,1095,1095,3089,550,3089,1095,3089,1095,1095,1095,1095,2650,1095
25,2792,3588,6013,4457,1944,1540,2366,1947,2603,2634,2603,787,787,2603,787,787,787,787,787,787,787,787,787,787,787,787,632,1095,3089,787,787,787,632,1095,787,787,787,3089,787,3089,3089,787,3089,787,3089,787,787,3089,3089,787,3089
26,2792,3588,6013,4457,1944,5126,2666,2427,408,2634,2634,911,1095,1095,787,1095,1095,911,1095,1095,1095,1095,787,1095,787,1095,1095,1095,1095,1095,1095,3089,1095,1095,1095,1095,787,3089,1095,1095,3089,787,3089,787,3089,787,1095,3089,3089,787,1095
27,2792,3588,4880,2843,56,2524,773,921,1126,2695,282,3367,2304,1593,1289,1289,2229,1128,2423,1128,2423,545,1128,985,985,3143,3143,3143,3143,3155,3143,774,774,3155,3155,3143,774,3155,3143,3111,228,1945,1523,1523,3155,3111,228,3111,3111,3111,414
28,2792,3588,6013,4457,1944,1540,2366,1177,979,3394,3222,3129,466,3394,2103,2437,2437,1079,1079,1079,154,2437,2437,3155,3460,3155,2437,3155,2731,6,3460,2437,2437,2437,530,1306,2437,3155,6805,2437,1306,6,1591,2437,3460,1466,2437,1306,1306,1306,2437
29,2792,3588,6013,4457,1944,5126,408,1030,2689,2689,2689,3348,985,2298,2298,2689,2298,2298,2298,2298,1006,2298,2298,1289,985,1289,1663,1289,2731,985,1490,228,985,2994,228,228,1490,228,219,1490,228,228,228,228,228,219,219,228,219,228,219
30,2792,3588,4880,3733,1944,1496,2103,1177,1157,3340,1760,2907,2716,2907,1760,3454,2907,2907,1739,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,499,2907,6,1787,1157,3454,2819,2158,1139,3387,4772,1787
31,2792,3588,6013,3733,1944,1540,1018,2366,1124,2611,1326,359,3044,1473,354,354,1787,2543,354,1787,3263,1787,1410,1760,2543,1787,2543,2543,1787,6019,1760,2230,1787,2230,2543,2230,1433,1433,2230,2230,2230,1760,1760,2230,2230,1433,2230,1760,2230,2230,2230
32,2792,3588,6013,3733,1944,1496,2103,1177,1164,3271,2314,2907,2907,1427,2554,779,2554,2907,2950,543,2302,1106,2907,1106,1106,3003,3307,3307,779,109,3307,3307,3307,3307,3307,779,1433,2631,3003,779,109,3307,1833,2783,1833,2950,2783,779,3372,2783,2783
33,2792,3588,6013,3733,1944,1812,382,644,656,2564,22,3706,2397,2247,3346,851,851,851,1749,2102,2510,2102,2154,3597,5168,6981,274,2165,1443,3646,5248,2279,6450,2154,6981,5248,2165,2165,2510,2165,2165,2165,2165,1069,6981,2165,2165,1069,6981,1069,2165
34,2792,3588,6013,4457,1944,6376,408,3125,696,1661,1923,2616,1502,2939,1923,73,2792,73,1236,2204,2510,2204,2054,2204,2054,2204,2204,811,1749,1875,2204,1875,1875,3053,367,2204,240,1875,2204,1875,2204,1875,1875,1875,3153,1463,2017,1875,1352,2204,1875
35,2792,3603,4880,3733,1944,5098,4568,2322,1949,1949,1949,4908,1949,5617,5617,1749,2401,3346,1749,2577,2065,4735,3346,2065,2065,2065,2724,2065,3346,1684,1684,2879,2065,1684,2719,1684,1684,1684,1684,1684,1684,1684,1226,1226,2065,2065,1561,1226,1226,1226,2065
36,2792,3588,4880,3733,1944,1496,1018,2863,933,2620,3024,1118,2910,1652,2043,50,50,605,340,50,605,1987,1987,50,50,1987,1987,1987,3420,1987,3270,1987,2463,1987,2463,50,3270,1987,50,1987,1987,1298,1987,1987,1987,340,1987,340,1987,340,340
37,2792,3588,6013,4457,1944,1540,408,2863,340,1315,2910,2317,2910,2424,2910,2424,830,7022,7022,2412,522,830,2412,319,830,340,2412,7022,522,522,522,1697,2607,522,522,730,340,1697,522,522,2621,340,1697,522,1697,1697,1533,1697,7022,340,0
38,2792,3588,6013,1795,493,1812,1227,906,2602,130,2471,557,2984,3094,2356,2356,1976,2984,5732,2984,2356,5732,400,2670,400,2309,25,135,1225,400,1229,2702,2101,2309,2673,637,2702,3130,1340,1987,3130,1961,896,2457,3130,2119,1961,2360,1055,1055,3130
39,2792,3603,4880,2843,56,1602,997,1259,917,585,1058,1058,1820,1676,1676,395,3282,978,598,2893,3282,598,2893,1676,1676,1676,1676,1676,2893,1676,1676,2893,2782,2893,1676,2893,2893,1676,1676,2389,1676,2893,2782,1676,1676,2782,1676,1451,1451,1676,1451
40,2792,3588,6013,3733,1944,1701,157,1259,1914,2355,487,2581,2581,62,2581,2581,487,2073,11,487,1498,1584,487,3199,1820,3383,1498,1584,2893,5554,64,1584,2782,1584,2782,598,3072,5554,5554,64,1377,598,1377,978,64,64,64,5704,249,5554,646
41,2792,3588,4880,3733,1944,2524,1784,402,483,2581,717,2581,1820,1498,564,6100,6100,6143,6100,1301,1301,1584,249,585,249,1498,1498,1498,249,1584,1584,1584,1498,249,1636,1498,1498,249,1498,249,1498,1498,1421,1421,1421,249,1636,1498,249,978,1421
42,2792,3588,6013,4457,1944,5126,2366,1197,704,2695,665,911,2922,2411,1066,2501,1066,1903,1066,2501,1097,222,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1263,1097,1097,1265,1097,1097,1097,1097,1263,1097,1097,1097,1097
43,2792,3603,4880,3406,558,1602,1156,444,2928,3526,2310,1310,1728,1127,2058,1914,1309,2283,1073,1073,1309,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1309,1073,1073,791,791,6025,791,791,6025,1073,791,791,1073,791,791,791,1073,791,507
44,3131,2695,590,3406,4464,1602,1978,1767,3007,2695,282,144,157,1791,2959,1761,2156,398,1761,333,333,333,814,333,2089,1852,1761,333,1852,814,333,1761,333,1852,333,333,814,1852,333,333,6294,333,6294,6294,1852,1852,333,3384,3384,3384,1442
45,3131,2695,590,1463,4464,2894,1620,3463,1935,3400,635,336,3044,336,3026,3145,1681,336,336,3418,2627,3418,3331,3418,3026,1681,336,3418,3418,3418,3331,3331,3418,3331,3418,3418,3418,3418,3331,635,3418,3418,3418,336,3418,3418,336,3418,378,3418,3418
46,2792,3588,6013,4457,1944,1540,1784,1431,1645,1400,1401,2994,1845,1401,1629,1134,182,2684,182,1134,3261,2714,3395,3395,3261,2034,182,3261,1134,3261,387,3261,3261,3261,3395,3395,3395,3395,3261,3261,3261,3395,3261,3395,3395,3133,3261,3395,3261,3261,3261
47,2792,3603,4880,3406,1944,1602,1018,2863,979,2233,2233,2741,1666,1602,1602,1602,1602,1602,1602,1602,512,3362,1602,343,3017,1764,1602,932,1602,1602,2821,2736,1764,1400,973,1400,2736,1400,2821,1400,1400,2821,2821,2997,1764,2736,1400,1400,1400,2736,2821
48,2792,3588,6013,3733,1944,2636,2366,2366,2366,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,1995,1995,1995,1995,604,604,1995,1995,1995,1995,1995,1995,1995,2830,2830,1995,1995,1995,1995,1995,1995,2857,604,2857,1995,2857,1995,1995,2857,2857
49,2792,3588,6013,3733,1944,1701,2103,1955,3451,3451,3451,954,1651,3407,3407,159,3407,3407,3407,828,3407,3407,2536,3407,1995,3407,3407,3407,3407,3407,3407,2837,369,2793,3407,3407,3407,1995,3407,2536,5963,3407,2793,2793,2793,2793,3407,5963,1995,2837,2793
50,2792,3603,4880,3406,4464,1602,1018,2863,1980,2702,1759,312,2857,3119,2830,159,2830,1995,1995,2830,1064,2830,1064,1064,1995,2855,2855,101,1064,2830,2830,1064,2830,1995,2830,2830,101,3119,3970,2830,1064,2855,2830,1995,1443,2855,1995,1995,1064,2830,2830
51,2792,2695,590,3406,4464,1463,167,911,3352,1759,1759,604,2843,3119,3119,604,604,3407,3119,3407,2008,2008,3407,3407,1995,604,3407,3407,604,3407,3407,3407,3407,560,3407,3119,3407,3407,604,604,3119,604,4229,604,604,3119,3407,3407,3407,352,352
52,2792,3588,6013,3733,4464,1701,408,2871,1342,1759,1759,604,604,2536,1759,1929,604,3308,604,2964,2964,604,604,604,1995,604,3407,2964,1150,1331,1331,1331,579,2964,638,1443,1331,1331,2964,286,1331,1443,1331,604,604,604,2964,1331,1995,3198,2964
53,3131,2695,590,4464,6500,1812,408,1287,853,2074,123,887,2074,1216,2830,1216,2074,2830,2830,2830,2008,2008,2008,3403,3403,2008,2008,2008,1443,2008,2008,2830,2830,2008,3403,2008,2008,1443,2008,2008,3403,1443,2008,2008,3403,2008,2565,2565,2830,2830,2008
54,3131,2695,590,4464,493,493,5590,1455,282,493,1046,926,2894,2014,2894,2894,2894,2894,2894,2894,132,2175,2175,2894,2894,2894,132,2894,132,2894,2175,132,2014,2796,132,437,132,132,2542,2014,2014,2014,2175,3165,2175,3165,2542,2014,2014,937,937
55,3131,2695,590,4464,493,493,5590,6900,2334,6440,3102,2810,6440,2113,2810,6440,4688,4704,2113,4704,4704,451,2810,2057,1111,2057,2057,2810,4266,4307,3108,2673,1674,1674,1674,4611,1674,1674,1566,1674,3031,1674,173,1430,1430,1674,504,1163,2673,1073,173
56,2792,3588,6013,1795,493,1812,2063,1071,906,724,206,1453,2162,2014,2162,2162,2316,2316,132,2316,2565,132,2316,2565,2316,132,132,1983,2565,4688,6679,132,1983,634,1617,859,2175,618,231,634,570,2175,570,6733,580,570,570,570,570,570,570
57,2792,3588,6013,4457,1944,5126,408,2644,3052,3484,819,424,1672,497,2189,533,533,19,169,214,1973,1236,169,497,169,169,1672,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
58,2792,3588,6013,3733,1944,1540,1227,1955,2752,1430,1975,1737,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1617,1975,1975,1975,1975,1975,1975,1975,1617,1975,1975,1975,1975,1975
59,3131,2695,4880,1463,4464,2894,1156,1766,3139,1498,5440,2774,2820,1512,3386,3386,2645,3386,3203,1130,2645,3203,1130,1130,1130,1130,90,1592,1130,1130,1130,1592,1130,3486,1615,1130,1130,1130,1130,1130,1130,1130,1130,246,246,1130,1130,914,1615,1016,1615
60,2792,3603,4880,3406,1944,6854,408,2939,3053,3376,934,2592,2592,2917,1931,1931,2917,1901,3073,1901,2592,2614,1901,2176,2592,1931,1658,1901,2176,1901,601,2592,1658,2592,601,601,2176,2614,601,1901,2592,601,1877,601,601,1658,1658,601,2577,601,601
61,2792,3588,6013,4457,1944,1903,2366,2412,2034,3073,2893,2982,1412,2389,1789,292,1931,1789,2389,2073,2011,2073,2073,2073,2073,2073,2073,2073,2073,2073,2803,2499,342,2803,2503,2073,780,780,2499,2586,2910,780,2816,2503,2503,2503,2503,780,780,780,2503
62,2792,3588,6013,4457,1944,2636,408,3391,1211,5563,2893,2176,1377,94,1022,1377,2401,3055,1377,1377,2135,1377,1377,1527,1962,1780,1527,1527,1527,1622,467,5563,1780,3053,497,2499,2592,3053,3053,1527,2592,3053,3053,1377,3053,3053,1527,1527,1527,3053,2592
63,2792,3588,6013,3733,1944,4442,408,2366,1364,2802,3464,1970,701,1364,579,848,1364,1126,701,1364,1364,1364,701,1126,848,235,795,93,795,795,3120,701,795,1364,795,795,795,795,795,1126,1126,795,795,3120,3421,795,795,795,795,3120,3120
64,2792,3588,4880,3406,56,1602,56,3353,539,1661,2934,1118,1854,2934,2934,680,680,1854,1854,680,524,680,2934,680,2934,2934,680,2934,2934,2136,2136,2431,680,2136,2136,2431,680,2934,2934,2136,2136,680,2431,2136,2136,2934,2136,2136,2934,680,2136
65,3131,2695,4880,3406,4464,2524,2560,2136,2560,2382,1727,1126,2136,2136,2136,3031,3031,2136,2136,2136,2136,2136,2934,2136,680,2934,2136,1416,3263,2136,2136,2118,2136,2136,2136,2136,2118,2136,2118,2136,2136,2136,680,2136,2136,680,2136,2136,1416,2118,2136
66,2792,3588,6013,4457,1944,1540,408,3403,1196,1196,93,1493,1838,2554,1838,603,2554,1329,1833,1666,1329,1681,1681,1831,2300,1681,2300,2300,2300,1681,2300,2300,2300,2300,2300,2300,2300,2300,2300,603,2300,2300,2300,5896,2300,2300,2300,2300,2300,4043,2300
67,2792,3588,6013,3733,1944,1903,1227,2143,850,850,2184,3093,1484,2097,525,525,1484,1929,1929,525,525,3068,2292,1443,3093,1443,3410,1929,1443,400,161,400,3068,2712,2373,1929,3300,1443,3148,1443,3148,3148,3148,3148,3148,1443,3148,3148,1443,3148,1443
68,2792,3603,4880,3406,1944,1701,2215,1071,865,634,689,2131,2131,3363,1232,1232,1232,1232,2361,3068,3148,1232,3148,197,3148,2224,1232,400,1232,3956,3956,3068,3068,3068,1232,3956,3956,3068,3068,3068,1641,3068,1462,3068,3068,3068,3068,3068,3068,3068,3068
69,2792,3588,6013,4457,1944,1540,2215,1067,1547,1462,1242,1462,1067,480,561,1067,1242,1462,694,1462,1462,1462,1067,1462,1462,1462,1067,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,904,904,1462,904,904,904,904,904,2243,904,694
70,2792,3588,6013,4457,1944,5126,2215,2981,548,1420,1332,561,2497,32,32,2500,694,488,694,1520,32,2063,488,3347,2063,3347,488,488,488,1804,561,2236,2236,2236,1910,2236,3270,2236,311,1250,2236,2236,2236,2981,311,311,2236,311,311,311,311
71,3131,2695,590,1463,4464,2894,1015,1173,548,1194,2733,1679,3154,1804,3154,1455,361,361,1763,361,1804,1520,1763,2733,1763,361,361,2733,2733,2525,1520,2733,361,361,361,2733,361,361,361,361,361,2733,361,2733,361,2733,3290,3290,2733,2733,2733
72,2792,3588,6013,4457,1944,1540,2103,1177,1433,492,814,1123,2444,152,152,65,65,65,65,65,2525,2525,40,2525,40,65,65,3374,1598,65,65,3374,1790,65,65,5986,40,65,1790,3374,3456,40,3374,3456,1862,3374,2556,3374,40,1862,1622
73,2792,3588,6013,4457,1944,5126,1784,1431,25,1,3039,2907,2907,1,2683,562,6,2081,101,1181,914,914,914,2442,2442,914,2311,1598,1598,1598,1598,1598,1598,1598,68,68,1598,1598,746,1598,746,114,130,1598,140,1598,2327,1598,2327,2327,2327
74,2792,3588,6013,3733,1944,1540,1784,3289,3289,690,2155,25,30,275,2583,1531,475,2557,557,2557,25,1925,2557,1779,2660,3036,1925,1779,2557,2557,1181,2660,2660,881,557,1779,1779,2557,997,2557,2557,1181,2557,753,1624,1624,2557,2557,1624,1624,2557
75,2792,3588,4880,3406,1944,1701,2653,2863,2132,2383,275,997,284,1218,1218,3124,1540,2121,284,1218,2214,284,1837,2214,2163,2163,284,2121,2214,2041,1464,2041,2615,1464,1464,2374,2163,2163,2163,1464,1464,3091,1464,1464,1464,2163,1476,1464,3091,2163,3091
76,2792,3588,6013,3733,1944,4442,1784,1052,1369,585,1044,3443,1820,1891,3390,1253,1891,1891,74,1711,1711,1366,3390,3390,3390,2163,881,485,881,2163,1181,881,2464,2163,2163,881,2163,2464,2464,1181,1181,881,2163,2464,2163,2163,2464,881,2464,2464,2464
77,2792,3588,6013,3733,1944,1540,1784,1912,1079,1157,1157,2907,1277,1157,1157,1157,1277,1176,881,1176,881,881,1176,881,881,881,881,881,881,881,3094,3094,6083,881,881,881,881,3094,881,3094,3094,881,881,1176,881,881,881,881,3094,3094,881
78,2792,3588,6013,3733,1944,1540,1784,2143,3104,2328,3104,3104,939,3248,2587,1349,3248,3248,3248,1756,3248,3248,3248,3248,3248,3248,1853,3248,2290,2290,3248,2587,2290,3248,2587,1853,3248,2471,1208,2290,3248,2471,3248,3248,3248,3248,3248,3248,3248,3248,3248
79,2792,3588,6013,3733,1944,2034,1784,2143,3104,3104,3104,2713,2496,3450,2429,3450,1191,1208,827,1208,1191,2328,1208,1191,1208,1191,827,1191,1191,1191,1821,827,827,2746,496,827,496,496,2746,1191,1208,2328,2746,608,1208,972,2977,2977,2977,496,582
80,2792,3588,6013,4457,1944,1540,1784,1779,3104,977,432,3190,3190,1992,1990,1990,1992,1992,1756,1756,2481,1990,1992,2481,1756,1756,972,1756,1992,1756,3185,972,972,972,2128,972,1992,972,972,1328,4386,1328,972,972,1328,1328,2464,1328,1328,1328,20
81,2792,3603,4880,3406,558,1602,3373,1899,3054,3054,1710,3054,3073,2289,3073,3054,1840,3054,2858,3425,3425,421,1483,421,421,2289,2734,6680,6680,6680,6214,6680,6680,3383,3383,6680,3383,1393,3383,5201,6680,3383,3383,6680,1483,3383,3383,3383,3383,3383,3383
82,2792,3603,4880,2843,56,1602,157,1157,402,1304,1304,1000,1000,1843,50,1285,700,2120,1843,2120,1570,2120,700,1570,2089,1974,2120,605,6766,2120,2120,605,2089,2473,2120,605,605,2120,700,585,605,605,2120,2120,2089,605,605,2120,2089,605,700
83,2792,3588,6013,3733,1944,1602,2103,402,402,50,1000,1000,505,2636,1000,585,585,1444,6766,1157,1579,700,700,585,585,585,1568,700,585,700,700,700,700,700,700,700,605,700,700,700,1760,605,700,700,585,605,605,605,700,605,700
84,2792,3588,6013,4457,1944,1540,2215,1293,3345,348,1173,1679,1813,1445,1963,2151,2151,1098,2635,1637,67,2151,3363,2733,1963,2733,1637,1963,2733,1194,659,1194,659,1194,320,1637,320,659,659,1637,1637,2224,659,659,659,2605,2605,2605,659,659,659
85,2792,3588,6013,3733,1944,5126,1227,320,865,6776,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,1740,865,865,865,865,865,865,865,865,865,865,865,1963,865,1963,865,865,865,865,865,865,865,865,865,865,1963
86,2792,3588,6013,3733,1944,2636,2215,1067,865,3345,145,379,904,1986,2605,1637,2151,2605,3412,1986,1462,1462,379,3412,2913,379,481,2151,2778,45,2913,2151,1963,1194,45,3501,1194,379,1462,45,689,2605,176,176,176,176,1963,45,2605,2605,176
87,3131,2695,590,3406,4464,2894,1015,739,1173,1173,1173,67,1173,1173,3496,1425,67,488,2981,1425,2981,2981,2524,2981,32,2981,2167,2981,2167,1425,303,2167,67,75,2981,75,2981,2981,418,1332,2981,2981,418,303,2981,2981,2981,2981,2981,2981,2981
88,2792,3588,6013,4457,1944,1903,2215,1067,3154,1895,1691,67,479,67,1210,592,67,1960,2981,2981,2981,67,2981,2981,2981,2981,1015,2981,2981,2981,2981,1071,67,75,75,75,948,2981,75,75,75,75,75,75,75,75,2981,75,75,75,75
89,2792,3588,6013,3733,1944,1540,645,1293,972,1065,2497,2497,2497,1065,2497,1065,1392,1137,1679,1679,2452,3489,1679,3148,2981,3496,2391,67,2981,3489,2497,67,67,2497,3496,3496,418,2981,67,3223,2981,2981,418,2981,2981,2981,2981,2981,2981,2981,3489
90,2792,3588,4880,3406,56,2524,2063,1067,2846,3347,3016,3068,2612,1391,3068,816,2846,1391,2657,1391,1861,1391,1861,1861,627,1128,1861,1847,1128,627,627,1391,1128,1128,1128,1128,1128,1847,1847,1128,1847,1391,1847,1847,1847,1817,1847,1391,1391,1391,965
91,2792,3588,6013,3733,1944,2057,1227,1391,865,2167,1637,1637,2397,1335,865,1332,1335,1847,884,2524,2937,884,1332,3647,1774,1335,2846,884,1411,1232,542,2919,542,6014,884,1335,1335,1411,884,884,542,2361,1411,884,884,884,542,884,884,542,542
92,2792,3588,1788,3406,1944,3678,1015,1173,2524,542,3496,1332,2243,5213,2361,1332,1774,542,2361,2361,2361,2361,2361,1411,627,348,481,481,2361,481,1774,2361,481,2361,2361,2361,481,2361,2361,457,1928,1989,1989,2361,3168,457,457,2215,457,457,457
