ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38
17,430,139,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
18,243,126,358,388,126,338,382,338,337,337,64,338,338,382,126,126,337,64,126,382,338,382,337,338,337,382,303,126,337,382,78,7,126,126,126,337,337,7,337
19,332,319,109,109,272,272,333,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,190,272,272,272,333
20,856,22,95,272,157,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
21,15,126,324,324,324,357,152,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
22,108,306,324,324,374,324,31,282,31,282,324,282,165,405,146,405,324,282,324,282,309,282,324,282,175,282,282,7,282,324,324,7,405,146,324,282,282,324,324
23,326,82,231,434,165,165,165,165,165,165,324,324,165,165,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,183,324,324,324,324,324,324,271
24,251,200,75,75,225,251,127,90,359,163,430,251,335,36,251,251,251,251,251,251,435,199,430,435,435,199,435,430,319,199,371,188,435,182,257,371,371,182,257
25,12,430,430,430,430,430,430,430,210,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,319,430,430,430,230,430,319,430,430,230,430,430,430,430,430
26,130,418,430,339,430,291,430,430,230,430,430,430,430,430,430,430,430,430,430,430,146,230,430,430,335,430,430,430,430,430,430,430,430,430,430,430,230,430,430
27,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
28,681,481,164,306,297,205,306,389,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,47,306,306,306,306,306,306,306,306,306,306,306,306,306,415,306
29,144,211,150,150,359,64,132,24,375,431,31,123,382,91,382,382,77,200,359,169,126,185,91,235,91,382,169,91,91,185,382,235,235,269,235,382,85,282,356
30,418,418,140,98,98,98,98,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
31,418,362,234,114,178,166,166,8,8,8,84,166,166,8,8,166,8,8,166,221,8,8,166,8,166,166,166,166,166,166,166,8,166,166,166,166,166,166,166
32,98,45,166,98,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
33,40,130,319,14,72,49,72,72,72,72,72,72,173,72,72,72,72,72,72,72,72,72,72,72,72,173,72,72,72,72,72,72,72,72,72,72,72,72,72
34,51,483,282,72,72,72,72,72,72,72,72,72,72,257,72,72,72,72,152,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
35,401,79,73,48,73,173,173,72,72,73,72,173,72,72,173,72,72,72,72,72,72,316,173,72,72,72,72,173,72,173,72,72,72,72,72,72,72,72,173
36,238,308,238,238,238,238,238,92,238,238,238,238,238,238,238,238,238,238,238,237,238,238,238,238,238,238,238,238,238,238,238,238,238,237,238,238,238,237,238
37,37,261,70,237,370,290,237,237,237,238,237,237,237,237,237,237,237,237,237,237,43,237,370,237,237,437,237,237,237,167,437,237,237,237,237,6,237,237,237
38,413,204,238,226,238,70,43,70,70,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,55,238,238,238,238,261,250,238,238,238
39,192,127,103,103,261,377,111,406,406,68,87,95,297,111,105,363,374,111,406,283,111,283,86,111,374,363,363,54,283,283,73,363,328,283,217,374,194,297,363
40,678,18,98,138,32,32,32,32,178,271,436,436,156,156,95,156,78,95,78,78,229,78,229,364,78,78,78,78,78,78,129,78,78,78,78,78,78,78,78
41,571,571,278,156,203,78,50,78,78,264,78,78,78,78,78,78,25,126,78,78,78,86,78,78,78,78,78,78,78,78,78,78,95,78,78,78,382,78,78
42,546,215,48,48,72,72,72,94,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
43,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
44,49,322,49,49,94,94,49,49,94,49,49,49,94,49,49,49,94,49,49,73,49,94,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
45,337,309,70,135,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
46,7,380,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
47,240,70,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,31,7,7,7,7,7
48,246,279,182,68,68,406,68,147,68,68,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,68,313,313,313,313,313,321
49,175,154,368,365,584,313,416,46,406,147,68,313,406,321,68,406,68,68,68,406,68,68,23,321,68,68,68,68,23,68,68,400,68,405,68,68,313,68,313
50,249,394,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,263,814,15,172,172,172,308,172,172,172,308,308,172,394,308,308,308,308,175,198,308,308,427,308,427,308,308,308,308,308,308,308,308,308,308,172,308,308,175
52,405,273,308,400,308,308,308,308,308,308,308,308,308,308,308,65,65,308,308,204,308,308,308,308,308,204,308,308,308,308,308,308,6,308,308,308,308,308,308
53,874,53,243,55,289,308,346,289,289,414,172,414,308,308,241,308,241,210,144,308,308,18,308,18,279,210,279,18,308,279,92,18,279,279,308,279,279,238,308
54,35,4,218,218,218,218,218,218,218,218,246,313,218,218,246,218,218,218,218,246,218,218,246,218,218,218,218,218,218,218,218,218,218,218,321,218,204,218,218
55,116,182,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
56,54,77,176,523,218,395,218,211,218,218,546,218,708,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
57,282,111,111,302,302,73,323,73,302,117,392,432,282,323,328,282,302,225,374,225,274,117,125,374,302,282,225,405,283,374,256,323,282,253,302,237,374,374,125
58,156,231,143,141,231,402,141,410,410,410,410,410,410,410,410,410,141,410,410,410,402,410,402,402,405,410,435,410,130,410,410,255,410,410,410,410,258,410,410
59,349,410,410,122,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
60,577,310,277,56,469,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
61,341,221,344,344,415,391,344,391,415,415,415,68,415,68,415,415,415,415,415,415,415,415,33,283,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
62,209,209,415,6,415,250,209,415,209,415,209,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,209,415,415,415,415,415,415,415,415,415
63,91,3,3,58,351,169,58,148,148,354,91,252,91,165,252,165,356,165,148,122,148,148,148,122,148,148,122,148,148,148,148,148,148,148,148,148,148,148,148
64,59,266,135,374,381,264,126,150,26,148,58,374,351,71,68,148,356,148,148,148,71,351,122,148,148,148,148,148,282,71,122,71,148,351,351,71,235,71,247
65,83,148,381,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
66,269,207,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
67,423,143,423,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
68,253,50,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
69,389,26,297,377,377,377,377,258,208,297,377,377,297,297,297,297,297,297,297,156,377,377,377,377,377,377,377,377,377,377,377,377,377,283,377,377,377,377,377
70,695,415,400,377,99,99,99,99,400,377,377,301,377,377,377,377,301,377,377,377,377,377,377,12,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
71,377,377,377,377,377,377,377,664,377,377,377,377,377,101,101,377,101,696,101,101,297,804,377,377,101,377,297,377,377,377,297,377,856,377,377,377,377,377,377
72,331,317,212,184,5,698,698,415,15,698,411,698,411,411,212,698,429,698,277,277,277,277,15,411,276,15,212,15,15,276,15,15,15,277,15,276,429,277,277
73,135,15,47,429,250,418,469,429,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277
74,227,227,259,317,209,418,56,418,277,277,277,277,277,277,277,250,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277
75,858,71,143,156,264,41,359,280,272,208,374,335,41,280,202,41,87,121,41,280,263,87,41,271,41,87,280,87,41,359,41,41,87,41,41,50,41,280,87
76,679,11,57,331,359,240,150,431,360,287,360,359,359,359,359,240,359,40,359,40,359,372,359,359,359,359,359,359,367,359,359,359,359,359,359,296,359,359,359
77,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
78,424,7,395,309,337,127,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
79,342,309,374,77,339,374,77,31,11,119,119,31,31,31,145,31,129,286,396,119,145,31,31,31,31,31,31,31,31,31,31,286,145,286,31,31,286,286,31
80,282,677,82,324,210,31,324,146,324,31,146,7,31,324,31,31,31,146,374,31,31,752,31,677,31,31,31,31,31,241,31,31,31,31,146,677,31,273,31
81,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
82,135,188,344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
83,37,349,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
84,207,143,170,421,190,190,135,131,285,131,131,131,131,135,309,285,285,309,285,285,285,285,285,135,285,309,285,285,271,285,285,285,285,285,285,285,135,285,285
85,240,224,253,224,263,46,131,309,285,361,349,285,285,135,202,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
86,668,208,26,180,202,202,374,156,131,136,309,131,131,309,395,263,8,87,285,395,131,87,87,87,87,64,87,309,131,285,87,309,309,309,146,82,285,87,395
87,308,424,308,433,292,297,187,297,261,210,297,261,261,261,261,297,261,261,40,40,261,261,261,261,261,261,261,261,261,43,261,261,40,261,261,261,261,261,261
88,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
89,339,92,138,378,261,261,261,261,261,261,261,261,261,261,261,261,261,269,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
90,58,40,413,370,370,370,413,413,370,436,370,436,370,436,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
91,63,290,290,370,237,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
92,134,222,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
93,77,236,205,375,375,217,290,261,375,217,169,269,236,217,261,169,217,236,261,413,236,213,217,378,236,200,37,269,217,217,269,269,217,217,104,217,269,217,236
94,587,745,531,42,181,11,376,77,339,229,178,178,156,11,178,178,217,178,178,217,229,178,302,302,178,217,178,43,315,178,178,302,304,302,178,217,217,217,178
95,378,313,176,99,205,178,178,178,178,178,217,217,178,213,217,217,217,205,217,217,205,217,213,226,226,217,217,217,213,217,217,217,217,226,226,217,217,217,217
96,212,570,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
97,543,212,297,127,297,297,297,297,212,297,137,137,87,156,297,297,297,306,389,297,87,297,297,87,297,297,297,297,297,389,294,389,297,297,87,297,389,297,87
98,584,344,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
99,279,300,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
100,218,346,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
101,233,162,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
102,77,63,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
103,59,67,127,336,58,58,160,295,160,58,58,58,389,58,58,58,58,295,58,295,58,58,58,87,389,423,295,295,295,295,295,295,127,295,295,295,295,295,295
104,273,22,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
105,181,32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
106,80,382,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
107,354,429,429,5,5,5,5,5,429,5,5,5,5,5,5,5,5,5,429,429,5,5,429,429,5,5,5,209,5,5,301,47,5,5,5,5,88,15,5
108,87,137,50,87,50,87,137,137,50,50,87,87,137,87,50,50,280,379,87,273,294,87,294,87,156,280,87,280,87,87,228,87,87,142,294,87,156,294,156
109,278,294,228,264,50,50,135,228,228,228,50,253,34,50,50,50,50,156,50,87,170,228,50,228,228,202,50,157,263,50,202,50,359,50,228,228,228,50,156
110,187,157,107,187,170,170,131,87,294,285,87,131,87,127,359,170,423,50,50,424,50,50,87,87,50,423,423,50,263,135,50,50,50,50,50,138,50,50,50
111,334,102,117,298,268,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
112,325,325,325,244,117,108,298,108,298,298,298,298,298,108,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
113,267,298,117,298,117,128,298,128,298,298,298,298,298,334,334,298,298,298,298,298,334,298,298,334,298,298,298,334,298,298,108,298,298,298,298,298,298,298,334
114,271,393,284,233,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
115,284,14,284,176,284,284,368,284,284,412,284,284,284,284,284,284,412,284,284,284,284,284,412,284,412,284,284,284,284,284,284,284,284,284,284,284,284,412,284
116,284,284,396,284,284,284,284,284,284,284,284,412,284,284,412,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
117,13,75,402,186,186,181,350,169,391,21,260,378,696,205,42,326,2,205,204,172,696,392,250,172,696,6,42,147,2,204,172,350,804,353,2,313,25,204,326
118,549,531,64,129,13,13,13,253,119,13,13,253,13,13,132,421,13,13,255,132,37,13,13,259,13,13,13,13,421,13,13,13,13,13,13,13,253,239,13
119,549,42,42,337,13,13,358,13,13,13,13,13,13,13,13,175,253,13,64,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
120,832,755,369,369,369,369,11,369,37,369,332,369,332,369,261,55,20,222,332,222,37,332,332,249,332,144,222,393,393,332,332,222,144,222,332,222,144,393,210
121,144,91,251,251,251,430,251,430,161,251,251,251,251,251,161,161,161,251,161,161,161,251,251,251,251,251,251,251,161,251,251,251,251,251,251,251,251,161,251
122,34,130,251,371,251,251,251,145,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251
123,783,381,64,13,131,431,31,64,309,271,157,338,309,135,135,175,157,135,376,2,309,157,309,309,135,7,271,135,309,309,157,309,303,157,376,358,309,157,309
124,379,24,390,137,357,357,309,424,58,424,309,390,309,424,309,423,424,424,174,157,309,157,174,157,157,174,157,309,157,174,157,174,157,157,174,309,421,358,157
125,247,272,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157
126,121,402,402,223,223,223,126,126,402,126,126,71,223,223,223,223,223,223,223,223,223,71,223,223,71,223,223,223,223,223,223,223,223,223,223,223,223,223,223
127,287,126,143,275,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
128,216,402,361,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
129,331,77,335,77,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
130,22,22,22,104,422,150,104,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
131,685,211,235,72,150,150,354,150,150,375,150,150,375,150,150,150,150,150,150,150,150,359,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
132,523,435,188,435,435,435,363,24,93,24,305,24,231,428,24,275,24,122,296,305,79,275,428,402,160,402,7,402,275,402,402,402,402,402,7,402,7,402,7
133,775,403,21,140,302,246,65,147,372,65,98,88,250,42,42,65,166,21,250,42,84,84,98,98,21,21,21,84,289,21,98,84,289,250,96,98,98,84,84
134,165,565,251,39,290,414,376,166,308,166,156,156,376,166,289,166,166,289,166,166,376,18,166,166,166,289,166,166,166,289,289,289,166,289,289,166,166,166,166
135,526,581,551,221,21,21,21,113,21,24,306,21,21,21,21,21,21,391,175,175,21,250,88,21,42,42,21,394,21,88,21,21,396,88,64,382,394,42,396
136,116,254,664,321,416,101,21,416,101,88,21,249,101,64,353,337,39,328,24,101,197,411,250,39,21,286,394,102,416,437,21,21,21,313,101,373,39,286,205
137,808,461,21,283,21,21,21,21,21,21,21,21,21,21,21,21,397,696,112,21,21,297,21,21,696,21,21,21,21,154,21,21,21,353,21,21,154,21,353
138,45,92,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
139,186,221,45,45,89,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
140,383,189,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
141,47,249,53,205,53,99,332,313,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,56,53,53,53,53,53,53,53,53,53,313,53,313,53,53,53
142,300,309,202,188,109,130,196,135,406,344,416,99,23,99,23,23,23,99,23,23,99,99,254,254,99,99,53,53,147,99,254,205,23,53,53,53,313,411,99
143,733,42,262,406,139,331,53,271,109,53,53,234,234,234,53,234,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,269,234,53,416,53
144,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
145,264,278,297,214,371,371,371,422,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
146,532,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
147,840,280,136,179,264,93,93,93,207,93,207,78,413,93,264,93,93,42,436,25,25,436,42,25,413,436,42,436,25,413,413,436,25,42,436,25,25,25,436
148,106,25,25,25,25,25,25,297,256,25,256,237,226,25,25,436,237,436,210,25,25,230,25,25,55,187,25,25,25,25,25,308,25,25,40,25,25,40,25
149,379,203,804,776,548,548,493,628,628,628,628,208,628,874,797,628,628,628,874,628,628,628,874,628,628,628,628,628,628,628,874,797,628,797,127,628,696,628,628
150,415,415,204,6,246,418,206,418,206,420,362,418,400,362,418,206,362,362,418,362,344,37,212,349,362,362,344,15,344,362,418,205,362,15,344,344,339,344,344
151,254,112,411,254,411,411,411,411,227,307,353,227,112,118,411,254,9,112,112,118,307,307,307,9,307,307,9,227,112,411,307,227,112,112,9,112,112,9,227
152,233,140,84,138,140,250,204,289,276,250,195,195,195,195,195,250,277,195,195,276,195,321,195,195,195,195,277,277,277,195,195,277,88,277,195,277,277,195,277
153,200,271,138,138,399,399,150,150,279,279,279,260,279,279,279,422,279,241,279,279,290,279,279,279,279,279,279,279,286,279,290,279,290,290,279,290,279,279,279
154,279,279,392,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
155,438,438,182,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
156,591,299,260,365,381,5,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
157,161,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
158,88,169,63,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
159,200,62,378,167,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
160,256,193,226,226,62,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
161,368,246,65,65,378,378,6,47,378,378,378,378,378,378,378,378,378,47,378,6,378,378,378,378,378,378,378,378,378,378,200,378,378,378,378,378,378,378,378
162,345,197,358,386,386,294,216,46,386,386,46,386,46,180,386,386,386,180,386,386,386,46,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,344
163,127,204,205,120,416,429,205,254,205,416,386,386,416,416,416,386,403,416,416,386,416,429,386,386,416,377,386,386,416,386,386,386,416,386,403,46,386,386,386
164,770,400,120,262,154,120,196,154,386,386,386,386,386,46,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386
165,295,288,437,75,265,380,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
166,192,322,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
167,311,373,67,67,643,67,27,27,27,192,27,27,27,27,27,27,27,192,192,192,192,192,192,27,421,83,59,27,192,27,421,192,83,143,59,59,27,59,192
168,273,328,405,273,374,374,374,432,374,374,374,374,374,374,374,374,374,374,374,405,374,374,374,374,374,374,374,374,374,374,374,374,282,374,374,374,374,374,169
