ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45
28,340,2431,1179,507,2068,1985,3155,3207,1605,1604,2874,3336,2450,393,3155,3072,3486,2874,3155,2437,3155,154,2437,1477,3155,2437,1533,2779,1896,2437,3155,3155,2437,3155,2134,2285,2285,3155,154,2285,3155,2225,2134,2437,2437,3155
29,1236,138,1858,1769,1646,1985,1289,1789,2564,2173,3143,477,2450,909,2722,477,1666,909,3249,909,1031,477,477,477,3155,477,2722,477,1940,1031,2057,3155,985,3348,1031,1453,133,3143,154,2722,1036,1940,3348,2722,191,1031
30,2864,33,1179,1717,1842,2055,39,1164,2135,33,359,1603,1264,1076,349,3292,39,359,398,359,359,398,398,499,398,2578,359,398,1264,2135,398,398,398,2386,359,398,170,2230,2135,3002,398,398,398,398,398,398
31,3195,33,1179,1769,1646,3472,759,908,2135,33,2585,720,3263,1124,720,2042,2950,720,1842,720,3099,2585,2042,499,680,680,1304,720,2732,720,33,398,680,532,720,2807,720,2230,720,1653,2732,720,680,2585,720,1427
32,2542,33,1179,1164,1848,1760,3340,1164,2135,1653,170,1603,3263,1124,720,2281,2011,720,1842,720,3099,2585,2011,2266,1603,2153,3263,720,3130,113,398,398,398,1408,2732,3477,2737,2324,720,1747,2732,720,2324,2959,720,1747
33,1077,4353,3208,1069,1089,2413,5891,1801,1452,6892,3077,1146,5621,3423,1069,2102,4287,3423,817,3305,3939,1875,1417,4287,6719,3305,2574,1432,4313,3763,2882,318,817,2967,2831,97,2882,1069,2719,817,1069,3057,2882,817,5904,2882
34,774,1135,1923,3391,2102,2204,3153,3478,1452,1226,3077,1965,1965,1749,1772,2742,1875,367,817,817,1135,2592,318,2253,613,2742,367,613,70,2577,3153,318,3478,1965,2577,2204,1965,367,318,801,2204,318,318,817,318,1226
35,5784,5674,1923,1226,1089,3478,3153,3478,1452,5085,3077,1749,1965,636,1772,2742,2742,1772,817,817,1226,1772,1358,2742,464,817,2742,876,1494,6103,1749,318,817,1965,5291,1226,587,5185,2747,2577,2204,5904,1069,817,2204,1226
36,5963,933,1179,2230,165,350,1987,2043,1686,2910,2118,2043,1878,1987,2321,3444,3444,50,50,1315,539,340,319,2910,1315,340,3490,1987,340,3490,554,1298,933,1787,1648,1987,340,2904,340,578,1987,2478,2,605,1512,340
37,267,2910,2064,237,2321,3162,2920,2926,1686,1503,1503,2459,1878,1994,2321,3395,3486,2342,3129,2866,2,1598,319,2112,1315,3227,1269,3129,2925,2925,3431,1298,2,3129,1648,1987,605,1257,2910,578,2866,2866,2,2866,2321,2866
38,2925,2952,1179,633,1437,1989,1952,2411,1952,2356,236,2807,1136,896,896,1346,2602,640,896,2141,1497,2444,941,173,2806,2602,2602,1528,1229,2411,2444,2444,2141,2411,2997,2432,942,896,1497,941,1362,470,1497,1864,494,941
39,1473,601,2380,1726,2893,2596,682,2995,2095,1498,840,22,978,3423,2095,1381,2011,3423,2095,395,1615,1615,406,1498,1615,978,978,978,1615,1615,2074,1615,978,1498,1498,978,978,978,1615,3423,1459,3064,1615,978,1726,406
40,33,601,1395,237,3163,1989,682,978,487,3087,840,277,978,1498,5554,3425,1666,3423,2095,1615,3494,487,406,3273,1615,277,3178,3199,1615,1615,2111,487,1035,5554,2499,1584,3199,1584,1615,1710,1459,2499,1615,1615,3222,406
41,322,779,2860,1801,1848,1989,1602,2995,6946,2625,5793,6527,978,1091,2321,1602,1602,4293,5338,1803,6754,2959,406,5394,1938,1091,1602,1501,6754,6527,2689,2625,1035,4955,2714,4955,6754,6527,322,5039,1672,3423,1615,1615,3423,3575
42,717,2823,1848,782,2352,152,807,563,1152,1106,3438,1906,2573,1882,2645,959,2011,3440,1842,1038,1038,132,2745,132,1130,3114,1261,2745,1973,3114,2745,132,3440,1038,3114,1038,3114,2745,791,1038,1672,1338,1265,2745,1842,1408
43,1261,2768,2946,1726,778,2574,3440,3182,1728,1717,3438,1906,3114,2979,1842,2546,2011,3263,1842,1338,1038,2959,1261,2546,1130,2959,1261,791,1973,2959,2745,132,1973,1038,2745,2055,2745,2745,791,3044,1672,3009,1263,2745,1338,2745
44,1408,779,1848,1726,1073,2574,3440,1164,1617,1038,2585,1906,1906,3114,2358,1906,258,3263,1842,580,1038,132,378,580,1914,3114,9,1338,258,2320,1338,2959,1852,1408,2959,3031,1852,2745,1338,3044,1672,1338,3263,2745,720,1973
45,2628,336,1681,2210,258,2821,1195,2805,1629,59,625,466,693,1124,2916,635,1116,3326,2821,908,1759,3312,2246,2974,3028,1179,3326,2381,853,2381,1228,853,976,898,606,3326,3326,2136,976,59,853,2717,1751,2399,754,2549
46,322,743,1179,90,2134,698,1400,1390,322,1688,625,3336,74,3304,74,377,3515,1681,3052,2731,182,2731,2246,1943,606,3304,3145,3145,1341,3145,898,898,898,3304,3398,486,1681,1681,322,3052,1681,1341,1341,1943,3304,1681
47,3398,33,1179,1401,2134,2342,1602,1681,2340,393,3261,3336,776,3304,558,3442,3044,3149,2821,2821,1326,11,406,3273,1080,59,1501,3145,59,3145,2689,2821,2821,2821,1279,2853,1034,1501,1501,3442,354,1080,755,354,3283,406
48,2857,604,3068,633,2978,2536,2924,1995,2536,352,174,101,1995,3018,3148,2536,2536,124,352,2536,352,2536,63,931,2536,3407,2536,63,3407,2820,2536,2536,3119,2536,2536,124,3407,63,2536,638,1995,63,2536,1995,1995,1995
49,340,6,1651,1476,2978,2536,3458,1995,2536,1819,174,2978,2005,3018,2536,1461,2536,2978,638,2536,1819,2536,1461,931,2109,3407,2536,3407,3407,2536,2536,2536,3119,2536,2536,951,3407,63,2536,638,1461,63,2536,3407,1995,124
50,1766,6,1935,1476,2978,2536,2536,1995,2536,1995,174,101,1995,2536,2536,1461,2536,2978,3500,2536,1819,2536,1461,931,2109,3407,2536,3407,3407,2536,2536,2536,3119,2536,2536,3407,3407,2536,2536,638,1461,63,2536,3407,1995,1995
51,2537,604,1126,2832,2978,2536,2730,905,2536,1819,2658,1478,2857,3018,604,3407,2536,124,124,124,1819,2536,71,3119,71,3407,2536,2857,638,2820,1307,2536,3119,1478,3119,124,3407,124,2536,638,3119,63,352,3407,124,124
52,2523,604,1126,526,1872,2574,2832,905,2832,1819,2658,101,598,2514,2559,2217,2536,124,3249,124,2857,770,71,3119,71,3407,2536,2857,638,2820,352,352,2217,1478,3119,124,71,124,352,1307,3119,638,352,3407,124,124
53,401,1216,1461,1216,2978,1989,2730,3369,2201,1819,3403,2978,2005,3018,604,3403,2536,2978,3202,1072,1819,3198,1478,3119,71,3407,1072,3407,638,2820,1307,2536,3119,1478,3119,124,579,1072,3407,1307,3119,638,1478,3407,124,124
54,2925,1558,2519,782,2127,3509,3440,337,3509,2427,471,1485,941,2427,471,2175,2011,1302,3163,1174,1302,1302,1587,173,1223,3227,2677,3129,2925,2677,226,292,3395,2268,206,206,2444,2268,1280,1300,1737,1223,2321,2268,2321,3395
55,1077,4002,3929,6617,2988,1989,5651,2411,6946,658,2759,2459,1630,1686,2321,3303,3162,1630,2854,288,1444,1598,1802,2112,2806,2759,1802,72,2925,2925,1111,370,2,2241,5460,3162,2241,3394,1174,72,3024,1568,3394,3394,2375,3395
56,1077,5383,6029,1726,2894,1989,655,2519,3509,2184,471,2519,978,471,471,1558,864,4293,2791,2519,3340,132,2562,173,3108,1027,471,213,1631,1983,1944,471,3046,1944,907,1484,1906,213,471,1975,2011,213,3108,4173,5218,2562
57,401,2885,3052,2879,2087,3096,2462,1801,322,3421,1672,2462,3178,1091,3480,3072,1502,1593,1903,1502,1672,1502,2879,1502,15,3114,2574,3045,1973,1502,2879,246,1502,1672,2283,1502,169,1502,2879,2546,1672,1502,2879,2879,2574,1747
58,2460,2381,1179,1055,1737,3509,1878,2301,2014,2427,1737,720,941,1617,2522,3303,864,531,166,1566,2859,531,2042,499,531,1101,2602,1027,2403,3340,759,759,2256,531,2916,2082,321,531,531,1073,2082,1027,1652,3116,720,531
59,322,1558,2190,237,2680,2413,682,3057,1452,2556,1338,564,2817,2546,2210,3072,2011,3423,978,2546,2574,3284,1476,580,2011,3114,2574,3114,258,580,2745,15,1512,1038,258,1038,978,2324,2011,2546,1664,258,2324,978,2574,3045
60,2216,2930,1179,237,3359,3201,2920,324,94,399,2389,2043,399,2840,1931,3359,49,1652,2108,94,2044,1190,2563,94,464,1190,31,1686,2075,2840,3004,399,2840,2430,2499,2428,2108,3004,601,944,1190,2499,1044,94,601,757
61,2216,1715,1179,237,3192,1652,3142,1931,94,399,2118,2043,1730,2428,94,2044,2011,1652,1730,2044,2044,3006,2563,94,2542,3006,3006,2108,2135,1389,2542,3004,2542,3006,2403,2428,2428,3006,2502,2542,1044,2502,1044,196,1433,2542
62,330,2249,1179,2152,113,1022,2509,2186,1937,3087,583,3073,2509,2152,2592,3359,3359,3211,1901,1527,1022,583,2190,94,1527,1374,3006,2108,3126,2840,1374,3004,2108,1374,2592,2306,2108,2592,2118,467,2592,467,1044,1535,3211,461
63,1329,33,1179,1769,2377,1807,39,252,1554,93,2585,1554,19,1752,1752,1769,1666,321,518,518,359,1164,2260,2401,908,970,359,3459,2401,2260,19,1766,976,1865,2403,359,1766,3459,3334,3222,3379,2717,2523,2230,1701,359
64,3398,976,1179,2230,1646,350,2287,2287,327,33,2585,1049,1264,469,2928,1179,2928,3263,1338,1338,2288,2934,2934,1338,1264,680,2903,2933,1264,2320,1338,2479,680,1338,2790,2903,1852,783,1338,2934,1852,1338,680,3031,1338,1914
65,3031,976,1179,3031,2341,2903,354,59,3263,59,2585,1304,3263,2903,1914,2042,3044,3263,3263,908,3099,3263,2042,680,2476,680,3263,680,2732,2136,1751,398,680,3044,2790,3031,720,2136,3263,3442,2136,2732,680,3031,720,680
66,340,1838,3418,1769,2377,3472,1861,2208,1861,3097,2826,965,1084,348,1048,2035,1861,1797,2035,709,1800,1838,1678,1838,1797,1678,603,1861,2035,965,965,1861,965,1838,2035,2247,965,2086,1797,2733,926,603,356,965,965,1350
67,2846,2871,1678,1586,3496,893,3412,2002,1763,2397,603,1411,3068,3206,1445,3412,3093,3154,884,2505,2084,2050,2050,1411,1343,3154,481,2243,2050,3068,1813,1641,3154,1232,1792,2247,694,161,480,2050,2050,2050,2243,2292,965,2050
68,75,2215,3068,1455,3496,893,3412,3148,1763,67,2292,2292,379,3206,3148,3489,67,989,400,2292,1800,2913,2050,931,176,2913,176,176,1691,3068,2157,2167,176,1232,3412,2167,176,865,2063,1335,3489,556,3489,2292,2292,1895
69,1067,1462,1678,4268,4268,893,2192,2002,1763,2397,1792,2598,348,3206,1048,3412,1928,1774,884,860,884,603,1637,627,1411,1250,1242,2598,659,714,1814,1814,884,1232,2996,1250,2178,232,480,1753,1814,603,1250,232,2247,2598
70,1067,3347,1678,1850,2236,893,2192,2035,1763,2397,603,1411,348,1098,1048,2192,2090,172,548,1804,1065,2207,1637,1797,1797,1678,1242,2192,1910,3020,965,34,34,2475,634,2063,694,634,1797,1753,3489,309,694,1804,1800,178
71,709,548,1678,1850,2178,1963,3412,2035,1861,2397,603,1411,348,2605,1048,2035,2346,172,1963,709,1065,603,1637,2400,2178,3168,3290,172,659,3154,709,709,3154,2346,1578,1627,2178,1963,3290,1753,1814,603,965,435,709,435
72,1464,6,1179,1476,2352,1790,997,2163,1253,1160,2352,1554,25,1229,2163,2979,1268,2352,2352,2352,2352,2352,958,1229,1476,2352,1790,327,1229,1340,1862,1837,1229,1682,2551,2163,1476,2352,2352,2352,1268,1229,1265,1032,1338,1790
73,267,1,3036,1476,738,1867,2319,2163,914,828,2352,2374,2270,609,2163,2979,152,2979,1555,2214,2352,2979,1880,1181,1476,2352,1181,2979,1229,1790,2583,2864,1229,152,3013,2163,1032,2979,2352,2979,152,1229,914,2163,2163,1790
74,1473,2431,1179,291,25,300,997,25,1253,300,1253,1925,25,1052,220,2557,1052,827,3238,1253,255,1925,2270,2270,1770,1357,997,997,1990,1340,2583,1948,997,997,1324,1925,2309,1552,2681,740,997,997,891,68,997,2421
75,1766,3018,1179,633,2163,2163,997,690,2464,1160,2352,1554,25,1862,2163,2447,2155,1181,1555,2447,2447,3070,1880,1521,2163,2447,1880,977,341,1340,2583,2583,933,997,40,2163,2583,997,2583,25,2583,997,25,2163,2163,3086
76,3195,2799,1179,1476,2352,960,997,667,1253,552,1253,1925,25,609,2163,25,997,692,1555,997,3124,1925,826,2583,25,2447,25,977,2675,1340,2583,2583,997,997,25,2583,2583,1552,68,25,2583,997,25,68,2163,2583
77,2214,2938,1179,281,1437,3260,2319,690,767,1834,2163,2902,25,609,935,82,2769,68,1555,2214,1779,557,68,2583,25,798,25,977,2376,3124,2583,2583,1540,997,82,798,2583,1552,2681,25,2681,997,25,1939,1779,1555
78,1261,2823,1685,827,1571,300,1612,3190,1939,3521,2188,3248,2587,300,255,826,1571,3248,3248,3238,300,1187,3127,798,1378,1378,1510,3248,1378,2471,2583,3248,2051,1378,1939,798,3248,3248,1510,3248,300,2471,2471,1939,2587,3248
79,1182,2823,1685,827,597,3260,827,3251,1107,3521,1208,899,1136,1191,248,1208,1948,3251,2952,1981,1624,1187,3127,2270,1378,1378,1510,3248,1208,1378,1624,1948,1948,2481,1208,1378,3248,3408,1510,1191,300,1208,1948,496,2587,715
80,20,2823,897,3360,597,1745,827,734,1107,3521,1948,3511,1136,1378,1378,3144,1998,3248,1378,2051,1624,1187,2471,1017,1378,1378,1510,2471,1191,2471,1378,1948,2051,2481,1208,2471,582,1107,1510,1191,1624,2471,2471,496,2504,3248
81,3420,2089,1858,2152,2893,3478,455,3478,3425,601,628,2893,3425,2152,3425,3425,422,3425,2893,3054,3425,421,3425,422,613,2938,2893,422,3383,3425,601,422,601,613,3209,613,3425,3425,3425,601,2609,601,2893,2221,601,2893
82,5127,2120,2571,782,218,2115,2709,2892,629,2120,2375,1267,2032,1412,2120,2709,2709,50,2375,1129,2709,1785,53,3066,3108,2709,3008,2120,3794,53,2375,2120,2120,3184,1267,3108,2120,2120,2120,2884,629,2120,2120,2884,2884,3066
83,2163,2120,2571,585,3192,2115,2709,3066,629,2120,2375,1267,1730,1412,2571,2044,2709,1285,2375,1129,2709,2816,2563,3066,3066,2709,1157,2120,629,53,2375,2120,2120,2375,1267,3162,53,2120,3066,2884,629,2120,2956,629,1267,3066
84,2131,744,3068,1455,2178,893,3412,1120,1120,2397,603,865,1740,2605,1048,3412,2735,989,1963,709,1800,2913,45,1797,2151,2913,129,176,659,2397,965,2151,122,1232,1581,1109,2178,1963,1797,2178,1963,172,659,1963,1800,2151
85,2598,744,1678,1455,2178,1963,5375,1120,1120,2397,603,865,1740,2605,2605,3412,2735,1774,1963,1572,1800,2913,659,627,865,2913,129,1581,659,2397,965,1861,34,1986,2178,1120,2178,865,1797,816,1861,1986,659,1581,2525,2151
86,3345,744,3068,1850,2178,893,3412,2002,1763,2397,603,865,379,2605,379,3412,67,989,1963,1804,1800,2913,1804,1797,2151,2913,129,176,659,2397,965,2151,122,3363,1194,1445,2178,1963,1797,1194,3154,2913,659,1804,1800,1445
87,739,2981,3068,1455,3496,893,32,379,1763,67,3193,309,379,1098,3358,3489,67,2590,1963,1804,75,2913,2590,178,75,2913,129,34,1691,2020,309,34,34,1173,1173,2063,2178,309,2063,309,3489,2913,3489,1804,1800,178
88,739,2215,3068,1455,3496,893,5375,379,1763,1015,2292,5141,1173,1173,3148,3489,67,989,1293,2292,1800,2913,1637,931,2151,2913,129,869,1895,904,46,2167,1015,1232,2292,2063,2178,400,2063,309,3489,3496,46,2292,1800,2063
89,2066,2664,3068,1455,3496,893,32,2002,1763,67,2292,309,1173,1173,34,3489,67,2590,1963,2292,1800,2913,2590,931,2151,2913,129,34,1691,2712,2157,2167,1015,1173,1173,2063,2981,400,2063,2167,3489,2590,3489,2292,75,2063
90,2537,2594,1678,1850,3075,1963,3412,905,1861,2397,1792,1411,348,348,1445,320,627,3154,884,1572,884,10,627,627,1411,3168,2919,2598,659,2397,965,1861,3154,854,1391,816,2178,865,1120,816,1861,627,1455,122,1572,2215
91,2537,2594,1678,1850,2178,893,3412,1120,1120,2397,1792,1411,884,3206,1048,3412,627,2215,884,1572,884,2666,627,627,1411,3168,2919,176,659,2397,3154,1740,3154,1232,1572,627,2178,865,1120,816,1861,627,1455,965,1572,2215
92,1067,1637,1678,1850,3496,893,2192,2002,1763,2397,1792,2598,3131,3206,2598,1641,2262,1774,884,1641,884,10,1455,1411,1590,3168,1242,2598,3226,2140,1590,2598,884,2524,2996,1363,480,232,480,1753,2361,1455,1455,1455,948,1641
93,330,221,3053,1226,4359,3478,1204,3478,1532,2908,628,1965,318,1749,345,2102,12,2792,318,12,330,12,2006,1039,2277,3305,330,2277,1204,2908,3519,12,3478,2908,1883,2908,1039,2006,97,988,3527,1039,628,1039,3552,2006
94,5784,5431,6807,5696,3552,6624,4617,628,2277,4129,628,4515,2771,610,345,5257,2771,610,128,2277,330,2908,2006,2771,2277,310,330,2277,1204,2908,590,12,2289,1204,1883,2908,2734,2006,2588,988,5119,1039,628,1039,2734,2006
95,1077,2804,6807,1563,3441,6624,1474,1474,2277,55,1705,1705,1239,2408,2961,1558,1705,41,128,346,1311,1474,2006,1563,2277,2006,988,2734,2588,2263,2734,2588,2408,1239,1883,2560,2734,2006,2588,988,3527,1180,128,1039,590,2006
96,330,1039,1858,1563,3552,3478,128,628,2277,1180,628,3527,2771,1563,345,345,128,41,128,346,128,12,2006,1039,2277,2006,330,2277,2588,2908,1563,2588,2289,1204,1883,2908,1039,2006,2588,988,3527,1180,128,1039,41,2006
97,330,1039,1858,4262,3552,6624,330,628,2277,1180,628,3527,2771,1563,1271,3605,961,2289,128,2277,128,12,2006,1563,2277,2006,330,128,1204,2908,1563,12,2289,1204,1883,1039,1039,2006,2588,988,3527,1039,628,1039,590,2006
98,330,601,5696,5696,2893,3478,128,628,2277,55,628,3527,2771,1563,1271,345,1705,41,128,2277,128,12,2006,1039,2277,2006,330,128,2588,2908,1563,2588,2289,1204,1883,1039,1039,2006,2588,988,3527,1180,128,1039,41,2006
99,1077,915,2545,633,1872,3322,2980,2767,2339,797,656,724,2639,1387,1744,2639,724,1675,1903,3061,923,171,1358,1684,2339,724,385,3309,1675,3322,2538,2017,2125,1675,2125,2418,1795,1675,1851,3165,1675,3322,2125,2125,923,923
100,6381,258,1179,1055,2301,3589,1195,2301,472,706,2301,3336,570,393,1055,743,2293,2574,2205,501,1497,171,758,1258,2339,1982,501,2827,1896,501,1141,1294,1495,2259,1718,1956,2350,2205,1387,243,2777,2602,1997,2125,2205,235
101,1077,1744,3208,2125,2406,1795,2980,2767,2339,2125,656,1905,1358,918,1744,362,1351,1905,2548,3061,923,3296,1358,155,2125,155,923,3296,1857,2125,1949,2548,2125,1949,2125,1358,2322,1003,1851,2322,1351,3322,2125,2125,1949,1949
102,1077,2381,1179,1055,1737,3509,1737,3438,3509,2427,3438,2369,2403,2644,779,1791,2011,1652,166,2803,3306,779,1587,779,837,1104,837,1027,779,3340,3306,499,2542,3306,779,779,363,213,2011,1747,1027,752,779,3440,3306,3278
103,2451,6,2545,1164,1664,350,3440,1766,1664,1717,3438,1554,363,363,363,3444,1766,213,2606,363,2324,363,363,363,363,389,363,1766,1164,363,363,363,703,1944,363,363,363,363,389,363,363,363,2324,3440,363,363
104,267,2638,1179,292,3486,3194,2920,3101,1793,2910,2118,2982,2926,2926,3400,2910,1306,1302,1433,1535,1302,1302,1433,2586,1223,2135,1433,928,448,2403,3397,837,1041,2386,2403,2135,1433,6,2135,1433,1302,1433,1433,1535,1433,1433
