ids,label,gender_expression
111917,5243,female
103465,7051,female
81463,4690,female
57147,265,male
65497,2298,male
95342,5433,female
74662,3745,female
38491,3403,male
125268,4432,female
81256,4716,female
34610,2730,male
130234,5014,female
131927,5074,female
89795,4272,female
93814,4007,female
130412,6708,female
20488,22,male
126922,5176,female
112684,5732,female
37347,1119,male
48492,473,male
83993,3555,female
10825,610,male
53577,2577,male
27576,1942,male
91933,4712,female
41356,2998,male
133776,6699,female
17546,194,male
66089,3109,male
8190,3238,male
26350,531,male
68057,6695,female
110830,6259,female
100089,4809,female
80685,5004,female
9785,3123,male
78184,5851,female
70067,5966,female
15579,1999,male
106490,3739,female
120091,5403,female
90850,4451,female
78627,6336,female
106371,6805,female
41947,358,male
115892,4390,female
16665,1035,male
46118,2729,male
204,2848,male
57845,1996,male
99416,4424,female
113126,4711,female
19516,254,male
25805,3225,male
94592,3744,female
58929,3394,male
47141,471,male
48379,3221,male
115900,5770,female
65079,1585,male
55767,554,male
95941,5587,female
78989,6559,female
69985,4733,female
114696,5552,female
48382,2818,male
50277,2470,male
72858,5050,female
17990,2907,male
76202,4497,female
130778,3677,female
53085,3182,male
106157,3731,female
133577,3598,female
84650,6688,female
105821,5525,female
77947,6966,female
134379,4701,female
132537,3724,female
1134,1330,male
95248,5763,female
68432,4446,female
100736,5973,female
124307,6676,female
80755,5502,female
40372,455,male
116815,5580,female
14466,3405,male
94404,5733,female
133161,4449,female
66496,3145,male
125890,4171,female
83610,5868,female
121610,6456,female
38967,2529,male
8530,313,male
131435,4883,female
88652,4725,female
98805,4941,female
82558,4589,female
126303,7031,female
107800,4991,female
113490,6388,female
27316,2925,male
125384,5537,female
134161,6781,female
110874,6595,female
34129,1251,male
34134,3039,male
33783,657,male
101877,5513,female
64102,1450,male
30942,2757,male
69058,4286,female
119832,5613,female
77056,6999,female
37264,1837,male
35549,1939,male
60476,779,male
93825,5457,female
54909,2072,male
114981,5042,female
119742,4673,female
96590,5693,female
35217,942,male
42428,225,male
44243,1992,male
67031,814,male
82093,6926,female
78191,6602,female
87741,6711,female
77806,5299,female
103405,6768,female
82317,3770,female
34273,1815,male
53205,548,male
39414,3191,male
41765,3184,male
97200,4453,female
37179,568,male
11283,2828,male
13864,3002,male
110630,4147,female
114526,4314,female
24204,3338,male
128846,3783,female
43506,1002,male
25323,3263,male
838,2543,male
36051,2818,male
130857,6569,female
134148,5201,female
114546,5010,female
46363,975,male
65548,2514,male
46811,2185,male
118165,6311,female
55176,1546,male
18174,1451,male
33994,2908,male
114802,4484,female
130438,6181,female
27238,2131,male
94014,3795,female
86252,5255,female
120289,5563,female
115964,6304,female
62621,981,male
81613,4255,female
30072,340,male
74094,6284,female
52920,2574,male
131442,4828,female
93379,6204,female
103047,5105,female
46963,1346,male
27493,1546,male
109457,4708,female
16179,1941,male
90230,5790,female
76323,5358,female
2608,1833,male
24877,1061,male
56201,2880,male
118065,5283,female
26947,1149,male
31836,2052,male
75925,6571,female
126031,3684,female
128040,4627,female
95157,4748,female
93325,4584,female
59071,807,male
85578,6735,female
24963,3448,male
55071,222,male
98102,4367,female
82813,4270,female
76239,6805,female
61659,177,male
803,2930,male
34135,1503,male
126073,5687,female
24582,2275,male
33700,3150,male
22378,1174,male
28853,313,male
10926,2152,male
96383,5844,female
30983,799,male
49910,1664,male
104593,6201,female
7742,1319,male
80302,5617,female
67772,5921,female
98223,6253,female
2507,2717,male
13078,1247,male
96090,6103,female
24200,1287,male
121974,4296,female
95095,6058,female
12484,240,male
62271,2782,male
48858,3046,male
32513,2933,male
17152,1177,male
50153,1833,male
62813,1869,male
72726,4932,female
69255,6547,female
21200,2558,male
105072,5188,female
27421,1672,male
11701,3410,male
30753,2015,male
87754,4155,female
54320,1605,male
19497,1010,male
132995,5485,female
127929,5066,female
80203,3645,female
22726,918,male
44757,1525,male
96918,3737,female
72580,4925,female
24681,945,male
30670,612,male
6826,668,male
117116,3871,female
106448,5191,female
75896,4338,female
1773,4,male
46396,680,male
122101,3592,female
119789,4169,female
88949,6101,female
1464,1388,male
10526,2563,male
34682,2499,male
108717,3801,female
20546,9,male
70156,6449,female
119806,4283,female
86007,4573,female
14340,3211,male
78415,6984,female
42632,494,male
116040,7049,female
110860,5160,female
109573,6579,female
65207,174,male
113594,4701,female
78171,6276,female
65806,1035,male
98939,5261,female
88878,6745,female
27377,3126,male
43612,2269,male
66532,1670,male
54860,1461,male
93887,5179,female
36816,2908,male
112379,4969,female
68911,6383,female
23112,3272,male
124152,5468,female
52923,1678,male
38416,2586,male
13017,112,male
103183,3985,female
114150,5261,female
52717,1658,male
93412,6582,female
18449,1935,male
22614,723,male
82780,4490,female
54808,3263,male
119763,5236,female
48841,3105,male
35685,2518,male
94826,4792,female
76273,4002,female
84078,4889,female
53612,1497,male
57646,612,male
40997,1478,male
116066,5718,female
55241,1542,male
118114,5582,female
97206,3768,female
11141,3082,male
57766,646,male
54279,854,male
94086,5246,female
124474,4920,female
78166,3591,female
93936,6256,female
127588,4966,female
791,499,male
18223,161,male
102361,6021,female
48136,2028,male
32486,530,male
97335,6979,female
77295,4715,female
80767,6985,female
51685,3460,male
61050,2139,male
38015,2146,male
57761,2807,male
116708,3664,female
28763,402,male
116547,6164,female
126756,6490,female
33079,645,male
23319,1031,male
62670,704,male
105892,5132,female
133601,6466,female
112957,6392,female
741,954,male
91791,4002,female
20756,1380,male
31161,67,male
95346,6204,female
100763,5728,female
122337,6332,female
3442,1956,male
36231,56,male
120064,6875,female
102125,4770,female
129344,3733,female
39578,2028,male
113177,6317,female
81230,6674,female
969,683,male
4102,49,male
67509,1257,male
120686,5468,female
39957,799,male
83302,4531,female
130043,4640,female
103241,3613,female
93405,6637,female
95317,6048,female
57669,1728,male
59274,852,male
82236,5108,female
16535,2536,male
49810,2865,male
40047,103,male
101565,6122,female
85221,6282,female
67507,1920,male
25913,3406,male
102615,6605,female
121537,5213,female
34098,1933,male
11147,398,male
48852,415,male
15477,2213,male
73663,4482,female
125756,4804,female
134160,4435,female
71315,6450,female
85891,4313,female
15188,2825,male
123973,5617,female
10097,677,male
4233,294,male
9455,1743,male
10345,2145,male
54413,967,male
72457,3773,female
51867,3313,male
26564,377,male
1610,2236,male
130582,5802,female
75677,5710,female
103591,6260,female
71115,6584,female
42394,1049,male
66579,44,male
95370,3636,female
38762,1067,male
132954,6039,female
10820,1973,male
26471,3133,male
96810,3992,female
34032,1184,male
14330,1643,male
12687,2588,male
40319,49,male
52933,2468,male
104944,6901,female
92165,4320,female
99289,6465,female
15351,1489,male
51443,375,male
117369,6678,female
110246,4724,female
115907,3534,female
133285,5467,female
87791,7008,female
121177,5446,female
115952,5325,female
56231,2685,male
40509,1526,male
99444,6316,female
68433,4446,female
79805,5984,female
82409,6420,female
84989,3863,female
6320,2370,male
90687,3941,female
57451,111,male
51743,721,male
54260,3256,male
95321,4118,female
55620,904,male
2574,3134,male
50840,56,male
108187,4955,female
6651,581,male
47553,565,male
47117,2328,male
96526,5918,female
47539,814,male
130096,6313,female
98580,3606,female
57788,1842,male
120614,4931,female
86280,3786,female
72069,4585,female
26662,1685,male
119040,4090,female
121865,4161,female
36980,2923,male
14042,1522,male
109008,5105,female
14154,1451,male
110926,6520,female
70678,6152,female
84572,5010,female
75418,5832,female
118563,4506,female
32121,2224,male
9752,622,male
40977,780,male
118604,6121,female
4164,2736,male
59272,1106,male
22256,1317,male
43628,627,male
79523,3988,female
96429,4958,female
13786,1383,male
106296,3667,female
115640,3595,female
59367,3246,male
102937,6259,female
54091,576,male
86232,4303,female
108258,6834,female
103020,5948,female
39837,2684,male
97352,7020,female
134277,6772,female
84971,6066,female
22513,1646,male
5079,1526,male
108582,5162,female
19559,2627,male
106431,6876,female
9235,2546,male
62211,691,male
63939,2287,male
68293,4975,female
45744,1560,male
36962,1618,male
27977,190,male
122274,5574,female
50470,1476,male
33167,562,male
123967,6029,female
103931,6680,female
115564,5386,female
60755,39,male
115125,7008,female
87656,6537,female
106219,4396,female
29756,2589,male
20946,1970,male
111672,6012,female
54235,2667,male
21333,459,male
35772,1857,male
103661,3602,female
24556,1226,male
87717,6438,female
40464,2264,male
48193,1983,male
64861,265,male
1124,1827,male
64446,1914,male
46636,1460,male
48631,1463,male
98261,5603,female
61800,953,male
113989,5486,female
40768,1751,male
100317,4454,female
24203,3091,male
37991,1769,male
54986,518,male
116493,3905,female
24123,527,male
107957,4639,female
109339,5481,female
116971,4515,female
85258,4719,female
3923,2421,male
128687,4633,female
12433,2945,male
78159,5240,female
57990,2028,male
53498,131,male
128299,6510,female
97198,6342,female
24672,1220,male
10262,2565,male
2599,437,male
39619,320,male
7762,149,male
89605,4208,female
83691,6595,female
76390,4653,female
102791,4120,female
63521,795,male
124944,4465,female
93387,6268,female
35863,2562,male
19499,1255,male
131044,5738,female
5291,127,male
25351,2180,male
3721,113,male
24997,773,male
84297,5979,female
2877,909,male
107850,3538,female
80031,5379,female
93200,5715,female
33141,2313,male
59376,1220,male
52485,206,male
97968,3863,female
65823,1309,male
68794,3596,female
169,861,male
22765,2460,male
29309,946,male
134222,6260,female
14381,2643,male
4253,2716,male
73451,6906,female
18494,1795,male
94153,3580,female
38198,1473,male
40566,720,male
1121,2497,male
7471,996,male
68160,3669,female
88284,5173,female
2728,571,male
51981,3152,male
17578,2843,male
61200,1203,male
102952,6556,female
8402,3111,male
92879,4401,female
56310,468,male
10862,1196,male
42296,166,male
9294,209,male
50492,111,male
90427,4127,female
39512,1630,male
83441,4245,female
18144,100,male
92788,6800,female
37291,2933,male
32505,963,male
124206,5817,female
33253,153,male
82818,4394,female
88153,6160,female
39811,1418,male
105902,4107,female
75703,5818,female
59580,1072,male
105408,6627,female
104696,5568,female
91985,6542,female
96576,4139,female
19659,3343,male
101564,4604,female
113378,4799,female
2927,933,male
24270,2946,male
51155,1758,male
100774,6994,female
28747,1349,male
57692,2287,male
70246,3658,female
112753,4487,female
73576,3539,female
33335,3477,male
115240,4469,female
68240,4340,female
117791,5718,female
119505,6085,female
114803,6304,female
125490,5146,female
44506,3482,male
67533,546,male
78230,6728,female
49128,1694,male
46665,492,male
133955,3987,female
16260,3145,male
132086,5205,female
122965,5084,female
37144,2823,male
62838,705,male
37439,3305,male
12165,3140,male
86775,6183,female
125705,6657,female
30769,1474,male
29818,2595,male
52040,2319,male
88200,4931,female
107466,4547,female
76579,5332,female
134884,6184,female
1205,1608,male
52635,2054,male
76020,4970,female
107659,4968,female
43416,1785,male
92171,4527,female
52180,2149,male
80460,3642,female
22156,242,male
19399,752,male
4921,2931,male
41076,339,male
121429,4053,female
84856,5258,female
6777,1193,male
87357,4923,female
117140,3830,female
32394,2568,male
64177,267,male
92110,4994,female
46595,664,male
66550,194,male
74007,3990,female
26094,2361,male
76870,4008,female
50170,154,male
58052,1617,male
90057,6076,female
19563,202,male
66824,1751,male
118970,6527,female
18300,1725,male
15980,3444,male
317,223,male
95843,5453,female
47353,2244,male
134554,4841,female
36573,2534,male
42646,2993,male
96372,6476,female
93655,5911,female
33040,1398,male
50621,915,male
96996,4546,female
27609,1171,male
20918,961,male
55088,1421,male
103222,3965,female
63685,652,male
107694,5704,female
50943,3111,male
66867,3154,male
55439,1200,male
13922,340,male
54114,1391,male
127763,5223,female
52187,354,male
98914,6289,female
21942,2539,male
132421,6886,female
28464,2286,male
44091,648,male
71979,6720,female
63965,1101,male
4541,3356,male
2662,2613,male
97328,5376,female
113799,6176,female
78702,5914,female
71424,5767,female
46948,1983,male
93619,6777,female
89190,6523,female
118331,4705,female
78581,5177,female
86468,6667,female
88229,3907,female
60467,1771,male
2236,369,male
7293,2741,male
34288,442,male
48818,2428,male
85275,4518,female
41370,270,male
116746,4066,female
91576,6418,female
128900,4709,female
114204,4038,female
65156,548,male
116108,6543,female
46984,1780,male
100224,5975,female
118605,5353,female
6804,2306,male
120532,6863,female
19812,1225,male
65073,2314,male
1100,3025,male
133522,5758,female
134648,6564,female
120549,6152,female
97559,6442,female
7733,358,male
71195,4250,female
72628,4760,female
73979,5122,female
114481,5616,female
101638,4499,female
61711,1901,male
47605,1472,male
114789,6182,female
108645,4267,female
19819,1890,male
85349,5596,female
75513,6272,female
10315,2202,male
131365,5083,female
68681,6954,female
56799,723,male
110499,4151,female
82844,3648,female
122687,6606,female
88722,7037,female
129869,3719,female
23834,2946,male
51963,3358,male
20153,3151,male
79093,5620,female
43298,3202,male
22427,1371,male
17545,2158,male
86227,3734,female
63990,3468,male
82507,6164,female
17384,718,male
33925,2710,male
28127,2017,male
100856,3841,female
101573,6656,female
28304,2564,male
43508,1509,male
37092,380,male
74704,7047,female
101114,6079,female
61559,2560,male
14264,2680,male
79758,3580,female
11447,1369,male
3179,1772,male
133805,5930,female
88806,4675,female
95817,6272,female
107313,4485,female
111034,3555,female
56838,75,male
79822,4476,female
58515,3211,male
73662,4482,female
99897,7032,female
28863,918,male
120570,5715,female
59024,3507,male
98368,6448,female
31044,3344,male
116787,5789,female
115421,6080,female
102161,5507,female
131952,3700,female
57310,2880,male
27736,3251,male
63908,2102,male
79578,4481,female
13308,45,male
53349,3477,male
125850,4002,female
81816,4061,female
134111,7046,female
66174,1234,male
29804,362,male
81684,3942,female
36253,363,male
83539,3607,female
86442,5379,female
65294,3033,male
83961,4125,female
71329,4588,female
97799,4699,female
55611,2961,male
43505,3036,male
123816,4960,female
8069,2693,male
16636,1375,male
937,2697,male
53642,1044,male
132668,4142,female
69647,3649,female
122697,4001,female
5559,47,male
91314,5141,female
128139,4379,female
91197,6858,female
38808,1612,male
114331,6987,female
5660,1248,male
75395,4822,female
18258,265,male
117794,6301,female
88818,5722,female
55874,1369,male
68774,3595,female
101228,6009,female
24062,1253,male
76857,5451,female
72397,4554,female
46215,693,male
33148,599,male
11621,1022,male
115918,6127,female
99991,4700,female
112836,5121,female
13422,3267,male
75854,3937,female
46037,314,male
116057,6533,female
19381,3106,male
10377,3344,male
40088,2501,male
41260,2752,male
94183,3807,female
55840,1523,male
48638,479,male
12263,3169,male
91000,6302,female
58329,1315,male
13065,3110,male
3635,2035,male
13863,190,male
84014,5929,female
17618,2441,male
1125,2774,male
83958,5722,female
16798,1110,male
81185,4175,female
34053,2536,male
61265,597,male
103155,5332,female
32726,1994,male
86592,4239,female
41998,74,male
24140,1174,male
112901,5655,female
11138,2456,male
93171,6276,female
87931,5799,female
84282,6276,female
8692,3199,male
110725,6747,female
100398,5147,female
78966,6998,female
83752,5959,female
99886,5956,female
115302,3629,female
14985,110,male
49449,3002,male
14863,138,male
67168,94,male
113792,5282,female
59850,2024,male
87633,6809,female
97162,3822,female
10636,2595,male
30830,1990,male
66685,1017,male
80620,6754,female
122161,5401,female
69537,5391,female
33215,132,male
83566,6204,female
48149,1115,male
88612,4130,female
62548,2517,male
32292,2241,male
36917,2530,male
48014,2179,male
114434,4681,female
126540,6070,female
52913,2101,male
106660,6032,female
24072,1966,male
21572,1981,male
18506,2397,male
127599,5178,female
40699,3180,male
107668,6912,female
23262,3172,male
95420,3882,female
62947,3403,male
24610,2539,male
20045,1252,male
47489,1530,male
33223,2671,male
85533,5491,female
823,2090,male
102931,6822,female
32769,1137,male
115883,4081,female
69555,5288,female
46806,8,male
118044,3681,female
16591,2773,male
58723,480,male
23985,3220,male
99965,6001,female
81825,6483,female
9701,189,male
94934,4241,female
48752,152,male
2252,2352,male
88650,6055,female
48566,2310,male
28722,3484,male
68348,4138,female
2137,2279,male
40166,1445,male
52751,2782,male
117388,6586,female
86414,5888,female
131537,5737,female
54398,1808,male
78775,4122,female
118947,5674,female
47237,1252,male
58624,3386,male
64455,2292,male
114966,3611,female
26679,1017,male
60475,1273,male
31144,1258,male
7477,2580,male
25313,2847,male
85402,3811,female
75329,6545,female
18357,392,male
66733,1227,male
123263,3846,female
18050,1499,male
118935,5837,female
90617,3701,female
101533,5539,female
57172,214,male
81641,6966,female
119576,3845,female
64513,3104,male
126569,4242,female
106534,5397,female
128230,6090,female
43526,1205,male
76177,3685,female
94485,4195,female
94988,6958,female
89977,4819,female
66519,2737,male
78440,5267,female
64959,3346,male
66662,2398,male
89116,5506,female
3741,1498,male
92156,6199,female
111752,4149,female
5226,3519,male
108710,5502,female
78294,6501,female
88145,4427,female
120845,6574,female
91867,4219,female
15236,2034,male
100894,4364,female
115623,5847,female
30657,539,male
126715,7012,female
77076,5751,female
80696,5125,female
10474,3131,male
87995,6644,female
114101,3836,female
74294,4966,female
23577,448,male
63676,568,male
132672,4215,female
68581,6263,female
125280,6044,female
88867,4934,female
82049,4484,female
8751,3260,male
129622,4410,female
32352,1693,male
59917,1018,male
36779,2353,male
128711,5108,female
4900,822,male
23912,2480,male
8811,3269,male
98279,5229,female
114645,3879,female
59154,1385,male
34928,1010,male
657,1863,male
77411,4411,female
6418,1447,male
58797,1994,male
30529,1690,male
38299,1656,male
114482,4937,female
124904,6956,female
127992,4327,female
48708,296,male
81704,4278,female
118664,5299,female
90977,3863,female
98829,4381,female
42263,2550,male
97796,6985,female
113629,3549,female
13555,1435,male
102966,3611,female
24147,2935,male
28393,469,male
65006,927,male
13457,1571,male
107750,5637,female
126124,5680,female
21032,874,male
130343,6190,female
124818,4352,female
126047,6388,female
31624,1275,male
56485,571,male
129055,6111,female
48651,1619,male
18048,778,male
96809,4924,female
91241,3551,female
100175,5784,female
28233,1064,male
38370,1393,male
126276,6438,female
66256,2223,male
102296,5502,female
73064,5286,female
86560,6887,female
75156,5606,female
28412,3312,male
125453,6601,female
30666,1925,male
126933,4180,female
66468,525,male
12425,157,male
76616,4394,female
63322,3438,male
42745,3055,male
112705,5536,female
77348,6712,female
76887,5877,female
68126,6409,female
14305,2707,male
8255,1747,male
110948,4884,female
18036,1939,male
75025,3628,female
89648,5328,female
20052,2803,male
55352,2441,male
128641,6721,female
119673,3530,female
106483,6778,female
96345,3701,female
68061,5089,female
25226,1425,male
101995,3630,female
93643,6909,female
14106,2889,male
24382,2660,male
109377,4346,female
9644,1818,male
93894,6679,female
90716,7020,female
71946,4705,female
54748,1882,male
69470,6175,female
34279,3460,male
7419,3002,male
66871,940,male
46337,2752,male
103286,5125,female
65088,880,male
95145,4819,female
10356,780,male
100618,4635,female
96510,3763,female
56467,2846,male
17120,1103,male
76864,4910,female
90608,6626,female
66041,1473,male
88559,6463,female
127332,6303,female
5626,2141,male
107344,5071,female
125102,4704,female
82662,5932,female
53925,992,male
131727,6386,female
104062,5521,female
13387,1302,male
80090,3632,female
79457,4914,female
97856,4524,female
60815,2301,male
64485,2171,male
132885,6903,female
134852,6218,female
58914,3056,male
52625,2923,male
58824,606,male
74419,4328,female
100428,3763,female
117834,4077,female
41893,239,male
126188,6933,female
54586,603,male
17479,2165,male
66524,3485,male
2584,3087,male
78251,5379,female
43825,2154,male
24410,1493,male
79936,6130,female
112438,5732,female
117239,6587,female
107253,4814,female
27258,349,male
96368,4054,female
52867,705,male
101772,5594,female
93099,5928,female
103272,3642,female
50351,1985,male
11416,2150,male
36413,516,male
97634,5400,female
101199,4810,female
50902,3004,male
43247,1763,male
44245,3073,male
112582,4452,female
28787,158,male
13128,11,male
1862,2100,male
81013,6703,female
78130,4853,female
41023,296,male
70489,5124,female
78158,5552,female
67152,320,male
127163,4112,female
43253,3125,male
17128,2244,male
121986,5778,female
38388,2292,male
94313,3850,female
23949,2301,male
2360,3192,male
67502,1157,male
10967,539,male
108279,4530,female
92544,4232,female
44965,44,male
130200,4437,female
30777,2704,male
67660,6887,female
14000,1737,male
133801,5233,female
48047,2496,male
128242,6773,female
125510,6330,female
58911,3297,male
119586,4477,female
46040,1033,male
10795,1690,male
83303,6387,female
112657,5167,female
134748,4762,female
45180,3221,male
112135,3682,female
51453,2570,male
20750,1443,male
40581,1090,male
3903,3196,male
65249,2577,male
19652,3472,male
13370,2843,male
96707,6713,female
79165,3530,female
108615,4090,female
40609,2164,male
73485,5191,female
25734,1225,male
83172,4368,female
103006,4437,female
87461,3935,female
95428,6841,female
2721,2377,male
24589,3248,male
33989,3313,male
39606,1313,male
132366,3794,female
36634,1955,male
67279,2142,male
95411,6789,female
39186,309,male
8265,2453,male
106286,4704,female
130990,6289,female
1982,3490,male
13228,380,male
20350,94,male
70518,5768,female
38592,3136,male
129046,6086,female
108867,3566,female
16658,2298,male
95041,5118,female
5415,2781,male
99529,7031,female
33161,2050,male
27020,1655,male
13398,3039,male
18926,890,male
91436,6702,female
8180,922,male
2870,3032,male
1191,1063,male
35417,634,male
2983,2425,male
11989,2907,male
92392,6065,female
38085,593,male
45131,3179,male
29537,2247,male
31870,494,male
116848,4637,female
101794,5911,female
49833,851,male
51851,3226,male
39781,437,male
14401,2895,male
5181,1628,male
114698,3833,female
107127,4485,female
21829,2001,male
29121,2707,male
45739,497,male
44846,1376,male
3115,1994,male
21678,1516,male
15134,2543,male
106383,4715,female
109293,6519,female
72791,5740,female
3390,3434,male
116802,4268,female
68188,5551,female
130522,4337,female
92724,4096,female
45174,2119,male
76309,5953,female
77327,6784,female
100533,4975,female
114357,6031,female
36745,765,male
91452,6055,female
106189,6976,female
91961,6442,female
127029,5121,female
19731,432,male
65388,2014,male
24530,2561,male
38070,1652,male
103363,5234,female
43673,1223,male
99984,4065,female
121047,5413,female
20105,435,male
35034,422,male
1382,1913,male
84251,4048,female
28075,1767,male
4621,2671,male
101845,3855,female
70945,6466,female
79361,4165,female
131361,5920,female
62162,2335,male
124012,4150,female
97512,6420,female
53605,772,male
19295,2754,male
109971,4936,female
132933,6060,female
31778,2534,male
21410,2937,male
21811,3459,male
22927,458,male
121984,6701,female
46706,170,male
111681,4859,female
17816,1722,male
129603,6720,female
50584,2180,male
25577,677,male
71035,4701,female
100254,3606,female
122262,3910,female
21774,1537,male
131933,4888,female
20464,2768,male
95241,5727,female
30496,267,male
82429,3778,female
1338,1775,male
95954,5096,female
133447,4789,female
92427,5848,female
120153,6547,female
106141,5991,female
38271,1386,male
56188,3150,male
67901,6188,female
81044,5524,female
99436,3742,female
107639,6424,female
72633,5275,female
122739,6966,female
54054,1069,male
62259,2129,male
11627,391,male
21447,2068,male
120999,3728,female
116783,4042,female
52697,3192,male
10809,1227,male
98966,6107,female
82471,4291,female
22014,2007,male
88382,4492,female
37854,765,male
124032,6684,female
113524,4749,female
10848,422,male
122335,4949,female
89328,3892,female
50271,896,male
125299,4759,female
87610,6735,female
64024,2633,male
128238,3900,female
24979,281,male
36178,2614,male
98242,6568,female
68571,5199,female
71127,6818,female
119093,6550,female
65666,1758,male
63285,194,male
131041,3556,female
116419,4119,female
21215,3517,male
5194,2253,male
69769,5791,female
83587,5356,female
20986,3061,male
95863,6647,female
73106,4838,female
121515,6542,female
69564,4646,female
41895,329,male
65285,3128,male
129378,5595,female
36367,3395,male
67519,2129,male
82101,3684,female
93766,5448,female
81130,7008,female
73396,6947,female
68377,4895,female
3615,816,male
108172,4977,female
26474,303,male
71564,4302,female
127757,5881,female
112863,5390,female
45119,1983,male
123297,4655,female
59130,2730,male
54218,3297,male
71593,5897,female
44673,1414,male
78114,5321,female
122311,5410,female
104689,5437,female
35574,3174,male
100803,4708,female
129815,3592,female
40593,2707,male
12305,1749,male
111072,5670,female
49783,1546,male
92861,5963,female
16394,1166,male
124702,4017,female
5774,3521,male
62848,2476,male
111462,4769,female
68507,4586,female
99327,5390,female
58682,435,male
92411,5274,female
40781,1686,male
97878,6616,female
62681,1500,male
32066,1375,male
61996,3108,male
120007,4515,female
43265,222,male
6958,164,male
14251,3345,male
96991,5621,female
68916,5624,female
6685,3288,male
1826,899,male
10449,1641,male
118473,6855,female
4645,2022,male
58715,363,male
31221,2762,male
75081,4448,female
128044,6162,female
39613,1832,male
132642,5742,female
37426,2045,male
99869,3532,female
92903,6242,female
98103,5746,female
45075,2819,male
126448,4556,female
114071,6366,female
60593,1680,male
131015,4330,female
11626,2135,male
123043,5763,female
18198,2792,male
7242,259,male
87573,3898,female
90075,5176,female
96132,4801,female
120405,5548,female
111869,3840,female
106835,5501,female
127233,3607,female
24080,769,male
108201,4257,female
1960,2094,male
106591,5964,female
23237,570,male
72608,6955,female
113344,6003,female
110297,5427,female
56787,2041,male
87739,4690,female
15147,1119,male
93857,4436,female
59097,494,male
15697,2057,male
98493,6665,female
28438,442,male
103438,6668,female
63989,85,male
80319,6773,female
61725,2228,male
91021,4799,female
125518,4995,female
122997,3809,female
115639,5047,female
103875,3780,female
80827,4967,female
132426,5603,female
86354,6101,female
12481,1830,male
42772,3409,male
117404,4298,female
452,3107,male
29960,2511,male
114681,6482,female
100652,3886,female
29461,1242,male
31883,2843,male
20188,532,male
10674,898,male
98506,6984,female
20082,151,male
128627,6578,female
46256,1899,male
5689,375,male
93676,6677,female
88293,5596,female
114817,5438,female
45852,2327,male
74232,4841,female
64982,2000,male
23009,2156,male
