ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15
22,3647,3262,151,1442,3286,1046,2295,950,2755,1345,3210,2558,3275,3069,3150,1185
23,5189,187,3495,794,1515,758,2274,906,2723,2723,1500,1451,1234,3034,2250,1234
24,330,1959,2871,3280,1890,1480,2146,3369,1095,550,3369,632,290,3369,3280,2568
25,5189,623,2871,3280,290,1480,2146,3369,290,550,3369,2603,290,290,3280,143
26,330,1959,2871,3280,5533,1480,2146,3369,1095,3025,3369,2603,2634,3369,1890,143
27,330,1959,1094,2955,414,1546,1298,2285,3526,3380,1523,2642,580,2642,1018,3525
28,3647,1959,2638,2210,1896,2403,507,3172,1079,307,3460,1621,2437,1079,2437,1595
29,330,1959,1201,2469,84,1644,138,725,2401,407,1380,2401,2516,1789,1380,3380
30,3647,1959,2067,2611,1473,795,2230,389,3139,1427,2230,39,720,2230,908,3263
31,3647,1959,805,2611,1473,795,2230,3139,3139,1427,1438,805,720,2082,908,3263
32,3647,1959,805,1652,1882,795,1935,700,1717,1427,170,2783,3263,2082,170,3263
33,330,3786,5421,3005,6410,6829,5257,1923,5916,2882,5034,6829,2499,4929,6205,1069
34,330,2925,3527,1923,817,1527,1923,776,3053,3376,1522,696,1135,3376,817,3376
35,3647,4947,2734,2742,1209,1527,1965,5048,1209,696,2742,696,2577,1675,5085,2577
36,3647,1633,1715,569,370,50,933,554,2620,2043,1980,399,1377,399,3147,399
37,3647,4292,2502,2313,340,2502,2313,3055,3139,1269,3057,461,1298,1257,340,340
38,3647,1959,3495,1335,2228,2356,2274,1308,1372,2309,173,2881,1608,2141,1608,896
39,3647,1552,151,840,3163,2380,2095,840,2095,2944,3087,1498,580,1498,406,1498
40,3647,1959,2596,646,930,1498,3017,1448,2782,2967,1498,2887,102,2967,406,1498
41,7040,1959,151,743,930,2933,2283,1326,1326,1855,2055,1855,1369,2100,1091,791
42,3647,1959,151,743,222,1906,132,2518,1265,1855,2055,1855,2055,3182,190,2055
43,5189,1816,535,1914,3140,3109,1000,15,1717,1855,2310,3440,791,2518,190,791
44,3647,242,151,646,1163,3136,132,420,1369,3440,2434,3440,580,2100,190,1914
45,3647,1552,151,743,930,3031,1877,3334,2717,393,3370,2717,580,1826,2717,558
46,5189,1552,2014,2714,3175,2441,2441,2731,3139,3261,3517,1756,1681,3418,486,1401
47,3647,1959,291,2714,930,490,1610,2731,3139,393,3442,3442,1501,1466,1466,940
48,3647,1959,2871,604,176,1644,2536,320,101,2536,638,352,352,2536,1443,320
49,3647,1959,2871,2469,1391,1644,1001,71,101,2536,638,352,101,3225,2868,3407
50,3647,1959,2871,2469,63,2536,2536,71,101,2536,101,2536,101,2536,638,3407
51,330,1959,2871,1018,63,1644,2536,3198,101,2536,2658,352,352,3225,638,3407
52,330,1959,2067,2422,2970,2843,2536,71,101,2536,2658,352,2843,71,638,3198
53,3647,1959,2560,1705,1216,3403,1001,3198,101,2536,638,3119,1153,3119,638,3403
54,5189,5745,1568,686,863,4055,183,2444,790,3466,2595,1388,580,471,1975,337
55,330,1959,151,6316,1630,4055,6402,4688,4688,4688,1630,6402,1788,3004,3657,5460
56,3647,1838,151,457,863,2519,132,3046,1027,1195,2519,1388,3046,812,1975,3340
57,330,1959,1094,1035,2879,3273,3017,1201,2646,2879,3045,3440,2546,246,3045,227
58,330,4947,362,1975,3004,1975,1628,173,3139,1490,1747,1975,1747,2522,1747,3509
59,330,1633,2637,3005,370,3203,1298,2967,2546,1066,3045,3440,2546,2518,3045,227
60,330,4947,1931,3359,3004,1527,4368,2530,2840,2840,467,3192,1377,3182,467,612
61,330,1233,2502,2840,3004,1527,3006,2840,1652,2840,2840,696,2542,1073,2044,2542
62,330,4947,2502,94,3004,1527,2930,776,2840,2840,2917,2840,467,2840,1527,612
63,3647,1959,1127,2469,439,795,2940,1833,2793,1382,359,1833,1833,3202,93,1364
64,330,1959,1780,2717,1163,2928,2156,2695,1852,578,2955,2790,1852,420,420,2934
65,3647,242,1127,1751,1163,3031,2156,1727,3139,3044,3031,1751,3031,2627,2381,3263
66,3647,1959,151,2826,1838,2035,376,965,1838,1350,1838,1861,1861,965,1861,1861
67,330,2925,3075,457,2228,3068,2050,3154,2397,3093,161,1861,1641,1838,353,1391
68,3647,2925,1462,1335,176,3068,379,1462,5992,17,2292,176,3501,1293,3358,2292
69,330,2925,1462,457,6486,659,1547,1590,2140,2810,2192,1547,884,2810,884,1332
70,330,1959,232,1067,480,2035,2050,1963,2140,46,2192,480,694,1794,2580,480
71,3647,1959,3075,457,4156,1578,376,603,1804,2346,3347,1578,418,418,1443,592
72,5189,1959,535,1476,997,2902,2163,420,997,341,2352,3140,2055,3013,1790,3090
73,3647,1959,275,1476,727,3109,1181,3228,3384,2055,2055,3187,2055,2055,2319,2055
74,3647,1959,2583,686,997,2088,220,255,997,1357,300,1770,997,2402,997,997
75,3647,1959,2871,1476,997,795,1181,3458,997,341,2837,2431,1340,1303,2652,1942
76,3647,1816,1127,2955,997,2088,3321,3334,997,341,291,2431,564,25,25,1181
77,5189,767,535,2985,2902,795,1346,2902,82,82,82,3124,767,3124,2652,82
78,3647,1914,535,743,2557,3404,2290,255,997,3408,1552,827,2557,1571,255,1059
79,3647,1959,1568,686,3286,3109,1990,1441,1208,91,300,1948,2557,1990,1948,1948
80,5189,2490,2240,2557,3286,3404,2003,735,715,91,496,1948,1956,1208,1948,1538
81,330,1148,851,5824,1710,330,1039,3383,2893,3073,3087,2858,3054,186,976,1978
82,5189,5084,6279,6316,370,2562,1412,585,2120,2120,2120,2120,2956,2884,1730,2120
83,5189,3575,6279,6316,370,2562,1412,585,1267,2840,1824,3192,2956,1157,1730,3066
84,3647,1959,2871,1335,176,3068,2050,1963,1637,904,2192,2913,3501,67,67,592
85,330,2925,1462,457,176,659,2605,1963,1637,17,2192,156,865,3168,156,3154
86,330,1959,1462,1335,176,3068,379,1462,1637,46,2192,2913,1804,67,67,592
87,3647,1959,3075,1335,1009,67,379,1335,1601,75,32,2981,694,2981,67,75
88,3647,1959,1462,1335,1691,556,379,689,5992,17,2192,3489,1065,1895,1015,75
89,3647,187,3236,1335,3286,67,2050,1335,1601,17,67,3489,3358,2981,67,67
90,3647,1959,2871,457,1391,3068,376,1963,2140,2178,3347,1861,1850,1838,1443,3154
91,3647,1959,2871,457,176,659,2178,1963,2397,2178,156,156,884,3168,1120,3154
92,3647,2925,416,457,2157,659,2053,1963,2140,2178,2192,1242,884,1242,1242,3154
93,330,362,4537,2742,12,330,2622,5201,2908,2588,2588,628,2006,12,6624,2908
94,330,4947,851,3552,5517,330,4400,4387,97,4129,2588,4387,2006,330,4233,2771
95,330,1959,396,1705,1705,1883,1460,1239,2289,3338,396,41,1705,1705,1883,1180
96,330,4947,3527,6555,12,1376,1039,1239,2588,2588,2588,628,1180,2588,1180,2771
97,330,4947,3527,6555,12,1883,1039,3527,2908,1883,128,628,1180,1705,1180,2908
98,330,4947,3527,6555,12,1883,1039,1239,2588,2588,2588,628,2588,2588,1180,1474
99,330,1959,2871,2924,1758,1795,1684,656,2339,1030,385,1030,1744,656,1549,2639
100,3647,1552,151,743,863,697,507,2285,3575,36,1341,655,1956,1595,568,1595
101,3647,1959,2548,2924,1675,1795,1949,656,1949,1003,923,696,1744,1675,918,1675
102,330,362,1628,1975,3056,607,1628,173,837,1427,3266,1628,1747,2522,1628,837
103,3647,1959,2067,118,363,3244,2740,389,363,363,359,3440,580,363,363,363
104,5189,1959,2502,697,3254,2542,868,2759,3139,1427,2,2043,1433,2518,2910,3142
105,5189,187,151,794,3286,2643,2823,597,1371,3236,1500,281,2723,825,1288,1611
106,5189,187,785,794,3286,924,316,2682,511,2092,3210,316,1288,3399,1288,1611
107,7040,187,785,794,3286,2643,316,3259,3150,14,3210,2056,2337,2056,1288,784
108,3647,1959,2735,1335,176,1529,739,1462,1637,904,2192,1445,694,869,3358,1332
109,3647,1959,232,457,176,659,1547,1250,2140,2178,3647,3956,884,869,1065,592
110,3647,1959,151,457,850,1529,739,1963,739,904,561,2361,694,869,3501,1173
111,330,1959,2560,1705,1395,285,1788,455,1865,1788,1400,3425,1788,3356,1134,1400
112,3647,1959,2014,3016,414,2736,507,2731,3139,697,3460,3506,1466,2441,2038,2731
113,3647,1959,2014,2714,414,2736,1400,2731,1495,3111,1495,2736,3175,2736,3175,1401
114,3647,1959,1127,2955,1163,2736,2156,1304,2156,1680,1438,1751,2156,1196,1196,2621
115,3647,1959,2034,2424,2479,1304,3172,455,1326,487,1326,2887,2887,569,976,2412
116,3647,1959,1127,2955,1163,1592,2156,1304,1865,2636,737,1304,166,2306,2854,612
117,3647,4161,2067,840,3163,1095,4535,1643,1068,1643,1643,1815,1643,1643,2422,2422
118,5189,1959,1568,1335,930,1795,704,3259,1591,1591,1958,1388,704,3308,688,2354
119,3647,1959,151,2826,930,2999,3508,930,1145,688,1958,1145,1369,2132,688,2422
120,5189,1959,151,2611,222,1709,507,930,1396,1427,3149,3371,2350,1595,3318,3318
121,3647,3786,2596,1652,370,1073,342,15,1115,64,2596,3192,2596,2596,64,612
122,5189,1959,5142,1433,3254,1403,3254,2918,837,3350,837,218,1535,2518,1477,837
123,3647,2925,2502,840,2944,2095,2095,2944,2095,2636,3087,2893,2499,2636,3425,3425
124,3647,1959,2463,2955,2516,2474,507,2731,3139,393,3442,2887,3442,1787,2057,3044
125,330,2925,2034,840,94,3201,3184,1526,975,2636,3073,218,2636,2636,421,78
126,330,386,1201,2936,2756,167,2756,3413,244,2939,3045,2480,1661,23,419,2480
127,3647,1959,1127,2955,637,795,1935,3334,1925,420,2932,1722,1694,420,420,336
128,330,1959,3495,2955,2516,595,1454,420,1925,393,2072,3326,2516,3418,420,327
129,5189,1914,535,743,735,3136,1181,3228,790,2055,2055,637,2055,485,420,2055
130,5189,767,151,3396,163,795,704,3179,1371,2628,380,1198,2587,1198,1198,1198
131,3647,242,1127,2955,637,795,2462,2695,1326,420,2378,637,2311,214,420,214
132,3647,3262,151,1350,2236,1529,376,1963,2236,1350,2192,2262,694,1794,67,2236
133,3647,1959,151,457,694,2035,2050,1963,2052,2346,3347,2052,603,32,1443,2774
134,3647,1959,151,457,2708,2012,376,1963,1048,2810,3347,603,418,2810,2580,592
135,3647,4947,2988,2714,313,1940,507,841,3139,841,1604,1621,1604,1787,493,1490
136,3647,1959,291,2955,2516,3109,2779,2731,322,697,2072,1908,1466,3261,1654,2779
137,3647,1959,2014,743,1621,490,2441,1495,1495,3111,2595,1756,241,241,2057,1604
138,5189,2490,785,1476,2332,2643,507,3172,1103,201,2749,3388,2103,2103,828,2103
139,3647,187,685,1229,2902,3109,2093,2902,1103,828,2749,3388,3512,685,828,608
140,5189,2490,1011,562,2332,2643,444,3259,3183,201,2749,2987,3030,2629,2655,3030
141,3647,1959,151,2714,1395,2837,1657,2110,3139,2573,2695,1395,1036,1036,2057,957
142,3647,1959,291,743,2516,285,138,241,3139,1833,291,1751,1833,1295,2057,1028
143,3647,1959,1642,2714,370,285,138,3459,3139,1833,1380,3213,619,23,2057,2355
144,330,386,3527,6555,1311,1883,1039,1239,1474,2852,2588,2388,3133,1233,2172,1474
145,330,1233,396,3315,1311,1840,961,1239,310,2852,396,2758,3484,2758,2758,310
146,330,4947,3527,1483,12,1883,1039,1239,2906,2852,2588,2388,2388,2734,2388,2852
147,3647,242,1127,2955,2516,1933,1275,2441,1413,1413,1275,1660,2189,1361,1413,2631
148,3647,242,1127,743,239,649,1854,3507,1224,3044,1275,3388,2380,1361,1676,1361
149,3647,242,1127,2955,2516,2474,1854,2072,681,3044,1275,681,2474,186,2631,2631
150,5189,242,2596,646,3182,2095,3182,2819,2782,2967,2596,2727,665,277,277,612
151,3647,1959,2596,2210,818,3467,1298,3172,2782,2307,1595,2782,2596,2596,1421,1595
152,3647,1959,5142,697,1473,2502,1473,3172,3139,1427,2517,2574,373,1421,568,1595
153,3647,1914,1127,743,239,1422,2380,2285,1224,2293,1681,2148,1681,1681,1681,940
154,3647,242,1127,2955,239,285,1061,2285,1681,2511,1681,16,1681,1681,1681,1681
155,3647,242,1127,2955,2516,285,1593,2285,1681,393,1681,2642,1681,1681,1681,3304
156,3647,1959,291,743,2557,1422,472,2188,1925,485,1552,3388,239,485,2847,1059
157,3647,3575,151,686,637,3136,2316,2188,997,485,1552,3388,3368,3368,2754,1086
158,3647,1959,151,686,2881,2088,827,2188,997,3408,1874,3388,3368,3368,253,1059
159,3647,1959,2087,424,637,3109,3381,552,2121,1555,1275,3506,2242,1361,1555,1555
160,3647,2925,3462,743,414,2340,3456,552,2121,1555,3401,815,2242,1181,275,858
161,330,1959,1201,424,818,1146,2730,1239,1224,285,3045,1146,239,1146,552,552
162,5189,1914,1953,686,1725,3109,2311,336,2511,285,2453,1072,336,3368,2529,336
163,330,2925,685,2456,25,3109,193,420,997,1970,1340,3255,2815,3368,1970,1486
164,5189,187,151,743,3134,575,1331,255,1370,2785,1552,3368,746,3368,1370,305
165,3647,1838,151,660,1273,2035,694,603,2140,1350,232,660,603,2996,1242,2774
166,330,1959,151,457,4156,4813,739,603,2140,1350,3345,603,1678,2996,2774,2774
167,330,1959,151,457,4156,4813,739,603,967,5384,1332,3724,603,1774,4813,2774
168,3647,1959,3495,1137,1515,2957,1540,1540,1540,1384,1540,281,1540,1540,2652,1540
169,3647,1959,2871,1229,439,795,2214,1229,1540,1384,3233,281,1540,1540,2652,2214
170,330,2925,1386,2422,3056,937,941,368,1010,985,985,696,985,13,985,985
171,3647,2490,151,2557,1277,104,1346,338,511,2465,338,281,2557,1571,2652,338
172,5189,2490,1687,794,1515,758,1742,1107,1208,1530,643,281,2557,1107,2652,2410
173,5189,187,758,794,1515,575,1742,1107,511,1624,899,281,2557,1624,1187,1624
174,3647,187,1568,798,727,575,476,3491,3,1555,1874,281,3491,1191,2305,2396
175,330,187,758,794,3069,355,476,3408,3,3408,1874,281,216,2489,2305,2410
176,3647,187,758,2305,3069,575,1742,2829,355,800,1874,355,3512,2929,2305,3134
177,330,4947,851,840,3373,1527,1190,1570,2095,2636,3087,2858,2499,2636,3373,78
178,330,1959,3152,3016,1395,3201,1247,455,2636,62,3087,218,3484,2075,421,395
179,3647,242,1094,1782,84,1395,722,455,2811,62,2378,62,3484,2828,3373,612
180,3647,1959,2871,118,84,1578,2541,3369,2906,1112,2550,1578,2594,584,567,2560
181,330,1959,2014,1705,1311,1840,1460,1239,1474,2906,3121,2388,2560,1311,2388,1474
182,3647,1959,2871,2560,4156,1620,2541,1239,2906,1822,2550,2594,1024,584,567,2560
183,330,362,2846,1067,1797,1025,1965,1693,155,1350,1693,696,70,656,2661,318
184,330,2925,918,1067,881,2397,2050,1693,2397,161,400,3093,901,13,3125,1372
185,330,1959,2871,1067,848,3097,965,1693,2397,1350,2192,1861,1861,965,2580,1861
186,3647,1959,2871,3280,290,1480,2146,3369,2359,550,3495,632,290,920,3280,1086
187,330,1959,2871,457,589,3109,961,3369,832,832,473,987,1224,920,832,3102
188,3647,1959,2871,3280,290,4813,1472,3369,832,3089,1472,2634,2634,2634,999,2568
189,3647,3262,151,3318,1182,2012,132,1165,1027,201,779,2574,1442,3467,1099,2542
190,3647,1959,151,2611,930,795,1877,2210,2782,1195,3222,3222,3222,978,1104,1104
191,330,242,2067,1241,1882,3109,2740,3440,1396,2839,2403,2234,3379,3308,1104,1595
192,330,4947,4537,6222,6769,4055,6332,2976,4002,36,2595,5100,36,3356,2141,2141
193,3647,1959,2560,743,818,424,961,2188,1224,2667,424,16,1224,1361,1361,1361
194,330,1959,3495,121,637,3109,872,2667,1224,2667,1874,3388,112,1361,76,1058
195,3647,2925,2637,562,1066,1598,507,2925,1123,2925,1598,95,95,2113,2925,1280
196,3647,1959,2925,2902,1604,1604,507,1598,941,697,2522,2323,2672,2113,313,1889
197,3647,1959,685,2863,1066,2863,1693,1693,2953,2863,2595,549,2795,591,549,981
198,330,2925,685,457,5896,3109,3453,3508,3032,1066,2394,1815,2030,2554,918,2269
199,330,6515,2067,1110,1097,3109,3508,656,2205,2164,1054,2425,1755,2244,2339,2205
200,330,2925,685,2458,1916,3109,704,3508,2205,2164,3278,704,663,2394,2205,2205
201,3647,1959,2067,2458,280,3244,109,3019,820,494,1464,1169,3378,2738,1837,3019
202,3647,2490,620,562,280,2851,109,3019,2374,494,2512,1479,1220,106,3188,2512
203,3647,1959,2871,2458,3437,2851,3024,2871,2458,2036,2692,2056,2191,106,1837,2451
204,5189,2490,1568,686,3286,229,2768,2704,2202,2202,2565,1726,580,1726,2202,337
205,3647,1816,151,2892,1251,1911,2768,3003,3183,2839,2106,1388,3378,1726,1560,337
206,5189,1816,151,686,3286,229,132,1874,3183,2839,1874,3388,3190,3368,253,2800
207,3647,1959,2871,457,1213,1480,2146,2188,3134,3523,3495,2558,3523,2746,999,1086
208,5189,1816,2137,3231,131,1480,2146,3369,790,832,920,2558,3021,2558,1890,1900
209,5189,187,3236,562,2558,2643,1805,1900,790,2667,1900,2558,1900,2558,1900,1900
210,3647,1959,840,840,6946,585,2095,585,1115,2636,2596,94,2596,2596,94,2596
211,5189,1914,6279,646,6946,585,980,585,1115,2636,2596,218,2095,2596,2095,1301
212,5189,1959,151,646,2944,1649,2563,1959,2095,2636,1907,218,2944,1421,2095,2412
213,3647,1959,2067,2456,370,1527,3054,3459,1527,451,2190,3391,1788,2211,158,1566
214,3647,1959,3459,2722,2853,467,459,389,6035,2939,3087,583,459,23,946,946
215,3647,1959,1723,3459,370,467,1519,1776,1519,2139,3073,1776,2287,2741,946,946
216,330,1959,2871,2583,2516,3109,2534,3354,750,3155,2534,708,708,3356,3354,1942
217,3647,1959,2871,2837,340,2837,1298,2904,750,1382,1382,3115,16,2700,450,3115
218,3647,1838,151,743,3056,1422,1683,3179,1925,2465,1925,3388,3418,3368,579,850
219,3647,2925,685,1335,176,3068,479,1335,1601,1847,400,1847,1847,400,3358,3068
220,330,2925,2871,457,1391,659,2050,1098,1929,1847,2752,954,901,901,579,2752
221,330,2925,416,1335,1009,3068,2050,1335,1601,1335,400,1335,3501,869,3358,1033
222,3647,1914,151,743,863,3109,3371,2444,1010,2009,3371,3371,20,132,3371,132
223,3647,1959,837,1053,3286,2671,1169,799,1588,2671,837,1169,588,1559,1508,837
224,7040,2490,151,686,3286,758,1331,2540,1717,2009,1310,2184,20,2184,1370,3294
225,330,1959,3152,2936,1899,2186,1899,455,3152,2939,3087,619,619,1899,419,619
226,330,1959,1201,2714,3493,2186,2836,2618,3493,285,419,619,619,3256,419,2836
227,330,1959,1386,2936,2479,2186,2756,419,2906,3392,3087,619,1661,186,419,619
228,3647,4292,5035,2962,1857,3109,1983,336,2205,2125,3266,534,937,3291,3309,3340
229,330,2925,620,2175,1225,607,1628,389,1717,2427,2427,3440,1747,2082,1664,2542
230,330,610,1386,2456,9,2244,2970,333,921,985,2974,598,663,268,407,1263
231,3647,1959,2302,1268,1882,795,1966,3440,1717,7,312,3440,580,3440,1104,1104
232,3647,1959,678,118,152,795,837,700,1717,7,1958,3440,580,650,1104,7
233,3647,1959,4173,1781,1097,1795,3371,2967,1396,911,2967,3440,2764,2967,1104,1633
234,5189,1959,2034,646,605,585,2313,3172,2620,1269,2911,1415,2911,3182,1000,3182
235,3647,1959,2502,1820,292,2502,2313,700,1265,1433,791,2887,2116,3182,3147,2313
236,5189,1959,2034,2424,414,2088,1298,3207,530,1130,1130,815,3203,3182,1000,3182
237,3647,187,1245,686,2557,575,1181,2188,997,1357,1552,1770,1770,1357,255,66
238,5189,767,1245,686,2557,2088,1181,2188,997,25,300,3388,25,25,66,66
239,3647,187,1058,686,2557,575,1181,2188,997,25,609,3388,1770,901,66,66
240,3647,1959,2596,840,2132,2999,1805,3259,2655,2422,1958,2655,2337,1958,2655,608
241,3647,1959,2014,414,414,1345,1298,1963,110,1066,1958,3440,2764,1958,3045,152
242,330,2925,2871,118,222,3109,2295,3259,887,36,2269,1145,501,2667,2422,2422
243,330,1148,1201,2111,1456,467,2764,3413,2641,2559,2764,2641,2764,186,51,3413
244,330,386,2399,2714,1710,497,2114,3413,2559,2559,3180,1471,2764,3180,51,3413
245,330,1959,1201,2714,1710,285,2836,3413,2559,1382,2534,2114,2764,186,51,3413
246,330,3786,1201,1279,3249,2627,2543,88,932,1114,1275,1660,2474,186,1114,1114
247,3647,1959,1127,2955,2516,2627,2543,2474,932,1114,2453,1660,2474,2543,2474,558
248,3647,1959,2463,2962,3249,2958,2176,1236,1454,1114,1380,2480,2469,1943,1114,1114
249,3647,1959,2871,2469,3406,1644,2836,389,1447,1833,1447,1833,351,23,351,2836
250,3647,1959,1127,2955,637,795,1298,3067,2466,1382,1447,2641,2764,745,3045,1595
251,3647,1959,1094,2469,439,1723,1298,3413,2466,1382,3406,1512,2764,2466,3045,3072
252,5189,187,151,405,850,2052,376,1963,2236,2086,2192,2400,2580,3020,1065,2086
253,3647,1959,4348,1335,6486,1335,2050,46,2140,46,2192,1335,694,1794,3358,46
254,330,1959,3075,457,176,1461,379,2131,1794,904,1794,1847,3405,1794,3358,1910
255,5189,187,3236,474,3286,2682,2682,2682,511,3232,3232,2555,3275,1821,2455,2682
256,5189,2490,1687,474,3286,1172,1742,1172,511,3232,2019,1169,3274,3343,2455,3274
257,5189,187,3236,794,3286,3274,1742,1206,511,1624,1206,3279,1624,1624,2455,1624
258,3647,1959,2871,2826,376,2012,376,1963,2236,1350,3347,2550,1024,584,1443,2550
259,330,2925,1386,2175,1391,659,2050,1443,1153,1847,726,1847,1024,1847,1443,1443
260,330,1959,1386,3315,84,659,2605,1963,2666,3168,2550,1668,1024,584,1443,2550
261,5189,1816,151,743,3134,472,1001,2188,2575,2839,1552,3388,1969,3368,1969,1086
262,5189,1816,151,743,3134,1422,1327,2188,1224,2839,1874,3388,1956,3368,112,1086
263,7040,1959,151,743,2228,150,2228,2188,2575,1969,1552,3388,1969,3368,1969,1086
264,3647,1959,1127,2469,439,795,1935,389,101,2466,3406,3417,2026,2466,420,389
265,3647,1959,293,2469,2970,2843,2970,3198,101,2536,2843,352,2843,2514,2843,2843
266,3647,1914,791,2210,1264,795,1298,389,2466,1427,3406,2783,3222,2466,518,39
267,3647,362,2502,3066,3066,6920,2622,3359,155,918,1475,696,382,669,918,918
268,330,4947,1744,771,2930,1376,1949,3359,1949,240,3339,696,1744,2747,1557,2102
269,330,4947,3208,2924,1209,1795,1069,656,1949,1003,2322,5904,1744,656,2870,1949
270,3647,2925,1386,3152,2970,937,2820,389,2820,165,2434,1701,2434,2820,1701,2434
271,330,2925,2087,1711,9,937,1701,1701,2011,2939,2974,1701,3312,2306,1701,1701
272,330,1959,2034,2837,292,1527,2230,2786,3139,2673,2786,2135,1697,3016,2673,1315
273,5189,1959,2014,743,2902,2340,3321,2188,1495,81,291,3388,3374,1361,1134,1401
274,5189,1959,2034,3016,2902,2340,3321,2188,2649,2616,1275,3506,1361,1361,1654,1361
275,5189,1959,291,2955,1891,2088,3321,2188,1925,285,1925,3388,397,1361,1134,66
276,5189,1914,2596,646,930,697,507,2918,2782,697,697,2219,429,2518,1000,410
277,3647,1914,3243,2210,1097,2506,3017,1448,2782,429,170,3440,429,3044,3044,429
278,5189,1959,1130,2714,3254,1000,507,554,3139,507,2653,1878,1298,1016,507,2959
279,330,1959,2067,2422,439,795,1554,799,1717,1554,2653,3250,397,2653,2653,2526
280,3647,1959,2638,2458,439,795,1464,2951,1717,494,2653,3140,1464,2553,2526,2526
281,3647,1959,2638,2210,3140,795,2307,799,1717,3440,1717,3440,1369,1717,2526,2526
282,3647,1959,151,1350,5270,1046,1346,1225,511,516,1346,3317,2092,471,2141,1991
283,7040,3262,151,1067,2084,2519,2192,173,1336,2844,173,173,2580,471,4017,2519
284,3647,1853,151,3396,3286,1422,1784,392,511,2465,511,511,3317,1206,1724,338
285,3647,1959,2308,2611,1473,2716,507,3139,3139,3139,2522,2522,1747,2522,2522,2522
286,3647,1959,2308,2902,2902,2308,483,3172,126,340,1130,483,126,1787,313,2313
287,3647,1959,2240,2954,3056,1709,941,3099,3139,2925,1438,2522,941,2522,2522,2522
288,3647,1959,1127,2955,1395,1395,2230,1526,3139,1526,2825,2825,2825,2825,2697,3421
289,3647,1959,700,2985,292,3271,3024,3334,3139,3490,1523,578,2825,2680,2057,791
290,3647,1959,3459,2955,1395,1930,138,3334,271,1788,1329,2736,1788,3313,2786,1028
291,5189,1959,3495,3280,637,3109,1327,2667,1018,3368,3233,3388,2311,3368,3233,2678
292,3647,1959,3495,3495,3134,1422,3498,2685,790,2667,1958,2600,239,1361,112,1361
293,3647,242,2560,686,637,3109,637,420,2311,2667,1552,637,2311,1361,2529,1361
294,330,1233,2603,451,84,3315,722,1247,3420,62,2986,3484,3484,2211,3468,310
295,330,1959,2185,3315,84,3315,2316,3369,1865,832,2758,987,3484,596,2758,310
296,330,4947,1386,2936,1149,1527,2622,1239,185,451,2758,2758,3484,185,2758,310
297,5189,2490,785,474,3286,2671,444,599,1717,1082,3384,444,3378,444,2540,2682
298,3647,2490,1011,1182,3286,2671,2018,3259,212,2018,2018,1169,3378,675,2540,784
299,5189,187,785,794,3286,3216,212,392,1717,212,212,1496,212,212,212,1496
300,330,1959,2871,3155,439,2965,3017,554,2620,226,3002,1554,2546,252,252,1554
301,3647,1959,2871,2469,439,2965,2970,2871,1769,2326,101,518,518,268,518,2041
302,330,1959,1723,3067,439,795,2230,389,2620,226,539,39,2191,252,252,3011
