ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17
131,781,432,504,437,54,54,171,171,171,171,171,171,171,171,171,171,171,171
132,195,313,804,72,222,259,317,317,165,165,259,259,165,89,259,89,259,89
133,800,376,58,308,345,259,259,259,259,259,259,259,259,259,259,259,259,259
134,259,260,317,574,288,133,133,66,222,259,259,222,222,259,259,259,259,259
135,810,397,193,247,469,391,314,351,232,232,232,232,232,232,232,232,232,232
136,308,505,630,335,319,121,351,351,237,437,121,121,252,223,252,3,237,250
137,311,787,734,734,734,146,232,232,314,314,314,314,314,314,314,314,314,314
138,553,413,707,348,65,370,90,274,90,90,90,90,90,90,93,90,90,93
139,596,44,60,370,84,84,187,90,385,90,239,90,486,90,121,90,90,120
140,747,287,132,483,389,10,197,71,90,90,90,326,90,90,326,193,383,193
141,727,91,381,328,102,102,102,102,102,102,102,102,102,102,102,102,102,84
142,588,673,726,748,364,102,102,102,102,102,102,102,102,102,102,102,102,102
143,13,485,780,309,22,339,381,93,22,381,102,102,102,102,102,102,102,102
144,86,295,446,342,79,342,342,342,342,342,342,342,342,342,342,342,177,342
145,121,213,285,687,375,263,362,312,263,362,203,203,203,134,342,342,342,342
146,190,372,40,620,139,329,342,273,273,177,273,342,342,342,342,342,139,342
147,26,109,240,0,88,237,237,237,237,237,237,237,237,237,237,237,237,237
148,343,237,485,147,6,237,237,237,147,237,237,237,237,237,237,237,237,237
149,705,500,193,303,192,237,237,237,237,237,237,237,237,237,237,237,237,237
150,255,418,565,325,224,166,185,185,185,7,7,7,7,7,7,7,7,7
151,14,742,512,297,93,220,7,7,7,7,7,7,7,7,7,7,7,7
152,509,101,783,253,42,184,513,347,226,347,95,7,7,7,7,7,7,7
153,749,84,662,206,10,206,206,206,206,206,206,206,206,206,206,206,206,206
154,775,726,806,108,206,206,206,206,206,206,206,206,206,206,206,206,206,206
155,388,661,111,371,206,206,206,206,206,206,206,206,206,206,206,206,206,206
156,421,33,421,130,471,53,17,41,17,773,557,74,74,32,74,373,133,74
157,52,511,371,507,479,352,17,186,17,352,352,352,352,352,352,352,352,352
158,254,352,150,628,335,352,520,520,511,352,159,352,352,352,352,352,233,352
159,509,578,109,723,357,249,357,357,357,357,357,357,357,357,357,357,357,357
160,121,636,233,118,231,134,134,134,183,357,357,357,357,357,357,357,312,357
161,730,787,281,340,253,79,367,157,357,357,357,357,357,357,357,357,357,357
162,568,204,193,197,204,246,215,46,46,46,46,46,46,46,46,46,46,46
163,11,735,510,219,113,678,71,358,368,62,62,172,38,38,38,62,46,46
164,50,77,783,337,394,124,244,135,38,38,221,348,221,46,46,46,46,46
165,371,572,108,376,288,72,72,787,72,72,72,72,72,345,72,72,72,72
166,468,161,668,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
167,185,713,806,508,345,345,345,345,345,293,345,345,345,345,345,345,345,345
168,671,177,644,142,170,66,229,57,285,285,285,285,285,285,285,285,285,285
169,148,285,28,792,285,343,225,745,376,272,5,285,285,285,285,285,285,285
170,380,801,593,705,188,74,338,87,308,285,285,285,248,285,308,308,251,285
171,481,408,721,664,156,558,693,748,343,343,343,343,343,343,343,343,343,343
172,86,135,101,484,85,343,343,343,343,343,343,343,343,343,343,343,343,343
173,643,174,229,630,138,343,343,343,343,343,343,343,343,343,343,343,343,343
174,513,359,684,338,85,359,85,153,391,359,359,359,359,359,359,299,359,359
175,444,359,129,276,170,74,289,74,351,380,380,276,74,74,74,41,351,151
176,40,389,354,165,302,394,138,138,2,276,38,38,38,359,276,359,359,359
177,783,303,757,205,626,36,95,100,702,249,702,213,100,213,100,100,100,100
178,388,515,208,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
179,224,658,630,463,23,303,41,223,188,100,100,100,100,100,100,100,100,100
180,778,783,712,103,80,283,283,283,283,283,283,283,283,283,283,283,283,283
181,385,604,569,385,3,203,233,377,275,356,312,130,53,91,53,312,53,53
182,149,770,368,80,281,301,283,283,283,283,283,283,283,283,283,283,283,283
183,314,141,356,356,356,356,273,647,674,647,647,647,356,356,647,321,356,356
184,595,687,41,619,241,356,356,356,356,356,356,356,356,356,356,356,356,356
185,327,578,390,673,477,308,356,356,356,356,356,356,356,356,356,356,356,356
186,31,34,165,156,106,21,113,113,113,113,113,113,113,113,113,113,113,113
187,263,574,425,400,83,11,403,757,173,222,168,765,338,396,194,85,338,338
188,326,709,289,400,82,21,21,113,306,113,113,113,113,113,113,113,133,113
189,735,651,121,369,365,109,293,274,274,274,274,274,274,274,274,274,274,274
190,115,418,364,0,14,297,130,309,309,309,309,274,274,274,274,274,274,274
191,445,508,568,255,274,274,274,274,274,274,274,274,274,274,274,274,274,274
192,462,142,420,40,264,264,434,173,173,127,652,783,783,155,175,82,347,82
193,126,619,450,375,129,244,52,52,52,52,52,52,52,52,52,52,52,52
194,577,165,260,512,28,280,52,52,52,52,52,52,52,52,52,52,52,52
195,338,338,182,499,338,338,268,791,233,38,401,85,299,292,292,151,151,151
196,361,97,204,359,358,338,338,338,314,314,338,338,338,338,338,338,338,338
197,353,152,697,787,248,248,195,322,20,183,356,195,338,338,229,338,338,205
198,779,21,388,333,387,681,125,189,189,189,189,176,33,189,189,189,189,189
199,807,184,385,373,106,189,189,189,189,189,189,189,189,189,189,189,189,189
200,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
201,40,614,239,251,34,34,34,34,34,34,34,34,34,34,34,34,34,34
202,749,34,27,132,34,34,32,71,59,358,383,137,34,260,63,173,384,34
203,517,463,558,147,213,269,188,234,255,34,34,34,34,34,34,34,34,34
204,356,343,336,369,141,69,69,69,389,69,69,69,69,69,69,69,69,69
205,109,272,369,513,266,69,69,69,69,69,69,69,69,69,69,69,69,69
206,481,69,249,282,399,69,74,266,352,69,298,69,69,69,69,69,69,69
207,369,35,369,369,356,369,69,369,369,369,369,369,369,369,369,369,369,369
208,55,484,10,274,369,186,369,369,369,369,369,369,369,369,369,369,369,369
209,281,602,154,324,209,369,369,369,369,369,369,369,369,369,369,369,369,369
210,435,413,411,40,224,184,185,247,185,185,185,185,185,185,185,185,185,185
211,654,777,448,454,185,98,7,185,185,185,185,185,185,185,185,185,185,185
212,513,807,586,77,184,279,83,83,185,185,185,185,185,185,185,185,185,360
213,502,269,518,161,102,334,395,395,395,395,395,395,395,395,395,395,395,395
214,141,53,68,385,683,395,395,395,68,395,395,395,395,395,395,395,395,395
215,346,303,123,319,257,395,395,395,395,395,395,395,395,395,395,395,395,395
216,18,80,290,651,261,78,53,156,156,156,156,156,156,156,156,156,156,156
217,626,513,762,106,49,156,187,260,301,268,156,156,156,156,156,156,156,156
218,322,447,3,18,246,640,174,303,58,800,800,800,800,800,800,800,156,800
219,730,40,572,476,168,107,288,160,160,160,160,160,160,160,160,160,160,160
220,496,290,594,373,293,380,109,317,37,649,317,649,377,377,377,377,377,377
221,170,384,355,692,376,259,160,317,317,317,160,160,160,160,160,160,160,160
222,205,129,311,62,348,401,226,209,34,687,417,106,106,106,240,129,129,129
223,328,705,619,245,274,152,129,545,33,129,129,129,68,129,129,129,129,111
224,62,250,253,219,92,92,389,129,129,129,129,129,129,129,129,129,129,129
225,269,505,258,141,462,241,241,241,241,241,241,241,241,241,241,241,241,241
226,490,634,361,95,314,328,241,241,241,241,241,241,241,241,241,241,241,241
227,490,22,581,136,78,335,41,241,241,241,241,241,241,241,241,241,241,241
228,673,802,637,464,653,801,313,367,264,264,264,264,264,264,264,264,264,264
229,26,19,337,175,222,115,145,245,264,264,264,264,264,264,264,264,264,264
230,321,613,520,31,263,264,264,264,264,264,264,264,264,264,264,264,264,264
231,58,513,136,237,170,360,170,170,170,170,170,170,170,170,170,170,170,170
232,166,130,225,248,269,170,170,170,170,170,170,170,170,170,170,170,170,170
233,285,393,162,189,170,153,393,78,796,205,119,147,647,53,671,342,170,366
234,167,771,358,184,150,184,184,184,350,184,184,184,184,184,184,184,184,184
235,249,298,386,778,34,150,106,106,184,184,184,184,184,184,184,184,184,184
236,224,204,521,187,140,237,184,184,184,184,184,184,184,184,184,184,184,184
237,538,552,118,649,10,279,124,124,124,124,124,124,124,124,124,124,124,124
238,371,772,598,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
239,768,285,137,64,124,124,124,124,124,124,124,124,124,124,124,124,124,124
240,185,687,22,373,358,31,129,371,71,71,71,71,71,71,71,71,71,208
241,42,58,91,479,101,164,254,254,34,188,188,188,71,10,16,10,188,194
242,29,327,301,367,148,153,71,74,53,41,773,74,363,363,363,773,74,71
243,534,571,213,346,366,147,225,263,147,225,263,263,263,263,263,263,263,263
244,42,7,220,41,263,203,263,263,263,263,263,263,263,263,263,263,263,263
245,320,171,712,474,257,362,263,263,263,263,263,263,263,263,263,263,263,263
246,97,631,629,775,660,561,157,157,191,191,191,191,191,191,191,191,191,191
247,260,353,720,308,224,334,318,312,190,190,191,191,191,191,191,191,191,191
248,91,131,231,308,381,108,182,318,218,191,191,191,191,191,191,191,191,191
249,535,572,375,0,149,194,257,319,257,385,319,301,72,319,202,319,256,256
250,268,409,399,179,274,256,256,256,256,256,256,256,256,256,256,256,256,256
251,643,310,517,334,187,256,256,256,256,256,256,256,256,256,256,256,256,256
252,596,49,348,291,123,293,293,293,293,293,293,293,293,293,293,293,293,293
253,433,768,202,555,14,376,13,160,293,345,345,37,317,293,293,293,293,293
254,36,509,192,745,293,293,293,293,293,293,293,293,293,293,293,293,293,293
255,175,771,32,652,311,56,56,56,56,56,56,56,151,56,56,56,56,56
256,601,650,46,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56
257,343,494,530,704,311,85,56,56,56,56,56,56,56,56,56,56,56,56
258,698,183,809,243,115,381,400,399,399,399,399,399,399,399,399,399,399,399
259,134,508,141,182,319,399,399,399,399,399,399,399,399,399,399,399,399,399
260,346,15,514,403,380,380,330,399,399,399,399,399,399,399,399,399,399,399
261,77,372,72,210,92,124,331,331,331,331,331,331,331,331,331,331,331,331
262,747,663,374,354,401,209,331,331,331,331,331,331,331,331,331,331,331,331
263,271,754,807,124,233,320,331,331,331,331,331,331,331,331,331,331,331,331
264,793,245,578,245,385,256,400,400,400,400,400,400,400,400,400,400,400,400
265,674,518,67,173,400,327,330,388,400,327,49,361,49,400,361,49,361,319
266,557,689,187,250,400,400,400,400,400,400,400,400,400,400,400,400,400,400
267,474,21,210,803,390,390,532,128,230,128,230,510,128,128,128,128,128,128
268,741,71,543,551,576,474,128,128,128,128,128,128,128,128,128,128,128,128
269,766,806,88,801,508,722,722,128,128,128,128,128,128,128,128,128,128,128
270,211,417,148,181,248,248,385,301,255,248,248,248,248,248,248,248,248,248
271,764,758,274,638,87,377,382,281,382,143,248,248,248,248,248,248,248,248
272,763,248,353,533,157,301,33,118,783,33,251,747,248,140,377,248,248,248
273,810,142,98,530,381,118,118,118,118,118,118,118,118,118,118,118,118,762
274,508,556,716,589,697,118,118,118,118,118,118,118,118,118,118,118,118,118
275,91,389,497,766,118,118,118,118,118,118,118,118,118,118,118,118,118,118
276,408,704,215,337,334,166,389,389,96,135,96,96,96,96,96,96,96,273
277,464,725,236,602,370,96,96,96,96,96,96,96,96,96,96,96,96,96
278,326,337,303,158,27,136,200,6,353,14,323,96,96,96,96,96,96,96
279,47,6,104,362,144,306,306,290,255,179,255,152,152,152,152,152,152,152
280,435,714,787,178,150,208,255,255,255,255,188,152,255,152,152,152,152,152
281,293,299,427,178,383,371,371,268,370,49,152,152,247,152,247,152,152,518
282,476,321,630,679,635,368,46,298,104,92,155,155,246,246,246,246,246,246
283,570,447,317,394,783,320,569,569,288,246,246,246,246,246,246,246,246,246
284,689,781,296,373,156,652,652,750,246,246,246,246,246,246,246,246,246,246
285,408,276,268,140,778,14,84,353,84,84,318,355,84,84,84,84,84,84
286,702,107,356,719,238,84,84,12,84,84,84,84,84,84,84,84,84,84
287,75,313,242,365,276,338,291,309,136,279,238,238,145,145,84,145,322,145
288,165,782,88,187,297,22,339,339,339,339,339,339,339,339,339,339,339,339
289,171,279,106,270,200,231,245,334,334,245,245,339,339,339,339,339,339,339
290,647,208,365,722,295,257,257,223,257,339,339,339,339,339,339,339,339,339
291,144,773,92,130,137,158,57,158,158,158,158,158,158,158,158,158,158,158
292,6,382,592,549,158,158,158,158,158,158,158,158,158,158,158,158,158,158
293,508,769,459,423,208,158,223,223,158,158,158,158,158,158,158,158,158,158
294,536,260,760,644,283,283,283,283,78,78,78,78,78,78,78,78,78,78
295,691,393,480,41,78,41,78,393,157,393,136,393,136,393,78,233,136,78
296,487,207,392,539,36,218,36,36,36,36,78,78,78,78,78,78,78,78
297,1,77,603,28,262,262,262,262,262,262,262,262,262,262,262,262,262,262
298,610,253,554,484,137,262,262,262,262,262,262,262,262,262,262,262,262,659
299,53,382,156,6,262,262,262,262,262,262,262,262,262,262,262,262,262,262
300,768,179,275,28,466,44,126,182,179,65,290,179,179,179,179,624,256,179
301,140,129,64,496,327,255,281,400,400,400,400,400,179,400,179,179,179,179
302,479,167,157,202,313,34,179,179,179,179,179,179,179,179,179,179,179,179
303,332,458,794,274,350,501,29,511,142,511,29,29,40,29,511,681,153,681
304,643,145,656,808,68,387,358,240,29,29,29,29,29,29,29,29,29,29
305,792,29,35,187,95,252,383,11,388,783,284,285,285,71,648,338,338,55
306,437,448,64,131,3,335,297,7,308,47,297,297,323,294,297,294,294,294
307,174,366,739,131,224,224,224,224,224,294,294,294,294,294,294,294,294,294
308,288,479,80,322,339,206,96,96,294,323,169,169,294,294,294,294,294,294
309,513,415,210,457,138,369,271,74,397,305,74,74,74,74,74,74,74,74
310,575,74,211,397,757,284,276,282,282,189,74,475,74,289,289,475,87,136
311,380,74,160,335,99,74,351,192,66,38,399,74,74,74,74,74,74,450
312,407,811,492,809,32,169,337,389,334,28,334,389,389,389,401,389,401,174
313,158,492,68,171,31,389,389,389,389,389,389,389,389,389,389,389,389,389
314,387,368,343,151,389,193,389,389,299,389,389,389,389,389,389,389,389,389
315,197,129,619,237,404,371,404,404,404,404,404,404,404,404,404,404,404,404
316,342,105,370,255,268,360,404,370,404,404,404,404,404,404,404,404,404,404
317,435,142,215,388,392,105,404,337,352,404,130,404,404,404,404,404,404,404
318,652,539,702,141,4,381,381,308,308,308,308,308,308,308,308,308,308,308
319,515,457,478,319,329,308,308,308,308,377,308,308,308,308,308,308,308,308
320,259,222,226,376,308,245,150,379,367,95,294,379,308,308,308,308,308,308
321,417,538,5,252,364,578,5,524,578,292,218,292,292,292,292,292,292,292
322,241,60,595,306,155,292,292,292,292,292,292,292,292,292,292,292,292,292
323,244,271,132,50,475,469,379,120,324,292,292,292,292,101,292,101,292,292
324,62,433,220,185,55,249,649,77,31,77,77,77,77,77,77,77,77,77
325,184,467,571,180,246,77,77,77,77,77,77,77,77,77,77,77,77,77
326,433,719,755,605,348,332,77,77,77,77,77,77,77,77,77,77,77,77
327,502,129,154,684,33,250,250,250,289,25,250,250,250,250,250,250,250,250
328,112,14,113,75,237,287,250,250,250,250,250,250,250,250,250,250,250,250
329,312,477,807,106,250,250,250,250,250,250,250,250,250,250,250,250,250,250
330,572,753,745,89,327,5,37,37,37,284,317,37,160,596,160,612,126,160
331,85,60,619,317,126,402,293,126,37,402,37,37,37,37,37,37,37,299
332,479,187,74,14,578,317,380,317,317,355,355,380,37,37,37,37,37,37
333,639,74,55,662,662,472,200,200,711,60,233,233,233,233,233,233,233,233
334,275,735,138,159,612,233,632,233,233,233,233,233,233,233,233,233,233,233
335,517,792,338,296,173,221,155,233,233,233,233,233,233,233,233,233,233,233
336,753,323,185,245,361,361,361,361,361,361,361,361,361,361,361,361,361,361
337,720,810,721,7,225,361,179,361,593,361,361,361,361,361,361,361,361,361
338,423,389,551,361,78,334,361,361,361,361,361,361,361,361,361,361,361,361
339,578,22,491,495,281,156,318,115,0,59,318,318,59,140,59,59,59,59
340,130,41,366,66,400,318,322,41,41,388,388,59,388,195,388,388,388,70
341,22,59,37,256,293,237,157,248,747,82,312,310,59,310,59,59,312,59
342,448,78,763,87,245,145,145,145,145,145,145,145,145,145,145,145,145,145
343,338,633,395,399,145,145,145,145,145,145,145,145,145,145,145,145,145,145
344,401,217,233,217,397,5,145,145,145,145,145,145,145,145,145,145,145,145
345,11,244,732,300,498,354,135,135,135,135,135,135,135,135,135,135,135,135
346,185,418,696,558,544,394,135,135,135,135,135,135,135,135,135,135,135,135
347,732,474,697,348,266,135,135,135,135,135,135,135,135,135,135,135,135,135
348,550,108,70,111,325,383,383,21,57,57,57,57,57,57,57,57,57,57
349,602,14,237,250,353,129,383,57,57,57,57,57,282,57,57,57,57,57
350,229,338,313,3,117,269,269,315,70,229,57,57,229,57,57,57,229,57
351,281,106,440,131,100,309,309,309,309,309,309,309,309,309,309,309,309,309
352,136,42,760,182,309,309,309,309,309,309,309,309,309,309,309,309,309,309
353,83,247,788,256,287,144,391,144,309,274,274,309,309,309,309,309,309,309
354,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
355,225,49,214,312,213,35,35,35,35,35,35,35,35,35,35,35,35,35
356,381,369,728,310,611,362,709,4,428,178,178,35,35,35,35,35,35,35
357,659,719,286,652,237,121,185,220,220,220,220,220,220,220,220,220,220,220
358,320,98,379,494,197,493,132,106,220,220,220,220,220,220,220,220,220,220
359,578,583,80,224,171,224,220,220,220,220,220,220,220,220,220,220,220,220
360,568,53,496,19,177,177,127,127,127,127,127,127,127,127,127,127,127,127
361,661,274,796,510,352,204,779,325,325,36,622,423,622,622,127,423,127,338
