ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36
11,5942,1532,810,3493,2000,1708,1239,123,2834,1077,143,3231,123,2834,2667,3025,3231,2185,1712,3338,1732,3231,123,4360,2730,832,123,1077,3231,424,2804,1924,3441,3231,2834,4280,3338
12,2354,3012,896,4648,1652,3082,3569,869,3338,1077,1558,2245,2961,2245,1558,1004,2734,1732,2758,3252,396,346,396,1039,41,832,1180,1311,396,1705,2804,1924,396,3231,832,2245,1323
13,2354,1532,896,4648,1652,3082,3569,869,1732,1077,1483,1039,1483,1483,1558,3025,4641,6164,128,3252,1585,3231,2603,4360,473,832,3231,1095,3089,3025,2334,1924,3089,3231,952,4280,6770
14,4488,1532,1789,346,2102,2961,2603,346,3338,2326,1558,3361,2961,1483,2021,1004,473,1732,290,3252,396,346,396,1039,128,832,1180,1311,396,1705,2804,1924,396,3231,832,2245,3338
15,2768,2336,2959,205,123,1708,1239,961,3338,2289,1483,1039,2608,1483,2021,824,2289,123,128,1239,396,346,123,4360,1563,2289,3441,2804,2804,1705,2804,1924,3441,3231,961,4280,2804
16,4488,2336,1211,346,497,824,1239,961,3338,2289,1483,1039,1483,1483,1039,1004,2289,2185,128,1239,1563,346,123,4360,1563,2289,3441,2804,2804,128,2804,1924,3441,3231,2608,4280,2804
17,3169,2336,2959,824,497,1499,1239,961,3338,2289,1318,3361,2608,1483,2021,824,3315,2185,128,1239,396,346,2388,1039,1563,2289,346,1311,2804,1705,2804,1924,1311,3231,2608,1231,3338
18,2283,1532,6157,1561,56,319,3459,2614,2196,3028,2288,3059,461,1196,1852,1629,1739,2933,1264,3263,1852,1914,1852,3028,680,1787,83,595,1326,2476,2479,3459,2933,1852,2934,83,2479
19,169,2336,2959,1275,3045,319,3459,2614,1157,2456,680,59,461,946,1646,2355,2934,2887,354,2355,1852,1914,1999,2355,680,1022,83,2614,3028,2476,2479,3459,3152,1852,2934,83,2479
20,169,2336,1163,285,2298,319,56,2614,343,1661,680,59,461,1196,1646,2355,2934,87,354,2355,1852,1914,3028,2355,680,1279,83,2614,3028,2476,3028,3459,378,1852,2934,83,354
21,6628,3654,4061,828,3320,3042,3034,112,6158,6920,1451,3385,802,3137,855,3891,6431,1881,1398,4872,4191,1398,5522,5732,2092,6515,3210,6547,5522,4103,6756,2267,5788,3854,713,1784,6920
22,169,1532,6157,2776,2282,3030,2371,4554,1552,1873,4051,3385,4725,2351,6994,1916,6431,1,3570,4403,4191,3854,3922,3854,5804,6731,4624,5383,4062,6906,6117,1810,5788,3854,5878,1920,5468
23,5942,3654,3534,828,1378,3042,3034,112,1552,6920,1451,3942,1319,3137,6994,3891,6431,298,1916,733,316,316,5522,5732,2092,6515,274,4228,5522,3863,6756,3232,5788,3854,440,1784,6074
24,3169,3215,2959,2239,988,449,787,290,92,3280,143,278,2961,2166,290,3025,787,131,787,3089,589,3280,3315,2185,3369,832,632,632,2568,787,276,3253,3089,3025,952,143,256
25,2768,2336,810,589,988,449,787,290,92,2568,143,278,920,2834,290,3025,787,131,787,3089,1585,1383,952,2185,3369,787,2166,632,2568,787,276,3253,3089,3025,952,143,449
26,169,2974,810,589,1581,449,787,290,92,3280,143,3231,4280,2834,290,3025,787,131,787,3089,1585,3280,952,2185,3369,832,2166,256,3089,3025,2334,1924,3089,3025,952,2603,449
27,2283,1532,638,606,2298,1038,1401,774,1985,3304,16,135,2811,635,3389,2794,344,2225,2874,1110,133,2677,1216,1940,3332,2258,1175,1298,774,674,426,3175,1621,1584,1796,2976,616
28,2283,2686,6157,3139,1382,319,1112,1477,979,3270,16,135,3155,3155,2232,3175,793,1079,307,3328,307,2437,1958,1379,2437,2731,2112,307,979,3246,2060,2437,3332,3175,3264,1289,616
29,169,2686,810,1171,2298,1708,1811,1490,1233,2456,2379,2219,102,1593,1248,265,344,87,1523,1110,133,652,1216,1940,1292,909,1453,2181,1908,1940,1400,708,909,1289,206,998,3143
30,6628,3654,5599,1113,3163,2553,3106,2043,1157,1433,119,2907,2907,3454,2031,1444,783,1270,1717,1824,2031,238,3387,350,680,1603,1438,389,2907,1438,2135,1169,64,6,188,1824,3099
31,169,3215,810,1498,2803,319,2959,665,1377,2456,680,59,2907,1760,1592,1914,222,1760,1410,3263,2585,1914,2118,350,680,1787,83,595,1326,1438,749,3477,2042,1286,2934,1824,3099
32,2283,1532,810,828,2803,728,2959,2740,1157,3270,1760,144,2907,3454,2031,2690,222,940,1717,1824,2031,238,2234,350,680,1022,1760,222,144,1438,1157,1408,2042,1438,2934,2887,3099
33,169,2686,5253,1119,2282,22,1048,1352,4316,2831,22,6722,3706,385,132,1615,2510,1432,1069,70,5736,3641,2831,3425,5038,4811,6163,5904,3208,5048,5398,3455,5053,2406,5791,3806,6087
34,5376,2974,4323,346,2102,1708,2480,2108,5838,3346,367,1452,1923,2792,97,1744,367,1522,1376,70,1135,3359,1507,613,1522,1875,1875,2204,3153,2967,1923,3478,1923,1658,3077,367,3153
35,5376,2974,4323,205,378,2065,6225,1352,5838,382,4490,1452,2385,318,1949,1949,1857,1772,2322,70,1979,2577,696,1248,1292,1772,1923,2204,70,2322,1923,3455,2577,2564,1358,1749,3153
36,2768,3215,896,977,2043,319,2910,2043,1444,1269,415,2863,461,3444,2561,1444,933,1433,3490,933,2158,578,554,50,2863,3147,1175,1298,2463,605,72,2866,224,461,578,2866,616
37,671,6837,810,1202,626,1285,2897,1878,288,1269,387,2863,2848,1223,1845,2690,2124,2848,1269,2424,1802,652,1842,224,1306,1787,1994,1298,2463,3246,2925,2459,3129,1415,2925,998,616
38,671,1800,896,6222,400,3437,1612,1283,2334,2670,415,1496,695,1223,1952,3378,3437,640,2101,1952,2427,652,2467,2370,2467,2127,896,493,1436,2127,2925,2467,3129,231,2124,2976,896
39,6346,1532,896,983,2229,779,1301,1115,1791,1615,2946,395,2210,3526,157,1381,1129,2503,2948,1199,2646,737,2073,1498,1034,395,1615,1199,1757,102,1676,414,2995,102,2073,2914,616
40,2768,1532,1163,445,2298,1708,3459,564,1791,1381,2946,395,102,1300,3420,3282,3282,673,1300,487,819,1584,169,1035,3178,3381,2627,1354,1326,102,1035,3440,102,1584,1326,601,2118
41,6628,1532,5599,2776,1843,4534,1401,564,6946,585,387,840,102,1593,585,2690,3282,945,1300,2946,6717,3381,6595,3381,681,267,3282,2055,3919,2690,3282,1431,2995,2988,1431,2976,616
42,169,2974,2959,1498,1062,1068,2959,2031,3438,144,2501,1906,1073,1097,132,3378,222,2325,1717,2378,2031,1914,1842,955,2427,1263,978,213,144,2476,1775,887,1097,507,1728,9,9
43,2768,2336,1163,1498,2275,779,648,2310,1791,144,650,144,144,2518,132,1717,222,398,336,1099,3215,1914,1097,720,680,978,83,707,144,2551,1775,887,1097,2518,19,2551,2506
44,2354,1532,896,3282,1652,3082,3569,869,1592,144,1760,144,1219,1760,1592,1906,222,3114,3384,3027,2169,1914,1842,955,680,566,1117,707,2463,2551,1775,3440,1097,1852,2934,9,47
45,671,2895,2045,1498,2793,1499,3459,1147,1195,3304,3367,973,102,1593,393,2341,1401,940,336,3145,3031,737,39,2717,1961,2196,90,1546,2649,2786,524,3422,206,524,2933,2933,47
46,2283,3215,810,1888,1382,2854,1401,810,81,3304,387,973,2811,1134,87,3175,202,486,74,3328,1645,3261,1279,1734,2684,2196,1279,3133,2649,1681,2060,2079,1660,1645,1645,3418,1943
47,2283,1532,1211,285,1382,319,1401,810,2714,3304,1589,973,102,1593,393,2690,406,87,3261,3017,3261,3261,1377,565,3442,1279,83,3256,1326,2476,606,2499,2995,2821,673,1501,1943
48,3878,2041,810,1202,2793,2857,733,1064,312,63,63,352,1995,1149,2830,265,905,1995,638,3035,2868,990,638,2326,2857,1461,638,3407,933,101,1149,711,2536,2820,1796,3407,2970
49,2283,1532,810,828,2793,1499,733,3407,579,63,63,352,124,1307,2830,954,905,1995,638,2201,2868,990,638,579,1307,1461,638,3407,71,101,951,711,2536,3225,2830,3407,1307
50,2283,1532,2959,3493,1929,319,2507,1064,312,63,63,352,1995,2843,2830,2226,905,1995,638,3035,2868,990,638,2326,2857,2536,638,3407,71,101,1149,711,2536,3225,1796,3407,2970
51,4488,1532,1789,2239,123,1499,1239,2422,2074,63,3119,352,604,1443,2830,2780,905,1995,638,3035,3018,990,638,2559,1307,2559,638,3407,71,101,1149,711,604,2820,1796,3407,2970
52,671,1532,896,1171,2282,2857,3106,1944,2074,63,1823,2805,604,1443,2830,3198,905,3403,638,3035,3018,990,638,2559,1307,2559,124,3119,71,101,1149,711,604,2820,1796,1153,2970
53,671,2336,1163,1985,2793,1499,1478,3516,579,63,3367,2805,604,1443,2830,2780,905,3403,638,3035,2830,990,638,2559,1307,579,638,3407,71,101,2201,711,604,3198,2830,3407,1307
54,671,2686,896,1202,400,1737,2371,774,135,2877,2099,1664,2210,2014,132,1560,3129,1432,1560,1952,2427,99,3046,560,2444,1511,3003,213,1115,251,2925,2467,206,157,206,2894,493
55,6180,1532,896,6222,1652,3082,6029,3622,6440,4231,6170,6527,4704,5377,6527,1444,2571,5651,307,1952,3929,1300,1280,4027,5710,3129,2112,493,4704,5513,5166,2467,4688,2988,1959,2976,616
56,5376,2686,896,1202,2282,1737,2371,2334,618,5383,1242,1664,2954,385,132,1560,471,1432,2434,1952,2427,2175,3046,2899,2427,937,640,213,1115,251,3108,2573,206,1808,2951,2894,2162
57,5942,3012,1789,1202,497,1708,1811,2216,1377,3346,2995,840,1377,1593,3503,2591,2510,87,336,169,246,3359,169,3273,1593,978,978,225,2593,2468,1035,887,1097,3120,1016,3045,2506
58,3169,1532,896,1608,774,1737,1608,774,135,3270,2501,144,2542,2014,393,1717,1508,2209,1628,1952,915,238,1877,3509,1877,1975,1968,213,2777,2786,2925,966,206,1877,206,2082,2542
59,4581,3012,810,1202,2229,1708,2677,564,1444,1381,1877,1906,2210,1223,132,2690,222,2011,1410,959,246,990,2510,955,1877,1603,526,213,2593,102,1728,887,378,144,526,998,983
60,4581,1532,3373,6028,1190,3126,2227,2614,2307,3429,3077,168,461,1190,2917,934,2571,94,2948,2840,1190,3359,2592,2592,3192,2152,1285,213,487,3126,464,94,1190,2592,166,78,2118
61,169,6116,1789,399,2803,1285,3459,2043,2307,2307,78,2266,2075,944,2561,2241,2571,3142,2948,3142,2241,1044,1108,113,3442,108,2542,213,1115,2241,2135,94,2840,157,94,2509,2118
62,2283,1532,3373,399,2803,1285,3459,2614,1686,2428,467,49,461,86,2917,1444,43,700,3490,2840,399,3359,3350,2592,3442,2152,83,3211,1115,1374,166,94,2840,2592,166,2509,2118
63,3878,6837,810,285,2275,319,3298,23,1126,3304,1364,2805,1377,635,3334,265,2231,87,3398,169,2627,908,3421,3417,1877,86,2627,2230,2593,2022,1833,7022,445,359,1796,1865,2118
64,2283,2336,1211,343,2298,319,3459,2614,2732,2456,680,59,672,1179,1592,1914,341,113,2434,2549,3031,1914,1842,113,680,2136,1117,595,2463,595,524,1338,2042,1117,2934,3031,3099
65,1579,2336,2959,59,2821,680,3298,1147,1751,898,680,59,1147,3263,1592,1914,2934,940,1264,3263,3031,1914,2042,2136,680,2136,83,2934,2136,595,524,3477,2042,1117,2934,3031,3099
66,671,3215,1211,3493,2793,319,3290,217,435,2233,2733,2793,1792,2580,603,492,1581,1792,320,2192,1520,4813,2774,2594,1065,2598,1065,2373,1443,1650,2179,2505,2505,965,356,172,1792
67,169,1532,896,17,400,3410,1831,1033,1813,481,2913,352,1792,311,3068,263,2002,1792,480,2050,1641,465,3154,1641,1547,893,1232,1792,96,176,1838,2505,2505,1391,2612,1048,3068
68,671,3012,896,17,400,3410,1831,1120,1986,989,2913,2913,379,311,3068,45,2151,2505,3068,2050,2868,465,3302,2505,2913,893,2178,2063,96,176,3068,2505,2505,2050,2612,3302,3068
69,671,2974,2125,17,400,3496,2846,1067,2002,1455,2913,1547,480,311,3239,860,2002,1792,480,2192,491,4813,2774,348,2913,893,2178,2063,2810,1650,3698,694,1895,2050,2192,694,1792
70,671,3925,896,17,2500,694,2846,1067,356,2236,1242,67,480,311,3239,45,1797,1792,1804,2192,491,4813,2662,1679,2913,893,2178,2063,46,1067,2192,694,1895,965,34,309,884
71,1579,1532,896,17,1928,592,3290,217,1813,1520,2733,2525,1963,659,1194,492,2151,492,854,1679,1520,4813,2810,1679,2913,893,2178,1804,3014,3168,1838,1804,129,435,34,2735,1520
72,2283,2336,2045,2239,1476,1032,2301,1345,3449,3270,2501,554,1229,472,1592,3378,1130,877,3384,3027,2585,772,1842,1338,294,1264,1117,595,2463,1229,1790,1338,2933,1397,2934,1622,47
73,3169,2686,5253,1488,1418,1032,2352,1345,2352,1269,415,2863,461,3454,1867,3378,772,1867,1867,2447,820,772,2088,1229,291,1775,3086,707,2463,1229,1790,887,1867,1032,1340,1032,914
74,169,2895,2045,1798,2962,609,3140,2557,1552,2456,2557,827,672,3217,1925,2864,859,1,2659,891,1357,753,2088,686,2769,3450,997,1948,1953,1357,827,2681,2769,3200,66,2309,2752
75,671,3215,2959,3091,2653,319,977,1218,2374,690,952,2863,3433,3217,690,1880,2033,1,2529,1281,2464,2163,2088,2769,2769,2431,68,2431,2463,1303,977,2583,2769,284,977,2431,2387
76,169,2895,6157,828,1843,319,1,1891,997,1891,3390,960,672,1725,1218,2583,291,1,2529,1281,2464,753,2088,2769,2769,2431,2700,2431,2463,404,1790,3390,2769,2557,977,991,2387
77,3169,2895,5599,3712,2962,3082,977,112,2895,690,3188,284,1540,2319,690,2583,112,2325,284,1281,2163,2163,2088,1779,2769,220,68,977,2463,2426,977,3390,2769,284,977,2456,2387
78,671,2895,2045,3234,300,1349,1612,3408,1552,2290,3065,2290,672,1770,579,305,1954,3248,715,3065,3248,3311,943,3248,2769,3523,496,2328,3127,3248,2328,1349,2769,3078,3248,1208,1191
79,671,2895,339,3117,1378,1624,2145,1017,1552,2847,2290,2290,672,1948,1981,1569,1954,3248,1191,1954,3408,3311,943,582,2769,3523,496,1948,3127,3248,746,582,2769,2356,3248,1208,1191
80,3169,3012,510,3117,1378,1624,2145,1017,3065,2929,415,2290,672,1948,804,2003,1954,3248,715,804,3248,3311,3523,3521,1976,3523,496,582,3127,3248,746,582,3248,582,3248,1208,1191
81,2283,2336,1163,3493,6903,1708,3005,2614,3209,3429,3073,62,461,2986,1558,2355,2734,775,3054,775,2986,455,2388,3425,1532,2152,1746,2858,3073,2792,2488,2858,2792,2221,2073,601,722
82,2768,2336,1163,828,1843,1285,585,1570,2307,2241,78,1570,2375,944,2561,955,1129,2816,1267,1824,1412,5134,1570,955,2473,955,2473,2858,1785,2120,1157,629,2120,1760,2473,3184,2032
83,2768,1549,1163,828,1843,1285,585,2887,2307,2241,1760,1570,2375,944,585,955,1129,2816,1267,1824,1824,5134,1570,2032,78,955,50,2858,1785,2614,1157,629,2120,1760,1285,3184,2118
84,2283,3215,896,17,400,592,1831,217,2605,3265,2913,2525,1963,659,1194,45,2151,492,3363,1679,2913,4813,3302,1679,2913,893,2178,2400,2733,176,1800,1804,3489,1194,34,1797,1797
85,3962,2974,4441,1202,400,4268,2913,1120,1989,1455,2913,1547,1963,659,3239,492,2151,2666,320,1986,1986,4813,3698,2178,2913,893,2178,2778,1740,865,965,2666,3489,1986,1194,1797,1797
86,671,2974,896,17,400,592,156,869,1813,1455,2913,2913,1963,659,1194,45,2151,3363,1804,379,2913,4813,379,1194,2913,893,2178,2063,2733,176,1800,1804,3489,1194,34,1797,1797
87,671,6402,896,17,2524,3496,645,1033,3496,2262,67,67,379,3489,3239,2284,829,768,1804,416,491,1607,3020,1194,67,893,2178,2063,34,2157,645,1637,3489,3193,34,645,34
88,671,2686,2125,17,400,3496,645,869,2002,1455,2913,67,379,3489,1194,3766,1015,3766,1804,416,491,1607,3302,2178,2913,893,2178,2063,1691,1445,3698,1804,3489,1015,34,645,34
89,2768,5292,510,17,2524,3496,645,1033,3496,1455,2913,67,1963,3489,3239,45,2151,3141,67,416,491,4813,3302,2981,2913,893,2178,2063,379,2590,1800,2167,3489,1015,34,645,34
90,671,1797,896,17,400,592,3290,217,1813,2666,2913,2635,1963,659,3239,492,2397,2666,320,1986,320,4813,965,893,816,893,2178,1339,96,3168,965,2666,2635,1391,320,320,884
91,671,3215,896,17,400,4268,2913,1067,2002,1455,2913,1547,1963,659,3239,860,2002,2666,1455,1986,491,1607,1411,893,2913,893,2708,2063,96,556,2090,17,1986,1391,34,2215,884
92,671,1532,896,17,400,4268,2846,1067,2002,1455,2913,1547,480,311,3239,2243,2002,1792,480,2192,1590,1607,965,348,884,893,2708,2063,96,2524,2090,1928,1895,2524,34,2215,884
93,5376,6837,4323,1180,2908,3373,3519,2070,2771,2908,5376,2221,6624,1483,1039,1226,6909,775,2221,330,2588,2908,2388,1039,1532,2908,345,5904,590,4911,628,3478,345,628,12,628,12
94,4581,1532,4323,4129,6903,1708,1239,5467,6463,4758,6918,2221,4511,5378,1039,4387,628,1532,2771,330,7015,2277,2388,1039,128,2289,4152,1039,396,2083,2734,2588,775,769,1180,1180,12
95,3878,2974,1789,205,123,1708,1239,123,3338,1077,6656,3361,1483,1483,1039,1004,2289,123,128,1239,396,2277,396,1039,41,2289,3519,1039,5696,4431,2734,1231,1311,1311,1180,1180,12
96,4488,1532,3373,4648,1190,5386,1239,128,2771,2289,1483,1039,1483,1483,1039,1004,1039,330,128,330,2588,2277,2388,1039,128,2289,1180,1039,396,2083,2734,12,775,628,1180,1180,12
97,169,1532,4441,771,2908,3373,1239,128,2771,2289,1483,1039,1483,1483,1039,1004,1039,6555,128,330,628,2277,2388,1039,128,2289,3519,1039,396,2277,628,12,345,628,1180,628,12
98,671,1532,3373,4648,2908,5386,4262,97,2771,2289,1483,1039,1483,1483,1039,1004,1039,6555,128,1239,2588,2277,2388,1039,128,2289,1180,1039,396,2083,2734,2588,775,961,1180,1180,12
99,4488,1532,3842,205,378,3503,1278,3322,362,382,1857,2418,2148,385,1949,1744,3032,2325,2322,2325,2031,238,2639,560,1567,724,437,213,570,251,2017,2835,805,1186,1684,1270,375
100,2283,5292,6157,4755,2282,3100,6225,1352,2932,3056,1823,2418,2148,385,1956,1560,3048,1432,1884,3636,1735,1189,2595,4027,1795,1189,2017,222,1744,251,2017,2267,2639,2705,1402,3418,1943
101,5376,2686,2125,1119,2125,3208,1684,1352,3636,382,1857,954,2148,385,1949,1949,986,1432,2322,240,644,1949,644,1291,1795,385,2379,222,2802,2322,2017,1618,805,2406,1358,1358,2385
102,671,2974,896,2457,2595,1737,1333,1944,135,671,2501,3266,2202,2916,2561,1717,2037,2037,1717,2403,779,1937,2135,2899,2427,2037,471,213,1115,2135,2135,2573,1097,359,3438,1535,3099
103,169,6837,810,2739,2803,2164,1177,2386,1164,363,1164,2561,2907,1244,2561,1980,2571,2209,1717,1824,2031,238,363,350,680,3147,363,389,2606,2135,363,887,8,363,2043,363,3099
104,2283,1532,5253,2776,1418,2776,2959,3123,615,3270,1589,2776,461,1223,93,2677,953,2325,324,2982,2241,238,1389,50,294,267,1175,3211,2135,2135,2135,94,2043,359,2043,1535,3211
105,3169,3012,5599,3117,331,3030,2371,1345,1442,851,2360,278,4725,3137,855,3378,2895,3259,3166,3260,316,284,2360,608,3510,3450,2305,1665,4554,2655,187,414,602,2235,2137,316,197
106,3169,2686,1189,3274,1378,1345,2145,1345,1442,3327,2360,3385,1319,855,855,3378,2895,316,1714,3260,316,316,2360,704,2092,2655,2137,2092,929,3399,2655,855,602,2214,2137,704,380
107,3169,2895,1189,1798,1378,449,787,1345,1442,1398,2360,3385,1319,855,855,3378,2895,1881,1714,3260,316,284,2360,3473,1881,1050,2137,3473,929,2655,3274,2600,602,1251,2137,704,197
108,169,1784,2890,17,1928,3496,2913,869,2002,1455,1455,2913,884,311,3239,860,2002,3131,1455,2050,491,4813,3302,2178,2913,893,2178,2063,2810,1445,645,3131,3489,2157,34,309,1445
109,5376,2686,1098,3680,6743,4268,645,3766,2002,1455,2913,1547,884,311,542,860,2002,3766,1343,2050,491,4813,3302,2178,2913,893,6264,2063,46,3168,3698,1067,3698,2050,34,6743,884
110,6346,3654,1189,17,1928,4268,2996,3766,2002,1455,1455,1547,3154,311,3239,1445,2002,3131,1804,2192,491,4813,3302,2178,2913,893,2178,2063,46,1445,645,1067,3489,2157,34,309,1445
111,1579,3925,896,6222,2282,2854,1401,774,135,3304,1877,135,3016,472,393,3175,472,486,307,307,2241,737,307,998,3332,2731,90,1159,979,135,1400,3175,2134,3175,3111,2340,616
112,2283,1532,6157,2776,2282,405,1401,507,135,3486,387,135,3016,2134,1845,3378,472,486,307,3207,490,652,307,1940,1946,2731,1134,1845,979,81,1400,2437,2134,3175,3111,2340,616
113,169,2686,1189,1202,2282,2854,1401,810,135,2877,387,135,2672,2134,393,3175,1401,486,307,3207,3175,2134,3055,1940,3207,2731,90,2134,1908,3246,1400,3175,2134,3175,3111,2340,490
114,2768,3215,1163,3091,1843,319,3459,2614,1751,3304,1877,1338,1377,606,1592,680,1646,87,1410,467,3031,166,2592,955,3442,1022,166,1915,1865,1674,166,2069,3087,1901,166,1674,2118
115,6628,3215,896,1171,2089,319,56,2108,2355,2887,1326,917,461,1593,2885,2690,43,87,1374,2636,277,277,43,955,681,1022,11,2614,1326,2690,1978,2069,3087,2108,166,1377,2118
116,2283,1532,1211,1561,2298,2034,3459,749,1592,1887,1877,973,1377,1865,1592,2690,783,87,3087,467,3087,455,467,3199,2233,1901,166,467,1865,1674,166,2069,1865,1901,206,1865,3391
117,2768,2336,6157,205,1068,1068,787,2422,1985,329,3508,840,1054,373,3453,949,2422,2325,2395,3254,2031,2132,3387,2899,1186,267,2237,2394,453,1145,1506,887,64,329,2132,2879,6770
118,3169,2895,510,828,2506,2164,1469,3165,2307,1145,3508,676,3364,3364,371,2354,2451,3259,2395,2127,2254,2989,3483,1276,2739,267,2127,1161,704,2127,678,887,2796,2237,1997,1276,3466
119,671,2686,896,2776,2352,649,1469,1846,752,1145,650,1848,2210,1593,371,3378,1130,2325,1958,2127,233,2132,3421,2899,2739,2127,2127,2394,822,2856,950,2982,233,2068,1997,2879,3466
120,671,2895,510,1202,2125,3437,2601,1352,2932,2022,1589,2418,102,385,2259,3378,222,1432,2101,2127,72,1487,1877,2103,1877,2127,896,222,1115,3448,2205,3142,799,1394,222,1864,3466
121,169,2336,2959,205,3753,1091,1301,749,945,2326,78,2266,1377,944,2031,1801,222,3194,2586,2840,399,238,3421,2899,2739,2037,1252,2394,2502,2856,875,2573,64,1252,1252,631,103
122,5942,1532,3288,6859,2803,1285,1433,2395,2307,1269,1695,3211,2848,1244,2561,3211,933,3142,2101,5563,1296,2586,3350,2899,342,267,2237,2586,3172,4911,426,2206,64,1512,2206,1377,2118
123,2354,3215,896,399,1418,1285,2944,2043,945,2456,78,840,2108,1300,2944,3175,1129,2503,1300,2424,2241,1300,1507,3425,681,1300,2112,601,487,2690,2321,414,3346,2988,1431,2976,616
124,2768,3925,810,1171,1843,2034,3298,810,135,2456,387,2776,102,1223,1845,2690,483,940,2113,910,1431,652,2779,1940,294,1787,896,2258,2463,3246,1621,1431,2068,2759,1431,2976,1943
125,3878,2974,1789,4074,1418,1285,1257,2108,1444,1381,78,1649,1315,946,585,2690,1129,486,307,2424,2241,2632,1507,998,1401,1787,1994,3461,2463,2690,2321,1431,206,1621,1431,2976,616
126,4488,2336,1789,3493,2344,1708,2480,1236,2186,1661,1909,90,461,2756,1899,2597,3370,1135,2469,1597,619,2756,2597,956,1034,2152,2627,2593,2593,1380,1833,7022,1085,2836,730,1841,539
127,3878,2336,2959,1049,336,2210,1722,3516,759,2022,1416,59,1147,2843,1075,558,3313,940,2529,2832,2627,908,532,3417,1722,1511,2627,595,2593,595,524,2928,805,524,1127,1197,3099
128,655,1532,2959,1798,378,2034,1722,2134,1751,2456,1416,59,1147,1593,1646,1629,1130,940,59,756,2585,2933,1842,146,680,2196,524,595,2593,595,524,1179,2933,1623,2933,2933,469
129,6628,3215,510,2760,1843,1685,750,112,1284,2456,2946,220,2851,651,828,2794,1614,877,2529,910,608,3228,2655,3381,2529,3381,637,506,2463,2551,692,2267,805,3140,433,2551,1091
130,2354,3215,896,3282,1652,3082,1612,869,1346,690,3188,1075,795,30,2674,3159,1614,1369,2529,1281,2302,1340,2360,2485,294,220,402,3140,1326,2045,977,2267,805,3188,1340,1142,2962
131,2283,2895,6157,205,1843,449,750,112,1091,2456,415,2640,2851,1,828,2583,1614,2999,2999,1281,1384,2163,858,1207,2529,2700,402,3428,2463,1880,1091,414,1369,3188,2374,1142,2118
