ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32
33,53,758,321,660,398,578,481,691,728,751,476,656,510,647,406,273,364,364,725,671,478,364,36,489,751,489,364,364,489,489,364,364,364
34,53,347,347,736,385,395,460,692,273,134,671,134,203,177,321,350,321,177,177,36,36,36,177,177,36,177,321,321,36,321,321,321,321
35,53,750,372,760,493,420,768,195,763,501,142,741,660,36,776,671,36,548,321,321,321,321,321,776,671,321,671,671,671,321,321,671,321
36,53,347,347,287,507,237,187,60,388,388,150,270,119,270,306,292,290,290,270,40,178,287,290,290,270,270,290,287,40,270,270,40,40
37,53,347,347,484,654,241,168,140,118,140,238,205,14,391,248,248,306,248,306,329,366,347,632,347,329,224,14,224,224,224,224,224,224
38,53,347,347,630,189,593,506,333,61,99,118,161,161,47,114,114,314,45,632,45,45,45,45,45,45,45,45,45,45,45,45,45,353
39,53,347,10,466,695,340,250,104,272,166,165,165,382,338,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,53,347,347,712,437,106,255,93,121,79,224,131,131,149,213,224,131,131,131,309,121,121,166,121,166,166,166,166,166,166,166,166,166
41,53,166,7,424,406,623,233,590,309,132,132,7,166,132,659,695,166,11,132,659,166,166,166,166,166,166,166,166,166,166,166,166,166
42,53,171,28,332,187,277,214,208,334,170,334,28,31,65,245,245,187,268,268,187,268,268,28,28,28,268,268,268,268,264,28,384,28
43,53,28,28,807,414,284,328,360,360,360,340,340,340,340,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
44,53,347,347,524,417,253,130,32,340,28,28,382,28,28,28,28,28,166,28,166,166,166,28,28,28,28,28,28,28,28,28,28,28
45,74,750,130,652,625,317,190,130,388,310,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,53,347,347,435,368,521,11,156,20,353,71,214,162,130,130,136,130,130,231,136,130,130,130,147,130,130,130,130,130,130,130,130,130
47,53,130,338,794,698,417,651,178,147,23,102,347,102,102,102,339,339,339,206,339,339,206,339,339,102,339,339,339,339,102,339,339,102
48,53,179,347,537,741,637,306,395,395,70,161,207,161,161,103,161,161,161,161,161,161,161,161,103,103,103,161,161,103,161,161,161,161
49,53,161,378,571,673,446,404,4,323,314,161,161,103,81,156,161,103,161,161,103,103,103,103,103,103,161,161,207,161,103,161,161,161
50,53,347,161,749,698,671,58,6,225,161,381,156,156,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,53,207,290,123,650,19,730,693,364,191,103,378,23,23,207,207,207,207,161,161,103,161,207,103,207,207,207,207,207,207,207,207,207
52,53,347,347,553,34,147,330,400,329,385,309,82,330,377,377,3,3,97,97,161,161,338,377,49,207,49,259,385,366,207,366,275,207
53,207,577,207,492,804,310,241,148,149,70,385,223,223,136,211,162,280,207,103,323,310,207,207,399,399,207,207,221,207,310,207,207,280
54,619,33,399,551,182,141,358,380,196,18,394,189,105,189,229,236,197,197,328,197,71,328,297,16,197,328,328,197,197,328,328,328,328
55,127,745,16,418,290,721,807,353,363,734,605,232,734,735,734,734,16,16,734,114,587,292,734,734,16,735,16,16,114,678,16,16,314
56,53,16,221,249,339,105,355,126,299,246,694,183,336,595,33,353,297,16,297,734,382,197,16,16,16,16,16,16,16,16,16,16,16
57,53,347,347,418,23,20,157,35,100,362,362,362,121,78,213,347,362,362,362,367,281,143,220,323,220,367,220,367,30,88,88,367,367
58,53,347,347,253,573,258,41,273,5,3,45,145,394,88,88,382,308,382,382,382,382,145,6,6,382,6,382,6,6,353,382,140,353
59,135,35,367,505,788,22,317,11,255,306,14,257,257,272,274,286,121,367,195,102,274,28,274,367,367,307,184,31,248,366,184,184,367
60,53,95,319,321,145,306,455,139,434,253,501,134,561,785,95,95,95,350,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,53,347,347,811,760,150,381,95,345,95,192,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,53,347,347,623,339,575,573,573,94,362,342,367,95,362,100,95,100,95,100,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,53,174,347,83,120,411,216,310,303,339,295,22,22,53,130,58,130,58,130,130,160,121,224,130,179,179,23,58,310,310,179,310,179
64,53,347,347,326,95,455,308,174,225,260,223,174,174,35,35,174,381,281,347,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,53,559,219,86,486,149,364,6,19,190,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,53,347,347,667,496,567,257,5,361,75,283,22,381,148,194,385,385,66,130,335,194,256,130,130,335,31,335,385,130,353,66,130,335
67,53,347,347,26,689,588,367,161,168,168,107,133,376,107,66,66,66,66,393,66,66,402,66,393,393,126,66,66,353,66,393,66,37
68,53,66,66,60,701,403,73,293,605,233,101,117,101,101,363,217,101,101,363,363,66,66,66,66,66,363,66,66,66,66,66,66,66
69,53,347,347,323,655,137,211,380,13,160,403,305,288,181,222,181,181,13,13,222,690,123,222,222,222,222,296,222,222,222,222,222,222
70,53,347,347,383,280,222,399,353,313,236,13,305,181,181,37,259,222,222,222,181,89,181,181,181,181,181,181,181,181,181,181,222,181
71,222,195,251,175,208,514,380,84,421,244,259,259,380,13,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
72,53,347,347,374,290,357,111,252,34,63,152,326,358,404,361,84,277,90,106,179,179,328,712,377,347,93,92,347,92,92,92,136,92
73,53,347,347,636,317,777,110,381,287,250,289,289,55,287,287,289,119,363,119,363,73,363,25,289,25,25,25,25,250,25,363,252,252
74,53,347,347,511,723,313,287,142,184,104,3,25,76,358,153,153,8,217,124,124,124,124,124,300,124,124,124,124,124,124,124,8,300
75,53,347,206,74,413,691,101,206,284,3,252,111,377,8,8,8,8,161,8,81,8,8,81,81,161,81,81,81,81,451,81,81,8
76,53,347,347,412,749,652,220,383,175,54,723,92,111,111,8,237,8,8,8,8,8,27,8,8,8,8,8,8,8,8,8,8,8
77,53,347,347,382,608,418,204,279,119,185,71,104,8,8,8,8,8,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
78,53,64,398,568,149,74,34,276,92,17,331,311,276,276,276,354,46,300,46,46,300,300,46,46,46,46,46,276,38,38,17,38,38
79,53,366,38,668,671,737,204,0,354,326,151,221,221,221,221,242,153,38,38,38,38,17,38,284,38,38,38,38,38,276,38,38,38
80,53,347,347,17,422,483,17,315,55,151,299,155,155,153,153,343,153,343,343,298,311,311,38,38,298,38,38,311,38,38,3,38,38
81,53,347,66,648,712,742,486,86,220,86,395,342,200,263,200,200,213,773,91,306,306,213,213,213,91,91,100,100,100,213,100,100,273
82,53,347,347,79,553,389,98,370,370,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
83,53,347,347,490,418,406,545,229,98,641,469,185,132,132,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
84,53,347,347,38,248,78,193,77,97,333,183,393,333,393,393,99,222,99,99,99,393,393,393,393,99,222,99,393,393,99,393,393,393
85,53,347,347,393,393,67,393,356,133,107,44,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
86,53,347,347,275,446,618,393,333,74,13,181,183,393,126,123,181,133,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
87,114,539,28,354,342,592,317,376,305,317,376,376,376,376,317,259,259,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
88,53,347,347,41,351,200,222,794,285,676,159,126,376,376,376,46,376,376,66,46,393,376,376,376,376,376,376,376,376,376,376,376,376
89,53,347,337,668,359,514,194,380,126,317,259,66,380,376,317,317,317,317,317,355,317,317,317,376,376,259,376,376,376,376,376,376,317
90,53,347,347,439,371,651,398,183,13,403,222,195,333,195,133,186,133,133,133,133,133,133,259,133,133,133,259,133,133,133,259,259,99
91,53,347,347,780,85,768,31,380,66,133,159,206,338,159,393,296,296,296,296,222,196,690,296,296,222,393,99,99,333,296,99,99,296
92,53,347,347,574,241,742,285,284,376,393,355,89,222,222,222,222,181,181,181,181,181,181,99,13,44,44,196,196,44,196,99,196,403
93,53,347,347,19,86,318,346,86,86,671,86,139,342,177,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
94,53,347,86,547,276,260,510,773,446,728,665,763,569,671,456,572,576,412,671,86,671,671,86,671,671,86,525,86,86,86,517,86,86
95,53,347,347,498,79,231,603,98,75,103,283,257,139,203,203,203,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
96,273,328,129,170,420,786,569,769,36,273,143,139,139,139,572,342,572,342,572,139,139,139,321,139,139,342,273,139,203,342,342,134,342
97,53,174,347,319,629,805,428,434,134,273,142,139,273,253,109,134,177,79,273,342,273,273,607,273,273,273,143,134,143,660,342,273,273
98,53,273,28,39,459,417,561,629,139,342,273,273,273,273,572,273,342,273,273,139,203,203,203,203,203,203,273,203,203,203,203,203,273
99,284,293,398,650,660,722,36,554,147,60,169,388,384,327,327,398,275,398,398,398,398,398,398,398,398,398,398,398,398,211,398,398,398
100,53,537,398,623,40,716,626,493,805,742,682,48,304,129,214,787,3,387,377,129,377,11,11,214,194,325,340,273,174,310,310,385,385
101,53,347,261,275,728,41,645,5,246,236,377,333,377,794,794,794,794,160,794,671,160,160,211,671,794,671,794,230,211,794,236,160,794
102,53,347,347,100,148,22,292,159,107,390,45,45,285,394,88,382,367,145,145,145,16,353,145,353,165,322,165,19,145,367,367,367,31
103,53,347,347,673,664,388,595,287,252,28,104,197,255,255,210,197,255,255,255,71,255,255,255,255,255,255,255,255,322,255,255,255,255
104,53,140,245,414,564,247,622,212,285,270,341,68,121,14,121,95,121,238,95,185,95,150,334,55,55,150,150,55,150,95,150,55,327
105,53,347,347,688,365,85,180,69,33,17,173,67,204,156,234,9,9,138,204,204,204,154,137,204,141,154,57,57,57,85,141,57,141
106,53,347,347,740,186,282,52,276,107,38,9,9,278,9,176,85,9,9,9,85,176,9,176,9,176,176,176,176,176,176,176,176,176
107,53,347,347,103,129,285,1,279,250,221,326,9,9,9,326,282,77,9,77,176,383,77,383,326,101,176,326,77,176,176,176,326,176
108,53,347,347,215,132,692,238,370,153,376,317,690,317,126,259,72,72,259,259,259,259,183,259,259,259,259,476,259,259,259,259,259,476
109,53,347,347,196,67,67,133,114,678,168,82,296,293,293,183,37,376,230,230,230,196,376,376,376,376,376,67,67,253,67,67,194,67
110,379,11,67,788,136,317,210,622,166,175,293,14,60,274,89,476,476,476,551,58,682,58,682,682,682,109,682,551,280,682,254,682,551
111,53,347,347,612,804,756,220,800,462,219,195,115,241,89,89,351,286,286,286,136,136,136,136,44,195,286,286,195,44,70,70,70,286
112,53,347,347,31,477,637,626,323,403,365,114,335,323,323,335,195,333,218,96,61,195,197,195,353,323,96,195,20,20,20,20,286,195
113,53,347,347,525,35,139,183,388,555,248,4,195,286,314,32,351,283,121,283,286,121,286,286,286,286,286,286,286,286,286,286,286,286
114,53,131,131,247,62,637,148,385,131,381,35,339,339,339,339,102,257,102,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
115,344,109,131,749,695,6,196,194,273,86,103,351,351,306,306,391,339,237,102,339,237,237,339,53,35,35,245,35,339,339,339,339,339
116,131,416,68,594,748,45,231,577,162,131,174,131,303,100,131,231,303,102,303,303,131,303,131,131,131,131,131,131,131,131,131,131,131
117,53,347,347,139,443,686,604,253,648,387,42,42,42,250,292,292,292,292,255,255,292,807,281,255,807,292,807,807,807,807,807,807,807
118,53,347,347,391,332,287,172,33,379,368,322,84,370,31,374,0,197,365,365,365,365,71,365,31,365,365,365,365,365,365,365,365,365
119,53,347,347,732,790,117,322,401,184,14,132,197,267,313,379,140,31,371,371,371,365,371,281,371,365,274,274,274,274,274,14,274,365
120,53,347,245,663,481,135,351,174,194,31,323,132,353,130,60,259,130,130,61,130,130,130,22,130,130,130,333,65,211,130,65,130,130
121,53,384,170,456,5,179,93,303,11,459,699,744,287,31,7,166,384,384,325,384,384,384,384,384,384,384,384,384,384,384,384,384,384
122,53,347,347,6,400,584,807,95,384,360,7,360,800,692,178,178,68,68,268,170,68,68,208,384,384,68,68,119,187,119,187,119,68
123,53,347,347,713,187,578,689,367,285,681,140,150,150,84,14,184,35,184,238,184,184,341,184,341,341,341,341,341,341,96,341,306,341
124,53,347,347,274,264,730,503,60,66,328,156,156,3,97,3,78,97,97,3,3,102,194,142,22,102,102,22,130,22,32,22,97,297
125,53,347,347,581,127,366,157,157,583,95,95,391,132,184,205,205,205,238,132,184,132,238,341,341,238,341,341,341,341,341,200,341,341
126,68,231,88,657,86,281,477,196,157,381,41,182,308,41,41,318,182,182,318,241,241,318,318,318,182,318,318,318,318,182,218,218,218
127,53,347,347,363,634,444,231,117,400,256,88,88,88,88,237,59,88,88,88,88,88,59,88,88,88,88,88,88,88,88,88,88,88
128,53,347,347,23,214,341,88,119,329,256,256,88,190,301,312,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
129,53,347,86,187,432,435,282,370,197,401,171,54,171,171,171,389,64,171,389,389,389,389,389,171,171,171,171,389,171,171,171,171,171
130,53,347,337,424,340,64,383,389,7,383,389,171,282,171,171,282,111,171,171,688,171,171,171,171,171,171,171,171,171,171,171,171,171
131,53,28,347,138,32,323,296,93,250,14,723,171,171,171,171,171,171,171,192,171,171,171,171,171,171,171,171,171,171,171,171,171,171
132,53,347,25,507,337,370,652,277,317,181,317,181,317,317,288,222,72,133,393,259,288,259,376,259,288,288,109,109,288,380,317,109,109
133,53,25,104,372,22,653,345,734,605,183,355,296,37,296,222,333,333,355,393,99,355,296,222,355,159,333,60,259,259,259,89,259,380
134,259,426,259,61,581,207,336,549,123,345,243,776,296,412,335,296,181,345,333,333,123,333,123,333,296,222,296,5,259,333,5,333,41
135,53,543,232,218,111,231,14,456,195,306,132,351,195,347,182,185,306,306,114,338,114,232,227,297,297,200,587,323,323,232,232,323,323
136,53,232,232,792,74,242,101,186,306,140,280,84,280,11,179,286,156,270,279,279,388,279,78,263,263,12,351,121,166,388,121,367,388
137,53,347,38,713,395,477,97,336,365,195,232,16,16,114,232,232,232,622,232,232,734,232,114,114,232,114,232,232,314,114,232,232,232
138,53,347,347,69,292,506,340,38,348,77,262,383,108,90,57,229,404,334,239,239,229,229,57,57,129,106,315,129,252,187,315,315,24
139,53,347,347,171,22,570,197,112,282,388,348,285,252,108,27,106,284,106,282,282,229,282,90,106,290,106,197,14,90,282,217,252,217
140,53,363,347,433,759,9,268,215,171,348,262,383,77,77,77,77,77,77,77,57,229,106,129,229,252,106,106,57,57,106,106,77,106
141,53,347,347,89,696,36,385,136,381,91,147,147,147,147,339,102,339,102,102,102,303,102,102,102,102,102,102,102,102,102,102,102,131
142,53,347,347,222,365,379,219,161,231,328,329,66,22,130,53,378,102,102,149,23,102,339,102,102,102,339,130,102,53,102,53,102,22
143,53,347,347,381,364,505,346,399,148,385,381,339,66,263,102,297,102,53,339,75,339,283,257,22,22,200,202,202,202,202,202,182,182
144,129,757,175,166,318,53,797,709,382,347,139,143,203,177,203,134,139,203,139,273,203,203,203,139,139,203,139,139,342,139,342,139,203
145,53,347,347,650,208,109,551,763,51,273,95,286,203,286,139,342,273,203,139,773,273,203,78,78,78,78,78,286,78,342,283,342,263
146,309,808,177,143,281,318,801,134,356,139,134,342,139,115,139,139,115,139,139,139,273,342,273,134,342,342,342,283,273,342,134,342,273
147,54,486,237,762,92,713,274,187,237,237,93,93,237,237,237,88,59,237,237,237,237,237,318,237,237,237,146,237,237,237,237,237,237
148,53,347,347,515,602,570,229,88,93,88,237,237,93,93,93,237,237,237,237,237,237,237,237,88,237,237,237,237,237,237,237,237,237
149,345,762,62,249,246,136,26,26,131,93,93,237,237,237,237,79,237,237,237,130,237,190,237,237,237,237,237,237,237,237,237,237,237
150,53,363,347,619,266,519,92,370,689,83,98,7,104,185,185,185,197,166,166,132,132,235,166,166,132,7,7,7,7,7,7,166,166
151,53,347,347,22,695,807,137,187,268,165,119,119,31,389,112,119,7,112,169,119,119,119,7,270,31,31,14,14,7,31,31,7,7
152,53,7,166,19,71,779,608,397,98,132,83,132,132,185,340,184,132,132,132,132,132,132,132,132,132,7,166,166,7,166,7,166,166
153,53,347,347,252,89,332,129,238,334,0,206,206,19,206,130,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
154,53,206,206,370,696,187,384,253,206,275,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
155,53,206,8,643,35,313,179,174,206,23,130,130,130,206,130,206,206,130,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
156,53,347,347,104,479,352,612,142,358,358,74,338,211,130,156,168,233,233,156,352,124,124,124,352,352,244,331,331,244,244,244,244,244
157,53,347,347,325,210,726,612,93,347,244,233,352,352,221,352,352,331,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
158,53,347,347,191,368,137,237,6,186,309,352,186,331,331,331,331,331,331,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
159,53,347,347,320,673,152,287,206,372,357,372,372,372,372,390,357,372,357,312,357,357,357,357,357,357,357,357,357,357,357,357,357,357
160,53,347,347,611,481,191,380,399,353,87,3,286,286,238,286,115,216,357,301,357,357,357,357,357,357,357,111,357,357,357,357,61,357
161,53,347,347,707,463,463,313,147,312,308,381,30,30,237,51,51,357,357,252,3,312,312,357,3,3,93,157,157,312,372,216,372,312
162,53,347,347,386,336,142,122,46,723,253,45,135,156,352,352,352,52,352,352,156,240,240,240,240,240,240,240,240,240,240,240,46,240
163,53,46,347,85,565,407,689,380,161,3,3,3,242,164,284,376,259,164,49,376,285,285,38,156,74,156,253,1,156,194,38,38,158
164,53,347,347,192,271,433,519,740,433,217,108,311,153,311,46,17,354,17,38,38,300,38,46,38,38,38,38,46,46,46,17,46,38
165,237,216,345,193,468,163,618,450,72,123,72,123,123,123,72,123,72,123,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
166,345,671,700,345,7,570,806,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
167,53,53,345,602,126,177,170,800,345,588,612,676,345,570,345,345,676,345,123,676,345,345,345,421,421,345,345,345,345,345,345,345,345
168,53,347,347,65,604,351,384,278,376,221,300,107,285,107,363,285,85,285,377,285,285,285,285,285,285,285,285,285,285,285,285,285,285
169,53,285,38,455,540,447,129,190,158,244,240,285,284,363,285,285,285,285,285,285,285,285,377,285,285,285,285,285,285,285,285,285,285
170,53,174,261,53,338,295,18,222,227,168,330,87,301,399,399,356,321,321,84,4,399,399,105,114,114,195,218,195,195,195,394,356,251
171,53,347,347,317,510,269,783,689,723,180,343,343,153,153,172,172,172,180,62,172,343,180,348,172,180,62,176,750,62,3,343,217,343
172,343,690,808,569,557,394,678,343,74,85,154,343,25,25,359,343,343,343,343,154,154,343,154,343,343,343,343,343,343,343,343,343,343
173,343,343,343,454,368,448,55,25,74,343,343,56,311,85,85,359,359,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343
174,53,68,218,550,111,389,74,750,285,681,62,167,299,153,343,153,359,2,154,151,153,2,343,154,343,154,154,359,359,359,359,154,154
175,131,408,359,308,691,513,252,74,352,173,394,315,369,369,74,173,154,56,154,359,154,74,74,173,154,154,173,359,359,74,173,359,359
176,53,347,347,151,298,298,368,530,9,282,394,155,69,173,369,359,369,74,369,359,369,369,369,369,369,369,369,369,369,369,369,369,2
177,53,347,347,391,373,222,347,347,619,139,36,150,150,150,95,95,95,100,134,36,100,140,395,100,100,100,395,258,100,273,100,100,100
178,53,347,347,217,411,577,453,91,157,157,339,238,100,238,100,100,100,100,100,100,100,306,100,100,150,100,98,100,98,100,306,98,100
179,53,347,347,720,700,661,364,105,53,147,309,147,100,100,671,671,216,100,100,479,479,346,100,346,100,100,100,100,100,100,100,100,100
180,53,347,347,762,247,60,779,400,255,3,254,78,188,22,283,283,260,188,75,339,283,283,283,283,78,78,78,283,78,78,78,78,78
181,53,347,347,7,478,669,723,4,241,123,80,280,80,80,339,314,227,314,314,82,314,134,78,314,82,342,251,342,251,78,78,251,251
182,53,283,171,566,97,550,91,274,301,257,80,103,103,241,260,260,78,260,283,283,78,78,78,78,78,78,78,78,78,78,78,78,78
183,53,347,347,249,524,160,13,40,356,195,356,114,353,114,114,356,356,87,729,729,729,356,261,729,729,729,196,729,729,196,729,412,321
184,53,347,347,765,356,583,3,181,251,195,342,729,356,356,729,356,356,356,142,142,356,142,356,142,356,356,356,356,356,356,356,356,356
185,53,356,356,492,412,679,434,207,191,241,115,78,207,103,207,356,157,356,356,196,329,356,196,356,329,356,157,356,157,356,356,356,356
186,53,347,347,687,517,647,101,278,35,47,21,80,87,188,280,280,113,113,280,280,280,280,280,280,280,280,280,280,280,280,280,113,80
187,53,347,347,88,445,367,87,218,306,220,21,80,329,323,329,115,80,80,80,80,80,80,80,78,78,78,78,158,158,78,158,113,80
188,53,113,200,93,456,3,588,533,333,161,123,80,32,21,421,183,421,293,21,293,21,117,125,125,21,21,21,21,21,158,254,21,113
189,53,347,347,365,60,126,632,118,156,136,388,388,353,334,14,388,388,388,388,274,14,14,28,274,274,274,274,382,14,14,274,14,274
190,53,347,347,156,340,131,34,237,255,60,214,400,182,182,14,288,14,316,136,136,28,388,243,88,88,88,194,316,388,136,274,136,388
191,53,347,347,680,290,319,179,281,175,275,361,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
192,53,52,347,305,462,477,218,313,325,193,211,193,193,193,193,193,347,68,82,347,377,47,264,193,128,297,68,3,297,313,285,270,270
193,53,347,347,284,68,285,65,186,366,237,52,135,192,244,352,352,52,352,52,52,3,52,352,52,3,52,52,3,3,3,3,52,3
194,53,347,347,169,448,203,42,280,88,135,52,46,52,352,156,352,46,52,52,52,52,52,52,52,52,52,52,52,217,52,217,217,3
195,338,360,338,217,806,236,372,296,101,338,293,45,459,219,338,351,375,351,351,196,338,227,338,338,338,338,338,338,114,338,114,338,338
196,53,340,66,687,303,340,119,247,252,189,403,71,195,338,71,61,84,338,71,84,338,338,41,338,14,338,338,14,338,338,338,338,338
197,53,347,347,132,74,7,67,11,355,168,159,159,197,40,729,253,356,181,377,211,181,377,286,377,376,194,264,264,365,376,365,110,96
198,53,347,347,78,183,388,278,233,377,27,250,387,29,234,29,234,189,392,462,229,210,29,101,247,189,250,29,54,29,247,250,29,101
