ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40
40,491,40,411,245,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
41,800,749,9,197,605,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
42,607,230,309,224,268,245,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
43,729,166,274,360,19,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
44,334,28,111,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,140,383,229,147,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
47,422,57,80,294,257,263,144,297,130,362,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,190,130,130,130,130,130,231,223,130
48,682,377,84,103,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,592,142,339,200,103,103,161,207,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
50,366,216,202,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,143,261,334,248,400,400,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
52,6,104,322,366,207,103,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
53,805,692,339,136,5,60,103,207,207,207,207,207,207,207,207,207,207,207,207,103,207,207,207,207,207,207,207,207,207,207,207,207,207,103,207,207,103,103,207,207,207
54,264,84,209,338,159,114,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,267
55,317,121,428,735,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,592,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
56,365,285,345,107,126,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
57,348,255,464,131,75,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
58,158,473,236,45,382,353,382,382,382,145,145,145,145,145,145,145,145,145,145,145,145,145,145,374,367,367,367,387,367,387,145,6,145,316,145,325,45,145,145,367,784
59,576,108,653,335,232,232,71,132,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,248,367
60,132,624,139,434,30,258,367,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,477,349,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,316,138,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,248,400,22,24,58,58,179,211,211,58,211,179,174,179,174,58,58,223,58,58,269,58,58,174,385,58,269,269,174,174,179,58,255,269,174,174,269,174,174,702,174
64,26,258,263,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,8,159,295,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,396,107,196,60,385,66,335,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
67,285,747,101,393,159,242,66,66,66,254,66,285,66,66,66,66,66,66,66,285,99,333,66,66,66,400,66,136,296,66,99,66,99,66,66,66,66,66,66,66,376
68,22,243,692,296,99,101,393,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,101,66,66,66,66,66,66
69,752,218,181,37,222,181,222,222,393,222,123,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
70,779,166,248,123,222,181,181,181,181,181,123,181,181,222,181,222,222,222,222,222,222,222,222,222,222,123,222,222,222,123,222,222,222,222,222,222,222,222,296,222,222
71,486,325,159,393,259,259,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
72,389,557,60,245,377,377,290,260,392,136,136,136,399,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
73,78,755,719,599,25,363,363,363,27,260,118,31,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
74,253,808,262,186,357,240,240,240,240,352,244,352,278,244,27,354,244,27,244,27,244,244,244,27,244,244,244,9,244,244,27,244,278,124,244,27,244,209,209,1,244
75,24,222,146,220,29,34,34,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
76,612,85,762,388,8,88,131,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
77,764,761,274,104,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
78,532,621,122,276,331,17,320,38,38,331,38,38,331,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
79,551,136,647,38,348,359,381,38,38,173,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
80,95,151,593,343,217,155,2,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
81,774,784,346,273,362,213,147,200,100,100,185,713,391,100,351,100,100,100,100,391,341,391,100,351,341,391,100,391,391,391,391,391,391,139,391,391,391,100,391,391,391
82,55,332,245,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
83,440,590,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
84,781,739,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
85,766,149,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
86,181,251,44,44,393,317,393,123,123,123,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
87,21,159,403,376,259,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
88,293,671,647,126,376,376,66,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
89,287,193,397,153,266,168,126,133,133,168,376,376,376,376,403,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
90,794,108,345,13,66,133,44,259,44,296,259,378,296,296,296,99,296,44,99,99,99,44,99,99,99,99,99,99,99,259,99,44,99,44,44,44,99,99,99,99,99
91,455,365,24,99,159,355,355,44,99,99,99,99,99,159,99,99,99,99,99,99,99,159,99,99,99,99,196,123,99,99,99,99,66,333,99,159,99,393,99,99,99
92,705,157,688,288,219,159,123,159,99,159,66,159,159,355,159,99,99,99,99,632,635,99,259,99,99,99,99,99,66,317,99,66,811,99,66,66,196,317,66,99,66
93,508,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
94,388,651,683,613,364,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
95,752,60,100,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
96,273,337,423,273,273,342,203,139,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
97,278,787,757,134,273,773,773,773,134,273,273,139,273,273,273,86,273,273,86,273,273,86,273,273,86,273,86,273,273,273,273,273,273,273,273,273,273,273,273,86,273
98,203,293,773,550,429,273,134,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
99,674,595,578,717,384,372,30,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,142,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
100,372,185,268,773,762,762,762,762,762,762,773,398,766,762,762,766,762,762,762,630,412,398,762,630,786,762,398,41,762,630,46,398,711,412,398,786,395,786,398,121,333
101,384,314,567,794,89,794,647,647,647,48,194,48,794,794,794,794,794,794,794,794,794,794,304,94,794,794,794,794,194,364,211,794,671,794,794,364,794,398,128,128,194
102,615,272,192,382,227,145,145,145,367,19,337,353,353,353,19,140,353,353,353,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,449,140,140
103,476,169,125,388,255,255,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
104,130,718,541,0,184,68,40,208,40,290,372,202,379,105,84,379,105,14,202,30,202,6,245,187,202,202,6,140,30,95,95,245,187,58,309,6,207,140,187,218,140
105,756,704,69,209,33,229,71,85,106,401,649,370,777,370,229,176,233,48,92,176,176,176,137,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
106,466,62,544,285,9,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
107,395,64,401,141,90,77,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
108,692,363,732,376,259,376,380,259,259,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
109,651,66,183,66,259,259,376,67,690,259,67,67,67,676,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
110,89,467,354,192,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
111,557,335,290,136,286,286,136,286,259,286,286,286,286,286,286,286,286,286,286,75,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
112,417,130,102,408,338,338,338,286,232,20,20,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,20,286,20,286,286
113,95,511,274,44,283,32,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
114,97,584,35,147,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
115,240,245,12,213,200,213,273,555,131,339,131,131,131,131,131,131,131,131,131,131,132,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
116,484,598,88,100,111,148,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
117,431,808,347,220,379,80,71,71,71,71,661,779,372,372,372,71,119,371,464,119,119,119,365,365,71,365,365,71,365,365,71,71,365,365,365,71,292,292,365,71,71
118,391,253,348,71,14,250,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
119,614,65,353,99,259,64,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
120,40,389,119,96,132,469,275,136,275,323,511,262,262,420,262,355,193,206,193,206,384,193,404,269,206,28,269,101,187,28,370,641,334,269,658,269,323,269,404,382,285
121,647,436,354,111,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
122,185,167,494,212,68,711,68,195,583,68,658,384,583,372,779,654,105,384,384,654,583,384,22,577,384,269,334,526,384,384,384,268,105,384,274,148,384,384,384,334,22
123,337,571,306,14,35,184,362,341,341,341,253,341,341,341,341,341,341,36,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341
124,462,255,166,97,102,323,132,231,142,659,314,132,96,20,96,297,4,20,264,20,20,297,20,297,20,20,47,382,382,297,297,382,20,205,382,297,20,297,297,297,14
125,770,734,520,95,351,16,200,341,341,98,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,178
126,136,616,741,362,115,241,257,182,241,241,241,241,367,241,241,218,241,318,241,218,241,251,218,367,736,256,361,361,361,241,256,218,251,294,218,218,314,41,349,381,218
127,593,451,420,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
128,88,306,214,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
129,98,684,111,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
130,449,289,135,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
131,71,427,325,7,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
132,347,653,322,355,335,196,165,259,259,624,259,259,89,259,89,259,259,259,89,317,259,89,259,259,259,259,317,259,305,259,305,259,259,259,89,259,259,259,259,259,317
133,809,427,14,376,133,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259
134,592,674,259,376,400,61,222,259,259,259,259,259,259,222,259,259,222,222,222,222,222,222,222,222,222,222,259,259,222,222,222,222,222,222,222,222,222,222,222,222,222
135,494,151,494,22,314,232,314,232,232,232,232,22,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232
136,119,377,293,323,366,306,297,297,237,496,237,237,184,250,3,341,715,157,187,210,210,210,778,394,337,394,31,400,337,390,31,496,337,337,496,210,353,337,353,496,210
137,233,603,748,45,193,314,314,314,314,314,232,314,232,314,232,314,314,314,314,314,232,232,314,314,314,314,314,314,232,314,232,314,232,232,314,314,232,314,314,314,314
138,645,370,374,57,10,252,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
139,382,206,57,84,377,377,506,90,90,90,90,90,90,553,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,228,90,90,90
140,364,752,10,262,262,252,90,90,90,90,90,90,90,90,193,90,90,90,90,90,90,90,193,90,90,90,90,90,90,90,90,90,193,193,90,90,90,90,90,90,90
141,396,348,53,280,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
142,381,353,260,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
143,523,150,381,70,200,381,257,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,231,102,102,102,102,102,102,102,102,102,102,301
144,295,455,342,115,273,100,342,342,342,342,342,203,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
145,71,617,741,356,283,147,283,139,203,139,342,342,342,139,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
146,130,713,19,177,177,283,15,273,283,283,283,283,342,283,283,342,342,342,283,342,342,342,342,342,342,342,342,342,342,342,342,139,342,342,342,342,342,342,342,342,342
147,551,98,581,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
148,371,440,669,6,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
149,736,637,131,131,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
150,166,286,545,224,224,325,7,185,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
151,298,805,132,132,268,224,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
152,374,457,358,31,235,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
153,789,253,262,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
154,293,610,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
155,180,343,213,164,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
156,714,20,221,748,32,109,352,244,352,352,244,352,276,244,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,221
157,276,352,326,352,746,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
158,26,485,384,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
159,412,518,791,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
