ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46
10,4582,305,1017,1025,2752,2580,6280,4027,278,2834,2865,2865,228,4350,2634,4420,2648,2323,1095,2865,2714,5468,7019,239,2323,401,2185,1383,1200,278,131,3369,858,2833,2889,974,2865,2625,818,2634,3506,848,1712,2923,3072,2923,1595
11,5350,1126,1499,2634,51,2559,285,2961,123,2231,2560,1272,265,1732,396,473,2231,123,1924,3231,185,3231,3231,473,3231,473,824,1524,2245,123,3231,1311,473,3231,3338,3231,987,3231,1524,473,2608,1524,424,473,2608,3231,123
12,5350,2364,1499,1380,1563,1799,2221,2961,3441,1318,473,473,2265,2961,1460,473,1004,1460,2758,987,961,346,473,473,473,1460,824,1524,2961,123,473,1311,473,2804,473,961,1705,3338,2852,473,2608,2245,473,1311,2608,2961,2265
13,5350,1850,6204,817,1563,128,3231,2961,3441,3231,2265,1812,2265,1732,3231,473,3231,1524,2265,987,2603,3231,473,3441,3231,473,1524,1524,473,3441,2603,1311,473,3231,3231,987,987,3231,1524,473,473,1524,1524,473,3315,3231,2265
14,5350,1126,6204,817,1563,1799,708,2961,1460,1318,473,473,2265,2961,1460,1239,1004,1460,2608,987,961,346,2804,2961,1460,824,824,2804,2961,961,473,1311,473,2804,824,961,1705,3338,1524,473,473,1239,2961,1311,2608,2961,2265
15,5350,4297,6204,265,1563,128,3338,2961,123,832,2265,2277,2265,2588,41,1239,1004,1460,1311,1180,988,346,2804,1705,1460,1460,824,988,2961,1311,473,1311,473,2804,3338,128,1705,2804,2852,473,473,1239,2168,1311,1004,1004,2265
16,5350,1126,6204,817,1563,128,3231,2961,3338,961,2265,2277,2265,2588,41,1239,1004,1460,1311,1180,961,346,1311,473,1460,1460,1004,988,128,1311,473,1311,473,1311,1231,961,1705,128,1311,473,1460,1460,2168,1311,1004,1563,1460
17,5350,4129,6204,1380,1563,3231,285,2961,3338,832,1705,3338,3338,2961,396,1239,1474,1247,2758,2608,2608,3338,2804,1705,1460,824,824,1474,2961,123,2608,1311,473,2804,824,2730,1705,3338,1524,473,2608,1524,961,1705,2608,2961,824
18,2621,2364,697,1112,1498,2933,1666,2741,2479,2741,2509,2156,3271,3028,3271,2479,56,3459,1304,1852,2479,1852,2614,2230,2614,2479,1519,2479,3271,3459,2479,1519,3028,2614,2479,459,1519,2479,1852,3459,2479,1519,2479,1519,1519,2479,3028
19,5350,212,697,3383,2355,1739,2707,2355,2479,2118,2509,1377,2108,3028,1602,2479,1739,2479,1304,1852,2479,1852,2614,2355,2614,2479,2614,2479,2614,2108,2479,2479,2479,2614,2479,2479,2190,2479,946,2355,2479,2479,2479,2614,2614,2479,2614
20,5350,212,1499,1395,2355,1646,2707,2355,2479,2118,970,1915,3459,3028,56,2479,56,2061,2479,1852,2479,2969,2355,2969,3256,1930,1930,2061,3271,1739,2061,1915,2061,56,1374,1930,56,56,56,2061,3256,1930,56,1930,2061,2061,56
21,875,4426,4192,839,2660,994,5205,5729,3963,929,6158,3275,4535,5390,5103,5732,1398,5103,5103,1398,1398,4103,3137,4228,3578,3609,3570,5103,6515,4535,3609,4535,6920,5103,6920,6920,5103,4535,4535,4361,4403,6733,6733,316,3555,6828,6537
22,5350,2120,609,4350,3371,1225,76,3555,3555,342,4984,3854,5819,5390,828,1916,1916,6732,5103,4535,2286,1916,3570,5747,4403,3854,3570,3555,5747,3570,5747,6906,6537,6340,3555,4403,3555,5747,5747,5747,6732,5747,3610,3922,5747,5747,4403
23,5913,4962,4192,3488,6732,6510,5126,5729,3718,3570,4984,4228,3570,6906,5103,3570,3570,6757,6537,6732,2490,4228,6757,1832,6733,3854,3570,6757,4403,3570,4679,6537,5202,6340,4331,3570,3555,6732,3570,6732,4403,3854,3610,6245,6245,4403,4970
24,5350,212,697,1380,2603,2927,2927,1890,550,3495,2773,290,2773,787,787,1712,787,2773,278,3025,1200,787,3280,787,143,1480,1480,278,2603,278,278,787,3025,2603,2146,3025,2603,2146,3025,290,290,787,787,3025,787,2603,3098
25,706,1126,1499,1380,51,1360,2927,1890,2448,2834,2603,290,143,787,2634,2603,143,3025,3369,2603,1200,787,3280,3369,1200,3025,290,2603,2603,3025,787,3369,3025,2603,290,3025,2603,1890,143,290,290,787,787,143,1200,2603,3098
26,5350,1126,3389,2634,278,2927,2927,1890,550,1480,2773,290,143,3098,2634,1712,3089,3025,3369,3025,1200,2834,3280,3369,143,3025,1480,278,2603,3025,3098,787,3025,2603,143,3025,2603,1890,3025,290,290,2773,787,3025,1200,2603,3098
27,5350,1126,1499,1380,1498,2476,1279,2736,2853,593,970,2736,445,2219,2853,2853,3492,2736,3520,2853,2714,2853,1400,674,1447,1721,3492,2038,1621,545,1477,3492,1504,3456,1447,1298,2424,3492,3111,2038,2714,1504,1504,674,2714,2853,3492
28,5350,2364,6204,2722,2416,1802,2722,2736,2731,979,2549,979,1016,2463,1134,472,3155,960,3155,960,2437,2731,1400,761,3155,3155,3155,3155,1016,3155,3155,2549,761,3155,3155,2038,2463,2731,3111,2038,3175,3155,761,1002,3155,1400,2988
29,5350,2364,6204,265,1498,3087,1666,2936,2479,776,1287,477,2186,2186,1463,776,1828,2828,3017,477,186,2853,2111,1943,2657,2853,87,3383,1593,87,674,87,2853,674,3383,2450,674,674,1593,2853,3383,1341,2246,2828,674,3052,565
30,5913,305,1017,3451,1896,1802,3099,1296,1106,3397,1270,1244,1588,2907,2907,2907,2907,2907,2907,2737,1896,1837,2907,1160,2907,1837,2737,2907,2907,1160,2907,1761,1761,3293,3293,2907,1063,2314,2907,3293,2907,398,2907,2907,2907,1264,2737
31,5350,2120,983,1395,1498,1646,1666,1672,2479,102,277,1377,1374,1646,1448,2118,680,2476,2118,2118,680,3442,2732,2969,3263,2118,1566,2118,680,1473,2476,2256,3031,83,3263,2479,680,2118,680,2732,2118,2118,3263,1914,83,2118,2256
32,5350,2120,983,39,1793,1217,3099,1296,2959,2254,1760,3172,2950,499,2933,3099,1177,2950,1124,1852,3263,170,2933,3270,499,1124,1124,1824,680,1760,680,3263,1124,1124,170,2933,1760,499,1264,680,1760,1124,680,1157,1914,2732,1063
33,5350,1178,6204,2953,2065,1565,2686,2686,362,3126,1003,2882,4173,2686,2882,1003,3208,2719,2686,2719,1069,1432,1069,1069,5781,1875,1069,1583,1875,2048,1069,5603,2967,3077,1069,1089,1069,4173,1003,1003,1212,2139,1432,696,1035,3062,1432
34,5350,4129,6204,5781,2221,3391,318,6040,97,3153,73,2908,2221,2102,3053,2792,3346,73,2221,97,1965,97,97,1658,1965,97,2577,2221,97,2102,2102,318,1965,1875,3077,1965,1965,97,2102,97,1875,1923,3053,97,1965,97,1965
35,5350,155,6204,817,2065,3309,318,2577,207,2040,21,2742,1949,2564,21,240,240,2747,587,2742,2724,3208,2724,2747,587,2385,1351,2724,2724,240,636,587,2564,2564,696,1089,2564,587,2564,696,2564,1351,2204,696,1351,876,2724
36,5350,212,983,3451,1793,1802,2632,2158,2809,1807,2509,1315,1503,3490,605,340,1980,3490,1980,226,1298,2904,3342,93,1269,340,3342,1315,1315,1315,3342,1315,1315,226,1315,1298,226,1315,1315,2904,1315,461,1298,340,2863,340,340
37,5350,2364,983,3425,2230,1802,2632,1296,3490,2787,1787,3342,1503,1959,340,224,1315,3456,3520,226,1959,2321,3004,1315,2321,1298,1959,1315,1257,1315,1298,1315,2920,1987,1315,2478,1257,3490,2321,2904,1686,1686,2313,2920,3004,2866,1686
38,5350,2178,2708,1025,896,1802,2182,2370,3129,2759,1604,1215,1016,344,1959,2761,837,1280,2702,36,2103,3110,640,95,2301,2308,2127,1737,1016,3306,741,2127,2806,36,896,553,966,896,1336,837,1436,966,1104,966,2370,1737,966
39,5350,1244,983,2586,2011,1408,1157,2403,1592,1877,978,1914,1199,2403,1199,3340,2100,1801,978,2100,1381,2503,1421,752,1199,2503,1199,1199,1676,2995,1199,2095,2095,2503,978,1199,3282,655,1130,1199,1199,2210,655,655,1381,1130,1877
40,706,212,3389,39,2118,3195,3184,737,2479,3126,612,1377,1602,2108,1602,1887,83,533,533,2917,533,1938,533,2423,978,169,612,533,2190,1035,11,612,2176,2917,2825,533,852,3152,3383,2825,169,2995,2825,1877,1656,5554,1035
41,3782,305,1017,2907,2586,3108,1157,1760,3282,1820,1760,1914,1602,83,1602,3487,1326,1326,3182,945,292,1326,1421,512,292,1602,3487,2563,1326,3457,3487,3487,2690,292,1803,94,3282,3282,3457,1602,1820,3457,1820,3172,1602,3457,3172
42,5350,212,697,39,874,1423,2517,3049,2946,2358,3049,2100,915,3379,1575,3379,2100,2358,9,2100,9,1615,978,2358,1983,2100,2358,1333,2358,2100,1333,2100,1333,2162,2358,9,1333,2100,1333,1333,1333,2100,2100,2100,2100,2100,213
43,5350,212,697,1032,3440,1423,650,3049,599,2358,2745,599,599,2271,535,2058,2358,2358,599,2100,2358,1615,2358,2358,2310,2310,2745,2310,2358,599,2358,2100,1333,2202,2745,2358,2100,2100,2310,2100,2358,2310,2100,2310,2745,2310,2310
44,875,2120,983,39,3440,1423,1260,814,599,1717,2169,1914,3340,3306,1164,3340,1199,1791,2082,1717,9,2434,1906,2434,2358,1906,2358,9,2358,1130,2358,1906,1566,2358,170,2358,9,580,1264,2169,1906,1906,1603,2358,430,9,2358
45,5350,1126,3389,246,1498,1165,258,1669,3007,3400,1061,3149,393,2443,921,2441,2294,625,2443,1852,2627,2441,2246,90,3145,2246,3145,3199,2381,3199,393,3145,898,2443,1124,354,393,393,393,1852,898,1124,354,354,3145,354,3145
46,5350,2270,1802,1112,1498,1356,1666,737,1498,979,1112,979,1865,2186,606,1852,2294,606,182,3087,3145,606,1502,1943,3283,606,1833,3383,182,1930,343,606,606,2208,606,1279,343,606,1666,606,343,1943,2246,1593,1593,606,3145
47,5350,1126,1499,1395,1498,1356,1666,1584,2479,1584,1674,2853,1584,2219,1279,277,1279,1962,1584,1341,3261,3304,973,674,1341,2853,3304,3383,1584,1356,11,3383,1593,1593,277,1710,3304,1593,3383,277,3304,277,3304,1593,1593,2853,1593
48,5350,1126,135,1380,543,1153,1790,3124,579,2957,352,63,1149,3407,579,352,352,263,2131,2536,579,2109,2536,3407,951,3407,1149,352,1995,579,3407,579,1995,2536,2109,1995,3407,2868,3407,1995,1995,579,1995,638,3407,124,638
49,706,2364,3389,1380,51,1149,2927,3124,3124,159,708,1275,1149,3407,3407,352,159,71,1755,2536,3458,3407,2536,3407,124,3407,3407,352,124,3407,3407,3407,1995,2536,2109,124,3407,2868,1478,1995,1995,1822,3119,1995,3407,579,3225
50,5350,1126,1499,1380,1935,2422,1379,3124,3368,159,352,3018,352,3407,579,352,352,2857,951,2536,3018,3407,2536,3407,951,3407,1149,2109,1995,579,2536,579,1822,2536,2109,1995,3407,2868,3407,1995,1822,579,1822,1995,3407,579,2536
51,5350,1126,1499,1380,1789,3198,285,951,2539,2311,708,71,352,268,3407,352,159,579,1755,604,604,604,3407,3407,124,3407,1755,1072,124,711,1755,1755,1478,708,352,124,124,124,1478,1307,1755,352,1478,638,3407,124,3225
52,5350,1126,3389,1380,701,3048,2943,2965,3368,2513,708,71,2420,268,296,71,3249,1072,1755,1307,1755,2217,3119,3407,124,2559,1755,1072,124,711,1755,1755,1478,352,352,124,1755,1307,1478,1072,1755,1307,1478,638,1478,124,2559
53,5350,1126,1499,2054,543,3198,1307,1072,1307,2886,1153,71,1478,1307,579,638,1307,1072,1443,1307,990,2832,1072,2109,1478,3119,638,1072,1478,711,1755,1072,1478,1478,2109,124,1072,1307,1478,1072,579,579,1478,638,1478,124,1072
54,875,305,2708,2107,941,2595,1934,188,2427,2301,99,3244,1508,126,2164,1130,2301,243,581,1717,1932,1130,941,1130,1603,1518,2959,493,2301,173,1217,126,752,1130,448,1063,3397,1130,2394,752,2542,373,1603,1603,3386,1063,1130
55,5350,2270,2708,2321,1106,1802,6099,2411,3394,2759,2776,313,2467,2866,3505,72,959,3254,2113,36,1765,1302,454,640,2467,2411,1436,2759,1559,1516,2113,658,5460,5590,1436,896,3394,1436,3437,1864,1436,5590,208,1436,1864,2873,2467
56,5350,305,2708,1025,2229,702,471,2672,383,471,471,2806,1878,925,1027,3411,1027,1336,3509,1906,1130,1027,3371,132,2301,1560,1560,3411,2301,173,1217,213,1791,599,206,1199,3440,2301,213,3379,3379,966,2338,1603,1633,2672,2223
57,706,1126,1499,3477,1498,1646,2707,737,2825,1973,1937,2853,915,1646,1973,5554,2642,1459,1354,3045,3178,1546,5554,2523,3178,246,5554,3383,1593,3178,1498,819,2574,1456,560,3045,852,2574,1593,3178,2523,2212,2523,2523,819,1546,2466
58,5350,2364,135,741,1498,702,258,1669,3044,1877,1877,3306,1016,3306,2403,3340,2783,2219,3306,2042,1111,2783,1504,674,3263,2403,2732,1377,1877,3306,2403,2517,3031,1490,2476,553,206,1877,3246,2732,2476,2732,102,1593,102,755,2403
59,5350,2178,2708,3451,2011,1408,2517,1701,2959,1973,978,258,1877,3130,1575,3334,2176,258,1676,407,9,2210,2574,3045,1333,1676,3400,1973,3266,1610,3400,3400,2574,518,1973,3045,2574,2574,1610,3470,1518,560,398,2574,2574,526,3002
60,5350,4802,6204,3425,2473,94,3184,1931,601,2108,2912,2912,2076,43,3077,49,2176,2875,2592,1035,94,94,1035,2592,2592,1875,1875,49,2108,2592,1875,1035,2912,1875,2912,1875,3359,2592,2912,1875,3359,2912,94,94,2161,2912,94
61,5350,2120,697,3425,2011,94,3184,1931,601,94,1760,399,3006,2428,703,2428,3163,2502,2840,2428,3142,94,399,3163,2075,399,2428,399,3006,2502,3006,399,2043,2428,399,399,2264,399,399,3006,399,2428,399,399,399,94,3006
62,5350,2364,6204,2204,1527,94,1507,1527,2479,2108,2509,1377,2108,2135,2135,1214,1937,2509,2840,1377,467,1377,389,2230,459,459,2108,1739,389,459,113,2840,2885,49,389,459,49,2840,389,459,2509,2840,467,459,1374,1527,459
63,5350,2364,3389,3017,1498,2047,285,737,1674,1759,2288,3304,3459,3028,908,908,1341,1312,908,407,2627,3370,635,2627,2627,1833,2717,927,1036,282,2466,908,927,407,518,1833,1380,598,598,1380,1796,518,2717,598,167,2466,1833
64,5350,1126,697,3383,1498,1646,2707,2378,2825,2378,2509,3270,3263,1646,2135,680,680,1646,2732,2732,566,3031,2732,3353,566,2934,3312,1739,680,566,2934,3263,566,2732,3263,2732,680,2934,3263,2732,2042,2732,2934,2732,2903,2042,680
65,5350,212,819,246,1498,2047,532,737,1674,59,2180,3149,3263,1338,737,1852,680,354,1147,1852,566,759,2732,59,3263,1124,3312,1852,1147,1124,354,3263,354,1124,3263,354,354,1124,354,2732,1228,1124,354,354,2903,354,354
66,5350,1126,2708,1025,543,965,726,543,320,3363,1620,3347,1861,965,2774,543,1861,2594,232,2594,435,1861,1861,1443,548,3345,3075,1792,1861,1443,2774,1861,584,1861,2594,2224,3347,1876,965,548,1861,965,965,2594,3347,965,2224
67,5350,2937,2708,1025,967,965,3489,1813,161,2735,694,3154,1861,129,1637,3154,3363,2050,1847,3363,1792,1861,161,1792,1792,2846,603,1792,400,1232,1861,3300,465,1861,1792,481,1792,1792,965,627,1792,1792,1792,2598,627,1792,3300
68,5350,3154,2708,4268,967,1963,3489,1813,556,1691,694,3154,3154,2735,1637,3154,400,2063,2913,161,2050,1641,1641,1293,904,2846,2735,400,2292,2063,2050,400,2050,400,1335,2050,3501,3300,400,400,400,400,400,2050,2735,2735,1065
69,5350,1850,2708,4268,860,1963,3489,1445,161,1691,694,161,435,884,1637,2215,356,1067,1797,627,694,694,232,1242,2192,1547,1547,1242,1242,1250,694,232,694,1242,3000,1250,1814,480,2192,2140,1928,1547,480,1242,356,480,561
70,1350,1850,2708,4268,967,3405,1067,1098,161,1691,1067,3154,3154,1350,1637,3154,1928,1067,1797,1242,1375,1455,1590,884,480,709,2735,1637,379,2063,353,634,379,3412,1445,2735,1194,2590,1800,34,379,1445,379,1445,1800,34,379
71,5350,3154,2708,4268,967,3405,3489,1445,161,3363,45,3154,1861,965,1637,3154,1861,2913,1375,627,1679,1391,3154,320,548,3290,2735,2605,379,3154,3154,3290,3154,1800,627,3154,1194,1445,3154,627,1963,2525,659,1194,1800,1194,1861
72,5350,1126,697,822,941,535,1766,1709,1694,1268,1476,1142,1476,1862,1476,1268,1476,3011,1160,1268,1476,2352,1888,1160,1139,1476,1268,1476,1862,1229,1268,1476,1476,1862,3449,510,1229,2979,1636,1268,1476,341,1636,530,1229,563,1862
73,5350,305,1017,2907,1793,2422,2007,3086,116,1,3086,933,1331,1862,828,1,2841,341,2494,1,1,341,341,275,2979,1790,341,1229,1862,1181,2837,2163,1790,3268,1181,1181,1229,3086,2837,1181,341,341,3086,3086,552,3086,3086
74,5350,305,1017,3233,1229,977,1070,2769,2902,575,1939,1142,1540,1058,2587,300,3356,575,1058,575,388,388,997,1939,2587,3200,575,1052,1685,1685,1357,1357,25,575,1357,1357,575,1685,1052,25,1925,253,575,575,1685,1685,2583
75,5350,1126,3389,2054,1229,2422,1790,3124,1,2957,3086,2795,1303,30,1303,977,1,275,275,1,1,1,275,275,1,275,275,275,2163,2163,275,2163,275,275,1181,275,275,275,275,275,275,2163,275,275,552,275,2163
76,5350,2120,3389,822,941,2928,1790,3124,291,2681,3086,997,30,30,3124,1058,1495,2431,3124,30,3124,977,3124,3124,25,25,3124,997,291,2493,2431,2431,3124,3124,3124,2583,3124,291,3124,2431,997,3124,997,2583,30,3124,2583
77,875,305,1017,1103,1229,3039,2163,1012,1531,1531,690,3255,1555,2155,2319,977,3255,767,1437,25,1,1,977,1939,977,25,2431,275,997,2493,275,1939,25,2681,2431,25,1925,2431,25,2431,997,1891,275,997,25,25,2583
78,5350,305,1500,388,209,716,229,2066,2746,575,1208,1208,3127,827,305,2855,3127,1208,3127,3127,3127,3134,827,3134,3127,806,255,255,3127,3127,3127,2746,2746,255,3127,3523,3127,3127,3127,3127,255,255,3127,3523,3127,3127,255
79,5350,305,609,3311,209,3039,1208,2066,1741,575,1208,1208,3127,2481,1208,2855,2713,1208,546,3127,3127,2746,546,3521,2356,806,255,255,2746,3127,1208,2746,2746,255,2746,3523,3127,2746,3127,806,255,255,3408,806,1208,2746,255
80,875,305,1017,3311,2360,582,2895,496,1741,575,1208,1208,496,2481,2496,2496,3127,1208,3521,3127,3311,3134,3521,3521,2356,3521,3521,1208,3521,2356,3248,3248,3521,2356,2746,3521,2356,2481,3521,3248,2881,3521,2356,2881,3521,1208,3521
81,5350,1126,697,5781,2355,2089,3184,2771,1710,3054,73,2277,2221,2195,1148,1558,2221,73,1148,1858,1452,52,2355,77,1376,1471,1840,2734,610,775,455,769,2221,610,2734,610,1471,2355,1899,1899,610,2355,77,610,1471,610,3054
82,875,2801,4192,2586,2586,588,1649,1267,2956,1129,2944,1974,196,1570,1108,2884,1570,1974,1129,629,3066,2315,1267,2120,2375,2375,2120,1129,2120,629,1108,2120,1570,2884,1570,2375,629,629,2120,629,1570,2375,2375,1267,1570,629,2375
83,875,2801,4192,2586,2586,588,1649,1267,2956,1129,64,1974,196,1570,585,2884,1570,3192,1129,629,3066,1129,629,2120,2375,2375,2120,1129,2120,629,1108,2120,1570,2884,1570,2375,629,1267,1267,2375,1570,2375,2375,1267,1570,629,2375
84,5350,2364,2708,4268,967,2774,603,2919,1120,1774,618,1048,1861,2346,1637,156,1120,2913,865,3766,2178,2525,556,1572,2525,709,2735,2397,379,1800,353,1963,1963,1800,627,2735,1194,2151,1800,1800,1800,2525,865,1194,1800,1740,1963
85,5350,1850,6204,4268,860,2774,603,4813,1120,1774,618,1572,1861,2346,1986,156,1861,172,865,627,2178,2525,556,1572,3265,1986,2735,2346,2178,1800,556,1986,2178,1800,627,2735,1194,634,1800,2178,1800,2525,865,2605,1800,1120,1800
86,1350,1850,2708,4268,967,965,603,1445,1120,2735,694,1048,1861,965,1637,156,1861,2913,865,2397,2178,1194,2397,3154,3363,709,2735,2605,379,1800,1861,1800,3154,1800,627,3154,1194,1445,1800,627,1963,2525,3154,1194,1800,1194,1861
87,5350,3154,2708,4268,967,3405,3489,1173,1067,1691,1067,2002,2361,1455,1637,156,34,3496,2913,67,416,1455,379,3489,1804,709,1804,3412,379,854,353,1963,379,379,379,2157,1194,379,1800,34,379,3489,3489,379,3412,34,379
88,1350,1850,6204,4268,967,1963,3489,1173,479,1691,694,161,3154,1455,1637,1015,1895,2063,2913,161,1691,1641,1641,1293,1641,2292,1586,1895,379,2063,2063,400,3501,2292,1335,3068,2292,2292,3489,1895,2292,3148,2292,2292,2397,379,2292
89,3782,305,2708,4268,3141,931,3489,885,1425,1691,1067,1015,3496,1455,1637,2002,34,3496,2913,67,416,67,379,3489,3496,768,67,3496,379,2063,2063,3496,2981,3496,2981,75,2981,2590,3496,34,379,3489,3489,379,34,67,379
90,5350,1850,2708,4268,967,965,603,1445,1120,3363,2605,3154,1861,965,3154,156,1861,2605,865,2397,2178,1194,2397,320,156,3154,1445,2397,2397,965,2397,1120,3154,1800,627,3154,627,965,3154,10,156,965,2397,1391,2397,816,1861
91,1350,1850,2708,4268,967,2774,603,1445,1120,1774,618,1048,2192,2346,1637,156,1120,2913,1797,3766,2178,2178,1065,1250,603,1986,603,603,2178,1250,1797,603,1250,1800,3000,2735,2735,2215,2735,2178,2178,2178,1797,1120,2735,2735,884
92,5350,17,2708,4268,967,965,603,1445,1120,2735,694,161,3093,965,1637,884,2035,2050,1797,161,2050,694,232,2846,1792,1547,2735,1792,379,232,1242,232,1250,884,3000,1250,2598,2215,884,1547,884,884,2215,435,2735,2598,1242
93,5350,155,6204,5781,3650,12,318,6040,628,3153,97,2908,325,2588,41,2588,2588,12,2771,330,2908,1180,2588,628,12,610,590,590,610,2277,1039,2277,330,2908,2102,2908,345,1039,6124,345,330,2588,628,2588,2771,590,12
94,5350,4297,6204,5781,1563,6257,3552,3823,6854,6573,6657,6812,6373,6140,5201,4515,330,12,6812,4431,5892,6555,4515,628,330,6555,6555,590,3519,590,1039,2277,330,3519,590,3519,1883,1039,6124,2277,330,2588,590,2588,1039,6624,12
95,5350,4297,6204,1380,1563,128,123,1271,123,3231,2265,2277,2265,2588,396,1239,77,1460,2771,2588,988,1180,2588,628,1460,3527,1004,988,128,346,1180,1311,128,1483,2168,128,2408,128,2852,346,1483,1239,2168,1311,1004,1883,2265
96,5350,4129,6204,5781,1563,12,12,12,1883,1039,1483,2908,1563,2588,41,1239,2588,12,2771,330,1180,1180,2588,628,1460,3527,1563,988,128,2006,1039,2277,330,2908,2289,3519,1883,1039,2852,2277,1483,346,2388,1180,41,590,12
97,5350,155,6204,5781,1563,12,12,3823,1039,1039,1483,2908,3519,2588,41,1239,2588,12,2771,2277,2908,1180,2588,628,1039,3527,1039,1039,128,2277,1039,2277,330,3519,2289,3519,1883,1039,6124,2277,1483,2277,590,2908,1039,590,12
98,5350,155,6204,5781,1563,12,12,12,1883,1039,628,2908,1563,2588,41,3527,2588,12,2771,330,2908,1180,2588,628,1039,3527,1039,1039,128,2277,1039,2277,330,2908,2289,3519,1883,1039,6124,2277,1483,2588,2388,1180,1039,590,12
99,888,155,6204,2953,2065,3048,76,724,207,3109,2870,2198,1675,210,1795,3122,2198,1795,2870,1684,1549,3308,1675,2870,385,2261,923,3158,724,2870,1549,1675,923,385,2870,3322,385,1675,2198,2418,2870,724,2336,1675,2870,724,3309
100,3608,4802,6204,2107,2065,2595,2639,724,923,1682,3056,1215,1982,2242,1010,3122,724,710,1595,1884,2947,2362,1402,986,3048,3109,710,3158,3158,1795,2148,2267,2651,2148,1795,2932,385,2148,2932,2267,1795,923,2267,2267,923,1224,1744
101,1350,155,6204,2953,2065,3048,76,2686,207,1100,3266,1209,2953,2339,1795,3061,1749,1402,1795,3061,2339,54,1795,2924,1905,2339,254,2339,3266,2339,968,2339,3061,968,1795,3061,299,2339,3061,3061,54,1905,968,2125,1209,3061,1905
