ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16
138,2807,2314,3481,2081,3122,3357,355,3443,1062,733,1142,3443,608,858,847,1322,2367
139,3404,1645,1336,2033,2937,1378,355,3443,1062,733,1142,3443,608,2323,847,1322,1685
140,2807,2016,3481,1050,3122,474,1220,415,476,1037,3259,704,501,2623,1950,3030,727
141,1149,2219,2940,2340,1855,2826,705,819,635,1657,1782,486,285,1306,2736,2811,1833
142,1149,2219,3124,2340,951,2736,705,19,635,2190,3106,486,2453,2516,2736,2853,1915
143,2882,2233,3047,2340,1257,2826,705,138,1544,2620,2620,670,7022,244,1697,1666,1833
144,2882,2588,318,3527,128,961,73,97,77,2771,1782,2771,1483,2588,2006,2734,2734
145,2882,2624,943,2289,128,1840,73,97,77,2771,1782,2852,1483,1708,1247,2734,2408
146,2882,1376,2423,3527,128,961,73,1705,77,2771,346,2852,1483,2588,2006,2734,12
147,2807,1498,469,2072,917,2627,3417,3443,327,3352,1114,406,202,558,74,74,3022
148,2807,2314,420,2072,1413,2627,3417,3443,1062,3352,1197,3443,202,558,692,74,3022
149,2807,2314,469,2072,917,2627,2355,3443,1062,3352,74,3443,202,558,74,74,2367
150,585,830,2075,1801,1855,3261,945,1217,2266,2266,2223,639,2029,3373,2596,2636,2690
151,2807,2016,2910,1801,1855,483,745,1217,1595,2759,807,2716,2029,2920,1286,874,2716
152,3404,1381,1760,1760,1421,1219,1860,2307,1860,2759,2223,639,795,1326,510,2950,2716
153,2807,2149,472,2372,1224,1669,1681,1224,1757,1681,1681,2311,706,2516,930,1681,405
154,2807,2149,420,2372,1224,1669,1681,3367,3418,1681,1681,3156,323,3128,930,1681,405
155,2807,2314,420,2372,3145,932,1681,3145,3418,1681,932,1390,1829,2516,930,1681,1025
156,3404,872,1258,1119,1984,3377,3419,3136,1996,2188,3408,1552,1059,1853,1552,2706,1253
157,2807,872,943,2600,305,3377,1435,3136,713,332,3408,3450,3104,579,686,1869,1253
158,2807,2314,943,2600,1435,3377,1435,3136,1996,332,3408,1874,3104,1853,686,1422,1685
159,2807,1570,943,1303,1435,220,1435,3443,713,1303,1779,2374,147,858,2163,991,552
160,3404,2318,1822,2340,1435,1819,1435,3443,2905,733,1779,3443,147,858,1435,1819,552
161,2807,2624,469,1119,1435,1819,1435,3443,2905,3356,1779,3443,147,858,1435,2905,552
162,585,30,943,1119,3404,3377,1435,3136,713,3356,1283,1074,3104,1552,1552,1187,1253
163,2807,1920,3072,1119,651,3293,2952,2762,2464,733,2203,3450,1437,2323,1552,3269,1253
164,3404,1446,943,1552,3236,3377,1816,3136,1370,3069,1370,1509,3104,1853,1552,1187,859
165,3404,3818,1258,1792,584,2262,2524,884,2140,2086,5346,2996,714,3345,3331,2086,2547
166,585,6000,4975,6664,584,1986,5099,7053,713,4268,3724,5749,2247,6572,6776,5759,5003
167,5767,4,1414,5826,584,694,6204,6776,145,2086,2547,2996,2247,1637,2086,2086,2547
168,1814,787,3481,2250,1330,355,3268,153,501,2652,608,3285,501,501,3071,3289,280
169,2882,787,3481,2081,889,2494,977,153,40,2652,1131,3094,1337,2652,2163,280,1253
170,1232,3356,1336,1119,890,578,1166,1298,2677,1298,2809,1016,341,1306,1697,833,493
171,585,1446,1612,1119,3365,2557,2557,1571,2698,104,1779,3082,1571,3039,2163,104,281
172,3404,24,3481,1017,1344,1624,2557,2396,880,104,2143,1976,1191,3039,1368,104,1984
173,3404,1446,3481,1017,3236,1624,1208,1510,1208,643,2143,1976,1191,3039,2143,2881,1624
174,3404,872,943,1017,3236,184,1208,3523,1996,643,3408,216,1191,2784,1017,582,2396
175,3404,2143,943,654,3236,184,1208,3136,1208,1221,3408,216,1191,2009,2119,2881,3190
176,3404,2143,2929,684,3236,184,1208,3169,1996,1221,3408,1019,1191,1853,1716,3127,2396
177,3568,2318,2577,6179,978,2530,2917,1579,3064,1190,2563,3425,2938,3373,1577,2115,5383
178,2882,946,1642,1512,3520,1428,73,1579,427,1190,3484,3425,2378,1659,205,2734,22
179,2882,2314,2545,1801,205,2530,73,1923,427,776,3484,406,2378,3484,205,205,22
180,2807,787,2146,1200,3017,2826,2295,1525,145,185,451,1831,185,185,84,2550,1330
181,2882,787,943,1119,2211,886,73,1799,97,2000,1782,2852,2852,1799,1239,2734,1025
182,1149,285,1642,1200,890,2826,1822,84,2905,185,1782,886,185,185,310,2581,1330
183,2882,1693,657,1792,890,961,5261,2580,2217,185,1755,4916,3659,6572,1563,2734,1417
184,3266,1693,1336,1792,1984,2580,2192,2580,2752,1430,1755,1792,2844,5346,848,3289,2752
185,2882,1915,2940,1792,890,961,2534,215,265,185,5346,1792,161,5346,3300,3000,6743
186,1149,787,2359,632,1435,2359,1435,861,713,550,2603,2359,147,632,3369,3098,2147
187,2807,1920,2359,632,1435,2359,2804,2359,713,3315,2603,2359,147,2927,3369,3098,2147
188,1232,4,2359,1200,1435,1986,2295,401,713,332,2316,2773,2568,2927,3369,2905,2147
189,3404,1498,472,2279,3122,1669,1516,1217,233,1508,3306,3466,1902,1306,2403,1092,2202
190,3404,1498,420,2072,1749,886,3334,3306,1002,3222,3306,1670,706,1306,1518,979,2719
191,2882,1379,372,3428,890,1944,1966,1944,233,371,3306,99,1027,2403,1966,2074,2202
192,2882,1570,1336,1101,1984,3492,2952,3136,40,3356,1755,3285,1191,501,1955,1984,1372
193,2807,253,2148,1050,1224,2678,3419,401,3512,332,1138,3285,1682,546,2667,2098,2367
194,2807,1087,1258,485,220,2678,3419,295,713,332,1138,3285,1953,501,2901,1058,2367
195,2807,3227,2334,1119,1749,1598,2301,1217,3012,2759,2318,493,2113,1306,1697,1994,493
196,3404,872,1258,493,1257,1497,1598,1217,3012,1747,2501,493,2113,2722,1100,148,493
197,1675,1227,2554,1119,1749,2651,1005,679,2953,1684,968,679,2394,1386,375,1212,2367
198,2807,2318,3219,3094,3094,2899,2295,2406,8,2692,2809,1689,3165,690,1200,3278,1227
199,2807,2318,2554,1622,2374,981,2433,2406,3125,1684,807,1889,2312,2623,3151,3278,1018
200,2882,3728,1336,1119,1749,2899,4917,153,233,3281,2809,887,3498,268,707,789,2718
201,2399,1793,2254,2081,3122,1793,3293,153,412,820,3424,3094,2987,2623,494,1837,280
202,2807,2016,3481,1464,3122,1793,3293,153,412,820,3287,3094,1337,2623,3387,280,1118
203,3266,787,2554,525,3122,3357,1076,3151,412,1733,1317,3094,1337,2623,3387,1837,1118
204,3404,1185,2929,684,471,3377,2106,3136,2184,2909,392,2184,1245,2009,686,163,3190
205,3404,1432,2929,684,2184,2184,717,260,2184,1778,392,3466,2696,2009,3488,1932,3190
206,3404,784,943,1119,3404,3377,1816,3136,1996,3356,1816,1074,3104,2009,686,1150,3190
207,1814,4,3481,500,3021,2678,903,1086,713,332,3081,1019,2927,2927,1505,366,2147
208,2807,1461,3481,500,3021,184,2295,2558,713,332,2316,1019,2927,2927,1505,366,2147
209,3404,1227,431,1050,3021,2678,1047,2558,713,332,3081,1019,920,2927,1505,366,2147
210,2807,196,1068,1843,2315,2460,2227,2315,2460,1190,2563,406,1902,3373,1577,2115,2073
211,585,6262,1775,2596,1855,505,2571,2636,460,2112,2563,1129,2636,3373,1577,2115,2095
212,3404,872,1775,1119,2241,3261,959,1217,460,1649,2563,1129,2113,3373,1577,2115,2095
213,2399,2314,1642,1512,2211,2230,1901,1519,459,3459,2620,3393,165,1527,3459,3054,1915
214,2882,2642,1642,6146,3267,3459,1901,2939,459,2108,851,3087,467,1527,3054,610,1915
215,2399,2853,1642,6146,2211,3459,705,2939,459,3459,1782,3087,165,946,3459,3054,1915
216,2807,285,1822,1552,951,1819,1435,1891,2905,1307,638,3407,285,3407,2536,1819,1253
217,2807,3356,3124,2340,1330,2494,1435,1891,3368,3356,1891,579,1452,268,3368,2581,1253
218,3404,2932,1258,2805,3122,1072,1435,3472,120,2780,990,579,2900,623,3368,2005,3035
219,1232,1343,1642,2612,2097,2262,161,479,3226,3405,1067,2292,1586,1443,2536,3131,3035
220,1675,3227,283,63,1435,2262,1929,2097,2924,2780,311,534,2705,1443,2855,3131,3190
221,1814,645,989,3405,2981,2262,379,479,3226,1462,1067,2292,1586,46,2612,3131,479
222,3404,1446,1258,2643,2823,1669,1669,2762,1724,3069,2203,3244,2029,222,494,2316,1003
223,2807,1802,2103,243,1457,222,4917,1596,1066,2518,2809,222,2518,222,1252,222,1265
224,2807,2314,472,2643,2823,1669,3384,958,759,2495,990,1689,598,222,3151,958,1265
225,2882,3325,3047,3121,1233,1899,1899,138,459,971,1782,670,2330,52,3113,52,459
226,2882,191,3047,2340,2641,886,1899,138,1544,971,3097,670,7022,2416,1697,182,459
227,2882,2642,3047,6146,2641,2409,1899,138,1544,2620,2620,3087,3431,1527,1697,2249,459
228,585,3818,2940,2072,890,2627,595,1075,921,3353,3249,398,598,558,2022,2022,2466
229,2882,2642,1336,1119,2937,2716,1076,3306,3353,3353,392,398,795,19,1286,1333,1003
230,1149,2642,2545,2344,890,1903,595,19,598,333,1036,1889,598,19,1889,985,1915
231,2807,2016,2545,2768,1457,222,1030,3151,2646,2518,807,3037,2518,1306,3151,535,2031
232,2807,2016,99,243,1457,222,2295,3151,3440,2518,807,3037,2518,1306,3151,535,2031
233,2882,3728,1336,1119,201,5254,2295,415,233,2759,2701,3466,2113,1306,1889,3278,1079
234,585,2064,1068,953,1257,3261,1063,2428,682,2112,2563,1730,2113,1000,1577,399,1568
235,2807,1793,2910,1760,1257,2542,1063,499,1000,2759,2809,2542,2113,1306,2873,454,493
236,2807,2064,1760,1760,3520,1338,1124,2315,682,2108,2563,533,2378,1000,1931,190,2690
237,3404,872,472,1552,1685,1378,2557,3443,1996,733,1779,1925,1571,300,1552,798,1685
238,3404,2823,472,1552,1685,1378,906,3443,906,332,1052,3450,298,1378,1552,1322,1685
239,3404,2823,943,1552,1685,2678,1435,3443,609,733,1779,3450,1437,2001,1552,943,1685
240,3404,1227,1775,2081,562,2370,2103,1217,233,3003,1238,3094,243,2370,3003,454,493
241,2807,1461,3072,92,1457,222,2295,3151,118,2692,2809,887,3498,1306,2031,650,2031
242,2807,1920,1258,1445,890,456,1054,3167,233,3003,1238,3244,2835,3048,3003,1932,2851
243,1149,2326,1642,6664,890,2764,3413,3413,2217,3189,1783,2852,2514,2559,3079,26,2409
244,2882,2624,455,3121,3413,1840,1899,3413,1544,3189,1783,26,2514,2559,819,1909,2409
245,1149,2624,100,3484,890,1840,705,3413,1544,3189,1783,26,2514,2559,296,2811,3143
246,2882,2642,469,164,3283,138,1307,3493,1544,1307,2110,1756,2453,2347,1087,2543,3022
247,1149,285,100,2072,1642,2627,3417,138,2570,3352,1114,1366,1829,1499,1829,2543,3022
248,2807,2642,469,164,1114,138,3417,138,1166,1236,1114,2597,202,1499,202,2543,88
249,2882,2853,1642,2072,890,138,2469,138,2570,956,770,244,2514,623,956,2249,1833
250,2807,2047,518,1512,890,2843,745,1977,48,539,2386,3443,3431,1306,2386,539,3444
251,1149,2047,518,2189,890,138,2189,1977,233,956,2523,887,7022,623,252,539,3444
252,3404,1461,2035,3405,3131,2262,1350,884,145,2236,2052,2284,2052,2236,1414,3405,1794
253,3404,645,989,5375,5141,2262,2524,479,2157,2097,46,2292,1586,46,1462,3131,1173
254,3404,3405,2035,3405,2097,2262,2664,479,3226,3405,46,2292,1586,2236,1910,3405,3035
255,3404,24,2396,1017,3236,474,1816,3286,1716,3069,2143,3069,331,2009,1716,582,1624
256,3404,2143,3219,1017,3236,1624,2555,3286,1716,3069,2143,3069,331,3491,1716,3511,732
257,3404,1446,3219,1017,3236,474,1816,3136,1716,3069,2143,3069,331,2009,1716,582,859
258,1814,65,1642,2279,890,2826,1036,3472,2097,2949,965,3472,3403,2516,2820,2550,405
259,3266,2642,518,2970,890,2008,2820,2507,2924,2780,990,3472,2183,2820,2820,2550,3035
260,1232,2642,518,2970,890,1153,2820,2097,120,2949,965,1153,1024,1668,84,2550,1025
261,3404,2876,1258,485,3404,3377,3419,3136,1996,1874,239,1874,1442,1853,1552,1322,1685
262,3404,2876,943,2600,3021,2678,3419,3136,1996,1874,3408,1874,1059,1853,1552,1322,1685
263,3404,872,1770,2600,3404,3377,1816,3136,1996,332,3408,1552,1442,1853,1552,2706,939
264,2882,2149,518,3406,890,1137,3417,19,2026,2041,3417,1935,165,19,2041,833,252
265,2882,2642,372,2767,890,2651,1966,2924,2924,2832,990,3244,2183,2209,2820,937,2924
266,2807,2314,39,349,19,886,3417,19,921,1680,3106,1427,530,19,252,1868,33
267,5229,3818,2577,765,1749,1618,362,2406,29,1684,29,1706,918,207,1634,382,1358
268,5483,3571,2577,2070,1749,1618,362,2577,3125,1965,2385,2747,2312,587,2385,1358,2719
269,4971,3818,1003,4389,1857,1618,362,5277,1069,2686,1351,5291,3309,587,2385,1358,1003
270,3266,1498,372,1512,890,1338,3227,3139,1697,1450,2809,551,165,1787,1697,833,493
271,3266,2318,139,2953,890,2679,1124,679,3353,1450,2809,2281,165,1527,1697,1527,459
272,2882,1498,518,2779,890,578,1124,1697,48,956,2809,2281,3431,3009,1697,578,3016
273,3404,1446,943,3356,2431,2736,2557,68,609,3356,1779,1779,2431,3039,2163,798,1253
274,2807,3356,3124,2583,2431,2736,2557,68,40,3356,1779,2387,2431,2575,2163,767,1253
275,3404,1446,943,1552,798,1969,2557,68,609,3356,1779,1779,2431,3039,2163,798,1253
276,2807,2314,1775,1801,917,1669,3227,1217,1848,2911,170,5109,2113,2370,2632,1092,493
277,2807,1177,1760,1801,1063,779,1124,1217,1877,1508,170,2542,507,1306,3246,1878,1079
278,2807,1498,2024,1512,307,2370,3227,1217,3012,2911,1174,1016,2113,1306,1123,3278,1079
279,2882,293,1642,1622,307,2494,458,153,2495,2495,439,887,1337,623,3387,789,1265
280,2807,787,1642,525,890,222,118,3151,412,2495,515,887,3498,2623,707,650,106
281,2807,1177,372,3428,890,2494,458,3151,3440,2518,106,887,2518,623,707,190,1265
282,585,3356,1612,1119,736,2713,1816,1612,713,796,1976,929,796,1853,2713,516,2682
283,3404,338,1336,1119,3365,5254,488,3136,1724,947,5705,3466,2705,2371,3396,2455,2682
