ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37
10,2149,4447,5518,715,413,2602,7033,208,1131,3546,4194,2364,3980,6391,4584,6391,6391,6332,6607,3727,3727,858,4802,6607,1095,3727,658,6280,858,590,6280,4511,3980,2308,6393,3810,4511,5214
11,170,2077,3004,2560,420,4847,2550,1675,2707,7015,7015,7015,7015,3585,7015,7015,2285,7015,7015,7015,2834,7015,2021,297,2021,3231,2834,3231,2021,3231,2021,7015,7015,2021,2021,7015,7015,7015
12,170,4272,3112,1984,1598,1460,1585,5371,2603,2603,2603,371,2603,1585,2603,911,2603,4628,911,473,2231,2603,4114,2231,4628,2408,473,2771,4628,2245,1011,4628,2834,396,3048,2245,656,2603
13,948,4626,2118,1984,6595,1460,110,5371,2762,1460,2660,6064,2334,6909,1585,4628,987,4628,865,473,473,3305,257,3305,5507,3896,3896,155,4628,3231,3896,2265,2146,2265,6088,3896,2265,2131
14,170,4272,6830,549,2338,1460,6842,3441,2603,1460,2603,3441,2408,473,2603,2339,2408,4628,1732,473,2231,961,12,2408,257,2408,473,2771,4628,1732,3441,257,5397,396,1389,2245,1732,1389
15,3556,1438,86,3098,3231,5366,3102,4957,2560,824,1077,3441,2804,2804,1825,3315,2804,3315,3315,3315,451,3441,3441,3315,3315,5013,961,242,1474,1483,3441,4280,5902,2804,2289,1483,1483,123
16,948,4118,6830,2804,835,1460,1883,1483,3527,2289,2289,2289,2804,2289,2289,2289,2289,1483,3441,2289,2289,2289,3441,2289,2804,1483,2289,1483,2289,1483,4280,4280,2289,4280,2289,1483,3441,2289
17,6281,2708,5892,2560,2433,1265,769,1460,2608,824,1799,2608,2168,4631,3468,2608,2608,2608,2608,1318,1231,2608,1231,1231,2608,2608,3315,2608,455,1231,2168,1231,2608,2608,2289,1231,1231,1231
18,170,4118,3883,1686,132,1837,2441,3442,427,459,3459,2476,2476,1080,2476,56,2476,56,56,1080,3028,2355,2089,2089,2089,1080,56,2089,56,56,3224,3444,3224,56,282,56,56,3459
19,5391,4515,4719,1809,1465,421,2441,1739,1022,387,2933,1022,2355,2614,2355,354,1739,56,2355,3028,3028,2355,391,2108,3028,3224,3028,3209,3224,56,2355,202,3224,391,2355,391,391,391
20,6602,1882,4719,2310,2578,2382,3133,56,11,455,1317,56,1915,56,59,354,56,56,56,56,56,56,83,56,3459,3459,3224,3224,3224,56,3224,3224,3224,3224,3224,56,3224,1914
21,1218,6034,703,170,474,1950,331,6416,5732,4983,4586,855,1505,3578,6194,1613,994,3289,6194,6194,1505,3210,1505,1613,1613,6194,6922,3289,1500,2092,6457,4983,6457,1500,3275,4303,3275,3275
22,3073,2708,3545,2875,2242,1655,2565,339,3150,2755,2166,1325,1500,1325,2755,1325,3286,885,1325,132,1325,2351,2728,1509,3286,1509,2460,1325,1325,5468,5875,1509,1325,4763,132,1325,1325,1325
23,6281,1330,6094,2699,2531,1918,3488,6969,284,6241,2880,855,1505,855,2226,1613,1509,1505,855,2226,1505,855,3234,2723,4983,6194,3234,5018,1500,1613,1500,1613,1613,1500,1500,3234,2723,2723
24,1838,2708,3791,1966,413,2603,2147,1095,1095,1095,787,1095,589,787,143,1095,1095,1095,2447,3253,787,3253,787,2650,1095,1095,1095,1831,2185,787,3021,1831,2650,3229,1831,2568,1831,787
25,1218,5580,6685,715,1316,3098,2634,3025,2568,1047,2166,787,1535,787,2146,3089,3229,787,952,787,787,787,787,3229,3025,3025,143,143,952,787,3253,3089,3229,3229,787,3089,787,787
26,170,155,1100,457,3518,6590,2147,1095,1095,1095,3089,1095,1535,787,2603,3025,3229,6164,2447,1093,3025,3253,3025,2650,1095,3025,1095,6164,4558,1831,3253,832,2650,3229,1831,3229,832,6164
27,170,2510,703,1837,1364,1908,2466,1699,1699,1312,1216,3386,1341,1945,774,1341,6154,553,1945,3207,2680,279,553,530,6154,1298,6154,6154,6154,186,3155,5773,1379,3189,344,1598,1695,2269
28,170,4925,2737,2176,2836,1908,1079,307,1400,3111,1971,1971,774,344,3386,1379,873,530,2437,1379,2969,873,33,2437,1103,2437,2437,224,3111,3111,2437,2437,2437,2437,3101,2437,2437,3111
29,6281,4965,6094,48,87,1908,2689,1699,1699,1216,1216,1811,1216,3448,2298,1289,3417,3052,3198,3198,5773,3417,1289,13,6154,2825,1289,5773,1781,1789,2825,5773,1386,6154,1289,2433,1289,2825
30,1218,4760,4702,891,2175,1878,442,442,2093,2422,1473,1473,6263,93,2536,1896,3454,222,7057,1629,1833,1815,1433,2230,2619,2281,1787,820,1896,4464,1229,4464,1896,4464,2230,1433,3444,235
31,170,2708,5518,1837,2740,1160,1264,4996,1888,2013,3263,2515,680,563,563,5698,1787,5698,1787,1787,3449,1787,2732,1787,3028,5698,3449,1787,2907,2013,3449,4464,1760,294,2013,5698,4464,4464
32,170,2848,703,1837,2578,448,2403,1588,2907,2403,2302,779,779,93,2950,2783,505,2619,2619,1833,2843,2968,1760,1760,1760,2619,3444,3205,3099,1717,93,2619,1261,1652,1261,1433,1717,1717
33,948,4118,4719,7004,6350,5211,4945,385,3208,4784,4783,1132,3208,3064,3208,1929,3633,3208,5283,1974,3208,3208,1459,1459,3503,3208,3208,2165,3503,2642,3503,5736,3503,5754,1974,3503,5060,2181
34,6510,216,2978,41,835,1458,3062,774,240,3153,2792,1744,1452,2792,2967,1744,240,1452,367,4441,1875,3053,1875,240,1352,5458,240,240,240,1875,4441,240,1452,2724,240,1875,1180,1923
35,6510,6013,6830,2656,2791,1439,1432,5498,5241,6437,3346,636,636,5904,1949,1684,1949,1078,1226,1684,636,636,2724,2724,1684,1226,3208,657,1684,1557,2724,3074,1557,2967,6373,2193,2724,1957
36,170,4515,703,1837,1820,605,1987,3006,1113,1118,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,461,1987,1987,1987,1987,1987,1987,1987,1987,461,1987,399,522,3634,3011,461,2463,461
37,3073,267,353,1498,1231,1068,2112,1781,1280,1280,1302,7022,1994,1257,2124,1994,1994,1994,1994,522,0,522,1994,2897,522,340,2552,522,2897,1697,3356,2607,2607,0,95,2607,2869,1415
38,948,2848,645,1529,1403,1386,2373,501,1258,3281,1987,173,674,1940,173,908,173,173,173,1156,3130,2294,5729,3130,2014,1697,3490,2014,3130,3130,1905,5599,2252,3490,1553,5599,1553,3490
39,170,4515,703,1006,371,1878,1592,2229,157,1301,1902,2306,2011,2073,2073,2306,48,1498,2011,4460,978,1907,1498,1498,1301,1421,1896,6002,1896,4460,4460,1498,121,1599,1421,1469,1599,2995
40,2940,5580,1068,3183,474,2134,2732,1504,1504,978,2073,487,2073,102,1701,121,6600,2914,1599,121,2914,1599,1599,487,666,487,666,3045,700,102,1504,1610,3045,1599,1599,700,1599,51
41,2062,4925,2737,1174,2058,360,1820,6814,1431,4544,978,1431,3307,978,978,564,978,564,978,978,978,978,978,1431,978,1636,940,978,1431,0,666,0,978,666,1431,1896,1431,1431
42,948,4118,4719,170,2234,410,1030,599,1379,2959,1263,1903,1263,2462,3214,2042,2283,2283,2283,507,2501,20,1458,2283,1852,507,1097,3429,2745,246,20,507,2116,2030,2546,2462,1263,2462
43,170,4931,3484,1837,1728,2946,1726,650,1097,3526,1073,536,1263,1973,1263,1263,1263,1973,1973,1973,791,1263,1973,791,791,791,1263,3086,1973,3649,2055,1973,439,439,2055,3086,1263,4584
44,170,4931,2118,3462,3483,1878,2229,429,306,2150,1408,2699,1097,2219,1914,1775,1906,2745,1852,754,2501,1852,1852,378,1852,3086,1268,1914,2745,3263,2593,398,1852,1852,2850,1891,754,398
45,170,4515,3545,148,3463,2821,336,59,1230,2821,336,336,378,336,1877,336,336,1877,336,1973,693,2690,2690,336,3312,3312,2690,1877,336,378,3312,2470,3312,1877,3312,1036,3312,3312
46,170,267,5434,4293,2575,1908,1134,1401,2156,1134,3517,793,3222,3222,3261,3222,3261,88,3261,2156,3261,3261,3261,3261,182,1312,3261,3261,2134,3039,3261,3039,3261,3261,3261,3326,3133,3261
47,170,1438,703,1837,1231,2854,3149,395,2042,11,2650,1591,2650,2650,427,2398,1602,1735,2821,1602,957,2995,2933,11,2398,2853,2650,3261,2040,2731,973,957,3261,3261,512,2731,3052,2731
48,948,2848,4875,2131,1231,1460,1995,1995,1995,1995,1995,1995,1995,1995,1995,159,1995,159,1995,1995,579,579,1995,3407,3407,3407,3407,159,2970,3407,2605,159,1064,159,159,1766,159,159
49,170,6814,4069,148,1231,1908,579,321,2110,3407,974,3407,3368,3407,3407,2830,3407,3407,3407,579,579,2978,3407,3407,2978,3407,3407,2978,3018,2978,2978,2978,579,2978,1869,3407,954,2978
50,170,4515,703,1837,1231,1837,1995,1995,1995,1995,2536,101,2830,2857,2857,2830,2830,2326,1616,101,101,101,2830,101,101,2326,1616,1616,101,101,2830,2978,2830,101,2830,1766,2109,101
51,1838,4272,3484,2560,1116,2065,1759,604,63,1755,2008,1995,3407,3407,71,3407,3407,2780,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,3407,638,3407,2676,604,3407,3407,3518,3407
52,170,782,1100,1837,1953,2980,2964,80,1379,4688,2267,3051,2767,1788,1788,1755,3198,3109,3198,3198,3198,3407,3198,71,3407,3407,3198,3018,3198,3407,638,1072,1443,1443,159,3407,3407,3407
53,170,6886,3004,2372,2125,84,2074,1122,2074,2074,2830,1443,2830,2830,1788,2830,2830,2830,3198,2830,2830,2830,2830,3407,2830,2830,1616,3407,579,1478,2830,579,579,1153,159,1153,579,159
54,1798,6814,914,1821,2063,547,1082,581,2937,2947,2301,1560,2894,4055,2835,2261,2261,1560,2835,2894,1468,2894,2894,2894,231,2261,634,132,3272,2894,998,2542,3272,3129,2261,132,3272,2894
55,170,4515,2394,1984,1598,721,3797,4002,4146,1077,6440,4688,4688,1077,4704,4688,4688,6715,4688,4002,1994,4704,4688,4688,1639,4688,1994,1994,3589,1994,4704,1994,1994,4704,4704,1101,1077,1077
56,948,2708,5521,2002,1691,2913,2954,2777,1230,1631,527,22,2369,1812,206,206,206,2761,132,132,206,132,132,132,4850,132,634,132,132,231,132,132,132,132,132,132,132,231
57,3432,3100,7033,48,1501,3379,2779,1781,1803,2180,1448,1448,3313,102,2054,978,246,1672,246,720,2879,225,610,38,3045,2546,1672,2546,2897,225,610,2100,225,3045,3045,3045,2616,246
58,170,2708,1100,2319,501,1484,1161,157,1490,3435,1504,6338,3222,966,93,1278,3442,1737,2086,2592,966,966,749,779,966,749,2294,1746,966,1975,93,2686,5887,966,1278,2306,966,1975
59,948,1350,3363,2131,1120,1548,2229,2229,245,245,2443,2443,407,2916,3011,2916,2763,1016,1205,3123,1205,4560,2967,3263,1016,1842,1842,246,3123,246,1066,3421,3203,5866,420,1000,3421,246
60,170,6886,3545,1978,4720,1458,1931,3126,3152,5295,4714,3152,780,2930,1901,780,1901,1901,3373,2592,2592,3373,3373,6903,2592,2592,3425,613,613,3425,1652,1577,2542,915,915,915,613,3291
61,6598,6013,6094,2798,835,3142,3353,2028,980,1115,2075,915,780,578,641,2075,2816,3536,2586,2542,1877,2542,915,2542,2542,2542,2542,2542,578,2542,2542,2542,2542,915,2542,2542,1073,2542
62,170,4118,4719,1877,835,1333,1333,3126,1527,467,3184,3152,3184,1389,776,776,2061,776,776,2592,2592,2592,613,613,2318,2592,2122,2920,2061,2061,1044,2061,2509,915,1776,2592,613,1044
63,6510,2708,4687,48,1231,2054,3298,1751,1364,723,61,1518,3368,2793,1977,2793,2793,2836,2793,701,1518,1751,1126,1518,2793,1404,384,2260,2042,2793,1751,3199,3044,2793,3313,1554,1518,2882
64,170,4272,3484,2560,2433,1908,3298,125,847,2934,160,2431,2551,2934,2934,2934,2934,2934,2934,754,2934,2934,2934,2934,2934,1317,3096,2934,2934,2934,2934,2934,3044,2934,2934,2934,2934,2934
65,170,4931,2118,1837,2058,1908,2136,1264,2042,1399,2732,2153,680,524,3031,354,680,3263,2903,754,6845,1751,680,680,3031,3031,680,2934,2903,3031,3044,3031,3044,3044,2934,2903,3031,2934
66,170,2708,1100,1966,2836,1789,777,1792,2554,1725,2288,1838,1838,2554,2125,1838,232,603,492,1838,1838,1838,1838,1645,3331,1792,45,1861,1792,1838,2060,1838,1065,1838,45,1838,2733,1792
67,6598,2096,1129,41,2733,2427,2009,2009,3251,2361,2817,1443,216,3247,3300,3026,847,714,3026,3300,3300,2525,2525,3300,3300,1792,3300,3300,3300,232,1443,452,3026,3026,1971,2612,2612,2612
68,170,2848,353,2131,3111,3363,3363,2268,1335,1232,465,465,1462,1831,465,197,197,2270,197,465,465,1462,197,197,885,1792,197,803,3014,197,1335,2151,837,449,465,465,3206,3206
69,6510,1439,3093,2500,1403,2427,592,481,1242,1242,1242,1804,2590,5896,904,2086,904,5896,2243,2247,1678,2243,5896,5896,2243,5896,5896,5896,5896,1008,1084,1084,1084,5896,2810,2810,2243,5896
70,170,2708,645,2663,480,1590,2035,2236,1861,2835,2631,1804,542,542,2236,561,2236,2236,904,2247,2522,2522,2236,2236,122,2236,904,311,2236,311,2236,2236,1572,2236,2236,2236,311,311
71,170,2468,4687,2131,1120,926,2810,3161,1861,3154,3075,2525,3168,3154,2810,2733,361,2733,2735,2733,1804,2525,2733,2810,361,2733,2525,2733,2733,1804,1804,2733,2733,3290,3290,2733,2733,2810
72,2062,6034,703,1837,2578,448,1761,2268,1269,651,2812,40,40,90,1130,1622,1622,1622,1032,1622,2463,3384,341,1509,2305,40,623,1757,2950,623,3574,340,623,623,623,623,707,623
73,2940,3100,1916,608,1245,3706,2440,2273,2863,914,914,1229,295,914,914,1622,1229,914,914,1622,563,914,914,1636,914,3357,914,1509,1340,914,914,1509,1229,914,1636,114,707,1622
74,6281,6013,3545,958,433,1882,2551,2088,1,3036,2660,3356,753,1779,3036,753,3356,753,2557,753,753,753,3027,3027,2896,2728,1324,1324,3485,685,1509,1891,3450,2728,881,753,68,1891
75,170,4272,6830,2131,1403,1809,284,394,284,1435,2464,284,881,2464,1809,1218,539,2864,89,388,1540,977,2583,977,3205,2534,1139,1340,1340,2252,1139,2163,2583,3091,2121,1540,552,552
76,5391,1330,2166,170,2242,1142,506,91,826,2928,2613,564,1357,2896,2163,2163,1748,608,5,537,1984,2962,291,291,291,2962,537,1984,940,2163,1984,2163,2583,2163,2557,2962,3039,2121
77,2062,6034,5434,958,1403,1142,1552,1277,3115,881,1142,881,881,89,881,82,881,881,881,881,881,881,881,881,881,881,881,881,881,881,881,881,3268,881,881,881,881,881
78,6281,2630,2166,41,3465,1198,305,2746,2290,2328,496,1208,239,582,1874,255,255,1328,1208,255,1208,1208,1208,1208,1208,1208,3127,1208,1208,1208,107,2051,1208,3144,107,1853,1150,1040
79,6281,4965,2166,1821,198,2713,496,2746,2881,2328,496,1119,643,643,1948,643,1948,643,1208,1948,643,643,643,1821,3286,2328,572,643,239,643,2504,802,3286,1208,572,1853,827,1150
80,2062,4960,597,1821,198,496,3274,3248,2290,2290,496,3144,1948,3144,1208,1328,1948,1328,1208,1208,1208,1208,1208,1948,20,1208,3127,1208,3238,1624,1948,3144,1786,3185,1208,234,1948,935
81,170,4931,5892,1837,3142,3429,2934,2852,697,3073,2423,3126,3054,2727,3054,4195,3425,3425,4195,1603,2858,2938,421,3595,1603,2637,3383,1603,3383,6214,421,3383,6214,6892,6214,6214,3383,6214
82,170,3504,703,1837,2120,170,778,1579,1044,631,1843,2887,5134,1802,1843,2120,1843,2120,1157,2120,1843,2120,2120,2120,3201,2120,2120,1157,2120,2120,2120,1843,1843,2120,629,2120,2120,2120
83,170,6034,703,170,1172,170,778,1579,2375,505,218,2887,1659,585,3201,505,1843,585,1157,585,6626,605,2120,605,605,2120,2120,1157,2120,2120,2120,2120,1659,2120,1801,2120,2120,2120
84,2062,3100,780,68,2590,5413,1986,904,492,348,1445,1804,361,3290,2605,2605,2605,965,2605,2913,2605,2913,451,2913,2913,2605,2605,2605,2605,2605,2913,2826,2826,2605,2826,2826,2605,2826
85,6598,1439,1129,1202,1120,1989,3698,2708,1989,1740,2666,1740,2919,320,865,2666,2605,865,1963,1963,865,122,2605,865,865,1792,865,2666,865,1963,865,865,2151,965,2666,2919,2151,1581
86,6598,2096,3093,227,480,2284,1128,45,1335,1547,2224,2243,1462,2708,379,2605,1293,1814,2605,965,2605,2913,2913,965,2871,2913,2871,2913,965,2097,1335,965,2913,965,2826,965,45,2871
87,170,748,2505,2131,1120,709,488,75,67,67,2981,948,948,67,2981,2063,627,2981,2063,2391,2981,2981,2981,2063,34,2167,1293,1895,2981,2981,67,2981,67,2391,5141,67,2167,2167
88,6510,2096,644,1351,480,2054,845,394,1529,67,1173,948,479,1173,161,1905,1905,161,75,161,2167,1173,2981,2913,5775,1895,1641,1895,2346,1601,3148,1683,2167,2292,1895,491,2167,1895
89,3556,4158,1129,1821,2248,2284,2248,1137,2475,1804,739,1804,829,67,2981,1747,2555,884,1065,2981,2981,2981,2981,3489,173,1065,865,2981,2981,232,67,884,392,4727,1678,34,592,3302
90,1838,4515,1111,2131,1403,2635,3164,272,2635,3363,2215,1391,2397,659,1128,1391,1817,1861,1817,320,320,816,893,965,965,320,865,320,865,965,17,1332,1386,320,2666,1847,1332,1332
91,6382,2708,353,1966,1403,948,3698,2215,2505,67,659,353,1128,1411,1411,1411,1128,1411,1411,1392,1411,1411,1411,1411,1411,1590,2178,1411,1411,3093,418,2397,1411,965,1547,1392,400,1986
92,170,2848,353,2131,480,2524,3698,67,67,67,1904,2361,1774,348,2050,2050,457,5213,2050,2361,457,2361,1293,481,457,1590,457,481,1232,1232,1232,2084,1232,457,3346,457,1547,2524
93,948,2708,6830,7051,501,1789,2661,6624,1226,4841,3838,3519,1180,6909,2786,6909,1180,117,1180,5398,2006,1180,12,6040,1095,2908,5201,12,1069,12,4118,876,12,2908,1069,6909,2908,3519
94,170,6886,6094,1278,3503,1458,1532,6922,2608,26,6774,77,97,3413,3413,4129,97,12,1180,97,3519,1204,1180,5907,1180,4114,4387,12,1039,310,3985,5603,5269,2908,2661,2661,12,4617
95,170,4118,4719,2198,2671,3338,1883,1095,2608,4129,832,1239,2608,1585,1585,1585,97,1239,1311,3102,1239,1585,1239,3102,6684,3519,952,97,1039,3102,3985,7015,1460,1705,1311,1204,1460,3519
96,948,4515,3828,97,2338,1460,1532,4648,128,1460,218,12,1460,12,12,2277,2277,12,2277,2277,1460,2277,12,2277,2277,12,2168,2277,2277,2277,2277,2277,12,2277,2277,2277,2277,2277
97,5391,1438,703,2804,366,1458,2661,4515,1231,1563,2408,3527,1231,628,12,128,128,4262,128,2277,128,6459,6555,1311,4648,6555,2588,2588,6555,2588,2588,1460,12,1460,1883,2168,12,5386
98,170,2708,5518,5917,3373,628,1883,5549,2277,1460,5892,2277,325,2277,2277,2277,2168,2277,2277,2277,2277,2277,12,2277,4515,4114,2277,2277,2277,2277,2277,2277,1460,2277,1460,2277,2277,2277
99,6510,4626,4837,4479,3291,2054,2267,385,2261,724,2261,724,2261,2564,2379,724,2261,2564,2261,2564,2261,2015,661,1454,1983,2564,1781,1454,1684,2564,1617,724,2564,2564,2029,1983,2564,1549
100,1218,4925,3723,5220,6953,2602,845,4219,4468,2540,3174,3366,4708,2932,2932,2932,3366,2932,2932,2627,3366,3366,2932,1849,1844,2368,6462,2932,380,1484,207,1844,2932,1844,2316,2916,2205,2565
101,6510,216,3093,175,1949,2616,1432,2639,1684,2767,2767,3753,2767,3636,3636,3636,3636,3636,1781,155,1432,3061,2870,1278,2870,2564,5904,1358,1828,3636,3636,5798,3636,1528,4819,2183,1205,4775
102,1838,2708,3791,1966,1100,2743,1561,1027,697,471,941,363,1195,1195,2729,1135,363,2519,2677,363,2602,566,108,779,363,363,2449,213,363,1135,1966,363,363,2806,363,363,363,363
103,170,3100,6094,1809,1758,907,1082,99,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363
104,1849,6814,597,1837,1596,1184,3001,3610,1103,2539,1302,363,588,2796,2403,39,6,1433,1223,363,3101,61,363,363,363,363,1223,363,2745,1223,3101,363,324,321,363,363,1444,1896
105,1218,4960,597,1821,501,3169,2829,2835,3183,586,586,2801,580,3384,3384,850,3177,2801,2220,2710,1250,929,1187,929,2305,4029,1187,5383,5755,687,2305,929,2643,2305,3670,1426,1816,766
106,3556,4765,597,1821,355,3159,316,3399,3399,3399,3399,885,2655,3210,3210,1881,2490,2490,929,3399,2490,3210,2214,929,929,3430,929,2868,929,6398,2464,6398,929,6201,929,197,929,2145
107,6281,2708,1129,1821,1869,2999,1821,3274,1373,2655,2166,885,3259,3210,2333,485,2490,2490,2558,2259,1881,3259,653,929,929,929,485,3275,485,6398,1442,6398,2337,1442,6398,6201,316,316
108,6602,267,3093,500,2248,4268,3179,1293,1293,3131,1293,3131,5375,561,3131,3131,1445,709,2996,1445,709,709,1445,2996,2996,6126,2996,2996,2996,2810,2996,2810,2996,2996,2810,2996,2810,6827
109,6598,1330,644,41,1691,299,3698,710,5408,2361,1291,479,479,3154,584,1209,3501,1740,479,2361,1339,2361,1637,1524,1339,2361,1209,309,2361,1637,3766,1332,621,479,2810,6743,1332,6743
110,6602,4515,3545,1006,1033,3183,1082,4268,1989,7053,1185,1587,1130,3766,739,739,1445,7053,2996,7053,7053,709,4813,7053,2996,1637,884,4813,4813,1637,4813,4268,2996,2224,1637,2996,2500,884
111,170,2848,1016,1984,3111,135,3222,2324,1865,135,135,2095,3284,1409,3175,3284,3175,3175,3175,3175,3175,3175,3175,3284,3175,3175,1498,3175,3175,3284,3175,1002,2229,1002,3175,3175,2340,3157
112,6382,2708,3093,2119,3262,1123,3007,2068,1438,853,4868,3411,697,1174,2958,490,490,2983,2779,2779,3175,2779,3284,1125,3157,3284,2437,2437,2779,6874,3175,1055,3332,1055,2340,279,2340,490
113,6281,1330,3004,1775,366,2602,925,2947,1409,3175,3175,793,3175,1409,3175,2874,3175,2874,2874,3175,3175,3175,3284,3175,3175,3175,3175,3175,3175,3016,3175,3175,2607,1134,3175,3175,2340,1134
114,170,4272,1399,3469,2058,1908,2955,2549,2896,2928,2165,2013,3464,3464,3464,3263,43,1735,2859,2859,43,1196,2859,1196,2859,569,2859,2859,531,531,2985,2859,1908,2859,5746,2859,341,2985
115,170,4931,703,1837,2120,605,2115,3070,43,928,277,277,43,3201,486,7022,43,2690,2690,3304,1522,2042,1522,2233,1522,1522,1522,3304,2306,5567,1522,2233,1157,1522,2315,2430,1157,1000
116,111,2430,703,2542,2058,1615,367,3031,1674,11,2677,2150,1751,2343,665,2343,1674,3464,3403,1751,2249,1196,1887,3087,7022,606,1887,487,467,487,93,2233,3515,2676,3515,1930,3391,487
117,170,4029,1100,170,631,528,728,4883,2947,2947,745,277,745,4883,329,1030,6424,6093,1421,2062,3421,1421,453,329,453,4940,329,329,329,453,2111,6146,4827,453,1421,1506,329,2422
118,170,3645,645,3491,1231,2134,1082,80,704,510,1587,676,2164,371,371,978,5994,4293,1104,360,978,3382,2385,2739,2739,4472,2770,978,3122,3183,3183,3183,1217,3488,3183,3183,1141,1177
119,170,2708,1100,1984,3016,2470,108,752,877,752,752,752,752,752,752,752,42,752,3382,1922,3266,447,3516,2739,1161,752,1161,3045,1161,2210,1997,2354,16,1997,2132,2877,1258,1161
120,6382,267,3093,1984,1120,1849,3274,272,896,724,923,724,2297,2042,2788,222,6693,2743,5989,2518,818,327,3044,2153,3259,3263,818,6847,3263,2153,1982,1605,1497,1076,2444,5356,1567,3204
121,6281,3373,4719,1809,2242,1906,1030,631,3184,631,631,277,1937,1252,741,1526,1715,3389,2193,631,3389,631,2518,2596,786,3305,631,3389,631,631,631,2518,2518,915,2596,3373,3389,3389
122,170,3504,703,1837,501,2910,5420,6814,6,3030,2845,6,6,6,6,1896,1837,1433,6,1695,1433,1837,1433,3030,1110,2553,1110,3030,3366,1512,39,2007,1110,3389,3366,1512,1110,3439
123,2062,3504,1016,3462,1598,605,2925,2709,3797,1280,1538,945,945,841,3386,2711,945,945,945,1393,945,3486,3100,1871,2412,387,3208,2095,3383,3100,2095,2607,2607,3504,3100,2709,3504,5201
124,5391,3373,6094,48,1231,2225,1647,658,1431,651,1940,1940,3109,841,1438,3109,1523,3109,343,1448,3356,2038,140,841,2057,1621,3356,649,210,210,3356,1205,841,841,1621,343,1946,1946
125,170,2708,3791,415,1231,421,3321,4331,1803,3520,3321,3520,1994,1994,1994,3383,810,3797,810,810,810,3486,1315,810,810,3520,504,1994,1994,2967,1994,810,1994,810,810,810,2340,1994
126,6602,6886,4719,2804,1231,164,1036,1036,296,776,3493,730,1154,407,1154,407,86,833,833,2593,407,2593,1154,1512,2152,86,2152,2152,1866,1898,1154,2593,1100,2593,6659,2593,1597,2836
