ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8
104,6768,59,1681,2210,1002,698,377,59,932
105,6768,2910,2319,1022,340,2043,1878,3490,1315
106,6768,2910,2064,1022,340,2043,2,2043,1686
107,6768,2892,732,1234,2895,935,2319,3029,742
108,6768,601,3492,619,3057,3456,2253,2616,1452
109,6815,601,3492,237,3057,3456,681,2616,1452
110,6768,1865,1148,237,3261,1599,1599,3383,1341
111,6768,2598,2505,75,2167,2215,32,2020,3358
112,6768,2772,2996,2167,2236,2497,32,3497,3358
113,6768,2598,2996,1173,2167,2497,32,416,3358
114,6462,3289,5027,3280,2349,276,1505,3369,3034
115,6768,3289,5027,3280,2349,787,1505,3369,3034
116,6462,3613,6039,3280,2349,787,1505,3369,550
117,6768,258,1401,782,1913,1913,2674,1265,3165
118,6768,258,1401,1634,2068,472,986,2287,291
119,6768,258,1401,2210,1002,472,1878,1002,1452
120,6462,2910,2571,2571,2395,3287,1878,442,2031
121,6768,837,2891,1801,249,1633,1199,1860,1104
122,6768,837,2545,2571,249,3438,1878,1126,2031
123,6768,95,1401,1959,1298,3328,1878,1523,2258
124,6768,2431,296,2210,3079,1985,1034,2616,3515
125,6768,1527,1923,3322,2930,2509,2152,1377,2152
126,6768,327,2732,756,1842,2476,59,1147,327
127,6768,2431,2597,3417,921,182,59,343,3515
128,6768,898,898,898,662,2476,59,59,327
129,6462,33,2891,917,2314,759,759,1164,286
130,6768,59,2891,2914,1073,531,2303,445,286
131,6462,33,2732,2210,1842,2737,1878,1164,1503
132,6768,2431,1919,3417,165,773,349,252,174
133,6768,1538,724,3360,423,234,423,611,3063
134,6768,1538,716,782,249,1238,1878,2596,249
135,6768,3317,1189,782,423,234,1878,1101,1939
136,6768,4002,475,1634,338,1745,986,1101,1939
137,6815,1975,848,1169,1913,1913,1878,1101,1939
138,6768,2333,209,1726,249,1322,2909,3013,3430
139,6768,1150,1461,2210,2839,472,655,611,3430
140,6768,2333,234,1726,2839,1322,2909,3013,3430
141,6099,2333,3,923,3051,1141,986,2439,3165
142,6768,95,328,923,137,3328,1119,3251,291
143,6462,837,1656,2210,1078,220,2303,2379,327
144,6768,6,363,2210,165,226,560,2047,1278
145,6815,1558,978,2210,321,213,286,2100,286
146,6768,2146,385,1404,1966,213,560,2767,2339
147,6815,2930,2597,526,321,518,2644,2100,1701
148,6768,1975,3492,1504,1617,2498,2350,1860,2498
149,6462,3613,1212,4368,4313,5993,5496,4763,4582
150,1261,3613,3019,474,2895,2055,1479,3013,3188
151,6768,432,3127,3360,2895,1251,3276,2977,1612
152,1261,2333,1990,3360,653,1948,582,2977,3063
153,6768,2333,2444,782,1162,3162,1878,2596,1436
154,6462,1538,2891,2058,235,448,2674,535,3165
155,6768,3289,2891,1947,1842,3287,599,3438,1152
156,6768,2910,2444,1378,2352,3162,1142,2163,742
157,6462,33,1124,756,2377,220,672,1694,327
158,6768,59,1990,239,735,220,672,1894,1052
159,6768,3289,2891,474,136,3287,2674,250,3165
160,1261,2544,3019,3820,2812,3287,2674,494,1152
161,1261,432,2704,474,2801,1771,1479,163,1152
162,6768,95,282,1378,239,600,986,3251,291
163,6768,2222,1676,923,1437,1745,986,3251,2339
164,6462,601,282,2431,977,798,986,977,291
165,6768,2910,2444,2879,197,1989,2192,1831,1861
166,6768,174,2344,2879,165,492,744,2326,1525
167,6768,59,848,1769,2648,5766,2263,1471,1558
168,6815,1975,3492,1504,1617,282,1101,1101,291
169,6768,3347,1466,2370,321,1166,2303,2616,2340
170,6768,1975,3492,941,171,1484,2014,206,642
171,6768,2910,3163,170,249,1652,1878,1164,286
172,6768,2910,1535,3417,2377,1919,518,252,2041
173,5376,2935,296,2953,321,1985,518,1380,1701
174,6462,1914,2891,3254,3891,3287,807,3182,1736
175,6768,1558,5027,2953,2559,1985,2222,1066,2318
176,6768,33,1395,2230,307,1985,1878,3490,2039
177,1261,3909,475,2789,6329,6310,986,3029,3165
178,1261,1538,2704,474,1162,3469,2674,212,3132
179,1261,1538,2704,474,1162,3469,2674,212,3132
180,6768,3289,3419,1216,2839,1795,2992,1795,907
181,6768,1286,978,2210,249,718,3440,99,1664
182,6768,238,1461,153,525,106,2992,99,3165
183,1261,2333,1368,3360,2839,3117,2351,1485,1107
184,1261,2333,3,3360,506,1251,1470,2977,1107
185,6768,432,3,3360,2983,1948,1470,3251,1107
186,6768,1286,2077,2963,2377,3472,3158,1694,327
187,6768,2222,2444,1378,1511,220,2374,3190,3056
188,1261,1975,163,2058,864,220,2674,3013,327
189,6768,2146,1461,3280,2349,787,1505,3369,3034
190,6768,2146,5027,3280,2349,787,1505,3369,3034
191,6768,3289,2444,3280,2773,787,1505,3369,3034
192,6815,59,2597,619,419,1233,2263,2347,1502
193,6768,2431,1395,90,1231,1233,2263,1390,2398
194,6768,1558,1395,619,419,1233,2263,1789,3398
195,6768,59,1395,1395,1602,2055,1395,2208,2736
196,6462,898,898,285,419,1233,1395,1395,3398
197,6768,33,1395,1395,1602,1233,1395,59,3515
198,6815,1796,1031,477,504,182,1101,1101,291
199,6768,1796,1651,2431,1495,3328,65,2208,291
200,6768,1975,3303,1195,2301,671,2222,1101,2498
201,6462,3289,2891,1894,2236,2497,1470,2020,2746
202,6768,432,2236,3365,2236,3193,2236,2020,2746
203,6099,2823,2617,75,2236,3193,2236,2020,2746
204,6768,432,1368,2558,423,3117,2396,2977,3144
205,1261,432,3127,1234,2895,3117,2429,2977,3144
206,1261,2371,1368,1121,653,3117,187,3134,3144
207,6768,2699,2596,3254,1842,2760,2760,163,2760
208,6768,4231,475,392,2839,1745,986,3190,3165
209,6768,837,3019,3254,2812,3287,879,3452,1793
210,6768,3613,2571,2354,2237,2237,1175,1758,2339
211,6768,180,2571,3254,2237,1302,1599,2430,249
212,6768,3387,2891,3254,1872,1758,2374,3387,2067
213,6768,2910,442,3254,1842,3162,1878,3101,1436
214,6815,2431,1977,756,1842,2043,1878,2043,1473
215,6768,2910,3163,1270,238,3287,1878,442,3397
216,6768,2910,3222,2210,2068,1896,2210,1130,1605
217,6768,258,1651,2210,921,3472,3326,1055,1629
218,6768,2772,296,2210,2833,1896,2319,3251,767
219,6768,2935,2597,3417,321,2509,833,3477,2673
220,6815,2431,2597,3417,2377,773,1780,3477,1780
221,6815,1865,2597,2230,321,1686,2,2673,1315
222,6768,1975,1025,2953,1231,1460,1474,473,1231
223,6768,1558,1025,2953,1231,1460,1204,1789,3153
224,6768,2930,296,2413,3180,801,1034,1034,1452
225,6768,2598,1547,75,2167,2215,32,416,3358
226,6768,2598,2505,75,2167,2215,1071,2020,3358
227,6768,3363,3148,1173,2167,2215,1586,379,3358
228,6768,2146,832,722,143,1460,1924,3369,550
229,6815,1558,5027,722,3441,1460,1924,3369,550
230,6815,2146,5027,722,1239,1460,1924,3369,550
231,6462,1538,1656,239,1712,1460,1924,3369,550
232,6462,1975,1918,1894,5270,334,2025,3369,3034
233,6768,59,5027,722,1231,1460,1924,3369,1231
234,1261,432,2617,1234,653,1017,2429,2429,1624
235,6768,3613,1461,2953,2812,935,2319,2429,742
236,6462,1538,3,3360,653,3117,2351,2429,1624
237,6768,2146,832,3280,632,1472,1505,3369,3034
238,6768,432,3127,1900,3523,2496,1612,575,2746
239,6768,59,5027,3280,1712,1798,1086,3369,2746
240,1261,2333,3,917,423,1726,1878,1764,2320
241,1261,1538,475,917,864,1726,1878,2310,2320
242,1261,1538,3,917,423,234,1878,1764,2320
243,6768,33,3139,2300,2068,3589,2236,1101,2715
244,6768,4231,2493,2300,2236,2346,2236,3497,5749
245,6815,1975,2236,1055,2236,2774,2192,1678,1525
246,6815,180,6114,2879,2100,529,3462,1801,2571
247,6768,2910,1656,1579,218,1556,3340,1801,1937
248,6815,1865,1148,1579,1073,3425,3340,1412,1810
249,1261,1538,3419,3151,249,106,152,877,3439
250,6768,1975,3303,2953,2040,1989,2222,1101,2498
251,6768,33,2891,2370,535,152,152,535,3439
252,6815,1558,2616,2388,1231,1460,2609,2616,1854
253,1261,2333,3419,3319,249,220,3136,3013,327
254,2263,3289,393,930,249,3472,3136,3013,3430
255,6768,1558,3492,1789,321,282,282,2182,327
256,6768,258,1196,2210,2839,1896,2210,337,642
257,6815,3074,90,237,1298,3425,5740,3383,1341
258,1261,2544,3019,474,3132,3287,1479,588,2824
259,6768,2598,1368,947,197,492,1516,1485,3397
260,5551,1975,848,2230,1842,448,1878,442,291
261,6462,2910,3163,1270,235,1837,3510,1837,2059
262,6768,2910,2444,314,197,2163,3510,3029,742
263,6768,2431,1477,2210,235,1896,3244,1130,2059
264,6768,2598,2996,1168,2167,2361,739,2598,967
265,6768,2598,2996,2167,2167,2361,739,2002,67
266,6768,3347,2996,714,2236,2497,32,156,67
267,6768,33,2344,1022,1872,1985,2319,1758,327
268,6462,2431,2319,756,165,1896,39,3029,3397
269,6815,2431,1031,2230,1179,2118,680,3214,3515
270,6462,2910,363,1157,2680,3162,1878,3182,72
271,1261,837,3019,782,2873,3162,1878,442,72
272,6768,3453,111,1169,2873,3162,1878,1485,1436
273,6768,258,978,2210,2839,1896,655,3190,327
274,6768,2772,2839,2210,2839,1956,555,3190,3430
275,6462,1538,2545,2058,1162,3396,2674,535,516
276,6768,258,90,6617,137,3328,1400,2208,2039
277,3142,1865,1710,619,1231,1233,1474,1390,3515
278,6768,2431,1031,90,1298,182,1878,3207,3515
279,6768,95,3,3360,423,234,2222,3251,742
280,1261,3613,3,474,423,234,1479,142,3165
281,6768,95,3,3360,423,1251,1878,163,742
282,6768,3289,3419,1801,249,1718,1230,3013,710
283,6768,327,2077,1717,1842,243,2674,243,327
284,6768,6,978,2210,2839,213,2210,1130,327
285,6815,601,1931,3201,321,2479,1646,139,327
286,6815,601,9,917,321,2479,537,1646,327
287,6815,1558,5330,1658,321,2434,1780,1646,327
288,6768,4002,2952,2370,2040,4360,1878,1101,6617
289,6768,3289,1511,1055,2236,3472,1511,1101,642
290,6099,59,1031,886,2377,3472,2236,1651,291
291,6815,1865,1923,2879,1875,2055,2303,1377,1937
292,6815,1558,6114,2076,2102,5085,6156,1458,3153
293,6815,601,1148,2044,1299,3287,1094,2266,94
294,6099,432,2617,947,836,2033,1479,142,3165
295,6768,2371,2617,2835,2829,234,1479,3169,3063
296,1261,2059,3019,314,836,3481,2829,2572,1594
297,6462,2910,1477,1369,2352,1652,1878,1130,1315
298,6768,33,3163,3254,2369,2043,1878,3101,1686
299,6768,3745,2596,3254,2873,3287,1878,442,72
300,6462,258,2190,2230,307,1787,2,2208,1315
301,6768,2431,1477,2230,1298,1985,1878,3101,554
302,6768,2431,2344,2230,165,2509,1807,1723,2620
303,6815,1865,3492,2230,113,3201,3201,1377,2479
304,6462,59,848,526,921,2476,59,59,3515
305,6768,2910,1919,237,113,1937,1824,113,1937
306,6768,2910,2571,585,218,629,1878,1108,1129
307,6462,3613,2571,3820,2812,1238,1878,442,2586
308,6462,3613,2571,585,218,2115,1878,1108,94
309,6768,1558,341,3254,321,2043,1878,2043,286
310,6815,1558,2597,1658,321,2509,49,1377,1701
311,6768,2910,3163,3254,2369,2043,1878,2043,286
312,1261,2333,209,1894,2839,1948,814,3013,3063
313,6768,2333,3,3360,249,649,2350,1764,3063
314,1261,1538,3,3360,506,649,2350,1764,3063
315,6462,3317,3733,1634,1655,3230,1878,946,2479
316,6462,3613,475,917,1842,1022,1878,279,327
317,6768,3613,2190,237,3057,2034,2672,324,1212
318,6768,2598,2996,2284,2236,2497,32,3497,967
319,6768,2598,2996,714,2236,2497,739,3345,967
320,6768,743,1529,2236,2236,2497,2236,694,967
321,6768,601,2394,3201,2315,3201,3201,681,1452
322,6768,601,3053,3201,628,3201,3201,2468,1452
323,5376,1558,1923,3201,422,3201,3201,2468,3425
324,6462,3613,732,1234,2895,1017,2396,2429,3063
325,6768,2333,724,923,3399,234,2487,1017,3063
326,1261,432,234,3042,653,1017,2351,2977,3063
327,6768,33,3019,2789,1842,243,1497,442,483
328,6768,1975,3492,2370,2301,1989,2014,1101,2014
329,6768,810,2319,3254,591,3287,1169,2043,3165
330,1261,1538,1976,1894,1052,1251,2674,1731,516
331,6462,2851,3,474,836,1017,2829,2977,3063
332,1261,2851,3,474,880,1017,2396,2977,3063
333,6768,3075,2505,2167,2167,2215,2751,156,3528
334,6462,3363,2505,2167,2167,2361,739,2598,3528
335,6768,2222,2444,2953,1590,1989,3093,6014,3528
336,6768,2222,2505,714,1391,2397,3412,156,3265
337,6768,3075,2505,2167,2167,1986,1641,156,3528
338,6768,3208,1547,714,2167,1989,3093,2598,3528
339,6462,1538,2444,3019,1842,3287,1878,2116,1436
340,6768,33,442,3254,249,2055,1878,512,3227
341,6768,837,1126,2058,238,360,536,1126,1220
342,6768,3074,1977,3254,1298,1889,1878,3490,1315
343,6768,837,3172,3254,2369,2571,1878,2369,2571
344,6462,837,2571,3254,2369,2043,2571,2266,2571
345,6768,2598,2475,75,2167,2215,32,694,3358
346,6768,2598,2475,75,2167,2215,32,2020,3358
347,6768,2598,2505,2167,2167,2215,32,67,3358
348,6768,1975,706,2370,1913,1745,2300,1101,938
349,6815,1975,3929,2370,2040,1989,2192,1101,1430
350,6768,898,2891,1195,3891,3589,1395,5594,322
351,6768,3347,2575,2210,2839,3326,3326,3190,291
352,6768,59,1401,2230,1495,1896,1878,1623,1289
353,6099,3404,2575,917,2068,3162,1878,1101,1629
354,6768,3289,3419,1349,2839,2497,2236,1443,1668
355,6462,33,2996,917,2068,3472,2236,1130,1503
356,6768,1975,1547,1195,2767,480,3093,1034,2498
357,6768,837,978,2210,249,2470,1878,1130,3227
358,6768,4023,6610,6635,2873,4554,1878,3371,72
359,6768,2699,724,923,117,1795,655,1795,2339
360,6462,2910,2891,2230,1842,2055,2219,1654,2339
361,6768,837,2444,782,506,649,414,1764,649
362,6768,837,2571,1369,249,649,1599,1764,649
363,6768,2935,2597,1022,321,1985,1333,1377,1780
364,1261,258,90,2210,6021,1233,5149,2764,3809
365,6768,2935,2597,2230,321,1985,1333,1377,3515
366,1261,2426,732,1234,2991,3232,2674,3236,1885
367,1261,1538,2891,1717,1717,2055,2674,877,1152
368,6768,2910,2444,3360,2016,2163,3510,2163,742
369,6462,2333,3,3360,836,3117,1470,685,3289
370,6768,4002,3492,3254,2301,3117,2952,2977,3034
371,6768,1558,1025,1894,2978,3407,2678,2977,858
372,6768,174,832,722,1239,1460,1924,3369,550
373,6462,2146,832,722,137,1460,1924,3369,550
374,6768,59,832,722,1239,1460,1924,3369,550
375,6768,3613,6459,2953,1875,437,3192,1212,1212
376,6768,3613,2394,237,3057,437,655,1130,2318
377,6768,1865,2190,619,1298,2904,2,2904,1315
378,6768,1538,3,2058,3051,2470,1516,2301,1152
379,6815,3613,6016,4677,2873,1989,5750,442,72
380,6768,33,2571,3254,249,3287,807,442,1793
381,6768,1538,716,1894,735,220,3136,3251,3430
382,6462,4231,475,1378,1162,1321,2674,1319,1624
383,6462,1538,3033,1894,2328,1321,3276,2290,1571
384,6768,3613,6459,2953,1772,2394,3192,1212,1212
385,6768,2146,3419,1801,249,1985,1459,1130,3227
386,6768,2910,2571,3254,249,1599,1599,1803,249
387,6462,3453,2451,947,2237,3453,744,3029,412
388,1261,3613,2571,1369,3132,1314,3508,442,1145
389,6768,3613,2120,4677,5044,1238,423,1485,72
390,6768,1715,1656,2210,389,2571,3340,2369,1177
391,6768,2910,363,2210,165,2571,1199,2100,1177
392,6462,3142,3163,2914,249,2914,1199,1801,2571
393,6768,1975,3492,2381,171,282,2014,1101,327
394,6768,2431,296,1390,419,1233,3458,1390,3515
395,6815,2935,888,619,1231,1233,2263,1390,2110
396,6768,2146,1126,3122,2377,3122,3093,1137,642
397,6768,2146,1025,1161,2839,3514,3093,1839,642
398,6768,2772,1126,153,2167,3122,3093,1137,412
399,6768,327,1923,237,249,213,1878,1130,3440
400,6462,59,6666,6470,1299,5993,362,442,94
401,6462,3613,2571,1634,1842,3287,2222,442,3165
402,6815,1975,1025,2210,648,671,1599,2304,1341
403,1261,1538,3419,1442,249,649,1599,1764,1341
404,6462,1538,978,2413,249,2696,1599,1764,1341
405,6462,2333,1990,1378,2328,798,1470,2892,291
406,6462,1975,3127,3365,1913,1773,1612,1319,2746
407,1261,2823,1990,1378,2328,2496,672,2892,291
408,6768,2146,296,2953,321,3407,2924,604,2339
409,6768,604,296,2953,3225,604,2924,604,2924
410,6768,1558,296,2953,2767,604,2924,2767,2924
411,6768,2431,1395,619,2930,2111,1395,539,1854
412,6768,3142,1148,2914,6021,3201,1395,946,2479
413,6815,1865,1148,1395,2930,1233,1395,1395,775
414,6768,1558,1547,477,2301,1484,2222,2127,2498
415,6768,1975,3492,2953,2301,1989,2222,1101,2498
416,6768,2431,1466,2370,2068,1989,2918,3072,2584
417,6768,2910,1535,3254,1842,2043,1878,2043,1686
418,6768,327,1466,2230,1842,2118,1878,1377,3139
419,6768,59,1466,3254,1842,3162,1878,3101,3227
420,6768,33,2902,1378,977,2163,2799,2892,291
421,1261,33,2444,2431,1779,2902,2818,2892,291
422,6768,59,2444,917,2328,3328,986,2892,291
423,6768,33,1477,3254,2873,3162,2918,442,3227
424,6768,2910,1535,3254,2237,3287,3508,442,1793
425,6768,2910,2444,3254,3387,2043,1175,442,1686
426,6768,59,921,756,662,3472,1309,908,1780
427,6815,59,2597,2431,1179,2790,986,1646,291
428,6768,59,2575,2932,2328,698,1309,420,291
429,6768,2431,2444,1100,3387,1985,2374,3072,2339
430,6768,59,2444,2953,1842,1381,152,1130,3430
431,6768,2431,2344,3254,3387,1985,2303,3072,2466
432,6768,3142,4554,2210,2369,3438,1878,1801,2031
433,6768,59,1656,2210,249,1381,2303,2310,1341
434,6768,2146,2891,2078,235,718,2303,2310,2302
435,1261,1914,475,917,1073,3321,2069,2933,2479
436,6462,3613,3299,917,737,3201,1412,946,2479
437,5551,3613,1974,917,737,916,3201,946,1452
438,6815,180,1978,722,1772,1460,1204,1979,3153
439,6768,95,3057,2953,3486,2204,2771,1979,2318
440,6815,601,1923,2879,73,1460,2253,1979,1212
441,6815,1865,1395,1395,6146,1233,1395,3383,3492
442,6768,1865,1148,62,6146,2111,1599,3383,11
443,3142,1865,1148,62,1381,74,1599,3383,1341
444,6768,2910,2319,3254,2873,3287,562,1837,742
445,6768,33,2571,2266,249,3287,676,3452,3165
446,6768,1538,163,2332,2895,3396,2674,2092,3165
447,6815,59,296,3417,419,1833,2347,1623,1289
448,6768,2431,296,2210,2627,1833,1833,59,3515
449,6815,2431,2597,619,419,2034,681,2616,3515
450,6768,963,1461,2536,2839,187,1470,2977,3144
451,6768,2892,2617,474,836,1012,2396,2977,1107
452,6768,2222,2444,2953,1555,2270,2374,685,742
453,6815,1558,1148,2879,218,529,2771,1471,1558
454,6815,3613,5027,2879,528,6270,3462,1108,1558
455,6815,1558,6936,2879,4892,529,3992,1108,2315
456,6768,601,1401,237,3016,1381,1878,1130,1452
457,6768,258,1477,1169,197,2055,2554,3029,2339
458,6768,2431,1642,2210,1842,1896,2319,3029,291
459,6768,3347,1651,2953,2751,2397,1641,2020,1861
460,6768,1608,1547,2292,2167,480,1586,1232,3358
461,6768,1608,1547,714,1067,480,1586,1232,3358
462,1261,4231,1990,3365,2895,1745,2674,2977,1624
463,1261,4231,3127,1378,1571,1745,3276,1319,1107
464,6768,1975,706,1894,338,1773,2674,2977,1571
465,6768,59,296,3417,921,2199,420,420,327
466,6768,2146,296,3417,2377,1087,1416,1892,327
467,6768,1975,2891,4566,235,3472,1497,1801,327
468,6768,33,1090,1894,2328,698,986,2581,291
469,1261,33,716,1894,2328,698,377,667,291
470,6462,33,1990,1894,2328,698,986,667,291
471,6768,2910,3163,2210,1842,2737,2443,1212,327
472,6768,3613,2394,2953,2406,1989,2222,1560,2556
473,6768,2910,341,1022,3387,3287,2036,3029,327
474,6815,1558,2952,722,143,1460,1924,3369,550
475,6768,2910,2444,722,137,1460,2374,3369,291
476,6815,2146,832,722,137,1460,1924,3369,550
477,1261,59,898,2341,737,898,455,59,291
478,6815,59,2597,2230,419,1833,2955,2288,291
479,6768,2431,2597,619,419,1233,285,1390,3515
480,6768,2776,2444,6635,3893,1989,423,1485,3165
481,1261,2892,3,1169,2812,316,2351,736,3165
482,6768,2910,2444,3254,977,2163,2351,1040,291
483,1261,432,2444,1378,2833,1948,2319,3251,1107
484,1261,432,209,1894,2983,1948,672,3251,327
485,6768,432,716,3360,3491,1948,2319,3251,1948
486,1261,3909,442,3254,2873,3162,1878,442,2976
487,1261,2910,3019,1369,2873,1314,1878,442,249
488,1261,6401,2860,3820,5044,1238,6328,3657,4582
489,6768,129,2996,886,2167,2397,2224,156,1861
490,6768,2146,296,3348,1443,3472,2224,1443,967
491,6768,2935,296,2547,1443,492,2224,156,967
492,1261,2333,3,3319,2839,1896,1728,3013,2059
493,1261,3613,3019,474,3132,234,1082,417,1082
494,1261,2333,2704,599,249,360,2350,3013,3165
495,6815,2862,1031,898,3079,1233,2996,2257,3398
496,6099,2431,2736,1395,1495,3328,1395,2208,3515
497,6815,59,1031,886,419,1233,1395,2208,3515
498,6462,2910,2571,3254,1842,3287,3508,442,1793
499,6768,2910,2571,3254,2395,3287,3508,442,1793
500,6768,2910,3163,3254,2395,3287,3508,442,1793
501,6768,1865,1395,1782,1231,1233,1474,1390,291
502,6768,2146,1656,722,1239,1460,1474,2764,2172
503,6815,1087,832,722,1231,1460,1474,1474,1558
504,6768,2910,1535,1022,1842,3287,2319,3029,327
505,6768,837,2545,1270,1872,3287,3242,3029,327
506,6768,601,2394,1270,1872,3287,250,250,327
507,6768,2431,2597,722,1622,1233,2771,2764,1558
508,6768,59,1395,1782,2377,1233,2263,2764,1289
509,6768,59,832,3178,2559,1233,3518,2764,1289
510,6768,1975,2444,1378,2752,3407,672,3190,291
511,6768,1975,1025,1055,2894,3407,2752,337,642
512,6768,95,1025,1055,2752,3407,672,3190,291
513,6815,604,296,2210,321,604,2210,2616,1701
514,6768,2047,1919,2210,1935,1985,1759,1380,2469
515,6768,3156,296,2210,598,671,1905,1034,2469
